     Index       y_measurement           y_fitting        descriptor_1
         1    0.4067373667E+03    0.4341225906E+03    0.4758299990E+01
         2    0.2857956333E+03    0.3240089451E+03    0.4411913193E+01
         3    0.3071145667E+03    0.3306520586E+03    0.4432810574E+01
         4    0.3819834000E+03    0.4017171971E+03    0.4656361666E+01
         5    0.3764530667E+03    0.4004078591E+03    0.4652242854E+01
         6    0.2785538000E+03    0.3236691444E+03    0.4410844275E+01
         7    0.3041485333E+03    0.3291340444E+03    0.4428035325E+01
         8    0.2586766667E+03    0.2916247674E+03    0.4310041608E+01
         9    0.2725297000E+03    0.2958400326E+03    0.4323301656E+01
        10    0.2541748667E+03    0.3020630100E+03    0.4342877406E+01
        11    0.2338034333E+03    0.2587791517E+03    0.4206718468E+01
        12    0.2403534000E+03    0.2582385096E+03    0.4205017759E+01
        13    0.4148450000E+03    0.4638246541E+03    0.4851734392E+01
        14    0.4670846000E+03    0.4711569644E+03    0.4874799794E+01
        15    0.2451061333E+03    0.2617485174E+03    0.4216059264E+01
        16    0.2466809333E+03    0.2687564376E+03    0.4238104225E+01
        17    0.3836031333E+03    0.4206633756E+03    0.4715961056E+01
        18    0.4372498667E+03    0.4336036072E+03    0.4756667413E+01
        19    0.4187009000E+03    0.4350371679E+03    0.4761176995E+01
        20    0.2869700333E+03    0.3361583071E+03    0.4450131695E+01
        21    0.2344907333E+03    0.2317275179E+03    0.4121621578E+01
        22    0.3091172667E+03    0.3402765281E+03    0.4463086469E+01
        23    0.3023439333E+03    0.3256888379E+03    0.4417197667E+01
        24    0.3266636333E+03    0.3213834118E+03    0.4403653998E+01
        25    0.3849960667E+03    0.4021186497E+03    0.4657624524E+01
        26    0.3781231333E+03    0.4022547743E+03    0.4658052734E+01
        27    0.2956743000E+03    0.3370718741E+03    0.4453005522E+01
        28    0.2309024667E+03    0.2337382764E+03    0.4127946863E+01
        29    0.3124557667E+03    0.3398037754E+03    0.4461599321E+01
        30    0.2616502000E+03    0.3045956936E+03    0.4350844522E+01
        31    0.2359238667E+03    0.2323713827E+03    0.4123646997E+01
        32    0.2859014667E+03    0.3073924999E+03    0.4359642494E+01
        33    0.3027135333E+03    0.3261778072E+03    0.4418735828E+01
        34    0.3238940333E+03    0.3196485468E+03    0.4398196597E+01
        35    0.2779039000E+03    0.2953757619E+03    0.4321841190E+01
        36    0.2942082000E+03    0.2888932370E+03    0.4301448976E+01
        37    0.3058423333E+03    0.3037774767E+03    0.4348270640E+01
        38    0.2794223333E+03    0.2751660199E+03    0.4258266982E+01
        39    0.2552500667E+03    0.2380359771E+03    0.4141466230E+01
        40    0.2961311333E+03    0.2737766805E+03    0.4253896508E+01
        41    0.2801430000E+03    0.2668862577E+03    0.4232221161E+01
        42    0.2908341667E+03    0.2540911306E+03    0.4191971262E+01
        43    0.4175716333E+03    0.4695086297E+03    0.4869614593E+01
        44    0.4715966000E+03    0.4677371903E+03    0.4864042139E+01
        45    0.2449100333E+03    0.2704810499E+03    0.4243529374E+01
        46    0.2220599667E+03    0.2269977006E+03    0.4106742893E+01
        47    0.2527308000E+03    0.2771216823E+03    0.4264418950E+01
        48    0.3850257000E+03    0.4324672492E+03    0.4753092748E+01
        49    0.2249314667E+03    0.2369779872E+03    0.4138138089E+01
        50    0.4458766000E+03    0.4381151158E+03    0.4770859360E+01
        51    0.2500072667E+03    0.2669877600E+03    0.4232540459E+01
        52    0.2591231667E+03    0.2692619793E+03    0.4239694518E+01
        53    0.3817229000E+03    0.4170741837E+03    0.4704670460E+01
        54    0.4540849667E+03    0.4162883092E+03    0.4702198318E+01
        55    0.4109789667E+03    0.4225066177E+03    0.4721759381E+01
        56    0.3771303667E+03    0.3919264534E+03    0.4625562719E+01
        57    0.3714014333E+03    0.3894917673E+03    0.4617903876E+01
        58    0.2889783333E+03    0.2986669474E+03    0.4332194341E+01
        59    0.4162779667E+03    0.4479725335E+03    0.4801868045E+01
        60    0.4713814667E+03    0.4618055430E+03    0.4845382832E+01
        61    0.2587401333E+03    0.2581021882E+03    0.4204588930E+01
        62    0.2808691333E+03    0.2843101458E+03    0.4287031850E+01
        63    0.3007642333E+03    0.2974141246E+03    0.4328253310E+01
        64    0.3199497667E+03    0.3105181033E+03    0.4369474770E+01
        65    0.3446522333E+03    0.3367260609E+03    0.4451917690E+01
