     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.4067373667E+03    0.4103058942E+03    0.6087300047E+05    0.4484155086E-07
         2    0.2857956333E+03    0.2953716015E+03    0.3553250476E+05    0.1386172536E-05
         3    0.3071145667E+03    0.3082308168E+03    0.3836767914E+05    0.1386172536E-05
         4    0.3819834000E+03    0.3747814017E+03    0.5304062060E+05    0.1386172536E-05
         5    0.3764530667E+03    0.3692782645E+03    0.5182729977E+05    0.1386172536E-05
         6    0.2785538000E+03    0.2979019952E+03    0.3609040098E+05    0.1386172536E-05
         7    0.3041485333E+03    0.3106165806E+03    0.3889368764E+05    0.1386172536E-05
         8    0.2586766667E+03    0.2733205207E+03    0.3067073603E+05    0.4484155086E-07
         9    0.2725297000E+03    0.2807239850E+03    0.3230303722E+05    0.4484155086E-07
        10    0.2541748667E+03    0.2836170981E+03    0.3288007544E+05    0.8171276545E-02
        11    0.2338034333E+03    0.2576317746E+03    0.2721171262E+05    0.1010208374E-08
        12    0.2403534000E+03    0.2607477021E+03    0.2789870617E+05    0.1010208374E-08
        13    0.4148450000E+03    0.4357306247E+03    0.6647859515E+05    0.1010208374E-08
        14    0.4670846000E+03    0.4718357252E+03    0.7443897635E+05    0.1010208374E-08
        15    0.2451061333E+03    0.2479394643E+03    0.2507477120E+05    0.1010208374E-08
        16    0.2466809333E+03    0.2512368085E+03    0.2580176314E+05    0.1010208374E-08
        17    0.3836031333E+03    0.3879765114E+03    0.5588903267E+05    0.8171276545E-02
        18    0.4372498667E+03    0.4262808157E+03    0.6433428999E+05    0.8171276545E-02
        19    0.4187009000E+03    0.4229213735E+03    0.6365443643E+05    0.4484155086E-07
        20    0.2869700333E+03    0.3110920690E+03    0.3899852238E+05    0.1386172536E-05
        21    0.2344907333E+03    0.2422588570E+03    0.2382232213E+05    0.0000000000E+00
        22    0.3091172667E+03    0.3235078020E+03    0.4173591866E+05    0.1386172536E-05
        23    0.3023439333E+03    0.3039478231E+03    0.3742337315E+05    0.1386172536E-05
