     Index       y_measurement           y_fitting        descriptor_1
         1    0.1129134333E+03    0.9349177373E+02    0.4177305629E+01
         2    0.5741510000E+02    0.4837171573E+02    0.3682795564E+01
         3    0.6408266667E+02    0.6131196627E+02    0.3824619055E+01
         4    0.9851213333E+02    0.8302808374E+02    0.4062624925E+01
         5    0.9577526667E+02    0.7883518892E+02    0.4016671334E+01
         6    0.5629570000E+02    0.4912690693E+02    0.3691072363E+01
         7    0.6416440000E+02    0.6175551935E+02    0.3829480340E+01
         8    0.4909853333E+02    0.3860817561E+02    0.3575788413E+01
         9    0.5078230000E+02    0.4704501621E+02    0.3668255107E+01
        10    0.4487846667E+02    0.4461074383E+02    0.3641575793E+01
        11    0.3941803333E+02    0.3039507922E+02    0.3485773927E+01
        12    0.4091123333E+02    0.3432283910E+02    0.3528821673E+01
        13    0.1155721667E+03    0.9516228063E+02    0.4195614171E+01
        14    0.1317270667E+03    0.1170355151E+03    0.4435342023E+01
        15    0.4379320000E+02    0.2622921783E+02    0.3440116619E+01
        16    0.4094110000E+02    0.3068212974E+02    0.3488919964E+01
        17    0.1067330000E+03    0.7979318924E+02    0.4027170895E+01
        18    0.1236949333E+03    0.1061107830E+03    0.4315608357E+01
        19    0.1185663333E+03    0.1019496711E+03    0.4270003103E+01
        20    0.5631520000E+02    0.5850135118E+02    0.3793815073E+01
        21    0.4281686667E+02    0.2736858478E+02    0.3452603935E+01
        22    0.6653600000E+02    0.7023739014E+02    0.3922440559E+01
        23    0.6544593333E+02    0.5705940369E+02    0.3778011513E+01
        24    0.7081320000E+02    0.6964545248E+02    0.3915952998E+01
        25    0.9909350000E+02    0.9529347933E+02    0.4197052092E+01
        26    0.9879613333E+02    0.9125551670E+02    0.4152796538E+01
        27    0.5754726667E+02    0.6246318728E+02    0.3837236290E+01
        28    0.3968340000E+02    0.3125709740E+02    0.3495221536E+01
        29    0.6419260000E+02    0.7405298995E+02    0.3964259045E+01
        30    0.4755836667E+02    0.5235781918E+02    0.3726482748E+01
        31    0.4298803333E+02    0.3172431197E+02    0.3500342148E+01
