Predictions (y,pred,y-pred) by the model of dimension:     1
    0.9851213333E+02    0.8200943309E+02    0.1650270025E+02
    0.5078230000E+02    0.4663194389E+02    0.4150356113E+01
    0.4755836667E+02    0.5185533486E+02   -0.4296968193E+01
    0.6976280000E+02    0.5627388930E+02    0.1348891070E+02
    0.1298107667E+03    0.1195878351E+03    0.1022293159E+02
    0.1119227000E+03    0.9168487778E+02    0.2023782222E+02
    0.7535336667E+02    0.8077987886E+02   -0.5426512195E+01
    0.1040530000E+03    0.1069607660E+03   -0.2907765992E+01
    0.1408233333E+02    0.2442084187E+02   -0.1033850854E+02
    0.2335330000E+02    0.2732078139E+02   -0.3967481385E+01
    0.3871113333E+02    0.3303032698E+02    0.5680806357E+01
    0.1596020000E+02    0.2048965679E+02   -0.4529456788E+01
    0.1194016667E+02    0.1640118679E+02   -0.4461020127E+01
    0.5977913333E+02    0.4679734632E+02    0.1298178702E+02
    0.2911583333E+02    0.4807186939E+02   -0.1895603606E+02
    0.8876800000E+02    0.8721488449E+02    0.1553115513E+01
    0.6873096667E+02    0.6592619779E+02    0.2804768877E+01
Prediction RMSE and MaxAE:        10.2193876766       20.2378222230
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.9851213333E+02    0.9227454383E+02    0.6237589504E+01
    0.5078230000E+02    0.5429961120E+02   -0.3517311202E+01
    0.4755836667E+02    0.6041227367E+02   -0.1285390700E+02
    0.6976280000E+02    0.6543588209E+02    0.4326917912E+01
    0.1298107667E+03    0.1252918906E+03    0.4518876089E+01
    0.1119227000E+03    0.1014096921E+03    0.1051300792E+02
    0.7535336667E+02    0.7396988047E+02    0.1383486201E+01
    0.1040530000E+03    0.1149083343E+03   -0.1085533427E+02
    0.1408233333E+02    0.2598324481E+02   -0.1190091148E+02
    0.2335330000E+02    0.2991079091E+02   -0.6557490910E+01
    0.3871113333E+02    0.3743250150E+02    0.1278631833E+01
    0.1596020000E+02    0.2053896206E+02   -0.4578762055E+01
    0.1194016667E+02    0.1472490558E+02   -0.2784738917E+01
    0.5977913333E+02    0.5449614752E+02    0.5282985817E+01
    0.2911583333E+02    0.3889502923E+02   -0.9779195895E+01
    0.8876800000E+02    0.8013981311E+02    0.8628186892E+01
    0.6873096667E+02    0.5885772328E+02    0.9873243386E+01
Prediction RMSE and MaxAE:         7.6557410458       12.8539070025
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.9851213333E+02    0.9452377151E+02    0.3988361819E+01
    0.5078230000E+02    0.5328005751E+02   -0.2497757508E+01
    0.4755836667E+02    0.6100369761E+02   -0.1344533095E+02
    0.6976280000E+02    0.6582664377E+02    0.3936156231E+01
    0.1298107667E+03    0.1345947135E+03   -0.4783946871E+01
    0.1119227000E+03    0.1047169937E+03    0.7205706323E+01
    0.7535336667E+02    0.7046692630E+02    0.4886440371E+01
    0.1040530000E+03    0.1020016785E+03    0.2051321480E+01
    0.1408233333E+02    0.2992283566E+02   -0.1584050233E+02
    0.2335330000E+02    0.3315230137E+02   -0.9799001369E+01
    0.3871113333E+02    0.3955466660E+02   -0.8435332687E+00
    0.1596020000E+02    0.2408556784E+02   -0.8125367843E+01
    0.1194016667E+02    0.1663078329E+02   -0.4690616625E+01
    0.5977913333E+02    0.5430323941E+02    0.5475893924E+01
    0.2911583333E+02    0.3623156798E+02   -0.7115734648E+01
    0.8876800000E+02    0.8006965183E+02    0.8698348171E+01
    0.6873096667E+02    0.5447343454E+02    0.1425753212E+02
Prediction RMSE and MaxAE:         8.1042624856       15.8405023275
