     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1129134333E+03    0.1004945124E+03    0.2393887565E+00    0.4484155086E-07
         2    0.5741510000E+02    0.5415139884E+02    0.2715328566E+00    0.1386172536E-05
         3    0.6408266667E+02    0.6866803926E+02    0.2614639486E+00    0.1386172536E-05
         4    0.9851213333E+02    0.9075197633E+02    0.2461462770E+00    0.1386172536E-05
         5    0.9577526667E+02    0.8669193767E+02    0.2489623663E+00    0.1386172536E-05
         6    0.5629570000E+02    0.5502923989E+02    0.2709239760E+00    0.1386172536E-05
         7    0.6416440000E+02    0.6914656668E+02    0.2611320365E+00    0.1386172536E-05
         8    0.4909853333E+02    0.4243628871E+02    0.2796586052E+00    0.4484155086E-07
         9    0.5078230000E+02    0.5259965858E+02    0.2726091755E+00    0.4484155086E-07
        10    0.3941803333E+02    0.3202450608E+02    0.2868803373E+00    0.1010208374E-08
        11    0.4091123333E+02    0.3707001795E+02    0.2833807125E+00    0.1010208374E-08
        12    0.1317270667E+03    0.1205734791E+03    0.2254617558E+00    0.1010208374E-08
        13    0.1236949333E+03    0.1114313379E+03    0.2317170413E+00    0.8171276545E-02
        14    0.1185663333E+03    0.1079870202E+03    0.2341918673E+00    0.4484155086E-07
        15    0.5631520000E+02    0.6560730042E+02    0.2635869121E+00    0.1386172536E-05
        16    0.6653600000E+02    0.7806902796E+02    0.2549433152E+00    0.1386172536E-05
        17    0.6544593333E+02    0.6401765884E+02    0.2646895057E+00    0.1386172536E-05
        18    0.7081320000E+02    0.7746009237E+02    0.2553656799E+00    0.1386172536E-05
        19    0.9909350000E+02    0.1021182917E+03    0.2382624705E+00    0.1386172536E-05
        20    0.9879613333E+02    0.9845757174E+02    0.2408015878E+00    0.1386172536E-05
        21    0.5754726667E+02    0.6990752413E+02    0.2606042277E+00    0.1386172536E-05
        22    0.3968340000E+02    0.3314248015E+02    0.2861048977E+00    0.0000000000E+00
        23    0.6419260000E+02    0.8194636578E+02    0.2522539493E+00    0.1386172536E-05
        24    0.4755836667E+02    0.5874087352E+02    0.2683495585E+00    0.4484155086E-07
        25    0.4298803333E+02    0.3374590113E+02    0.2856863580E+00    0.0000000000E+00
        26    0.5702396667E+02    0.6714661395E+02    0.2625192407E+00    0.4484155086E-07
        27    0.6448746667E+02    0.6914656668E+02    0.2611320365E+00    0.1386172536E-05
        28    0.6892443333E+02    0.8177883538E+02    0.2523701503E+00    0.1386172536E-05
        29    0.5462010000E+02    0.5739009767E+02    0.2692864721E+00    0.4484155086E-07
        30    0.6024150000E+02    0.6644698060E+02    0.2630045144E+00    0.4484155086E-07
        31    0.6916680000E+02    0.7488000139E+02    0.2570694668E+00    0.8171276545E-02
        32    0.6074053333E+02    0.5980646804E+02    0.2676104504E+00    0.1010208374E-08
        33    0.5625880000E+02    0.4776661476E+02    0.2759614305E+00    0.0000000000E+00
        34    0.6976280000E+02    0.6378794745E+02    0.2648488507E+00    0.1010208374E-08
        35    0.6109540000E+02    0.5969453362E+02    0.2676880894E+00    0.1010208374E-08
        36    0.6641613333E+02    0.6376587126E+02    0.2648641630E+00    0.1010208374E-08
        37    0.1171394000E+03    0.1059821585E+03    0.2355824628E+00    0.1010208374E-08
        38    0.1298107667E+03    0.1239235456E+03    0.2231381113E+00    0.1010208374E-08
        39    0.4263683333E+02    0.3773397701E+02    0.2829201829E+00    0.1010208374E-08
        40    0.3551316667E+02    0.2443820688E+02    0.2921422813E+00    0.0000000000E+00
        41    0.4331223333E+02    0.4246564645E+02    0.2796382428E+00    0.1010208374E-08
        42    0.1270568667E+03    0.1148666465E+03    0.2293342719E+00    0.8171276545E-02
        43    0.4623996667E+02    0.3239746187E+02    0.2866216509E+00    0.1010208374E-08
        44    0.4979963333E+02    0.3801143364E+02    0.2827277358E+00    0.1010208374E-08
        45    0.1048403333E+03    0.9186722343E+02    0.2452869351E+00    0.8171276545E-02
        46    0.1119227000E+03    0.9992979252E+02    0.2397804527E+00    0.4484155086E-07
        47    0.9410970000E+02    0.8972023486E+02    0.2468619047E+00    0.1386172536E-05
        48    0.9391083333E+02    0.8533129693E+02    0.2499061223E+00    0.1386172536E-05
        49    0.5990580000E+02    0.4457428827E+02    0.2780898564E+00    0.8171276545E-02
        50    0.1511233333E+02    0.1518648652E+02    0.2880581689E+00    0.1000000000E+01
        51    0.1506720000E+02    0.2503294942E+02    0.2812285495E+00    0.1000000000E+01
        52    0.2607280000E+02    0.2981551710E+02    0.2779113058E+00    0.1000000000E+01
        53    0.3288510000E+02    0.3450784766E+02    0.2746566516E+00    0.1000000000E+01
        54    0.5040940000E+02    0.4363182378E+02    0.2683281573E+00    0.1000000000E+01
        55    0.6252836667E+02    0.5242401890E+02    0.2622297901E+00    0.1000000000E+01
        56    0.6859230000E+02    0.6090220709E+02    0.2563492217E+00    0.1000000000E+01
        57    0.7457800000E+02    0.6908291490E+02    0.2506749891E+00    0.1000000000E+01
        58    0.7547360000E+02    0.7306656396E+02    0.2479118845E+00    0.1000000000E+01
        59    0.7601236667E+02    0.7698152947E+02    0.2451964196E+00    0.1000000000E+01
        60    0.7978300000E+02    0.8461239428E+02    0.2399035644E+00    0.1000000000E+01
        61    0.5943460000E+02    0.4712455822E+02    0.2659055567E+00    0.1000000000E+01
        62    0.5415630000E+02    0.5311147251E+02    0.2617529644E+00    0.1000000000E+01
        63    0.5238350000E+02    0.5600009265E+02    0.2597493844E+00    0.1000000000E+01
        64    0.4609493333E+02    0.5882106425E+02    0.2577927262E+00    0.1000000000E+01
        65    0.5043943333E+02    0.6426636018E+02    0.2540158066E+00    0.1000000000E+01
        66    0.7535336667E+02    0.7441076222E+02    0.2469795332E+00    0.1000000000E+01
        67    0.7547280000E+02    0.7913075827E+02    0.2437056899E+00    0.1000000000E+01
        68    0.7631323333E+02    0.8140682955E+02    0.2421269808E+00    0.1000000000E+01
        69    0.7808313333E+02    0.8362838039E+02    0.2405860877E+00    0.1000000000E+01
