     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1129134333E+03    0.1094360857E+03    0.4382842978E+04    0.2418957078E-01    0.2589714255E+01
         2    0.5741510000E+02    0.5500664076E+02    0.3127219216E+04    0.3779538037E-01    0.6861936464E+00
         3    0.9851213333E+02    0.9549585069E+02    0.4097549363E+04    0.4481463636E-01    0.2614988210E+01
         4    0.9577526667E+02    0.9146508917E+02    0.4002817752E+04    0.4404497858E-01    0.2494598167E+01
         5    0.5629570000E+02    0.5773563765E+02    0.3203394189E+04    0.4229135950E-01    0.1019080638E+01
         6    0.6416440000E+02    0.6879242964E+02    0.3450838085E+04    0.4384277768E-01    0.9218667055E+00
         7    0.4909853333E+02    0.4600949692E+02    0.2909965815E+04    0.2250194907E-01    0.8504307575E+00
         8    0.5078230000E+02    0.5295524382E+02    0.3062848409E+04    0.2294323244E-01    0.7211199823E+00
         9    0.4487846667E+02    0.4449325034E+02    0.3164315547E+04    0.2089382977E+00    0.2537636978E+01
        10    0.3941803333E+02    0.4144041907E+02    0.2834468697E+04    0.1527633386E-01    0.2182100930E+01
        11    0.4091123333E+02    0.4502841377E+02    0.2903445500E+04    0.1522723098E-01    0.1762779784E+01
        12    0.1155721667E+03    0.1141055894E+03    0.4464857210E+04    0.1180518812E-01    0.2345899455E+01
        13    0.1317270667E+03    0.1373664169E+03    0.5005856527E+04    0.1295961548E-01    0.2989101575E+01
        14    0.4379320000E+02    0.2938045540E+02    0.2503435388E+04    0.8532711586E-02    0.2920494808E+00
        15    0.4094110000E+02    0.3258589551E+02    0.2573673677E+04    0.8571497837E-02    0.2286302655E+00
        16    0.1067330000E+03    0.8731224280E+02    0.4031530730E+04    0.1724859059E+00    0.8489839028E+00
        17    0.1236949333E+03    0.1134611203E+03    0.4642400937E+04    0.1893915359E+00    0.9291061216E+00
        18    0.5631520000E+02    0.6685899793E+02    0.3395640409E+04    0.4283760858E-01    0.5374527703E+00
        19    0.4281686667E+02    0.3216477729E+02    0.2571975819E+04    0.0000000000E+00    0.9194541903E+00
        20    0.6653600000E+02    0.7731731967E+02    0.3632558092E+04    0.4456088008E-01    0.5382089334E+00
        21    0.6544593333E+02    0.6120340441E+02    0.3243382364E+04    0.3267892029E-01    0.9264403412E-01
        22    0.7081320000E+02    0.7195757550E+02    0.3487366270E+04    0.3475376636E-01    0.9235106492E-01
        23    0.9909350000E+02    0.1083344301E+03    0.4306476890E+04    0.3536716024E-01    0.1695328671E+00
        24    0.9879613333E+02    0.1042507726E+03    0.4213427617E+04    0.3450453603E-01    0.1585003798E+00
        25    0.5754726667E+02    0.7093104427E+02    0.3470769776E+04    0.3621250516E-01    0.2584318601E+00
        26    0.6419260000E+02    0.8135423870E+02    0.3707190545E+04    0.3802874308E-01    0.2654225451E+00
        27    0.4755836667E+02    0.6092500579E+02    0.3230032952E+04    0.2165384769E-01    0.3567937110E+00
        28    0.6448746667E+02    0.6812733231E+02    0.3395253222E+04    0.3054979599E-01    0.6638605695E-01
        29    0.5462010000E+02    0.5541336778E+02    0.3090224300E+04    0.1567812461E-01    0.5039818316E-01
        30    0.6024150000E+02    0.6205589459E+02    0.3240098785E+04    0.1638179360E-01    0.4743273847E-01
        31    0.6916680000E+02    0.7177302299E+02    0.3546014869E+04    0.8470493407E-01    0.1507157066E-01
        32    0.6074053333E+02    0.6061999641E+02    0.3194332418E+04    0.6190004631E-02    0.3623628085E-01
        33    0.5625880000E+02    0.4929817999E+02    0.2933193688E+04    0.0000000000E+00    0.7049168016E-01
        34    0.6976280000E+02    0.6352972781E+02    0.3259675350E+04    0.6300965567E-02    0.3301201431E-01
        35    0.6109540000E+02    0.6078194498E+02    0.3196498741E+04    0.5583414988E-02    0.1139347312E-01
        36    0.6641613333E+02    0.6375826555E+02    0.3263439741E+04    0.5729531575E-02    0.1030149000E-01
        37    0.1171394000E+03    0.1181594997E+03    0.4508168960E+04    0.1283439475E-01    0.5542946313E+00
        38    0.1298107667E+03    0.1416522248E+03    0.5041465532E+04    0.1412826460E-01    0.7188400473E+00
        39    0.4263683333E+02    0.4336303955E+02    0.2870758045E+04    0.1612714930E-01    0.1891156624E+01
        40    0.3551316667E+02    0.2930188060E+02    0.2629524758E+04    0.0000000000E+00    0.5373698798E+01
        41    0.4331223333E+02    0.4663839643E+02    0.2937006013E+04    0.1609866776E-01    0.1627612884E+01
        42    0.1050881333E+03    0.8938796217E+02    0.4080491633E+04    0.1828315432E+00    0.4446443843E+00
        43    0.3710063333E+02    0.2198656414E+02    0.2328937970E+04    0.0000000000E+00    0.3830928622E+00
        44    0.1270568667E+03    0.1144352189E+03    0.4668499387E+04    0.2007597549E+00    0.5440208116E+00
        45    0.4979963333E+02    0.3433241551E+02    0.2608763696E+04    0.8871500624E-02    0.6451203443E-01
        46    0.1048403333E+03    0.8937793753E+02    0.4075780141E+04    0.1833257550E+00    0.2570638471E+00
        47    0.1283589667E+03    0.1150151686E+03    0.4677806579E+04    0.2029972837E+00    0.3021652511E+00
        48    0.1119227000E+03    0.1070795457E+03    0.4288958315E+04    0.2236553984E-01    0.1176471331E+01
        49    0.9410970000E+02    0.9033896476E+02    0.3922135155E+04    0.3714587092E-01    0.7956643024E+00
        50    0.9391083333E+02    0.8608019366E+02    0.3824647082E+04    0.3631761737E-01    0.7643563277E+00
        51    0.1167444000E+03    0.1146787196E+03    0.4459082808E+04    0.1213181427E-01    0.1648846294E+01
        52    0.1322718667E+03    0.1389700746E+03    0.5012752317E+04    0.1337413076E-01    0.1905585956E+01
        53    0.1511233333E+02    0.1317849760E+02    0.2825793065E+04    0.4884219175E+00    0.2572837922E+01
        54    0.1506720000E+02    0.2205166530E+02    0.2995296766E+04    0.4714813175E+00    0.2295740074E+01
        55    0.2607280000E+02    0.2658725345E+02    0.3082533016E+04    0.4630110175E+00    0.2166810164E+01
        56    0.3288510000E+02    0.3119018551E+02    0.3171446835E+04    0.4545407175E+00    0.2043971556E+01
        57    0.5040940000E+02    0.4060205439E+02    0.3354371088E+04    0.4376001175E+00    0.1815645223E+01
        58    0.6252836667E+02    0.5029513702E+02    0.3544197339E+04    0.4206595175E+00    0.1608981404E+01
        59    0.6859230000E+02    0.6027717261E+02    0.3741053402E+04    0.4037189175E+00    0.1422303743E+01
        60    0.7457800000E+02    0.7055577958E+02    0.3945067094E+04    0.3867783175E+00    0.1254035119E+01
        61    0.7547360000E+02    0.7580864613E+02    0.4049797992E+04    0.3783080175E+00    0.1176337495E+01
        62    0.7601236667E+02    0.8113846008E+02    0.4156366228E+04    0.3698377175E+00    0.1102693651E+01
        63    0.7978300000E+02    0.9203260512E+02    0.4375078619E+04    0.3528971175E+00    0.9668887828E+00
        64    0.5943460000E+02    0.5535882093E+02    0.3248632317E+04    0.1395009346E+00    0.4563115354E-02
        65    0.5415630000E+02    0.5897041078E+02    0.3385135403E+04    0.1821009346E+00    0.8855397851E-02
        66    0.4609493333E+02    0.6261301322E+02    0.3522414700E+04    0.2247009346E+00    0.1608711507E-01
        67    0.5043943333E+02    0.6627378784E+02    0.3660221155E+04    0.2673009346E+00    0.2768660644E-01
        68    0.6211446667E+02    0.6993888094E+02    0.3798295757E+04    0.3099009346E+00    0.4554955662E-01
        69    0.7535336667E+02    0.7359331248E+02    0.3936369528E+04    0.3525009346E+00    0.7213143449E-01
        70    0.7547280000E+02    0.7722085359E+02    0.4074163531E+04    0.3951009346E+00    0.1105482910E+00
        71    0.7631323333E+02    0.7901909470E+02    0.4142865728E+04    0.4164009346E+00    0.1353759215E+00
        72    0.7808313333E+02    0.8080389347E+02    0.4211388867E+04    0.4377009346E+00    0.1646859162E+00
        73    0.1068950000E+02    0.1231094838E+02    0.2415593093E+04    0.2388161037E+00    0.1436488369E+00
        74    0.2761040000E+02    0.2021340360E+02    0.2622942170E+04    0.2611161037E+00    0.1825447339E+00
        75    0.2953980000E+02    0.2437713837E+02    0.2731468738E+04    0.2722661037E+00    0.2050617861E+00
        76    0.3218210000E+02    0.2868620295E+02    0.2843318158E+04    0.2834161037E+00    0.2298473309E+00
        77    0.4136713333E+02    0.3775140093E+02    0.3077254037E+04    0.3057161037E+00    0.2869513668E+00
        78    0.4472750000E+02    0.4743132382E+02    0.3325293446E+04    0.3280161037E+00    0.3554183718E+00
        79    0.6125163333E+02    0.5774855415E+02    0.3587990684E+04    0.3503161037E+00    0.4369894659E+00
        80    0.6651516667E+02    0.6872591458E+02    0.3865910710E+04    0.3726161037E+00    0.5335986310E+00
        81    0.6935780000E+02    0.7446933719E+02    0.4010758733E+04    0.3837661037E+00    0.5882029679E+00
        82    0.7244110000E+02    0.8038645102E+02    0.4159629142E+04    0.3949161037E+00    0.6473864554E+00
        83    0.7973906667E+02    0.9275341535E+02    0.4469732257E+04    0.4172161037E+00    0.7807143526E+00
        84    0.1244658000E+03    0.1226025436E+03    0.5537238670E+04    0.0000000000E+00    0.3515593639E+02
        85    0.1227551333E+03    0.1205421573E+03    0.5443387167E+04    0.0000000000E+00    0.3341418852E+02
        86    0.1222562000E+03    0.1194786418E+03    0.5396461415E+04    0.0000000000E+00    0.3257066022E+02
        87    0.1211050000E+03    0.1183934110E+03    0.5349535664E+04    0.0000000000E+00    0.3174495253E+02
        88    0.1179466667E+03    0.1161592723E+03    0.5255684161E+04    0.0000000000E+00    0.3014579302E+02
        89    0.1137695667E+03    0.1138426337E+03    0.5161832658E+04    0.0000000000E+00    0.2861433644E+02
