     Index       y_measurement           y_fitting        descriptor_1
         1    0.4311771491E+00    0.3908619498E+00    0.1569444912E+02
         2    0.2780862305E+00    0.2802276864E+00    0.1633032861E+02
         3    0.2863966357E+00    0.2817097271E+00    0.1632181046E+02
         4    0.4041564535E+00    0.3548219762E+00    0.1590159182E+02
         5    0.4080844591E+00    0.3542832175E+00    0.1590468838E+02
         6    0.2714353627E+00    0.2782188016E+00    0.1634187484E+02
         7    0.2872237083E+00    0.2797902173E+00    0.1633284300E+02
         8    0.2527832565E+00    0.2380185898E+00    0.1657292885E+02
         9    0.2511563255E+00    0.2390511301E+00    0.1656699424E+02
        10    0.2186514932E+00    0.2355468982E+00    0.1658713510E+02
        11    0.2151500840E+00    0.1917131027E+00    0.1683907343E+02
        12    0.2188755888E+00    0.1923137779E+00    0.1683562100E+02
        13    0.4440869345E+00    0.4244680529E+00    0.1550129529E+02
        14    0.4565628182E+00    0.4269529083E+00    0.1548701338E+02
        15    0.2267002756E+00    0.2018904070E+00    0.1678057854E+02
        16    0.2092739035E+00    0.2023377812E+00    0.1677800722E+02
        17    0.4412176146E+00    0.3909765528E+00    0.1569379043E+02
        18    0.4373163477E+00    0.3939099046E+00    0.1567693075E+02
        19    0.4371113264E+00    0.4212839886E+00    0.1551959596E+02
        20    0.2680617680E+00    0.3083952137E+00    0.1616843344E+02
        21    0.2364462509E+00    0.1803746179E+00    0.1690424230E+02
        22    0.2877592344E+00    0.3101890255E+00    0.1615812336E+02
        23    0.3052002036E+00    0.3112748665E+00    0.1615188240E+02
        24    0.3162345360E+00    0.3128005515E+00    0.1614311340E+02
        25    0.3810698261E+00    0.4013629380E+00    0.1563409383E+02
        26    0.3893930302E+00    0.4008029304E+00    0.1563731252E+02
        27    0.2746515510E+00    0.3245304653E+00    0.1607569476E+02
        28    0.2119213688E+00    0.1969469333E+00    0.1680899156E+02
        29    0.2796253592E+00    0.3263460984E+00    0.1606525926E+02
        30    0.2320546000E+00    0.2843136186E+00    0.1630684438E+02
        31    0.2307039824E+00    0.1965406842E+00    0.1681132651E+02
        32    0.2694453323E+00    0.2855717112E+00    0.1629961339E+02
        33    0.3046928854E+00    0.3270381146E+00    0.1606128184E+02
        34    0.2681246117E+00    0.2855910393E+00    0.1629950230E+02
        35    0.2821058033E+00    0.2866678452E+00    0.1629331327E+02
        36    0.3155324828E+00    0.3344581081E+00    0.1601863482E+02
        37    0.3001533759E+00    0.2926739902E+00    0.1625879246E+02
        38    0.2820478834E+00    0.2478551160E+00    0.1651639261E+02
        39    0.3337535518E+00    0.2933502415E+00    0.1625490565E+02
        40    0.3033097908E+00    0.2914707259E+00    0.1626570832E+02
        41    0.3195628020E+00    0.2921163191E+00    0.1626199772E+02
        42    0.4433412280E+00    0.4393741145E+00    0.1541562148E+02
        43    0.4489842999E+00    0.4418935131E+00    0.1540114103E+02
        44    0.2294035237E+00    0.2084934882E+00    0.1674262679E+02
        45    0.2315906063E+00    0.2091323098E+00    0.1673895511E+02
        46    0.4269733901E+00    0.4044986063E+00    0.1561607132E+02
        47    0.2011678056E+00    0.1703749918E+00    0.1696171597E+02
        48    0.4469048804E+00    0.4076457785E+00    0.1559798269E+02
        49    0.2339656649E+00    0.2174675299E+00    0.1669104775E+02
        50    0.2431243250E+00    0.2179223908E+00    0.1668843340E+02
        51    0.4234910986E+00    0.4059705662E+00    0.1560761111E+02
        52    0.4522062284E+00    0.4089458783E+00    0.1559051026E+02
        53    0.4210826770E+00    0.3946425658E+00    0.1567271972E+02
        54    0.3691071406E+00    0.3605196854E+00    0.1586884377E+02
