Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2527832565E+00    0.2382583478E+00    0.1452490870E-01
    0.3052002036E+00    0.3110031149E+00   -0.5802911263E-02
    0.2746515510E+00    0.3241661571E+00   -0.4951460605E-01
    0.3033097908E+00    0.2913372576E+00    0.1197253320E-01
    0.3195628020E+00    0.2919783418E+00    0.2758446021E-01
    0.2315906063E+00    0.2095737664E+00    0.2201683990E-01
    0.4469048804E+00    0.4067011200E+00    0.4020376038E-01
    0.4234910986E+00    0.4050376048E+00    0.1845349387E-01
    0.1426577999E+00    0.1834168480E+00   -0.4075904810E-01
    0.3855424304E+00    0.3452916432E+00    0.4025078722E-01
    0.2595940232E+00    0.3426664886E+00   -0.8307246543E-01
    0.2335975515E+00    0.2532308187E+00   -0.1963326725E-01
    0.4103677372E+00    0.3915818038E+00    0.1878593333E-01
    0.3660323783E+00    0.3974148883E+00   -0.3138250995E-01
    0.1592238765E+00    0.1983202020E+00   -0.3909632550E-01
    0.2102269710E+00    0.2318292630E+00   -0.2160229200E-01
    0.4122722955E+00    0.3951653628E+00    0.1710693266E-01
Prediction RMSE and MaxAE:         0.0345012614        0.0830724654
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2527832565E+00    0.2251398726E+00    0.2764338391E-01
    0.3052002036E+00    0.2987685697E+00    0.6431633947E-02
    0.2746515510E+00    0.3151169517E+00   -0.4046540067E-01
    0.3033097908E+00    0.2904860968E+00    0.1282369397E-01
    0.3195628020E+00    0.2872523754E+00    0.3231042665E-01
    0.2315906063E+00    0.2219820187E+00    0.9608587632E-02
    0.4469048804E+00    0.4108039348E+00    0.3610094560E-01
    0.4234910986E+00    0.3961553238E+00    0.2733577489E-01
    0.1426577999E+00    0.1874618299E+00   -0.4480403000E-01
    0.3855424304E+00    0.3413860109E+00    0.4415641951E-01
    0.2595940232E+00    0.3248471565E+00   -0.6525313332E-01
    0.2335975515E+00    0.2644422823E+00   -0.3084473078E-01
    0.4103677372E+00    0.4058505912E+00    0.4517145918E-02
    0.3660323783E+00    0.3803721090E+00   -0.1433973068E-01
    0.1592238765E+00    0.1753677604E+00   -0.1614388392E-01
    0.2102269710E+00    0.2185788315E+00   -0.8351860521E-02
    0.4122722955E+00    0.4053366409E+00    0.6935654517E-02
Prediction RMSE and MaxAE:         0.0302589836        0.0652531333
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2527832565E+00    0.2400241342E+00    0.1275912229E-01
    0.3052002036E+00    0.2936077402E+00    0.1159246344E-01
    0.2746515510E+00    0.3214151773E+00   -0.4676362623E-01
    0.3033097908E+00    0.2840373757E+00    0.1927241509E-01
    0.3195628020E+00    0.2897668037E+00    0.2979599837E-01
    0.2315906063E+00    0.2022825953E+00    0.2930801097E-01
    0.4469048804E+00    0.4348335439E+00    0.1207133647E-01
    0.4234910986E+00    0.3785461784E+00    0.4494492027E-01
    0.1426577999E+00    0.1488385109E+00   -0.6180710978E-02
    0.3855424304E+00    0.3498491792E+00    0.3569325121E-01
    0.2595940232E+00    0.3060331484E+00   -0.4643912519E-01
    0.2335975515E+00    0.2569078626E+00   -0.2331031113E-01
    0.4103677372E+00    0.4338213979E+00   -0.2345366070E-01
    0.3660323783E+00    0.3820237101E+00   -0.1599133181E-01
    0.1592238765E+00    0.1820980916E+00   -0.2287421514E-01
    0.2102269710E+00    0.2201727846E+00   -0.9945813589E-02
    0.4122722955E+00    0.4128953168E+00   -0.6230213452E-03
Prediction RMSE and MaxAE:         0.0267982369        0.0467636262
