     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2780862305E+00    0.2690519187E+00    0.2776342656E-02    0.1220940378E+02
         2    0.2863966357E+00    0.2856694182E+00    0.2963224183E-02    0.8948822975E+01
         3    0.4041564535E+00    0.3634996773E+00    0.2544681672E-02    0.7700118678E+01
         4    0.4080844591E+00    0.3609359208E+00    0.2499879069E-02    0.8376252235E+01
         5    0.2714353627E+00    0.2688103576E+00    0.2766797646E-02    0.1233080840E+02
         6    0.2872237083E+00    0.2850544844E+00    0.2954057069E-02    0.9093883728E+01
         7    0.2527832565E+00    0.2260390307E+00    0.2940341033E-02    0.1362900476E+02
         8    0.2511563255E+00    0.2414482819E+00    0.3088064184E-02    0.1088263328E+02
         9    0.2186514932E+00    0.2353078134E+00    0.2981381201E-02    0.1249528182E+02
        10    0.2151500840E+00    0.1840275875E+00    0.3062698064E-02    0.1542548507E+02
        11    0.2188755888E+00    0.1940676042E+00    0.3150857089E-02    0.1372375825E+02
        12    0.4440869345E+00    0.4305907378E+00    0.2103940809E-02    0.7490219549E+01
        13    0.4565628182E+00    0.4386955232E+00    0.2265224730E-02    0.5139796659E+01
        14    0.2267002756E+00    0.1816094317E+00    0.3128939566E-02    0.1488728661E+02
        15    0.2092739035E+00    0.1941416618E+00    0.3216129066E-02    0.1301082789E+02
        16    0.4412176146E+00    0.3892709588E+00    0.2243708407E-02    0.9046592359E+01
        17    0.4373163477E+00    0.4032681358E+00    0.2471282202E-02    0.5539745405E+01
        18    0.4371113264E+00    0.4156040957E+00    0.2315627736E-02    0.6309848217E+01
        19    0.2680617680E+00    0.3023966788E+00    0.2683239594E-02    0.1074003727E+02
        20    0.2364462509E+00    0.1958123464E+00    0.3108705069E-02    0.1405092497E+02
        21    0.2877592344E+00    0.3059584767E+00    0.2873839283E-02    0.8409554845E+01
        22    0.3052002036E+00    0.3046567078E+00    0.2712334467E-02    0.1025672133E+02
        23    0.3810698261E+00    0.3875892468E+00    0.2477267314E-02    0.6640248984E+01
        24    0.2746515510E+00    0.3162775349E+00    0.2650696110E-02    0.1006101975E+02
        25    0.2119213688E+00    0.2177210984E+00    0.3055398249E-02    0.1300025050E+02
        26    0.2796253592E+00    0.3156664119E+00    0.2842612470E-02    0.8026429418E+01
        27    0.2320546000E+00    0.2814498366E+00    0.2792192781E-02    0.1111611321E+02
        28    0.2307039824E+00    0.2173951311E+00    0.3039323616E-02    0.1319869768E+02
        29    0.2694453323E+00    0.2813659192E+00    0.2944085249E-02    0.9476121007E+01
        30    0.3020090589E+00    0.3179485632E+00    0.2670249631E-02    0.9724893068E+01
        31    0.3046928854E+00    0.3169712903E+00    0.2861373814E-02    0.7726103413E+01
        32    0.2681246117E+00    0.2836106840E+00    0.2826753949E-02    0.1058092479E+02
        33    0.2821058033E+00    0.2832688075E+00    0.2977663512E-02    0.8970758860E+01
        34    0.3155324828E+00    0.3177008277E+00    0.2753522610E-02    0.8840783639E+01
        35    0.3001533759E+00    0.2934414371E+00    0.2776132714E-02    0.1039886980E+02
        36    0.2820478834E+00    0.2699313590E+00    0.2859924353E-02    0.1123816839E+02
        37    0.3337535518E+00    0.2891054784E+00    0.2868610742E-02    0.9718861883E+01
