     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2780862305E+00    0.2808213279E+00    0.1633032861E+02    0.5144946313E-01    0.1078361676E+03
         2    0.2863966357E+00    0.2900719591E+00    0.1632181046E+02    0.3997902565E-01    0.4217072822E+02
         3    0.4041564535E+00    0.3855049369E+00    0.1590159182E+02    0.1522143266E-01    0.1608469942E+03
         4    0.4080844591E+00    0.3846818816E+00    0.1590468838E+02    0.1673957439E-01    0.8962692604E+02
         5    0.2714353627E+00    0.2780947371E+00    0.1634187484E+02    0.5310546924E-01    0.5490820899E+02
         6    0.2872237083E+00    0.2892443503E+00    0.1633284300E+02    0.3721936788E-01    0.7870814263E+02
         7    0.2527832565E+00    0.2339148810E+00    0.1657292885E+02    0.5118691763E-01    0.1039793567E+03
         8    0.2511563255E+00    0.2431490867E+00    0.1656699424E+02    0.3817034425E-01    0.8440677192E+02
         9    0.2186514932E+00    0.2500812674E+00    0.1658713510E+02    0.2086681977E-01    0.4828693921E+02
        10    0.2151500840E+00    0.1809736637E+00    0.1683907343E+02    0.5453673415E-01    0.2606228185E+02
        11    0.2188755888E+00    0.1902467710E+00    0.1683562100E+02    0.3132936109E-01    0.5833007148E+03
        12    0.4440869345E+00    0.4636495350E+00    0.1550129529E+02    0.1628766457E-01    0.5182620790E+02
        13    0.4565628182E+00    0.4608715666E+00    0.1548701338E+02    0.1001992080E-01    0.1005321044E+04
        14    0.2267002756E+00    0.1899760622E+00    0.1678057854E+02    0.4611807926E-01    0.7866002452E+03
        15    0.2092739035E+00    0.1995458271E+00    0.1677800722E+02    0.4342443843E-01    0.2812376559E+02
        16    0.4412176146E+00    0.4050155874E+00    0.1569379043E+02    0.5168370742E-01    0.3180176317E+02
        17    0.4373163477E+00    0.4167383019E+00    0.1567693075E+02    0.3793900331E-01    0.1978219914E+02
        18    0.4371113264E+00    0.4411480528E+00    0.1551959596E+02    0.4757641106E-01    0.5004322789E+02
        19    0.2680617680E+00    0.3061836956E+00    0.1616843344E+02    0.6320930930E-01    0.5291947941E-01
        20    0.2364462509E+00    0.2010672041E+00    0.1690424230E+02    0.0000000000E+00    0.5774785731E+02
        21    0.2877592344E+00    0.3262729572E+00    0.1615812336E+02    0.3269625844E-01    0.4166526209E+02
        22    0.3052002036E+00    0.3191743584E+00    0.1615188240E+02    0.4576941037E-01    0.8103290619E+02
        23    0.3810698261E+00    0.4139279709E+00    0.1563409383E+02    0.5591470502E-01    0.4339873586E+02
        24    0.2746515510E+00    0.3227680756E+00    0.1607569476E+02    0.6555505661E-01    0.4698479449E-01
        25    0.2119213688E+00    0.2195942079E+00    0.1680899156E+02    0.0000000000E+00    0.5437627119E+02
        26    0.2796253592E+00    0.3427678830E+00    0.1606525926E+02    0.3530948232E-01    0.3673129690E+02
        27    0.2320546000E+00    0.2834688583E+00    0.1630684438E+02    0.5634790447E-01    0.4587694379E-01
        28    0.2307039824E+00    0.2194182103E+00    0.1681132651E+02    0.0000000000E+00    0.2609233009E+02
        29    0.2694453323E+00    0.2996094991E+00    0.1629961339E+02    0.3170251419E-01    0.2066086546E+02
        30    0.3020090589E+00    0.3334524362E+00    0.1607068996E+02    0.4894691632E-01    0.3618857147E+02
        31    0.3046928854E+00    0.3337856299E+00    0.1606128184E+02    0.5123938425E-01    0.4678508486E+02
