,formula,C_11,C_12,C_13,C_14,C_15,C_16,C_21,C_22,C_23,C_24,C_25,C_26,C_31,C_32,C_33,C_34,C_35,C_36,C_41,C_42,C_43,C_44,C_45,C_46,C_51,C_52,C_53,C_54,C_55,C_56,C_61,C_62,C_63,C_64,C_65,C_66,K,G,E,v
0,Mo6Nb54,255.25650000000002,133.5777,155.4646,-0.047799999999999995,1.1854,0.0318,127.5133,265.4479,153.28900000000002,0.0741,-0.8968,0.004,154.1,142.2397,255.516,0.002,-3.1073,-0.0165,0.0417,-0.10200000000000001,0.3216,11.836400000000001,-0.3543,-2.4728000000000003,-2.7625,7.6349,-1.9164999999999999,-0.0001,12.8221,0.0298,0.0417,0.2722,0.0737,-2.5463999999999998,-0.4854,20.6785,184.54255555555554,26.326434970565753,75.3941185514172,0.43190900392915954
1,Mo12Nb48,280.6326,126.7633,157.2896,0.7541,0.2476,0.174,127.75460000000001,278.5398,149.1903,-0.7064,-0.1238,0.0076,152.99939999999998,146.4336,283.435,-0.7701,-0.25329999999999997,0.009600000000000001,0.46900000000000003,-0.24860000000000002,-0.6092,19.9296,-0.11950000000000001,0.21200000000000002,-0.2577,-0.5608,-0.12310000000000001,-0.1795,7.566,-0.3094,0.46959999999999996,-0.10369999999999999,0.2004,0.1722,-0.6721,17.706,189.89931111111113,29.110300541983495,83.08542093761521,0.4270794081597962
2,Mo15Nb45,297.7543,128.2763,151.7058,2.4962,-0.7333000000000001,-0.1467,130.71980000000002,290.19780000000003,147.3517,-1.4707000000000001,-0.1526,0.1035,148.6264,142.6382,314.3406,1.2712999999999999,-0.7967,0.13540000000000002,2.8493,-1.3804,1.1176,31.920499999999997,-0.16770000000000002,-1.2218,-0.767,-0.0841,-0.616,-0.08080000000000001,19.3708,2.4056,-0.15360000000000001,0.030699999999999998,0.3863,-0.9538,1.6600000000000001,26.927100000000003,195.21781111111113,41.46923459512048,116.18109594999615,0.4008107104497499
3,Mo18Nb42,314.4649,131.6688,147.1816,-0.4408,-0.7368,-1.512,134.4921,302.5028,148.65109999999999,0.41269999999999996,-0.5779,-0.7283999999999999,144.0923,143.1653,342.8816,-0.08349999999999999,-1.4722,-0.5353,-0.6351,0.8028000000000001,0.1133,38.4259,-1.4348,-1.666,-0.6748999999999999,-0.47919999999999996,-1.159,-1.4452,31.904899999999998,0.2464,-1.2866,-0.5176999999999999,-0.409,-1.7791000000000001,0.029599999999999998,28.3245,201.65025555555553,49.58492796793396,137.48573424735295,0.38636617901576376
4,Mo24Nb36,350.3211,142.8492,139.7224,11.6568,-0.1832,0.5485,147.4101,318.1377,148.08440000000002,14.309899999999999,-0.1196,1.0243,138.0291,141.8008,365.49789999999996,8.5167,0.1723,-0.2323,9.7038,12.3116,6.926399999999999,51.40069999999999,0.3046,-0.06,-0.2062,-0.1554,0.1014,0.1499,48.3555,19.695500000000003,0.48760000000000003,1.0708,-0.2211,-0.0814,19.6295,51.472,210.58541111111109,66.71768540816481,181.0345919835831,0.35672116677947846
5,Mo30Nb30,392.8486,136.07059999999998,143.1134,10.683,-0.39289999999999997,0.9103999999999999,142.2924,339.171,156.14069999999998,18.278299999999998,-1.2114,1.4772,143.7739,149.56040000000002,389.7762,7.6683,-0.0369,-0.4483,8.390600000000001,15.812000000000001,5.3647,67.3269,0.5065999999999999,-1.4792999999999998,-0.3105,-1.1080999999999999,-0.1345,0.604,62.560500000000005,19.392599999999998,0.8077,1.4026,-0.25,-1.5112,19.3939,57.6977,221.38279999999997,79.83276550838993,213.79897477810988,0.33904276907231135
6,Nb24Mo36,429.7976,137.4868,144.3345,0.7955,-0.1565,0.0158,147.2167,364.3338,149.6437,0.462,-0.1422,-0.1182,146.3322,142.7938,417.2033,-0.4136,0.122,0.194,0.6976,0.30720000000000003,-0.4337,72.0911,0.26890000000000003,-0.2242,-0.1669,-0.1836,0.0963,0.2312,72.6743,0.3552,0.07139999999999999,-0.10089999999999999,0.2294,-0.2987,0.3805,61.0115,230.4738555555555,88.85745041148675,236.21533923945879,0.3291813919124265
7,Nb18Mo42,456.3202,148.13479999999998,149.0023,-0.18280000000000002,-0.09809999999999999,-0.23149999999999998,161.2486,380.9041,148.0942,0.23879999999999998,0.3056,-0.3527,152.6945,139.3879,434.4569,-0.2615,0.0314,-0.557,-0.1401,0.2286,-0.29660000000000003,75.55760000000001,-0.9126,0.17099999999999999,-0.0436,0.3134,0.0458,-0.8694000000000001,68.8157,0.12430000000000001,-0.6404,-0.7692,-1.0689,0.0852,0.0975,79.3607,240.2382,95.58693600359953,253.1818107962842,0.3243536270832559
8,Nb15Mo45,454.8858,151.5434,151.9121,0.1588,0.1967,0.0059,163.5941,380.6744,150.6607,1.8832999999999998,-0.9696999999999999,-0.19690000000000002,154.5198,141.42860000000002,436.889,0.8167,-0.1971,0.1162,0.123,1.7568000000000001,0.9004,77.4007,-0.1395,-0.7513,0.24559999999999998,-1.0485,-0.251,-0.12279999999999999,68.5806,0.9311,-0.0029000000000000002,-0.1943,0.0726,-0.6822,1.0705,80.4395,242.2979555555556,95.8647871826131,254.0849330711944,0.3252255626833411
9,Nb12Mo48,458.21999999999997,152.4521,151.8577,0.006500000000000001,-0.1575,0.127,163.9853,385.0218,157.41590000000002,-0.7713,-0.279,0.1786,152.7172,146.8278,446.3517,0.126,-0.25,0.0458,0.054200000000000005,-0.9823999999999999,-0.055200000000000006,79.1871,0.017,-0.3277,-0.27799999999999997,-0.4452,-0.4157,0.0908,69.7,-0.1222,0.0289,0.1777,0.0621,-0.3164,-0.0876,79.15,245.8938777777778,96.72791807862086,256.54455348609144,0.3261143141609385
