     Index       y_measurement           y_fitting        descriptor_1
         1    0.4067373667E+03    0.4264450770E+03    0.8113973802E+03
         2    0.2857956333E+03    0.3153884150E+03    0.4760124560E+03
         3    0.3071145667E+03    0.3305831403E+03    0.5218996789E+03
         4    0.3764530667E+03    0.3882178987E+03    0.6959534342E+03
         5    0.2785538000E+03    0.3152543439E+03    0.4756075688E+03
         6    0.3041485333E+03    0.3304490692E+03    0.5214947916E+03
         7    0.2586766667E+03    0.2904780963E+03    0.4007846834E+03
         8    0.2338034333E+03    0.2690367312E+03    0.3360329568E+03
         9    0.2403534000E+03    0.2766938079E+03    0.3591569013E+03
        10    0.4670846000E+03    0.4796082919E+03    0.9719473236E+03
        11    0.4372498667E+03    0.4521295975E+03    0.8889631994E+03
        12    0.4187009000E+03    0.4303465231E+03    0.8231795299E+03
        13    0.2869700333E+03    0.3173994815E+03    0.4820857649E+03
        14    0.3091172667E+03    0.3325942069E+03    0.5279729878E+03
        15    0.3023439333E+03    0.3180698371E+03    0.4841102012E+03
        16    0.3266636333E+03    0.3332645624E+03    0.5299974241E+03
        17    0.3849960667E+03    0.3945300913E+03    0.7150159037E+03
        18    0.3781231333E+03    0.3910870771E+03    0.7046181930E+03
        19    0.2956743000E+03    0.3169525779E+03    0.4807361407E+03
        20    0.2309024667E+03    0.2394986619E+03    0.2468296352E+03
        21    0.3124557667E+03    0.3321473032E+03    0.5266233636E+03
        22    0.2359238667E+03    0.2392222250E+03    0.2459948112E+03
        23    0.2859014667E+03    0.3026647819E+03    0.4375877939E+03
        24    0.3027135333E+03    0.3174888623E+03    0.4823556898E+03
        25    0.3238940333E+03    0.3326835876E+03    0.5282429126E+03
        26    0.2779039000E+03    0.2924500519E+03    0.4067398792E+03
        27    0.2942082000E+03    0.3034930032E+03    0.4400889762E+03
        28    0.3058423333E+03    0.3079496229E+03    0.4535477189E+03
        29    0.2794223333E+03    0.2690019263E+03    0.3359278479E+03
        30    0.2552500667E+03    0.2380243318E+03    0.2423772405E+03
        31    0.2801430000E+03    0.2697328291E+03    0.3381351336E+03
        32    0.2908341667E+03    0.2773899058E+03    0.3612590780E+03
        33    0.4175716333E+03    0.4626614408E+03    0.9207687787E+03
        34    0.2449100333E+03    0.2707421710E+03    0.3411832899E+03
        35    0.2220599667E+03    0.2395600923E+03    0.2470151517E+03
        36    0.2527308000E+03    0.2783992477E+03    0.3643072344E+03
        37    0.4458766000E+03    0.4572665017E+03    0.9044763633E+03
        38    0.2500072667E+03    0.2719951472E+03    0.3449672081E+03
        39    0.2591231667E+03    0.2796522239E+03    0.3680911525E+03
        40    0.3817229000E+03    0.4228687513E+03    0.8005970762E+03
        41    0.3771303667E+03    0.3908001593E+03    0.7037517172E+03
        42    0.3714014333E+03    0.3873571452E+03    0.6933540065E+03
        43    0.2889783333E+03    0.3069242060E+03    0.4504510171E+03
        44    0.2587401333E+03    0.2781228559E+03    0.3634725466E+03
        45    0.2808691333E+03    0.2941423528E+03    0.4118505335E+03
        46    0.3007642333E+03    0.3029014166E+03    0.4383024175E+03
        47    0.3199497667E+03    0.3122001566E+03    0.4663840936E+03
        48    0.3446522333E+03    0.3325478181E+03    0.5278328962E+03
        49    0.3739319333E+03    0.3554672542E+03    0.5970483147E+03
