Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4067373667E+03    0.4364523254E+03   -0.2971495877E+02
    0.2857956333E+03    0.3251233887E+03   -0.3932775533E+02
    0.3764530667E+03    0.4023654947E+03   -0.2591242801E+02
    0.3041485333E+03    0.3303050521E+03   -0.2615651878E+02
    0.2869700333E+03    0.3374068396E+03   -0.5043680628E+02
    0.3266636333E+03    0.3224688784E+03    0.4194754956E+01
    0.3781231333E+03    0.4042327938E+03   -0.2610966049E+02
    0.2779039000E+03    0.2961741896E+03   -0.1827028957E+02
    0.2552500667E+03    0.2382015628E+03    0.1704850385E+02
    0.4175716333E+03    0.4722289099E+03   -0.5465727658E+02
    0.2449100333E+03    0.2710047223E+03   -0.2609468898E+02
    0.3771303667E+03    0.3937904821E+03   -0.1666011545E+02
    0.3714014333E+03    0.3913289251E+03   -0.1992749180E+02
    0.4238937333E+03    0.4174724806E+03    0.6421252731E+01
    0.4241497333E+03    0.4307210841E+03   -0.6571350757E+01
    0.4298645000E+03    0.4439696876E+03   -0.1410518758E+02
    0.3010334667E+03    0.2954265302E+03    0.5606936419E+01
    0.3487913667E+03    0.3488224859E+03   -0.3111924414E-01
    0.3043565333E+03    0.2832970732E+03    0.2105946013E+02
    0.3840882333E+03    0.3626912303E+03    0.2139700300E+02
    0.4356066667E+03    0.4156206684E+03    0.1998599825E+02
    0.4648353333E+03    0.4685501065E+03   -0.3714773165E+01
    0.4951073333E+03    0.5066000459E+03   -0.1149271256E+02
    0.2673784667E+03    0.2483066648E+03    0.1907180184E+02
    0.2652660667E+03    0.2483066648E+03    0.1695940184E+02
    0.2257176333E+03    0.2345945032E+03   -0.8876869892E+01
    0.2659497000E+03    0.2549092425E+03    0.1104045746E+02
    0.2546677000E+03    0.2549092425E+03   -0.2415425389E+00
    0.2478107667E+03    0.2549092425E+03   -0.7098475872E+01
    0.2566177333E+03    0.2730936686E+03   -0.1647593522E+02
    0.3904840000E+03    0.3802279419E+03    0.1025605807E+02
    0.5036133333E+03    0.4873622153E+03    0.1625111803E+02
    0.3324828333E+03    0.3250394903E+03    0.7443343000E+01
    0.3316307000E+03    0.3341587423E+03   -0.2528042316E+01
Prediction RMSE and MaxAE:        21.2564271809       54.6572765804
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.4067373667E+03    0.4183078300E+03   -0.1157046337E+02
    0.2857956333E+03    0.3109486926E+03   -0.2515305929E+02
    0.3764530667E+03    0.3715848575E+03    0.4868209117E+01
    0.3041485333E+03    0.3322768515E+03   -0.2812831817E+02
    0.2869700333E+03    0.3308486891E+03   -0.4387865577E+02
    0.3266636333E+03    0.3358913121E+03   -0.9227678726E+01
    0.3781231333E+03    0.3850107349E+03   -0.6887601552E+01
    0.2779039000E+03    0.2942105398E+03   -0.1630663983E+02
    0.2552500667E+03    0.2209738744E+03    0.3427619229E+02
    0.4175716333E+03    0.4221505881E+03   -0.4578954740E+01
    0.2449100333E+03    0.2683696978E+03   -0.2345966448E+02
    0.3771303667E+03    0.3887911329E+03   -0.1166076618E+02
    0.3714014333E+03    0.3893918103E+03   -0.1799037693E+02
    0.4238937333E+03    0.4015155415E+03    0.2237819181E+02
    0.4241497333E+03    0.4142520366E+03    0.9897696742E+01
    0.4298645000E+03    0.4271250843E+03    0.2739415697E+01
    0.3010334667E+03    0.3043322183E+03   -0.3298751653E+01
    0.3487913667E+03    0.3478515538E+03    0.9398128269E+00
    0.3043565333E+03    0.2981364584E+03    0.6220074893E+01
    0.3840882333E+03    0.3639709849E+03    0.2011724846E+02
    0.4356066667E+03    0.4087877959E+03    0.2681887072E+02
    0.4648353333E+03    0.4543361239E+03    0.1049920939E+02
    0.4951073333E+03    0.4830031101E+03    0.1210422327E+02
    0.2673784667E+03    0.2528492767E+03    0.1452919001E+02
    0.2652660667E+03    0.2561312766E+03    0.9134790032E+01
    0.2257176333E+03    0.2374328986E+03   -0.1171526526E+02
    0.2659497000E+03    0.2582201469E+03    0.7729553142E+01
    0.2546677000E+03    0.2563354502E+03   -0.1667750160E+01
    0.2478107667E+03    0.2557930809E+03   -0.7982314255E+01
    0.2566177333E+03    0.2632958628E+03   -0.6678129422E+01
    0.3904840000E+03    0.3829745514E+03    0.7509448626E+01
    0.5036133333E+03    0.5048533728E+03   -0.1240039431E+01
    0.3324828333E+03    0.3427608098E+03   -0.1027797650E+02
    0.3316307000E+03    0.3401041855E+03   -0.8473485545E+01
Prediction RMSE and MaxAE:        16.2575758963       43.8786557671
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.4067373667E+03    0.4006337773E+03    0.6103589416E+01
    0.2857956333E+03    0.2999654678E+03   -0.1416983444E+02
    0.3764530667E+03    0.3598471609E+03    0.1660590576E+02
    0.3041485333E+03    0.3073818579E+03   -0.3233324545E+01
    0.2869700333E+03    0.3014936486E+03   -0.1452361530E+02
    0.3266636333E+03    0.3167700890E+03    0.9893544302E+01
    0.3781231333E+03    0.3756442446E+03    0.2478888732E+01
    0.2779039000E+03    0.2826856483E+03   -0.4781748311E+01
    0.2552500667E+03    0.2629221619E+03   -0.7672095187E+01
    0.4175716333E+03    0.4283103861E+03   -0.1073875278E+02
    0.2449100333E+03    0.2442742000E+03    0.6358333772E+00
    0.3771303667E+03    0.3746053373E+03    0.2525029365E+01
    0.3714014333E+03    0.3684327441E+03    0.2968689238E+01
    0.4238937333E+03    0.4192792902E+03    0.4614443178E+01
    0.4241497333E+03    0.4330347344E+03   -0.8885001104E+01
    0.4298645000E+03    0.4469610089E+03   -0.1709650894E+02
    0.3010334667E+03    0.3134022095E+03   -0.1236874286E+02
    0.3487913667E+03    0.3585530961E+03   -0.9761729477E+01
    0.3043565333E+03    0.3067355841E+03   -0.2379050756E+01
    0.3840882333E+03    0.3778086861E+03    0.6279547258E+01
    0.4356066667E+03    0.4278183053E+03    0.7788361351E+01
    0.4648353333E+03    0.4799949447E+03   -0.1515961134E+02
    0.4951073333E+03    0.4822272814E+03    0.1288005195E+02
    0.2673784667E+03    0.2571962109E+03    0.1018225579E+02
    0.2652660667E+03    0.2626450526E+03    0.2621014095E+01
    0.2257176333E+03    0.2372868289E+03   -0.1156919552E+02
    0.2659497000E+03    0.2649947953E+03    0.9549046838E+00
    0.2546677000E+03    0.2517566500E+03    0.2911050023E+01
    0.2478107667E+03    0.2505296796E+03   -0.2718912945E+01
    0.2566177333E+03    0.2560291382E+03    0.5885951398E+00
    0.3904840000E+03    0.3802339702E+03    0.1025002979E+02
    0.5036133333E+03    0.5184922397E+03   -0.1487890641E+02
    0.3324828333E+03    0.3389820529E+03   -0.6499219536E+01
    0.3316307000E+03    0.3311356142E+03    0.4950857964E+00
Prediction RMSE and MaxAE:         9.1145734077       17.0965089449
