     Index       y_measurement           y_fitting        descriptor_1
         1    0.1859265000E+03    0.1774557846E+03    0.1556413052E+03
         2    0.1689561667E+03    0.1532839051E+03    0.2032991481E+03
         3    0.1804731333E+03    0.1710805569E+03    0.1682108533E+03
         4    0.1790078333E+03    0.1752214312E+03    0.1600466087E+03
         5    0.1726537667E+03    0.1703322542E+03    0.1696862244E+03
         6    0.1687353667E+03    0.1534218850E+03    0.2030271038E+03
         7    0.1793259000E+03    0.1708922653E+03    0.1685820935E+03
         8    0.1611783000E+03    0.1500609108E+03    0.2096536791E+03
         9    0.1691650000E+03    0.1628255016E+03    0.1844867134E+03
        10    0.1712258333E+03    0.1566493361E+03    0.1966637856E+03
        11    0.1561954667E+03    0.1469912471E+03    0.2157058999E+03
        12    0.1592324667E+03    0.1535984818E+03    0.2026789213E+03
        13    0.1832511000E+03    0.1700554865E+03    0.1702319060E+03
        14    0.2009755333E+03    0.1916055662E+03    0.1277432650E+03
        15    0.1616570333E+03    0.1456888556E+03    0.2182737254E+03
        16    0.1669711667E+03    0.1530714496E+03    0.2037180304E+03
        17    0.1706844000E+03    0.1621494944E+03    0.1858195450E+03
        18    0.1991815333E+03    0.1902434524E+03    0.1304288404E+03
        19    0.1909834333E+03    0.1806316977E+03    0.1493796008E+03
        20    0.1730631333E+03    0.1581762886E+03    0.1936532104E+03
        21    0.1512805667E+03    0.1487285248E+03    0.2122806424E+03
        22    0.1839162333E+03    0.1739415873E+03    0.1625699788E+03
        23    0.1709626667E+03    0.1583045097E+03    0.1934004068E+03
        24    0.1785912667E+03    0.1748254071E+03    0.1608274190E+03
        25    0.1928013333E+03    0.1800504117E+03    0.1505256778E+03
        26    0.1867098667E+03    0.1756086300E+03    0.1592831985E+03
        27    0.1737680667E+03    0.1603408304E+03    0.1893855492E+03
        28    0.1572136333E+03    0.1513399758E+03    0.2071318446E+03
        29    0.1860203333E+03    0.1755951320E+03    0.1593098114E+03
        30    0.1708858333E+03    0.1574383752E+03    0.1951080978E+03
        31    0.1549359333E+03    0.1513302569E+03    0.2071510067E+03
        32    0.1731041667E+03    0.1683141783E+03    0.1736651100E+03
        33    0.1713224000E+03    0.1605768503E+03    0.1889202068E+03
        34    0.1816521000E+03    0.1762738627E+03    0.1579716101E+03
        35    0.1676957000E+03    0.1576938255E+03    0.1946044460E+03
        36    0.1734750667E+03    0.1690933756E+03    0.1721288264E+03
        37    0.1717847667E+03    0.1687177339E+03    0.1728694504E+03
        38    0.1608787333E+03    0.1607870289E+03    0.1885058138E+03
        39    0.1564298667E+03    0.1580660994E+03    0.1938704620E+03
        40    0.1612523333E+03    0.1660651981E+03    0.1780992519E+03
        41    0.1600181667E+03    0.1610439454E+03    0.1879992712E+03
        42    0.1622793333E+03    0.1663927001E+03    0.1774535413E+03
        43    0.1858246333E+03    0.1719323872E+03    0.1665313648E+03
        44    0.2034949000E+03    0.1928169971E+03    0.1253547795E+03
        45    0.1582014333E+03    0.1496209626E+03    0.2105210913E+03
        46    0.1536179667E+03    0.1461990282E+03    0.2172678571E+03
        47    0.1608522333E+03    0.1558717994E+03    0.1981967952E+03
        48    0.1759193333E+03    0.1642634527E+03    0.1816516153E+03
        49    0.1560547000E+03    0.1451882786E+03    0.2192606747E+03
        50    0.1987726333E+03    0.1910902535E+03    0.1287592676E+03
        51    0.1635587333E+03    0.1487462133E+03    0.2122457675E+03
        52    0.1675417667E+03    0.1558116983E+03    0.1983152919E+03
        53    0.1769676000E+03    0.1643350275E+03    0.1815104967E+03
        54    0.1981880667E+03    0.1915131748E+03    0.1279254260E+03
        55    0.1906729667E+03    0.1779554242E+03    0.1546562042E+03
        56    0.1916486333E+03    0.1759150441E+03    0.1586790653E+03
        57    0.1847231333E+03    0.1707978092E+03    0.1687683252E+03
        58    0.1703275667E+03    0.1563010966E+03    0.1973503828E+03
        59    0.1836433333E+03    0.1701801847E+03    0.1699860481E+03
        60    0.2026154000E+03    0.1920065506E+03    0.1269526747E+03
        61    0.1474437667E+03    0.1463828622E+03    0.2169054058E+03
        62    0.1444144000E+03    0.1490787307E+03    0.2115901683E+03
        63    0.1424446000E+03    0.1503858410E+03    0.2090130392E+03
        64    0.1425005000E+03    0.1516667785E+03    0.2064875127E+03
        65    0.1435520000E+03    0.1541530911E+03    0.2015854407E+03
        66    0.1451082333E+03    0.1565433093E+03    0.1968728306E+03
        67    0.1438216667E+03    0.1588426692E+03    0.1923393589E+03
        68    0.1484104333E+03    0.1610560375E+03    0.1879754301E+03
        69    0.1513720667E+03    0.1621319027E+03    0.1858542291E+03
        70    0.1539085667E+03    0.1631879438E+03    0.1837721138E+03
        71    0.1581912000E+03    0.1652426086E+03    0.1797210886E+03
        72    0.1667517667E+03    0.1625626360E+03    0.1850049853E+03
        73    0.1681840000E+03    0.1632748393E+03    0.1836007887E+03
        74    0.1664457333E+03    0.1636110784E+03    0.1829378518E+03
        75    0.1665557000E+03    0.1639344218E+03    0.1823003404E+03
        76    0.1636810000E+03    0.1645433853E+03    0.1810996937E+03
        77    0.1594275000E+03    0.1651035415E+03    0.1799952767E+03
        78    0.1582353333E+03    0.1656165261E+03    0.1789838642E+03
        79    0.1592605667E+03    0.1660838115E+03    0.1780625533E+03
        80    0.1604323000E+03    0.1663007353E+03    0.1776348613E+03
        81    0.1603847333E+03    0.1665067180E+03    0.1772287410E+03
        82    0.1618017000E+03    0.1668864230E+03    0.1764801058E+03
        83    0.1440166667E+03    0.1443665934E+03    0.2208807285E+03
        84    0.1453615000E+03    0.1476349956E+03    0.2144366702E+03
        85    0.1460779667E+03    0.1491840194E+03    0.2113825786E+03
        86    0.1470341667E+03    0.1506799207E+03    0.2084332247E+03
        87    0.1457263333E+03    0.1535223327E+03    0.2028290587E+03
        88    0.1435833000E+03    0.1561807004E+03    0.1975877588E+03
        89    0.1445851667E+03    0.1586713540E+03    0.1926771280E+03
        90    0.1490260000E+03    0.1610087826E+03    0.1880685991E+03
        91    0.1516397333E+03    0.1621241243E+03    0.1858695652E+03
        92    0.1536641667E+03    0.1632058842E+03    0.1837367422E+03
        93    0.1577903667E+03    0.1652741754E+03    0.1796588509E+03
        94    0.2001243000E+03    0.1973466772E+03    0.1164239563E+03
        95    0.1944439000E+03    0.1946805617E+03    0.1216805319E+03
        96    0.1912783000E+03    0.1932946704E+03    0.1244129876E+03
        97    0.1883374667E+03    0.1918719159E+03    0.1272181237E+03
        98    0.1835913333E+03    0.1889105473E+03    0.1330568272E+03
        99    0.1784214667E+03    0.1857852834E+03    0.1392186707E+03
       100    0.1746948000E+03    0.1824838500E+03    0.1457278540E+03
       101    0.1720329333E+03    0.1789927328E+03    0.1526110223E+03
