     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1859265000E+03    0.1858446267E+03    0.1762150800E+05    0.1523990609E-01    0.5520802363E+00
         2    0.1689561667E+03    0.1656568506E+03    0.1008517984E+05    0.2377556606E-01    0.6587877677E+00
         3    0.1804731333E+03    0.1791384891E+03    0.1474969530E+05    0.2460731314E-01    0.6758687705E+00
         4    0.1790078333E+03    0.1858505091E+03    0.1649785649E+05    0.2753730057E-01    0.7505450536E+00
         5    0.1726537667E+03    0.1812024939E+03    0.1489834354E+05    0.2726724123E-01    0.7441682715E+00
         6    0.1793259000E+03    0.1796477619E+03    0.1464424632E+05    0.2596629751E-01    0.7098471610E+00
         7    0.1611783000E+03    0.1612091437E+03    0.9306442598E+04    0.1374073002E-01    0.5055498462E+00
         8    0.1691650000E+03    0.1696455278E+03    0.1222579260E+05    0.1405174313E-01    0.5142510865E+00
         9    0.1712258333E+03    0.1692568218E+03    0.1068843711E+05    0.1215012514E+00    0.1620918270E+01
        10    0.1561954667E+03    0.1578295660E+03    0.8633339402E+04    0.8266632597E-02    0.4152340530E+00
        11    0.1592324667E+03    0.1615547946E+03    0.9919059281E+04    0.8346677304E-02    0.4187921958E+00
        12    0.1832511000E+03    0.1757348740E+03    0.1530742536E+05    0.7771280851E-02    0.3873664306E+00
        13    0.2009755333E+03    0.2014081226E+03    0.2425321024E+05    0.8181456959E-02    0.4042500387E+00
        14    0.1616570333E+03    0.1543403814E+03    0.8349793783E+04    0.6208160179E-02    0.3249231180E+00
        15    0.1669711667E+03    0.1586213869E+03    0.9844056729E+04    0.6293601440E-02    0.3277073860E+00
        16    0.1706844000E+03    0.1724061889E+03    0.1269454167E+05    0.1055328489E+00    0.1405940638E+01
        17    0.1909834333E+03    0.1888485250E+03    0.1936541550E+05    0.1244997558E-01    0.4757259206E+00
        18    0.1730631333E+03    0.1706242423E+03    0.1175934252E+05    0.2293296222E-01    0.6576692732E+00
        19    0.1512805667E+03    0.1473243550E+03    0.9447325677E+04    0.0000000000E+00    0.0000000000E+00
        20    0.1839162333E+03    0.1826109305E+03    0.1588978284E+05    0.2373816990E-01    0.6747212757E+00
        21    0.1709626667E+03    0.1692271991E+03    0.1194865314E+05    0.1875299394E-01    0.5676754875E+00
        22    0.1785912667E+03    0.1822470322E+03    0.1648153012E+05    0.1959006861E-01    0.5823941375E+00
        23    0.1928013333E+03    0.1895557475E+03    0.1890932996E+05    0.2016901165E-01    0.6003557707E+00
        24    0.1867098667E+03    0.1851575024E+03    0.1738107804E+05    0.1989640052E-01    0.5952550271E+00
        25    0.1737680667E+03    0.1717740039E+03    0.1249738247E+05    0.2050416343E-01    0.6104988627E+00
        26    0.1572136333E+03    0.1493486737E+03    0.1016653810E+05    0.0000000000E+00    0.0000000000E+00
        27    0.1708858333E+03    0.1669301911E+03    0.1160563886E+05    0.1189405326E-01    0.4684932253E+00
        28    0.1549359333E+03    0.1491710137E+03    0.1010341796E+05    0.0000000000E+00    0.0000000000E+00
        29    0.1731041667E+03    0.1742966482E+03    0.1415231390E+05    0.1219613146E-01    0.4765566679E+00
        30    0.1713224000E+03    0.1712106377E+03    0.1271195493E+05    0.1769580272E-01    0.5534519464E+00
        31    0.1816521000E+03    0.1836540051E+03    0.1704394017E+05    0.1852458521E-01    0.5678018094E+00
        32    0.1676957000E+03    0.1661164624E+03    0.1188001660E+05    0.9514588808E-02    0.4043858075E+00
        33    0.1734750667E+03    0.1741423831E+03    0.1467732072E+05    0.9828572780E-02    0.4113458691E+00
        34    0.1717847667E+03    0.1800180761E+03    0.1464019058E+05    0.5995816281E-01    0.1037110335E+01
        35    0.1564298667E+03    0.1537703515E+03    0.1173749903E+05    0.0000000000E+00    0.0000000000E+00
        36    0.1612523333E+03    0.1681608795E+03    0.1361950690E+05    0.4411661346E-02    0.2814264387E+00
        37    0.1600181667E+03    0.1650605306E+03    0.1266558050E+05    0.3900219295E-02    0.2656787426E+00
        38    0.1622793333E+03    0.1684316154E+03    0.1384289784E+05    0.3981756376E-02    0.2679553452E+00
        39    0.1858246333E+03    0.1777498066E+03    0.1630323867E+05    0.7024808527E-02    0.3595831142E+00
        40    0.2034949000E+03    0.2029964124E+03    0.2511389067E+05    0.7436291553E-02    0.3752557690E+00
        41    0.1582014333E+03    0.1596929559E+03    0.9393097798E+04    0.7930470263E-02    0.4048300479E+00
        42    0.1536179667E+03    0.1451665818E+03    0.8680698736E+04    0.0000000000E+00    0.0000000000E+00
        43    0.1608522333E+03    0.1632535050E+03    0.1062141330E+05    0.8009759303E-02    0.4082990388E+00
        44    0.1759193333E+03    0.1754508539E+03    0.1365132372E+05    0.1007617797E+00    0.1370713726E+01
        45    0.1560547000E+03    0.1448751810E+03    0.8577168082E+04    0.0000000000E+00    0.0000000000E+00
        46    0.1987726333E+03    0.2038824041E+03    0.2365675779E+05    0.1077137900E+00    0.1442714736E+01
        47    0.1635587333E+03    0.1564999796E+03    0.9333850601E+04    0.5438332203E-02    0.3016184609E+00
        48    0.1675417667E+03    0.1607174682E+03    0.1080826712E+05    0.5524051782E-02    0.3042030312E+00
        49    0.1769676000E+03    0.1752116016E+03    0.1371308750E+05    0.9489984244E-01    0.1305101509E+01
        50    0.1981880667E+03    0.2043626737E+03    0.2403190453E+05    0.1019427298E+00    0.1373656032E+01
        51    0.1906729667E+03    0.1853484964E+03    0.1794676205E+05    0.1370830444E-01    0.5004921385E+00
        52    0.1916486333E+03    0.1846039984E+03    0.1692495639E+05    0.2346423459E-01    0.6478423830E+00
        53    0.1847231333E+03    0.1795629199E+03    0.1517270786E+05    0.2318339876E-01    0.6423381836E+00
