     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1859265000E+03    0.1815210498E+03    0.3439883039E+02    0.4484155086E-07
         2    0.1689561667E+03    0.1561790324E+03    0.1617960518E+02    0.1386172536E-05
         3    0.1804731333E+03    0.1694509352E+03    0.2572122763E+02    0.1386172536E-05
         4    0.1790078333E+03    0.1796338719E+03    0.3304208723E+02    0.1386172536E-05
         5    0.1726537667E+03    0.1749165757E+03    0.2965066248E+02    0.1386172536E-05
         6    0.1687353667E+03    0.1569802272E+03    0.1675561141E+02    0.1386172536E-05
         7    0.1793259000E+03    0.1703384601E+03    0.2635929943E+02    0.1386172536E-05
         8    0.1611783000E+03    0.1544305308E+03    0.1492253465E+02    0.4484155086E-07
         9    0.1691650000E+03    0.1632010869E+03    0.2122798583E+02    0.4484155086E-07
        10    0.1712258333E+03    0.1655557908E+03    0.2300158910E+02    0.8171276545E-02
        11    0.1592324667E+03    0.1590910092E+03    0.1827311067E+02    0.1010208374E-08
        12    0.1832511000E+03    0.1736820889E+03    0.2876313427E+02    0.1010208374E-08
        13    0.2009755333E+03    0.1991859892E+03    0.4709875586E+02    0.1010208374E-08
        14    0.1616570333E+03    0.1506007568E+03    0.1216917937E+02    0.1010208374E-08
        15    0.1669711667E+03    0.1551951594E+03    0.1547225174E+02    0.1010208374E-08
        16    0.1706844000E+03    0.1636590813E+03    0.2163798010E+02    0.8171276545E-02
        17    0.1991815333E+03    0.1938922140E+03    0.4337360773E+02    0.8171276545E-02
        18    0.1909834333E+03    0.1884205423E+03    0.3935911022E+02    0.4484155086E-07
        19    0.1730631333E+03    0.1637235776E+03    0.2160363538E+02    0.1386172536E-05
        20    0.1512805667E+03    0.1513836317E+03    0.1273201478E+02    0.0000000000E+00
        21    0.1709626667E+03    0.1615543649E+03    0.2004411459E+02    0.1386172536E-05
        22    0.1785912667E+03    0.1753811746E+03    0.2998467843E+02    0.1386172536E-05
        23    0.1928013333E+03    0.1896458995E+03    0.4024007450E+02    0.1386172536E-05
        24    0.1867098667E+03    0.1848235362E+03    0.3677311342E+02    0.1386172536E-05
        25    0.1737680667E+03    0.1662604935E+03    0.2342751052E+02    0.1386172536E-05
        26    0.1572136333E+03    0.1531207324E+03    0.1398087559E+02    0.0000000000E+00
        27    0.1860203333E+03    0.1805200469E+03    0.3367918857E+02    0.1386172536E-05
        28    0.1708858333E+03    0.1639535065E+03    0.2176892584E+02    0.4484155086E-07
        29    0.1549359333E+03    0.1536020170E+03    0.1432688746E+02    0.0000000000E+00
        30    0.1731041667E+03    0.1735890665E+03    0.2869625775E+02    0.4484155086E-07
        31    0.1713224000E+03    0.1649138564E+03    0.2245936734E+02    0.1386172536E-05
        32    0.1816521000E+03    0.1790944289E+03    0.3265426332E+02    0.1386172536E-05
        33    0.1676957000E+03    0.1619884232E+03    0.2035616061E+02    0.4484155086E-07
        34    0.1717847667E+03    0.1833502475E+03    0.3579462937E+02    0.8171276545E-02
        35    0.1608787333E+03    0.1683440086E+03    0.2492540671E+02    0.1010208374E-08
        36    0.1564298667E+03    0.1591018682E+03    0.1828091757E+02    0.0000000000E+00
        37    0.1612523333E+03    0.1744298469E+03    0.2930072294E+02    0.1010208374E-08
        38    0.1600181667E+03    0.1680222481E+03    0.2469408215E+02    0.1010208374E-08
        39    0.1622793333E+03    0.1740953825E+03    0.2906026512E+02    0.1010208374E-08
        40    0.1858246333E+03    0.1772111567E+03    0.3130030119E+02    0.1010208374E-08
        41    0.2034949000E+03    0.2028453613E+03    0.4972960290E+02    0.1010208374E-08
        42    0.1582014333E+03    0.1571898234E+03    0.1690628351E+02    0.1010208374E-08
        43    0.1536179667E+03    0.1506249235E+03    0.1218655366E+02    0.0000000000E+00
        44    0.1608522333E+03    0.1623217660E+03    0.2059581167E+02    0.1010208374E-08
        45    0.1759193333E+03    0.1676156485E+03    0.2448249083E+02    0.8171276545E-02
        46    0.1560547000E+03    0.1480929392E+03    0.1036622396E+02    0.0000000000E+00
        47    0.1987726333E+03    0.1981603270E+03    0.4644209937E+02    0.8171276545E-02
        48    0.1635587333E+03    0.1531345974E+03    0.1399084357E+02    0.1010208374E-08
