     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1129134333E+03    0.1021209711E+03    0.2393887565E+00    0.4484155086E-07
         2    0.5741510000E+02    0.5555991712E+02    0.2715328566E+00    0.1386172536E-05
         3    0.6408266667E+02    0.7014482507E+02    0.2614639486E+00    0.1386172536E-05
         4    0.9851213333E+02    0.9233261645E+02    0.2461462770E+00    0.1386172536E-05
         5    0.9577526667E+02    0.8825348461E+02    0.2489623663E+00    0.1386172536E-05
         6    0.5629570000E+02    0.5644188640E+02    0.2709239760E+00    0.1386172536E-05
         7    0.6416440000E+02    0.7062560286E+02    0.2611320365E+00    0.1386172536E-05
         8    0.4909853333E+02    0.4378971653E+02    0.2796586052E+00    0.4484155086E-07
         9    0.5078230000E+02    0.5400088175E+02    0.2726091755E+00    0.4484155086E-07
        10    0.4487846667E+02    0.5096974840E+02    0.2746063948E+00    0.8171276545E-02
        11    0.3941803333E+02    0.3332897040E+02    0.2868803373E+00    0.1010208374E-08
        12    0.4091123333E+02    0.3839820984E+02    0.2833807125E+00    0.1010208374E-08
        13    0.1155721667E+03    0.1036341264E+03    0.2383441278E+00    0.1010208374E-08
        14    0.1317270667E+03    0.1222943634E+03    0.2254617558E+00    0.1010208374E-08
        15    0.4379320000E+02    0.2781379604E+02    0.2906878199E+00    0.1010208374E-08
        16    0.4094110000E+02    0.3370368008E+02    0.2866216509E+00    0.1010208374E-08
        17    0.1067330000E+03    0.8905557756E+02    0.2483132765E+00    0.8171276545E-02
        18    0.1236949333E+03    0.1130953803E+03    0.2317170413E+00    0.8171276545E-02
        19    0.1185663333E+03    0.1096487140E+03    0.2341918673E+00    0.4484155086E-07
        20    0.5631520000E+02    0.6706969247E+02    0.2635869121E+00    0.1386172536E-05
        21    0.4281686667E+02    0.2933669308E+02    0.2896364653E+00    0.0000000000E+00
        22    0.6653600000E+02    0.7959002388E+02    0.2549433152E+00    0.1386172536E-05
        23    0.6544593333E+02    0.6547257527E+02    0.2646895057E+00    0.1386172536E-05
        24    0.7081320000E+02    0.7897822463E+02    0.2553656799E+00    0.1386172536E-05
        25    0.9909350000E+02    0.1037523843E+03    0.2382624705E+00    0.1386172536E-05
        26    0.9879613333E+02    0.1000744490E+03    0.2408015878E+00    0.1386172536E-05
        27    0.5754726667E+02    0.7139013888E+02    0.2606042277E+00    0.1386172536E-05
        28    0.3968340000E+02    0.3445220197E+02    0.2861048977E+00    0.0000000000E+00
        29    0.6419260000E+02    0.8348559568E+02    0.2522539493E+00    0.1386172536E-05
        30    0.4755836667E+02    0.6017097704E+02    0.2683495585E+00    0.4484155086E-07
        31    0.4298803333E+02    0.3505846066E+02    0.2856863580E+00    0.0000000000E+00
        32    0.5702396667E+02    0.6861624721E+02    0.2625192407E+00    0.4484155086E-07
        33    0.6448746667E+02    0.7062560286E+02    0.2611320365E+00    0.1386172536E-05
        34    0.6892443333E+02    0.8331727743E+02    0.2523701503E+00    0.1386172536E-05
        35    0.5462010000E+02    0.5881384888E+02    0.2692864721E+00    0.4484155086E-07
        36    0.6024150000E+02    0.6791332369E+02    0.2630045144E+00    0.4484155086E-07
        37    0.6916680000E+02    0.7637215355E+02    0.2570694668E+00    0.8171276545E-02
        38    0.6074053333E+02    0.6124158281E+02    0.2676104504E+00    0.1010208374E-08
        39    0.5625880000E+02    0.4914510961E+02    0.2759614305E+00    0.0000000000E+00
        40    0.6976280000E+02    0.6524178595E+02    0.2648488507E+00    0.1010208374E-08
        41    0.6109540000E+02    0.6112912199E+02    0.2676880894E+00    0.1010208374E-08
        42    0.6641613333E+02    0.6521960594E+02    0.2648641630E+00    0.1010208374E-08
        43    0.1171394000E+03    0.1076344241E+03    0.2355824628E+00    0.1010208374E-08
        44    0.1298107667E+03    0.1256601843E+03    0.2231381113E+00    0.1010208374E-08
        45    0.4263683333E+02    0.3906529129E+02    0.2829201829E+00    0.1010208374E-08
        46    0.3551316667E+02    0.2570699504E+02    0.2921422813E+00    0.0000000000E+00
        47    0.4331223333E+02    0.4381921240E+02    0.2796382428E+00    0.1010208374E-08
        48    0.1050881333E+03    0.9390423596E+02    0.2449659331E+00    0.8171276545E-02
        49    0.3710063333E+02    0.2072737632E+02    0.2955800351E+00    0.0000000000E+00
        50    0.1270568667E+03    0.1165468442E+03    0.2293342719E+00    0.8171276545E-02
        51    0.4623996667E+02    0.3370368008E+02    0.2866216509E+00    0.1010208374E-08
        52    0.4979963333E+02    0.3934405273E+02    0.2827277358E+00    0.1010208374E-08
        53    0.1048403333E+03    0.9343926154E+02    0.2452869351E+00    0.8171276545E-02
        54    0.1283589667E+03    0.1166324148E+03    0.2292751970E+00    0.8171276545E-02
        55    0.1119227000E+03    0.1015535955E+03    0.2397804527E+00    0.4484155086E-07
        56    0.9410970000E+02    0.9129602299E+02    0.2468619047E+00    0.1386172536E-05
        57    0.9391083333E+02    0.8688644517E+02    0.2499061223E+00    0.1386172536E-05
        58    0.5990580000E+02    0.4592392151E+02    0.2780898564E+00    0.8171276545E-02
        59    0.1167444000E+03    0.1032044132E+03    0.2386407867E+00    0.1010208374E-08
        60    0.1322718667E+03    0.1223240787E+03    0.2254412414E+00    0.1010208374E-08
        61    0.1511233333E+02    0.1471692335E+02    0.2880581689E+00    0.1000000000E+01
        62    0.1506720000E+02    0.2460969129E+02    0.2812285495E+00    0.1000000000E+01
        63    0.2607280000E+02    0.2941474999E+02    0.2779113058E+00    0.1000000000E+01
        64    0.3288510000E+02    0.3412914721E+02    0.2746566516E+00    0.1000000000E+01
        65    0.5040940000E+02    0.4329603073E+02    0.2683281573E+00    0.1000000000E+01
        66    0.6252836667E+02    0.5212957297E+02    0.2622297901E+00    0.1000000000E+01
        67    0.6859230000E+02    0.6064763161E+02    0.2563492217E+00    0.1000000000E+01
        68    0.7457800000E+02    0.6886681090E+02    0.2506749891E+00    0.1000000000E+01
        69    0.7547360000E+02    0.7286919390E+02    0.2479118845E+00    0.1000000000E+01
        70    0.7601236667E+02    0.7680257035E+02    0.2451964196E+00    0.1000000000E+01
        71    0.7978300000E+02    0.8446932089E+02    0.2399035644E+00    0.1000000000E+01
        72    0.5943460000E+02    0.4680519048E+02    0.2659055567E+00    0.1000000000E+01
        73    0.5415630000E+02    0.5282025949E+02    0.2617529644E+00    0.1000000000E+01
        74    0.5238350000E+02    0.5572246396E+02    0.2597493844E+00    0.1000000000E+01
        75    0.4609493333E+02    0.5855670177E+02    0.2577927262E+00    0.1000000000E+01
        76    0.5043943333E+02    0.6402760533E+02    0.2540158066E+00    0.1000000000E+01
        77    0.6211446667E+02    0.6924495413E+02    0.2504139323E+00    0.1000000000E+01
        78    0.7535336667E+02    0.7421971353E+02    0.2469795332E+00    0.1000000000E+01
        79    0.7547280000E+02    0.7896190634E+02    0.2437056899E+00    0.1000000000E+01
        80    0.7631323333E+02    0.8124868132E+02    0.2421269808E+00    0.1000000000E+01
        81    0.7808313333E+02    0.8348067947E+02    0.2405860877E+00    0.1000000000E+01
        82    0.8207633333E+02    0.8778436141E+02    0.2376149769E+00    0.1000000000E+01
        83    0.1068950000E+02    0.6538448335E+01    0.2937043007E+00    0.1000000000E+01
        84    0.2761040000E+02    0.1795007080E+02    0.2858261175E+00    0.1000000000E+01
        85    0.2953980000E+02    0.2344257729E+02    0.2820342840E+00    0.1000000000E+01
        86    0.3218210000E+02    0.2879957833E+02    0.2783359987E+00    0.1000000000E+01
        87    0.4136713333E+02    0.3912580228E+02    0.2712071365E+00    0.1000000000E+01
        88    0.4472750000E+02    0.4896415826E+02    0.2644150812E+00    0.1000000000E+01
        89    0.6125163333E+02    0.5834700903E+02    0.2579374907E+00    0.1000000000E+01
        90    0.6651516667E+02    0.6730398209E+02    0.2517539112E+00    0.1000000000E+01
        91    0.6935780000E+02    0.7163134441E+02    0.2487664523E+00    0.1000000000E+01
        92    0.7244110000E+02    0.7586224860E+02    0.2458455847E+00    0.1000000000E+01
        93    0.7973906667E+02    0.8404676969E+02    0.2401952789E+00    0.1000000000E+01
        94    0.1244658000E+03    0.1349038349E+03    0.2167566197E+00    0.0000000000E+00
        95    0.1227551333E+03    0.1323089731E+03    0.2185480211E+00    0.0000000000E+00
        96    0.1222562000E+03    0.1309859051E+03    0.2194614208E+00    0.0000000000E+00
        97    0.1211050000E+03    0.1296452460E+03    0.2203869647E+00    0.0000000000E+00
        98    0.1179466667E+03    0.1269095849E+03    0.2222755690E+00    0.0000000000E+00
        99    0.1137695667E+03    0.1240987268E+03    0.2242160867E+00    0.0000000000E+00
       100    0.1092017667E+03    0.1212091975E+03    0.2262109162E+00    0.0000000000E+00
       101    0.1067584667E+03    0.1182372945E+03    0.2282626136E+00    0.0000000000E+00
       102    0.1053764667E+03    0.1167192286E+03    0.2293106330E+00    0.0000000000E+00
       103    0.1040530000E+03    0.1151790670E+03    0.2303739064E+00    0.0000000000E+00
       104    0.1005121667E+03    0.1120302940E+03    0.2325477087E+00    0.0000000000E+00
       105    0.1408233333E+02    0.2541846297E+02    0.2923414737E+00    0.0000000000E+00
       106    0.2335330000E+02    0.2938291111E+02    0.2896045580E+00    0.0000000000E+00
       107    0.2498340000E+02    0.3132206686E+02    0.2882658330E+00    0.0000000000E+00
       108    0.3413013333E+02    0.3323341761E+02    0.2869463036E+00    0.0000000000E+00
       109    0.3871113333E+02    0.3697529358E+02    0.2843630439E+00    0.0000000000E+00
       110    0.4574376667E+02    0.4061351016E+02    0.2818513470E+00    0.0000000000E+00
       111    0.4908086667E+02    0.4415272620E+02    0.2794079966E+00    0.0000000000E+00
       112    0.5412566667E+02    0.4759731300E+02    0.2770299749E+00    0.0000000000E+00
       113    0.5592400000E+02    0.4928541325E+02    0.2758645698E+00    0.0000000000E+00
       114    0.5834003333E+02    0.5095137636E+02    0.2747144474E+00    0.0000000000E+00
       115    0.6338693333E+02    0.5421877787E+02    0.2724587482E+00    0.0000000000E+00
       116    0.1739346667E+02    0.2065820899E+02    0.2956277858E+00    0.0000000000E+00
       117    0.1596020000E+02    0.1992302731E+02    0.2961353294E+00    0.0000000000E+00
       118    0.1519966667E+02    0.1953222121E+02    0.2964051282E+00    0.0000000000E+00
       119    0.1462273333E+02    0.1912532289E+02    0.2966860365E+00    0.0000000000E+00
       120    0.1577603333E+02    0.1826129225E+02    0.2972825329E+00    0.0000000000E+00
       121    0.1301593333E+02    0.1732682378E+02    0.2979276571E+00    0.0000000000E+00
       122    0.1339103333E+02    0.1631746491E+02    0.2986244830E+00    0.0000000000E+00
       123    0.1529943333E+02    0.1522838718E+02    0.2993763440E+00    0.0000000000E+00
       124    0.1242090000E+02    0.1465233164E+02    0.2997740325E+00    0.0000000000E+00
       125    0.1194016667E+02    0.1405434365E+02    0.3001868624E+00    0.0000000000E+00
       126    0.1395766667E+02    0.1278962300E+02    0.3010599811E+00    0.0000000000E+00
       127    0.5977913333E+02    0.5419926471E+02    0.2724722194E+00    0.0000000000E+00
       128    0.5274676667E+02    0.5076348122E+02    0.2748441636E+00    0.0000000000E+00
       129    0.4744456667E+02    0.4895173766E+02    0.2760949277E+00    0.0000000000E+00
       130    0.4271046667E+02    0.4707338859E+02    0.2773916739E+00    0.0000000000E+00
       131    0.3855643333E+02    0.4310352043E+02    0.2801323314E+00    0.0000000000E+00
       132    0.3220636667E+02    0.3882480529E+02    0.2830862060E+00    0.0000000000E+00
       133    0.2608033333E+02    0.3420389023E+02    0.2862763234E+00    0.0000000000E+00
       134    0.2318960000E+02    0.2920230241E+02    0.2897292439E+00    0.0000000000E+00
       135    0.1569666667E+02    0.2654508114E+02    0.2915636961E+00    0.0000000000E+00
       136    0.1263756667E+02    0.2377540239E+02    0.2934757850E+00    0.0000000000E+00
       137    0.1576773333E+02    0.1787106483E+02    0.2975519322E+00    0.0000000000E+00
       138    0.1876863333E+02    0.1870214326E+02    0.2853069131E+00    0.1000000000E+01
       139    0.2272800000E+02    0.3227607709E+02    0.2759359461E+00    0.1000000000E+01
       140    0.2911583333E+02    0.3881530907E+02    0.2714214901E+00    0.1000000000E+01
       141    0.3464173333E+02    0.4519671190E+02    0.2670159938E+00    0.1000000000E+01
       142    0.4469730000E+02    0.5750663732E+02    0.2585176538E+00    0.1000000000E+01
       143    0.6769980000E+02    0.6924495413E+02    0.2504139323E+00    0.1000000000E+01
       144    0.8876800000E+02    0.8044761709E+02    0.2426800074E+00    0.1000000000E+01
       145    0.9001296667E+02    0.9114773767E+02    0.2352930201E+00    0.1000000000E+01
       146    0.9820813333E+02    0.9631898172E+02    0.2317229749E+00    0.1000000000E+01
       147    0.1150665667E+03    0.1013758544E+03    0.2282318877E+00    0.1000000000E+01
       148    0.1240794333E+03    0.1111601712E+03    0.2214771391E+00    0.1000000000E+01
       149    0.6961473333E+02    0.4991244826E+02    0.2637604151E+00    0.1000000000E+01
       150    0.6873096667E+02    0.5896556687E+02    0.2575104601E+00    0.1000000000E+01
       151    0.6801640000E+02    0.6336279586E+02    0.2544747677E+00    0.1000000000E+01
       152    0.6587150000E+02    0.6767705829E+02    0.2514963525E+00    0.1000000000E+01
       153    0.6905330000E+02    0.7606590192E+02    0.2457049896E+00    0.1000000000E+01
       154    0.7560066667E+02    0.8414969657E+02    0.2401242218E+00    0.1000000000E+01
       155    0.8448030000E+02    0.9194478446E+02    0.2347427670E+00    0.1000000000E+01
       156    0.9811226667E+02    0.9946636032E+02    0.2295501353E+00    0.1000000000E+01
       157    0.1105675667E+03    0.1031290409E+03    0.2270215493E+00    0.1000000000E+01
       158    0.1186644000E+03    0.1067285716E+03    0.2245365598E+00    0.1000000000E+01
       159    0.1239530333E+03    0.1137446062E+03    0.2196929360E+00    0.1000000000E+01
       160    0.1662153333E+02    0.1149505516E+02    0.2902824335E+00    0.1000000000E+01
       161    0.2838256667E+02    0.2720349015E+02    0.2794378819E+00    0.1000000000E+01
       162    0.2881536667E+02    0.3462760276E+02    0.2743125354E+00    0.1000000000E+01
       163    0.3478613333E+02    0.4178585639E+02    0.2693707286E+00    0.1000000000E+01
       164    0.4475480000E+02    0.5536065499E+02    0.2599991646E+00    0.1000000000E+01
       165    0.5756113333E+02    0.6802994908E+02    0.2512527291E+00    0.1000000000E+01
       166    0.6879203333E+02    0.7988217986E+02    0.2430703654E+00    0.1000000000E+01
       167    0.8769866667E+02    0.9099441194E+02    0.2353988708E+00    0.1000000000E+01
       168    0.9953940000E+02    0.9629445238E+02    0.2317399091E+00    0.1000000000E+01
       169    0.1128509667E+03    0.1014341408E+03    0.2281916488E+00    0.1000000000E+01
       170    0.1218290333E+03    0.1112607623E+03    0.2214076946E+00    0.1000000000E+01
