     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1129134333E+03    0.1044043771E+03    0.4177305629E+01    0.4484155086E-07    0.1534095976E+02
         2    0.5741510000E+02    0.5471750269E+02    0.3682795564E+01    0.1386172536E-05    0.6378801953E+01
         3    0.6408266667E+02    0.6919303712E+02    0.3824619055E+01    0.1386172536E-05    0.4901136945E+01
         4    0.9851213333E+02    0.9286636603E+02    0.4062624925E+01    0.1386172536E-05    0.1353575680E+02
         5    0.9577526667E+02    0.8820244363E+02    0.4016671334E+01    0.1386172536E-05    0.1354011884E+02
         6    0.5629570000E+02    0.5552048563E+02    0.3691072363E+01    0.1386172536E-05    0.7042896764E+01
         7    0.6416440000E+02    0.6965201100E+02    0.3829480340E+01    0.1386172536E-05    0.5518204602E+01
         8    0.4909853333E+02    0.4383629531E+02    0.3575788413E+01    0.4484155086E-07    0.6763368780E+01
         9    0.5078230000E+02    0.5330885874E+02    0.3668255107E+01    0.4484155086E-07    0.5176429337E+01
        10    0.4487846667E+02    0.5019037082E+02    0.3641575793E+01    0.8171276545E-02    0.9802253213E+01
        11    0.3941803333E+02    0.3459584424E+02    0.3485773927E+01    0.1010208374E-08    0.8651017188E+01
        12    0.4091123333E+02    0.3906426139E+02    0.3528821673E+01    0.1010208374E-08    0.6862693289E+01
        13    0.1155721667E+03    0.1061325062E+03    0.4195614171E+01    0.1010208374E-08    0.1767314620E+02
        14    0.1317270667E+03    0.1304692396E+03    0.4435342023E+01    0.1010208374E-08    0.1753783522E+02
        15    0.4379320000E+02    0.3016614180E+02    0.3440116619E+01    0.1010208374E-08    0.4991395524E+01
        16    0.4094110000E+02    0.3520369173E+02    0.3488919964E+01    0.1010208374E-08    0.3471997385E+01
        17    0.1067330000E+03    0.8948614870E+02    0.4027170895E+01    0.8171276545E-02    0.6876923649E+01
        18    0.1236949333E+03    0.1188333736E+03    0.4315608357E+01    0.8171276545E-02    0.5537111989E+01
        19    0.1185663333E+03    0.1143103987E+03    0.4270003103E+01    0.4484155086E-07    0.6394918125E+01
        20    0.5631520000E+02    0.6597301330E+02    0.3793815073E+01    0.1386172536E-05    0.6585117318E+01
        21    0.4281686667E+02    0.3095357467E+02    0.3452603935E+01    0.0000000000E+00    0.1360370738E+02
        22    0.6653600000E+02    0.7906645680E+02    0.3922440559E+01    0.1386172536E-05    0.5873243694E+01
        23    0.6544593333E+02    0.6455273152E+02    0.3778011513E+01    0.1386172536E-05    0.3290516990E+01
        24    0.7081320000E+02    0.7860638103E+02    0.3915952998E+01    0.1386172536E-05    0.2313815084E+01
        25    0.9909350000E+02    0.1070270109E+03    0.4197052092E+01    0.1386172536E-05    0.4237704621E+01
        26    0.9879613333E+02    0.1025356645E+03    0.4152796538E+01    0.1386172536E-05    0.4237620263E+01
        27    0.5754726667E+02    0.7048778581E+02    0.3837236290E+01    0.1386172536E-05    0.4645083897E+01
        28    0.3968340000E+02    0.3552961557E+02    0.3495221536E+01    0.0000000000E+00    0.9100340662E+01
        29    0.6419260000E+02    0.8340636403E+02    0.3964259045E+01    0.1386172536E-05    0.4152336729E+01
        30    0.4755836667E+02    0.5918603511E+02    0.3726482748E+01    0.4484155086E-07    0.5753547789E+01
        31    0.4298803333E+02    0.3590272152E+02    0.3500342148E+01    0.0000000000E+00    0.1173085911E+02
        32    0.5702396667E+02    0.6762408176E+02    0.3809244600E+01    0.4484155086E-07    0.5056874477E+01
        33    0.6448746667E+02    0.6980562106E+02    0.3829480340E+01    0.1386172536E-05    0.2761302868E+01
        34    0.6892443333E+02    0.8334456512E+02    0.3962433746E+01    0.1386172536E-05    0.1936824594E+01
        35    0.5462010000E+02    0.5804085491E+02    0.3713517400E+01    0.4484155086E-07    0.2691173662E+01
        36    0.6024150000E+02    0.6709005887E+02    0.3802216104E+01    0.4484155086E-07    0.1839333254E+01
        37    0.6916680000E+02    0.7593293386E+02    0.3889999121E+01    0.8171276545E-02    0.2740917213E+00
        38    0.6074053333E+02    0.6057842544E+02    0.3736774847E+01    0.1010208374E-08   -0.4899612322E+00
        39    0.5625880000E+02    0.4899971251E+02    0.3623694798E+01    0.0000000000E+00    0.1351251182E+01
        40    0.6976280000E+02    0.6454395130E+02    0.3775738491E+01    0.1010208374E-08   -0.6915700416E+00
        41    0.6109540000E+02    0.6037920750E+02    0.3735691051E+01    0.1010208374E-08    0.1111432500E+01
        42    0.6641613333E+02    0.6444901082E+02    0.3775520208E+01    0.1010208374E-08    0.6147794994E+00
        43    0.1171394000E+03    0.1115827677E+03    0.4244798141E+01    0.1010208374E-08    0.9439925082E+01
        44    0.1298107667E+03    0.1356276759E+03    0.4481529373E+01    0.1010208374E-08    0.9084007119E+01
        45    0.4263683333E+02    0.3930594155E+02    0.3534565791E+01    0.1010208374E-08    0.1298763187E+02
        46    0.3551316667E+02    0.2713482248E+02    0.3422989633E+01    0.0000000000E+00    0.2820021875E+02
        47    0.4331223333E+02    0.4360641503E+02    0.3576048791E+01    0.1010208374E-08    0.1136339631E+02
        48    0.1050881333E+03    0.9517013634E+02    0.4082200278E+01    0.8171276545E-02    0.5095897098E+01
        49    0.3710063333E+02    0.2408975284E+02    0.3383178433E+01    0.0000000000E+00    0.1033826948E+02
        50    0.1270568667E+03    0.1234318506E+03    0.4360447271E+01    0.8171276545E-02    0.4677027856E+01
        51    0.4623996667E+02    0.3518509577E+02    0.3488919964E+01    0.1010208374E-08    0.3805746628E+01
        52    0.4979963333E+02    0.4013010808E+02    0.3536971699E+01    0.1010208374E-08    0.2578158739E+01
        53    0.1048403333E+03    0.9468441256E+02    0.4076857985E+01    0.8171276545E-02    0.4082801440E+01
        54    0.1283589667E+03    0.1236389982E+03    0.4361570780E+01    0.8171276545E-02    0.3005650584E+01
        55    0.1119227000E+03    0.1038496530E+03    0.4170481742E+01    0.4484155086E-07    0.1286763121E+02
        56    0.9410970000E+02    0.9186044813E+02    0.4050847785E+01    0.1386172536E-05    0.1013821546E+02
        57    0.9391083333E+02    0.8683943235E+02    0.4001502608E+01    0.1386172536E-05    0.1037396305E+02
        58    0.5990580000E+02    0.4581897955E+02    0.3595959999E+01    0.8171276545E-02    0.5171711849E+01
        59    0.1167444000E+03    0.1056146762E+03    0.4190398522E+01    0.1010208374E-08    0.1746694692E+02
        60    0.1322718667E+03    0.1306442705E+03    0.4435745624E+01    0.1010208374E-08    0.1513161435E+02
        61    0.1511233333E+02    0.1440407346E+02    0.3471521061E+01    0.1000000000E+01    0.8703088095E+01
        62    0.1506720000E+02    0.2297121880E+02    0.3555826753E+01    0.1000000000E+01    0.8501414286E+01
        63    0.2607280000E+02    0.2728429468E+02    0.3598270309E+01    0.1000000000E+01    0.8400577381E+01
        64    0.3288510000E+02    0.3161722045E+02    0.3640909456E+01    0.1000000000E+01    0.8299740476E+01
        65    0.5040940000E+02    0.4034317364E+02    0.3726779962E+01    0.1000000000E+01    0.8098066667E+01
        66    0.6252836667E+02    0.4915019402E+02    0.3813449264E+01    0.1000000000E+01    0.7896392857E+01
        67    0.6859230000E+02    0.5803941794E+02    0.3900928559E+01    0.1000000000E+01    0.7694719048E+01
        68    0.7457800000E+02    0.6701200325E+02    0.3989229256E+01    0.1000000000E+01    0.7493045238E+01
        69    0.7547360000E+02    0.7152992419E+02    0.4033691254E+01    0.1000000000E+01    0.7392208333E+01
        70    0.7601236667E+02    0.7606912954E+02    0.4078362978E+01    0.1000000000E+01    0.7291371429E+01
        71    0.7978300000E+02    0.8521199882E+02    0.4168341569E+01    0.1000000000E+01    0.7089697619E+01
        72    0.5943460000E+02    0.4427263969E+02    0.3760733745E+01    0.1000000000E+01   -0.5814393939E+00
        73    0.5415630000E+02    0.5030509766E+02    0.3820396084E+01    0.1000000000E+01   -0.1780303030E+00
        74    0.5238350000E+02    0.5328453787E+02    0.3849864755E+01    0.1000000000E+01    0.2367424242E-01
