Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1129134333E+03    0.9282529460E+02    0.2008813874E+02
    0.5741510000E+02    0.4793761333E+02    0.9477486673E+01
    0.6408266667E+02    0.6081121912E+02    0.3271447548E+01
    0.9851213333E+02    0.8241549459E+02    0.1609663874E+02
    0.9577526667E+02    0.7824419393E+02    0.1753107274E+02
    0.5629570000E+02    0.4868891509E+02    0.7606784913E+01
    0.6416440000E+02    0.6125248782E+02    0.2911912176E+01
    0.4909853333E+02    0.3822435719E+02    0.1087417615E+02
    0.5078230000E+02    0.4661774650E+02    0.4164553501E+01
    0.4487846667E+02    0.4419601108E+02    0.6824555838E+00
    0.3941803333E+02    0.3005355978E+02    0.9364473551E+01
    0.4091123333E+02    0.3396109104E+02    0.6950142297E+01
    0.1155721667E+03    0.9448719810E+02    0.2108496856E+02
    0.1317270667E+03    0.1162477813E+03    0.1547928534E+02
    0.4379320000E+02    0.2590915336E+02    0.1788404664E+02
    0.4094110000E+02    0.3033913197E+02    0.1060196803E+02
    0.1067330000E+03    0.7919726036E+02    0.2753573964E+02
    0.1236949333E+03    0.1053793137E+03    0.1831561960E+02
    0.1185663333E+03    0.1012396323E+03    0.1732670104E+02
    0.5631520000E+02    0.5801507923E+02   -0.1699879232E+01
    0.4281686667E+02    0.2704265238E+02    0.1577421428E+02
    0.6653600000E+02    0.6969067545E+02   -0.3154675452E+01
    0.6544593333E+02    0.5658055803E+02    0.8865375305E+01
    0.7081320000E+02    0.6910178641E+02    0.1711413594E+01
    0.9909350000E+02    0.9461772108E+02    0.4475778917E+01
    0.9879613333E+02    0.9060055476E+02    0.8195578573E+01
    0.5754726667E+02    0.6195651120E+02   -0.4409244537E+01
    0.3968340000E+02    0.3091113840E+02    0.8772261599E+01
    0.6419260000E+02    0.7348662417E+02   -0.9294024169E+01
    0.4755836667E+02    0.5190318757E+02   -0.4344820899E+01
    0.4298803333E+02    0.3137594680E+02    0.1161208653E+02
    0.5702396667E+02    0.5941564872E+02   -0.2391682051E+01
    0.6448746667E+02    0.6125248782E+02    0.3234978842E+01
    0.6892443333E+02    0.7332093811E+02   -0.4396504778E+01
    0.5462010000E+02    0.5072629668E+02    0.3893803322E+01
    0.6024150000E+02    0.5877765787E+02    0.1463842128E+01
    0.6916680000E+02    0.6674590035E+02    0.2420899648E+01
    0.6074053333E+02    0.5283742228E+02    0.7903111052E+01
    0.5625880000E+02    0.4257291690E+02    0.1368588310E+02
    0.6976280000E+02    0.5637423122E+02    0.1338856878E+02
    0.6109540000E+02    0.5273904388E+02    0.8356356116E+01
    0.6641613333E+02    0.5635441729E+02    0.1006171604E+02
    0.1171394000E+03    0.9895172679E+02    0.1818767321E+02
    0.1298107667E+03    0.1204403007E+03    0.9370465947E+01
    0.4263683333E+02    0.3448249621E+02    0.8154337124E+01
    0.3551316667E+02    0.2435450208E+02    0.1115866458E+02
    0.4331223333E+02    0.3824799228E+02    0.5064241053E+01
    0.1050881333E+03    0.8419238906E+02    0.2089574427E+02
    0.3710063333E+02    0.2074075879E+02    0.1635987454E+02
    0.1270568667E+03    0.1094494328E+03    0.1760743382E+02
    0.4623996667E+02    0.3033913197E+02    0.1590083469E+02
    0.4979963333E+02    0.3470088541E+02    0.1509874793E+02
    0.1048403333E+03    0.8370745832E+02    0.2113287501E+02
    0.1283589667E+03    0.1095514161E+03    0.1880755060E+02
    0.1119227000E+03    0.9220587654E+02    0.1971682346E+02
    0.9410970000E+02    0.8134645974E+02    0.1276324026E+02
    0.9391083333E+02    0.7686729790E+02    0.1704353544E+02
    0.5990580000E+02    0.4005537302E+02    0.1985042698E+02
    0.1167444000E+03    0.9401376312E+02    0.2273063688E+02
    0.1322718667E+03    0.1162844170E+03    0.1598744967E+02
    0.1511233333E+02    0.2875979825E+02   -0.1364746491E+02
    0.1506720000E+02    0.3641239688E+02   -0.2134519688E+02
    0.2607280000E+02    0.4026508447E+02   -0.1419228447E+02
    0.3288510000E+02    0.4413552638E+02   -0.1125042638E+02
    0.5040940000E+02    0.5193016634E+02   -0.1520766337E+01
    0.6252836667E+02    0.5979731457E+02    0.2731052094E+01
    0.6859230000E+02    0.6773798756E+02    0.8543124418E+00
    0.7457800000E+02    0.7575322085E+02   -0.1175220854E+01
    0.7547360000E+02    0.7978912656E+02   -0.4315526560E+01
    0.7601236667E+02    0.8384406956E+02   -0.7831702891E+01
    0.7978300000E+02    0.9201160877E+02   -0.1222860877E+02
    0.5943460000E+02    0.5501222006E+02    0.4422379935E+01
    0.5415630000E+02    0.6042789148E+02   -0.6271591476E+01
    0.5238350000E+02    0.6310282253E+02   -0.1071932253E+02
    0.4609493333E+02    0.6575523959E+02   -0.1966030625E+02
    0.5043943333E+02    0.7099074219E+02   -0.2055130886E+02
    0.6211446667E+02    0.7613072131E+02   -0.1401625464E+02
    0.7535336667E+02    0.8117133415E+02   -0.5817967488E+01
    0.7547280000E+02    0.8610856344E+02   -0.1063576344E+02
    0.7631323333E+02    0.8853710358E+02   -0.1222387024E+02
    0.7808313333E+02    0.9093820693E+02   -0.1285507359E+02
    0.8207633333E+02    0.9565586611E+02   -0.1357953278E+02
    0.1068950000E+02    0.2270203151E+02   -0.1201253151E+02
    0.2761040000E+02    0.3122058575E+02   -0.3610185747E+01
    0.2953980000E+02    0.3549028699E+02   -0.5950486987E+01
    0.3218210000E+02    0.3976671498E+02   -0.7584614975E+01
    0.4136713333E+02    0.4833910186E+02   -0.6971968531E+01
    0.4472750000E+02    0.5693647774E+02   -0.1220897774E+02
    0.6125163333E+02    0.6555762044E+02   -0.4305987110E+01
    0.6651516667E+02    0.7420135231E+02   -0.7686185643E+01
    0.6935780000E+02    0.7853133285E+02   -0.9173532851E+01
    0.7244110000E+02    0.8286653825E+02   -0.1042543825E+02
    0.7973906667E+02    0.9155208394E+02   -0.1181301727E+02
    0.1244658000E+03    0.1324167510E+03   -0.7950950969E+01
    0.1227551333E+03    0.1289841312E+03   -0.6228997869E+01
    0.1222562000E+03    0.1272554783E+03   -0.4999278253E+01
    0.1211050000E+03    0.1255184576E+03   -0.4413457553E+01
    0.1179466667E+03    0.1220188821E+03   -0.4072215407E+01
    0.1137695667E+03    0.1184845191E+03   -0.4714952439E+01
    0.1092017667E+03    0.1149144429E+03   -0.5712676218E+01
    0.1067584667E+03    0.1113076849E+03   -0.4549218262E+01
    0.1053764667E+03    0.1094902353E+03   -0.4113768613E+01
    0.1040530000E+03    0.1076632312E+03   -0.3610231219E+01
    0.1005121667E+03    0.1039800191E+03   -0.3467852460E+01
    0.1408233333E+02    0.2414279272E+02   -0.1006045938E+02
    0.2335330000E+02    0.2707718141E+02   -0.3723881405E+01
    0.2498340000E+02    0.2853279076E+02   -0.3549390764E+01
    0.3413013333E+02    0.2998081995E+02    0.4149313388E+01
    0.3871113333E+02    0.3285455225E+02    0.5856581080E+01
    0.4574376667E+02    0.3569918362E+02    0.1004458304E+02
    0.4908086667E+02    0.3851548318E+02    0.1056538349E+02
    0.5412566667E+02    0.4130418609E+02    0.1282148057E+02
    0.5592400000E+02    0.4268840979E+02    0.1323559021E+02
    0.5834003333E+02    0.4406599569E+02    0.1427403764E+02
    0.6338693333E+02    0.4680158533E+02    0.1658534801E+02
    0.1739346667E+02    0.2069115535E+02   -0.3297688680E+01
    0.1596020000E+02    0.2016490801E+02   -0.4204708006E+01
    0.1519966667E+02    0.1988590042E+02   -0.4686233752E+01
    0.1462273333E+02    0.1959594325E+02   -0.4973209915E+01
    0.1577603333E+02    0.1898204932E+02   -0.3206015985E+01
    0.1301593333E+02    0.1832087617E+02   -0.5304942840E+01
    0.1339103333E+02    0.1760992458E+02   -0.4218891242E+01
    0.1529943333E+02    0.1684653411E+02   -0.1547100773E+01
    0.1242090000E+02    0.1644429562E+02   -0.4023395617E+01
    0.1194016667E+02    0.1602786996E+02   -0.4087703290E+01
    0.1395766667E+02    0.1515090836E+02   -0.1193241693E+01
    0.5977913333E+02    0.4678511379E+02    0.1299401954E+02
    0.5274676667E+02    0.4391004816E+02    0.8836718511E+01
    0.4744456667E+02    0.4241387287E+02    0.5030693800E+01
    0.4271046667E+02    0.4087693902E+02    0.1833527642E+01
    0.3855643333E+02    0.3767546382E+02    0.8809695129E+00
    0.3220636667E+02    0.3429433167E+02   -0.2087965000E+01
    0.2608033333E+02    0.3072115434E+02   -0.4640821008E+01
    0.2318960000E+02    0.2694229387E+02   -0.3752693872E+01
    0.1569666667E+02    0.2497108496E+02   -0.9274418292E+01
    0.1263756667E+02    0.2294268128E+02   -0.1030511462E+02
    0.1576773333E+02    0.1870559941E+02   -0.2937866075E+01
    0.1876863333E+02    0.3179851701E+02   -0.1302988368E+02
    0.2272800000E+02    0.4260329565E+02   -0.1987529565E+02
    0.2911583333E+02    0.4807477728E+02   -0.1895894394E+02
    0.3464173333E+02    0.5359256997E+02   -0.1895083664E+02
    0.4469730000E+02    0.6476785621E+02   -0.2007055621E+02
    0.6769980000E+02    0.7613072131E+02   -0.8430921309E+01
    0.8876800000E+02    0.8768278297E+02    0.1085217025E+01
    0.9001296667E+02    0.9942570967E+02   -0.9412743005E+01
    0.9820813333E+02    0.1053692827E+03   -0.7161149384E+01
    0.1150665667E+03    0.1113612208E+03    0.3705345896E+01
    0.1240794333E+03    0.1234910867E+03    0.5883466089E+00
    0.6961473333E+02    0.5778854925E+02    0.1182618408E+02
    0.6873096667E+02    0.6614120213E+02    0.2589764534E+01
    0.6801640000E+02    0.7034624281E+02   -0.2329842811E+01
    0.6587150000E+02    0.7457060221E+02   -0.8699102206E+01
    0.6905330000E+02    0.8307781212E+02   -0.1402451212E+02
    0.7560066667E+02    0.9166391425E+02   -0.1606324759E+02
    0.8448030000E+02    0.1003300111E+03   -0.1584971112E+02
    0.9811226667E+02    0.1090772259E+03   -0.1096495924E+02
    0.1105675667E+03    0.1134816093E+03   -0.2914042598E+01
    0.1186644000E+03    0.1179067029E+03    0.7576971077E+00
    0.1239530333E+03    0.1268196080E+03   -0.2866574677E+01
    0.1662153333E+02    0.2634524084E+02   -0.9723707503E+01
    0.2838256667E+02    0.3848073870E+02   -0.1009817204E+02
    0.2881536667E+02    0.4455011875E+02   -0.1573475209E+02
    0.3478613333E+02    0.5062086039E+02   -0.1583472706E+02
    0.4475480000E+02    0.6276709752E+02   -0.1801229752E+02
    0.5756113333E+02    0.7492057040E+02   -0.1735943707E+02
    0.6879203333E+02    0.8708209489E+02   -0.1829006155E+02
    0.8769866667E+02    0.9925223638E+02   -0.1155356971E+02
    0.9953940000E+02    0.1053406577E+03   -0.5801257706E+01
    0.1128509667E+03    0.1114313538E+03    0.1419612849E+01
    0.1218290333E+03    0.1236196356E+03   -0.1790602295E+01
Prediction RMSE and MaxAE:        11.1580976699       27.5357396382
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1129134333E+03    0.1021209710E+03    0.1079246229E+02
    0.5741510000E+02    0.5555991699E+02    0.1855183013E+01
    0.6408266667E+02    0.7014482495E+02   -0.6062158286E+01
    0.9851213333E+02    0.9233261643E+02    0.6179516905E+01
    0.9577526667E+02    0.8825348450E+02    0.7521782166E+01
    0.5629570000E+02    0.5644188639E+02   -0.1461863877E+00
    0.6416440000E+02    0.7062560273E+02   -0.6461202727E+01
    0.4909853333E+02    0.4378971643E+02    0.5308816902E+01
    0.5078230000E+02    0.5400088173E+02   -0.3218581728E+01
    0.4487846667E+02    0.5096974826E+02   -0.6091281593E+01
    0.3941803333E+02    0.3332897026E+02    0.6089063075E+01
    0.4091123333E+02    0.3839820980E+02    0.2513023536E+01
    0.1155721667E+03    0.1036341263E+03    0.1193804032E+02
    0.1317270667E+03    0.1222943633E+03    0.9432703347E+01
    0.4379320000E+02    0.2781379601E+02    0.1597940399E+02
    0.4094110000E+02    0.3370367999E+02    0.7237420012E+01
    0.1067330000E+03    0.8905557744E+02    0.1767742256E+02
    0.1236949333E+03    0.1130953803E+03    0.1059955306E+02
    0.1185663333E+03    0.1096487140E+03    0.8917619379E+01
    0.5631520000E+02    0.6706969244E+02   -0.1075449244E+02
    0.4281686667E+02    0.2933669294E+02    0.1348017372E+02
    0.6653600000E+02    0.7959002375E+02   -0.1305402375E+02
    0.6544593333E+02    0.6547257512E+02   -0.2664178470E-01
    0.7081320000E+02    0.7897822453E+02   -0.8165024528E+01
    0.9909350000E+02    0.1037523843E+03   -0.4658884304E+01
    0.9879613333E+02    0.1000744490E+03   -0.1278315693E+01
    0.5754726667E+02    0.7139013879E+02   -0.1384287213E+02
    0.3968340000E+02    0.3445220185E+02    0.5231198152E+01
    0.6419260000E+02    0.8348559563E+02   -0.1929299563E+02
    0.4755836667E+02    0.6017097702E+02   -0.1261261035E+02
    0.4298803333E+02    0.3505846064E+02    0.7929572698E+01
    0.5702396667E+02    0.6861624716E+02   -0.1159228050E+02
    0.6448746667E+02    0.7062560273E+02   -0.6138136060E+01
    0.6892443333E+02    0.8331727738E+02   -0.1439284404E+02
    0.5462010000E+02    0.5881384873E+02   -0.4193748728E+01
    0.6024150000E+02    0.6791332365E+02   -0.7671823649E+01
    0.6916680000E+02    0.7637215347E+02   -0.7205353469E+01
    0.6074053333E+02    0.6124158269E+02   -0.5010493560E+00
    0.5625880000E+02    0.4914510956E+02    0.7113690440E+01
    0.6976280000E+02    0.6524178581E+02    0.4521014192E+01
    0.6109540000E+02    0.6112912190E+02   -0.3372189550E-01
    0.6641613333E+02    0.6521960583E+02    0.1196527507E+01
    0.1171394000E+03    0.1076344241E+03    0.9504975940E+01
    0.1298107667E+03    0.1256601842E+03    0.4150582465E+01
    0.4263683333E+02    0.3906529120E+02    0.3571542128E+01
    0.3551316667E+02    0.2570699500E+02    0.9806171663E+01
    0.4331223333E+02    0.4381921237E+02   -0.5069790401E+00
    0.1050881333E+03    0.9390423595E+02    0.1118389739E+02
    0.3710063333E+02    0.2072737625E+02    0.1637325708E+02
    0.1270568667E+03    0.1165468442E+03    0.1051002248E+02
    0.4623996667E+02    0.3370367999E+02    0.1253628668E+02
