     Index       y_measurement           y_fitting        descriptor_1
         1    0.2935234994E+03    0.2717441549E+03    0.4177305629E+01
         2    0.1587309654E+03    0.1505684518E+03    0.3682795564E+01
         3    0.1746566799E+03    0.1853211545E+03    0.3824619055E+01
         4    0.2635678493E+03    0.2436425733E+03    0.4062624925E+01
         5    0.2592711134E+03    0.2323820165E+03    0.4016671334E+01
         6    0.1533371356E+03    0.1525966147E+03    0.3691072363E+01
         7    0.1737380718E+03    0.1865123732E+03    0.3829480340E+01
         8    0.1354613601E+03    0.1243472125E+03    0.3575788413E+01
         9    0.1415692716E+03    0.1470054301E+03    0.3668255107E+01
        10    0.1215912466E+03    0.1404678794E+03    0.3641575793E+01
        11    0.1096500264E+03    0.1022898887E+03    0.3485773927E+01
        12    0.1139947988E+03    0.1128383917E+03    0.3528821673E+01
        13    0.3022450560E+03    0.2762305155E+03    0.4195614171E+01
        14    0.3443617784E+03    0.3349738922E+03    0.4435342023E+01
        15    0.1198075480E+03    0.9110193363E+02    0.3440116619E+01
        16    0.1135857840E+03    0.1030607997E+03    0.3488919964E+01
        17    0.2788580290E+03    0.2349548492E+03    0.4027170895E+01
        18    0.3189353197E+03    0.3056341230E+03    0.4315608357E+01
        19    0.3054724589E+03    0.2944589233E+03    0.4270003103E+01
        20    0.1557885917E+03    0.1777728871E+03    0.3793815073E+01
        21    0.1177067906E+03    0.9416184970E+02    0.3452603935E+01
        22    0.1777489072E+03    0.2092915251E+03    0.3922440559E+01
        23    0.1784743125E+03    0.1739003522E+03    0.3778011513E+01
        24    0.1956337281E+03    0.2077018006E+03    0.3915952998E+01
        25    0.2605553334E+03    0.2765828664E+03    0.4197052092E+01
        26    0.2590247442E+03    0.2657383999E+03    0.4152796538E+01
        27    0.1618420223E+03    0.1884129062E+03    0.3837236290E+01
        28    0.1079419546E+03    0.1046049491E+03    0.3495221536E+01
        29    0.1750833160E+03    0.2195388078E+03    0.3964259045E+01
        30    0.1299731940E+03    0.1612736439E+03    0.3726482748E+01
        31    0.1169255214E+03    0.1058597138E+03    0.3500342148E+01
        32    0.1562825046E+03    0.1815537683E+03    0.3809244600E+01
        33    0.1770777058E+03    0.1865123732E+03    0.3829480340E+01
        34    0.1900791570E+03    0.2190915330E+03    0.3962433746E+01
        35    0.1509485565E+03    0.1580965900E+03    0.3713517400E+01
        36    0.1653278390E+03    0.1798314920E+03    0.3802216104E+01
        37    0.1854096194E+03    0.2013420123E+03    0.3889999121E+01
        38    0.1640343275E+03    0.1637956398E+03    0.3736774847E+01
        39    0.1464641946E+03    0.1360862858E+03    0.3623694798E+01
        40    0.1858012828E+03    0.1733433665E+03    0.3775738491E+01
        41    0.1653253369E+03    0.1635300643E+03    0.3735691051E+01
        42    0.1777252035E+03    0.1732898780E+03    0.3775520208E+01
        43    0.3048441671E+03    0.2882826507E+03    0.4244798141E+01
        44    0.3431197118E+03    0.3462917298E+03    0.4481529373E+01
        45    0.1196200687E+03    0.1142459415E+03    0.3534565791E+01
        46    0.9846246946E+02    0.8690510384E+02    0.3422989633E+01
        47    0.1234999985E+03    0.1244110161E+03    0.3576048791E+01
        48    0.2754221649E+03    0.2484393557E+03    0.4082200278E+01
        49    0.1012461757E+03    0.7714969037E+02    0.3383178433E+01
        50    0.3280589644E+03    0.3166215372E+03    0.4360447271E+01
        51    0.1252586322E+03    0.1030607997E+03    0.3488919964E+01
        52    0.1336360451E+03    0.1148354898E+03    0.3536971699E+01
        53    0.2730061052E+03    0.2471302699E+03    0.4076857985E+01
        54    0.3342069804E+03    0.3168968441E+03    0.4361570780E+01
        55    0.2925690386E+03    0.2700720165E+03    0.4170481742E+01
        56    0.2499290681E+03    0.2407566802E+03    0.4050847785E+01
        57    0.2494959393E+03    0.2286650425E+03    0.4001502608E+01
        58    0.1635212792E+03    0.1292900970E+03    0.3595959999E+01
        59    0.3044292394E+03    0.2749524628E+03    0.4190398522E+01
        60    0.3466922574E+03    0.3350727913E+03    0.4435745624E+01
        61    0.7539411855E+02    0.9879733886E+02    0.3471521061E+01
        62    0.8308542094E+02    0.1194557687E+03    0.3555826753E+01
        63    0.1161810959E+03    0.1298562198E+03    0.3598270309E+01
        64    0.1374857342E+03    0.1403045989E+03    0.3640909456E+01
        65    0.1810345920E+03    0.1613464738E+03    0.3726779962E+01
        66    0.2137989748E+03    0.1825840873E+03    0.3813449264E+01
        67    0.2362153392E+03    0.2040201830E+03    0.3900928559E+01
        68    0.2531818108E+03    0.2256575566E+03    0.3989229256E+01
        69    0.2540849331E+03    0.2365526106E+03    0.4033691254E+01
        70    0.2565445535E+03    0.2474990563E+03    0.4078362978E+01
        71    0.2716754675E+03    0.2695475843E+03    0.4168341569E+01
        72    0.1656333067E+03    0.1696665745E+03    0.3760733745E+01
        73    0.1614262859E+03    0.1842863495E+03    0.3820396084E+01
        74    0.1638021596E+03    0.1915074096E+03    0.3849864755E+01
        75    0.1557274398E+03    0.1986676925E+03    0.3879085398E+01
        76    0.1765848111E+03    0.2128010960E+03    0.3936762887E+01
        77    0.2133581471E+03    0.2266766309E+03    0.3993388031E+01
        78    0.2477361032E+03    0.2402839232E+03    0.4048918495E+01
        79    0.2563639819E+03    0.2536121285E+03    0.4103310023E+01
        80    0.2589913668E+03    0.2601680488E+03    0.4130064302E+01
        81    0.2636269676E+03    0.2666499024E+03    0.4156516320E+01
        82    0.2787418701E+03    0.2793853713E+03    0.4208488930E+01
        83    0.7419914298E+02    0.8244420756E+02    0.3404785009E+01
        84    0.1199555727E+03    0.1054403118E+03    0.3498630596E+01
        85    0.1275768211E+03    0.1169665041E+03    0.3545668228E+01
        86    0.1365911272E+03    0.1285108555E+03    0.3592779966E+01
        87    0.1664174620E+03    0.1516522829E+03    0.3687218607E+01
        88    0.1835905845E+03    0.1748611685E+03    0.3781932541E+01
        89    0.2269835653E+03    0.1981342135E+03    0.3876908305E+01
        90    0.2427378609E+03    0.2214682388E+03    0.3972132926E+01
        91    0.2489758592E+03    0.2331571569E+03    0.4019834631E+01
        92    0.2556213033E+03    0.2448601799E+03    0.4067593897E+01
        93    0.2752750396E+03    0.2683070828E+03    0.4163279164E+01
        94    0.3579410584E+03    0.3786225325E+03    0.4613469250E+01
        95    0.3560854796E+03    0.3693560679E+03    0.4575653418E+01
        96    0.3559526572E+03    0.3646895150E+03    0.4556609523E+01
