     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2935234994E+03    0.2797501083E+03    0.2393887565E+00    0.3837247635E+01
         2    0.1587309654E+03    0.1628874481E+03    0.2715328566E+00    0.3227774206E+01
         3    0.1746566799E+03    0.1937028377E+03    0.2614639486E+00    0.3777107799E+01
         4    0.2635678493E+03    0.2499353092E+03    0.2461462770E+00    0.4033886878E+01
         5    0.2592711134E+03    0.2401757344E+03    0.2489623663E+00    0.3950872478E+01
         6    0.1533371356E+03    0.1637143626E+03    0.2709239760E+00    0.3325147041E+01
         7    0.1737380718E+03    0.1933084771E+03    0.2611320365E+00    0.3882494730E+01
         8    0.1354613601E+03    0.1304293043E+03    0.2796586052E+00    0.3254201104E+01
         9    0.1415692716E+03    0.1504979183E+03    0.2726091755E+00    0.3731998601E+01
        10    0.1215912466E+03    0.1296057388E+03    0.2746063948E+00    0.4537796455E+01
        11    0.1096500264E+03    0.9826290176E+02    0.2868803373E+00    0.3483130502E+01
        12    0.1139947988E+03    0.1051903299E+03    0.2833807125E+00    0.3908200958E+01
        13    0.3022450560E+03    0.2894015813E+03    0.2383441278E+00    0.3494757269E+01
        14    0.3443617784E+03    0.3337944631E+03    0.2254617558E+00    0.3890163562E+01
        15    0.1198075480E+03    0.9126839759E+02    0.2906878199E+00    0.2987101371E+01
        16    0.1135857840E+03    0.1011608834E+03    0.2866216509E+00    0.3366880121E+01
        17    0.2788580290E+03    0.2524650085E+03    0.2483132765E+00    0.3348619142E+01
        18    0.3189353197E+03    0.3052820661E+03    0.2317170413E+00    0.4128727372E+01
        19    0.3054724589E+03    0.2947896848E+03    0.2341918673E+00    0.4174328702E+01
        20    0.1557885917E+03    0.1840731059E+03    0.2635869121E+00    0.3855163762E+01
        21    0.1177067906E+03    0.1003783022E+03    0.2896364653E+00    0.2679771093E+01
        22    0.1777489072E+03    0.2085525231E+03    0.2549433152E+00    0.4448904755E+01
        23    0.1784743125E+03    0.1843635155E+03    0.2646895057E+00    0.3568182152E+01
        24    0.1956337281E+03    0.2118896793E+03    0.2553656799E+00    0.4139311943E+01
        25    0.2605553334E+03    0.2730704179E+03    0.2382624705E+00    0.4525459429E+01
        26    0.2590247442E+03    0.2644107808E+03    0.2408015878E+00    0.4441941704E+01
        27    0.1618420223E+03    0.1936954803E+03    0.2606042277E+00    0.3987315219E+01
        28    0.1079419546E+03    0.1126000941E+03    0.2861048977E+00    0.2784952423E+01
        29    0.1750833160E+03    0.2168595555E+03    0.2522539493E+00    0.4590903326E+01
        30    0.1299731940E+03    0.1626544620E+03    0.2683495585E+00    0.4018845565E+01
        31    0.1169255214E+03    0.1131366982E+03    0.2856863580E+00    0.2853854575E+01
        32    0.1562825046E+03    0.1769999510E+03    0.2625192407E+00    0.4553427527E+01
        33    0.1770777058E+03    0.1946262164E+03    0.2611320365E+00    0.3800936292E+01
        34    0.1900791570E+03    0.2196509169E+03    0.2523701503E+00    0.4389788096E+01
        35    0.1509485565E+03    0.1635318483E+03    0.2692864721E+00    0.3735956482E+01
        36    0.1653278390E+03    0.1800550905E+03    0.2630045144E+00    0.4245941140E+01
        37    0.1854096194E+03    0.1810897873E+03    0.2570694668E+00    0.5629915522E+01
        38    0.1640343275E+03    0.1580771887E+03    0.2676104504E+00    0.4482470636E+01
        39    0.1464641946E+03    0.1449232375E+03    0.2759614305E+00    0.3259157802E+01
        40    0.1858012828E+03    0.1608705316E+03    0.2648488507E+00    0.4983349678E+01
        41    0.1653253369E+03    0.1587360007E+03    0.2676880894E+00    0.4422752869E+01
        42    0.1777252035E+03    0.1619191149E+03    0.2648641630E+00    0.4914714185E+01
        43    0.3048441671E+03    0.2970795943E+03    0.2355824628E+00    0.3693326851E+01
        44    0.3431197118E+03    0.3396902357E+03    0.2231381113E+00    0.4092173917E+01
        45    0.1196200687E+03    0.1090652717E+03    0.2829201829E+00    0.3780728964E+01
        46    0.9846246946E+02    0.8999833779E+02    0.2921422813E+00    0.2710853799E+01
        47    0.1234999985E+03    0.1148114309E+03    0.2796382428E+00    0.4225801294E+01
        48    0.2754221649E+03    0.2606786091E+03    0.2449659331E+00    0.3656931777E+01
        49    0.1012461757E+03    0.8186111520E+02    0.2955800351E+00    0.2375755876E+01
        50    0.3280589644E+03    0.3093856533E+03    0.2293342719E+00    0.4456086013E+01
        51    0.1252586322E+03    0.1038031512E+03    0.2866216509E+00    0.3203343059E+01
        52    0.1336360451E+03    0.1128318209E+03    0.2827277358E+00    0.3594559741E+01
        53    0.2730061052E+03    0.2611308487E+03    0.2452869351E+00    0.3550624373E+01
        54    0.3342069804E+03    0.3114393744E+03    0.2292751970E+00    0.4343388602E+01
        55    0.2925690386E+03    0.2817880000E+03    0.2397804527E+00    0.3615552203E+01
        56    0.2499290681E+03    0.2525356053E+03    0.2468619047E+00    0.3698350919E+01
        57    0.2494959393E+03    0.2418807138E+03    0.2499061223E+00    0.3615092046E+01
        58    0.1635212792E+03    0.1280764938E+03    0.2780898564E+00    0.3782561361E+01
        59    0.3044292394E+03    0.2901360367E+03    0.2386407867E+00    0.3376921926E+01
        60    0.3466922574E+03    0.3357908648E+03    0.2254412414E+00    0.3771605926E+01
        61    0.7539411855E+02    0.7773927355E+02    0.2880581689E+00    0.4466029397E+01
        62    0.8308542094E+02    0.1070214783E+03    0.2812285495E+00    0.4319944323E+01
        63    0.1161810959E+03    0.1212210092E+03    0.2779113058E+00    0.4250427978E+01
        64    0.1374857342E+03    0.1351382409E+03    0.2746566516E+00    0.4183113507E+01
        65    0.1810345920E+03    0.1621597732E+03    0.2683281573E+00    0.4054684584E+01
        66    0.2137989748E+03    0.1881505411E+03    0.2622297901E+00    0.3933906745E+01
        67    0.2362153392E+03    0.2131698692E+03    0.2563492217E+00    0.3820116054E+01
        68    0.2531818108E+03    0.2372724649E+03    0.2506749891E+00    0.3712723233E+01
        69    0.2540849331E+03    0.2489959362E+03    0.2479118845E+00    0.3661259743E+01
        70    0.2565445535E+03    0.2605088788E+03    0.2451964196E+00    0.3611203457E+01
        71    0.2716754675E+03    0.2829259052E+03    0.2399035644E+00    0.3515087776E+01
        72    0.1656333067E+03    0.1431581035E+03    0.2659055567E+00    0.5821807675E+01
        73    0.1614262859E+03    0.1648611756E+03    0.2617529644E+00    0.5491682739E+01
        74    0.1638021596E+03    0.1752674961E+03    0.2597493844E+00    0.5336434795E+01
        75    0.1557274398E+03    0.1853913566E+03    0.2577927262E+00    0.5187221225E+01
        76    0.1765848111E+03    0.2048308057E+03    0.2540158066E+00    0.4905542545E+01
        77    0.2133581471E+03    0.2232519630E+03    0.2504139323E+00    0.4644181672E+01
        78    0.2477361032E+03    0.2407189513E+03    0.2469795332E+00    0.4401016808E+01
        79    0.2563639819E+03    0.2572887154E+03    0.2437056899E+00    0.4174211661E+01
        80    0.2589913668E+03    0.2652532039E+03    0.2421269808E+00    0.4066436583E+01
        81    0.2636269676E+03    0.2730119541E+03    0.2405860877E+00    0.3962168979E+01
        82    0.2787418701E+03    0.2879338856E+03    0.2376149769E+00    0.3763492884E+01
        83    0.7419914298E+02    0.7021441993E+02    0.2937043007E+00    0.3554237078E+01
        84    0.1199555727E+03    0.1016650368E+03    0.2858261175E+00    0.3529768491E+01
        85    0.1275768211E+03    0.1168009474E+03    0.2820342840E+00    0.3518086042E+01
        86    0.1365911272E+03    0.1315625052E+03    0.2783359987E+00    0.3506749691E+01
        87    0.1664174620E+03    0.1600145217E+03    0.2712071365E+00    0.3485055535E+01
        88    0.1835905845E+03    0.1871192611E+03    0.2644150812E+00    0.3464574878E+01
        89    0.2269835653E+03    0.2129663949E+03    0.2579374907E+00    0.3445208671E+01
        90    0.2427378609E+03    0.2376379814E+03    0.2517539112E+00    0.3426868360E+01
        91    0.2489758592E+03    0.2495566997E+03    0.2487664523E+00    0.3418057774E+01
        92    0.2556213033E+03    0.2612092463E+03    0.2458455847E+00    0.3409474531E+01
        93    0.2752750396E+03    0.2837492725E+03    0.2401952789E+00    0.3392955759E+01
        94    0.3579410584E+03    0.3768718456E+03    0.2167566197E+00    0.3347840557E+01
        95    0.3560854796E+03    0.3702686583E+03    0.2185480211E+00    0.3319469027E+01
        96    0.3559526572E+03    0.3669002729E+03    0.2194614208E+00    0.3305099031E+01
        97    0.3545054002E+03    0.3634860349E+03    0.2203869647E+00    0.3290604078E+01
