     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2935234994E+03    0.2932880707E+03    0.6613888356E+03    0.4137996286E+03    0.2387624299E+02
         2    0.1587309654E+03    0.1660414423E+03    0.5550714653E+03    0.3534186667E+03    0.1807055048E+02
         3    0.1746566799E+03    0.1812561597E+03    0.5859316809E+03    0.3942229167E+03    0.9627468329E+01
         4    0.2635678493E+03    0.2561054620E+03    0.6392503467E+03    0.4321965190E+03    0.2244428654E+02
         5    0.2592711134E+03    0.2477339146E+03    0.6291155585E+03    0.4185242089E+03    0.2269503515E+02
         6    0.1533371356E+03    0.1656619059E+03    0.5586557594E+03    0.3688249167E+03    0.1812925838E+02
         7    0.1737380718E+03    0.1810728894E+03    0.5893264453E+03    0.4096291667E+03    0.1000995175E+02
         8    0.1354613601E+03    0.1369344733E+03    0.5342987808E+03    0.3615646345E+03    0.1871090748E+02
         9    0.1415692716E+03    0.1430041766E+03    0.5548559601E+03    0.3889876382E+03    0.1018738138E+02
        10    0.1215912466E+03    0.1305075472E+03    0.5558078171E+03    0.4661166039E+03    0.1899484486E+02
        11    0.1096500264E+03    0.1083500275E+03    0.5217738030E+03    0.4011942715E+03    0.1953458345E+02
        12    0.1139947988E+03    0.1061610263E+03    0.5318634920E+03    0.4150188745E+03    0.1167960259E+02
        13    0.3022450560E+03    0.3135154765E+03    0.6632172620E+03    0.3709195027E+03    0.2639181985E+02
        14    0.3443617784E+03    0.3561754393E+03    0.7140455068E+03    0.4352256658E+03    0.2458550039E+02
        15    0.1198075480E+03    0.1099415365E+03    0.5030039225E+03    0.3228990115E+03    0.1952005633E+02
        16    0.1135857840E+03    0.1058243621E+03    0.5135010936E+03    0.3367236146E+03    0.9872970325E+01
        17    0.2788580290E+03    0.2567890009E+03    0.6268680358E+03    0.3600131847E+03    0.1716078589E+02
        18    0.3189353197E+03    0.2994805199E+03    0.6880820065E+03    0.4397417686E+03    0.9222292149E+01
        19    0.3054724589E+03    0.2963533822E+03    0.6835495183E+03    0.4205629324E+03    0.6597241040E+01
        20    0.1557885917E+03    0.1785587821E+03    0.5877202068E+03    0.4065790833E+03    0.8970348071E+01
        21    0.1177067906E+03    0.9627232392E+02    0.5153154425E+03    0.3318437500E+03    0.0000000000E+00
        22    0.1777489072E+03    0.1982026598E+03    0.6169485576E+03    0.4473833333E+03    0.5308258091E+01
        23    0.1784743125E+03    0.1857301573E+03    0.5778343156E+03    0.3603603333E+03    0.1235619780E+02
        24    0.1956337281E+03    0.2025017696E+03    0.6075059603E+03    0.4011645833E+03    0.6180836585E+01
        25    0.2605553334E+03    0.2721544379E+03    0.6716000735E+03    0.4426632911E+03    0.5787649571E+01
        26    0.2590247442E+03    0.2645632840E+03    0.6619775410E+03    0.4289909810E+03    0.6117157043E+01
        27    0.1618420223E+03    0.1906095291E+03    0.5984152306E+03    0.4100499167E+03    0.8374032577E+01
        28    0.1079419546E+03    0.1088782348E+03    0.5257047156E+03    0.3349062500E+03    0.0000000000E+00
        29    0.1750833160E+03    0.2098311751E+03    0.6271459696E+03    0.4508541667E+03    0.4879819929E+01
        30    0.1299731940E+03    0.1603269299E+03    0.5771852707E+03    0.4186542383E+03    0.8707319250E+01
        31    0.1169255214E+03    0.1087828875E+03    0.5291041352E+03    0.3485000000E+03    0.0000000000E+00
        32    0.1562825046E+03    0.1713058334E+03    0.5962676639E+03    0.4460772420E+03    0.5164110994E+01
        33    0.1770777058E+03    0.1967731884E+03    0.5920718654E+03    0.3792374167E+03    0.1140137223E+02
        34    0.1900791570E+03    0.2134273203E+03    0.6210657467E+03    0.4200416667E+03    0.5787649571E+01
        35    0.1509485565E+03    0.1685925122E+03    0.5674395100E+03    0.3720614097E+03    0.1266435133E+02
        36    0.1653278390E+03    0.1764073040E+03    0.5868265063E+03    0.3994844134E+03    0.6527929495E+01
        37    0.1854096194E+03    0.1832523317E+03    0.6171420254E+03    0.4893120584E+03    0.4470061909E+01
        38    0.1640343275E+03    0.1642207478E+03    0.5864491517E+03    0.4380200420E+03    0.7418344110E+01
        39    0.1464641946E+03    0.1446673009E+03    0.5622706422E+03    0.3712812500E+03    0.0000000000E+00
        40    0.1858012828E+03    0.1671943565E+03    0.5954769987E+03    0.4518446451E+03    0.4333799755E+01
