Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2935234994E+03    0.2717441549E+03    0.2177934451E+02
    0.1587309654E+03    0.1505684520E+03    0.8162513476E+01
    0.1746566799E+03    0.1853211544E+03   -0.1066447450E+02
    0.2635678493E+03    0.2436425734E+03    0.1992527591E+02
    0.2592711134E+03    0.2323820165E+03    0.2688909688E+02
    0.1533371356E+03    0.1525966146E+03    0.7405210302E+00
    0.1737380718E+03    0.1865123731E+03   -0.1277430127E+02
    0.1354613601E+03    0.1243472125E+03    0.1111414758E+02
    0.1415692716E+03    0.1470054301E+03   -0.5436158465E+01
    0.1215912466E+03    0.1404678794E+03   -0.1887663284E+02
    0.1096500264E+03    0.1022898887E+03    0.7360137718E+01
    0.1139947988E+03    0.1128383918E+03    0.1156406988E+01
    0.3022450560E+03    0.2762305155E+03    0.2601454050E+02
    0.3443617784E+03    0.3349738922E+03    0.9387886248E+01
    0.1198075480E+03    0.9110193362E+02    0.2870561434E+02
    0.1135857840E+03    0.1030607998E+03    0.1052498421E+02
    0.2788580290E+03    0.2349548492E+03    0.4390317976E+02
    0.3189353197E+03    0.3056341231E+03    0.1330119654E+02
    0.3054724589E+03    0.2944589233E+03    0.1101353562E+02
    0.1557885917E+03    0.1777728871E+03   -0.2198429541E+02
    0.1177067906E+03    0.9416184979E+02    0.2354494084E+02
    0.1777489072E+03    0.2092915252E+03   -0.3154261798E+02
    0.1784743125E+03    0.1739003522E+03    0.4573960366E+01
    0.1956337281E+03    0.2077018007E+03   -0.1206807260E+02
    0.2605553334E+03    0.2765828664E+03   -0.1602753296E+02
    0.2590247442E+03    0.2657383999E+03   -0.6713655768E+01
    0.1618420223E+03    0.1884129063E+03   -0.2657088396E+02
    0.1079419546E+03    0.1046049491E+03    0.3337005558E+01
    0.1750833160E+03    0.2195388077E+03   -0.4445549175E+02
    0.1299731940E+03    0.1612736439E+03   -0.3130044992E+02
    0.1169255214E+03    0.1058597139E+03    0.1106580750E+02
    0.1562825046E+03    0.1815537684E+03   -0.2527126374E+02
    0.1770777058E+03    0.1865123731E+03   -0.9434667308E+01
    0.1900791570E+03    0.2190915330E+03   -0.2901237607E+02
    0.1509485565E+03    0.1580965901E+03   -0.7148033608E+01
    0.1653278390E+03    0.1798314921E+03   -0.1450365304E+02
    0.1854096194E+03    0.2013420125E+03   -0.1593239303E+02
    0.1640343275E+03    0.1637956399E+03    0.2386876065E+00
    0.1464641946E+03    0.1360862858E+03    0.1037790883E+02
    0.1858012828E+03    0.1733433665E+03    0.1245791634E+02
    0.1653253369E+03    0.1635300643E+03    0.1795272625E+01
    0.1777252035E+03    0.1732898782E+03    0.4435325339E+01
    0.3048441671E+03    0.2882826507E+03    0.1656151650E+02
    0.3431197118E+03    0.3462917297E+03   -0.3172017870E+01
    0.1196200687E+03    0.1142459415E+03    0.5374127259E+01
    0.9846246946E+02    0.8690510377E+02    0.1155736569E+02
    0.1234999985E+03    0.1244110162E+03   -0.9110176476E+00
    0.2754221649E+03    0.2484393557E+03    0.2698280912E+02
    0.1012461757E+03    0.7714969045E+02    0.2409648520E+02
    0.3280589644E+03    0.3166215373E+03    0.1143742707E+02
    0.1252586322E+03    0.1030607998E+03    0.2219783243E+02
    0.1336360451E+03    0.1148354899E+03    0.1880055519E+02
    0.2730061052E+03    0.2471302700E+03    0.2587583521E+02
    0.3342069804E+03    0.3168968442E+03    0.1731013621E+02
    0.2925690386E+03    0.2700720164E+03    0.2249702219E+02
    0.2499290681E+03    0.2407566803E+03    0.9172387844E+01
    0.2494959393E+03    0.2286650425E+03    0.2083089684E+02
    0.1635212792E+03    0.1292900971E+03    0.3423118205E+02
    0.3044292394E+03    0.2749524629E+03    0.2947677647E+02
    0.3466922574E+03    0.3350727913E+03    0.1161946615E+02
    0.7539411855E+02    0.9879733888E+02   -0.2340322032E+02
    0.8308542094E+02    0.1194557688E+03   -0.3637034788E+02
    0.1161810959E+03    0.1298562198E+03   -0.1367512381E+02
    0.1374857342E+03    0.1403045990E+03   -0.2818864793E+01
    0.1810345920E+03    0.1613464740E+03    0.1968811800E+02
    0.2137989748E+03    0.1825840873E+03    0.3121488748E+02
    0.2362153392E+03    0.2040201830E+03    0.3219515626E+02
    0.2531818108E+03    0.2256575566E+03    0.2752425424E+02
    0.2540849331E+03    0.2365526106E+03    0.1753232252E+02
    0.2565445535E+03    0.2474990563E+03    0.9045497182E+01
    0.2716754675E+03    0.2695475845E+03    0.2127883049E+01
    0.1656333067E+03    0.1696665747E+03   -0.4033267944E+01
    0.1614262859E+03    0.1842863494E+03   -0.2286006353E+02
    0.1638021596E+03    0.1915074097E+03   -0.2770525012E+02
    0.1557274398E+03    0.1986676927E+03   -0.4294025288E+02
    0.1765848111E+03    0.2128010961E+03   -0.3621628495E+02
    0.2133581471E+03    0.2266766309E+03   -0.1331848382E+02
    0.2477361032E+03    0.2402839233E+03    0.7452179931E+01
    0.2563639819E+03    0.2536121285E+03    0.2751853400E+01
