     Index       y_measurement           y_fitting        descriptor_1
         1    0.2935234994E+03    0.2725628540E+03    0.4177305629E+01
         2    0.1587309654E+03    0.1505695141E+03    0.3682795564E+01
         3    0.1746566799E+03    0.1855567117E+03    0.3824619055E+01
         4    0.2635678493E+03    0.2442716561E+03    0.4062624925E+01
         5    0.2592711134E+03    0.2329351183E+03    0.4016671334E+01
         6    0.1533371356E+03    0.1526113620E+03    0.3691072363E+01
         7    0.1737380718E+03    0.1867559681E+03    0.3829480340E+01
         8    0.1354613601E+03    0.1241713461E+03    0.3575788413E+01
         9    0.1415692716E+03    0.1469824508E+03    0.3668255107E+01
        10    0.1215912466E+03    0.1404007877E+03    0.3641575793E+01
        11    0.1096500264E+03    0.1019651898E+03    0.3485773927E+01
        12    0.3022450560E+03    0.2770794865E+03    0.4195614171E+01
        13    0.1198075480E+03    0.9070174366E+02    0.3440116619E+01
        14    0.1135857840E+03    0.1027413026E+03    0.3488919964E+01
        15    0.2788580290E+03    0.2355253113E+03    0.4027170895E+01
        16    0.3189353197E+03    0.3066814957E+03    0.4315608357E+01
        17    0.3054724589E+03    0.2954308910E+03    0.4270003103E+01
        18    0.1557885917E+03    0.1779575121E+03    0.3793815073E+01
        19    0.1177067906E+03    0.9378230661E+02    0.3452603935E+01
        20    0.1777489072E+03    0.2096888231E+03    0.3922440559E+01
        21    0.1784743125E+03    0.1740588472E+03    0.3778011513E+01
        22    0.1956337281E+03    0.2080883719E+03    0.3915952998E+01
        23    0.2590247442E+03    0.2665165749E+03    0.4152796538E+01
        24    0.1618420223E+03    0.1886693250E+03    0.3837236290E+01
        25    0.1079419546E+03    0.1042958712E+03    0.3495221536E+01
        26    0.1750833160E+03    0.2200052497E+03    0.3964259045E+01
        27    0.1299731940E+03    0.1613469398E+03    0.3726482748E+01
        28    0.1169255214E+03    0.1055591024E+03    0.3500342148E+01
        29    0.1562825046E+03    0.1817639049E+03    0.3809244600E+01
        30    0.1900791570E+03    0.2195549569E+03    0.3962433746E+01
        31    0.1509485565E+03    0.1581484486E+03    0.3713517400E+01
        32    0.1653278390E+03    0.1800300075E+03    0.3802216104E+01
        33    0.1640343275E+03    0.1638859529E+03    0.3736774847E+01
        34    0.1464641946E+03    0.1359896292E+03    0.3623694798E+01
        35    0.1858012828E+03    0.1734981032E+03    0.3775738491E+01
        36    0.1653253369E+03    0.1636185854E+03    0.3735691051E+01
        37    0.1777252035E+03    0.1734442538E+03    0.3775520208E+01
        38    0.3048441671E+03    0.2892129438E+03    0.4244798141E+01
        39    0.3431197118E+03    0.3476134410E+03    0.4481529373E+01
        40    0.1196200687E+03    0.1140019164E+03    0.3534565791E+01
        41    0.1234999985E+03    0.1242355802E+03    0.3576048791E+01
        42    0.2754221649E+03    0.2491008050E+03    0.4082200278E+01
        43    0.1012461757E+03    0.7665535720E+02    0.3383178433E+01
        44    0.3280589644E+03    0.3177430479E+03    0.4360447271E+01
        45    0.1252586322E+03    0.1027413026E+03    0.3488919964E+01
        46    0.2730061052E+03    0.2477828860E+03    0.4076857985E+01
        47    0.3342069804E+03    0.3180202123E+03    0.4361570780E+01
        48    0.2925690386E+03    0.2708794328E+03    0.4170481742E+01
        49    0.2499290681E+03    0.2413662903E+03    0.4050847785E+01
        50    0.2494959393E+03    0.2291930640E+03    0.4001502608E+01
        51    0.1635212792E+03    0.1291475829E+03    0.3595959999E+01
        52    0.3044292394E+03    0.2757928100E+03    0.4190398522E+01
        53    0.3466922574E+03    0.3363188024E+03    0.4435745624E+01
        54    0.7539411855E+02    0.9844907388E+02    0.3471521061E+01
        55    0.8308542094E+02    0.1192468972E+03    0.3555826753E+01
        56    0.1810345920E+03    0.1614202611E+03    0.3726779962E+01
        57    0.2137989748E+03    0.1828011760E+03    0.3813449264E+01
        58    0.2362153392E+03    0.2043819124E+03    0.3900928559E+01
        59    0.2531818108E+03    0.2261652849E+03    0.3989229256E+01
        60    0.2540849331E+03    0.2371338537E+03    0.4033691254E+01
        61    0.2565445535E+03    0.2481541608E+03    0.4078362978E+01
        62    0.2716754675E+03    0.2703514620E+03    0.4168341569E+01
        63    0.1656333067E+03    0.1697965019E+03    0.3760733745E+01
        64    0.1614262859E+03    0.1845149243E+03    0.3820396084E+01
        65    0.1638021596E+03    0.1917847088E+03    0.3849864755E+01
        66    0.1557274398E+03    0.1989933059E+03    0.3879085398E+01
        67    0.1765848111E+03    0.2132220750E+03    0.3936762887E+01
        68    0.2133581471E+03    0.2271912355E+03    0.3993388031E+01
        69    0.2477361032E+03    0.2408903434E+03    0.4048918495E+01
        70    0.2787418701E+03    0.2802556298E+03    0.4208488930E+01
        71    0.1199555727E+03    0.1051368705E+03    0.3498630596E+01
        72    0.1275768211E+03    0.1167408362E+03    0.3545668228E+01
        73    0.1835905845E+03    0.1750261466E+03    0.3781932541E+01
        74    0.2269835653E+03    0.1984562272E+03    0.3876908305E+01
        75    0.2427378609E+03    0.2219476996E+03    0.3972132926E+01
        76    0.2556213033E+03    0.2454974785E+03    0.4067593897E+01
        77    0.2752750396E+03    0.2691025902E+03    0.4163279164E+01
        78    0.3579410584E+03    0.3801623968E+03    0.4613469250E+01
        79    0.3560854796E+03    0.3708334064E+03    0.4575653418E+01
        80    0.3545054002E+03    0.3614145839E+03    0.4537473444E+01
        81    0.3498113830E+03    0.3519036248E+03    0.4498919987E+01
        82    0.3356323513E+03    0.3325955600E+03    0.4420653154E+01
        83    0.3316835756E+03    0.3227933061E+03    0.4380918909E+01
        84    0.3292392192E+03    0.3178539387E+03    0.4360896776E+01
        85    0.3269858934E+03    0.3128886047E+03    0.4340769385E+01
        86    0.3207503283E+03    0.3028785678E+03    0.4300192875E+01
        87    0.7685966542E+02    0.8590122311E+02    0.3420657313E+01
        88    0.9037831757E+02    0.9387614780E+02    0.3452984328E+01
        89    0.1250793226E+03    0.1095775774E+03    0.3516631368E+01
        90    0.1376933148E+03    0.1173085643E+03    0.3547969561E+01
        91    0.1448486749E+03    0.1249625527E+03    0.3578995634E+01
        92    0.1532934530E+03    0.1325415404E+03    0.3609717686E+01
        93    0.1533473073E+03    0.1363035095E+03    0.3624967138E+01
        94    0.7247803067E+02    0.7509034081E+02    0.3376834510E+01
        95    0.6678121200E+02    0.7433206884E+02    0.3373760792E+01
        96    0.6475675694E+02    0.7354403874E+02    0.3370566447E+01
        97    0.7030410540E+02    0.7187563060E+02    0.3363803417E+01
        98    0.6514082646E+02    0.6814654353E+02    0.3348687255E+01
        99    0.7365959505E+02    0.6607184169E+02    0.3340277280E+01
       100    0.6708569690E+02    0.6497865930E+02    0.3335845975E+01
       101    0.6606186028E+02    0.6384691990E+02    0.3331258376E+01
       102    0.7019308169E+02    0.6146356072E+02    0.3321597233E+01
       103    0.1593068290E+03    0.1474373126E+03    0.3670098927E+01
       104    0.1468949451E+03    0.1396236129E+03    0.3638425451E+01
       105    0.1235282770E+03    0.1226795931E+03    0.3569741469E+01
       106    0.9736886424E+02    0.1037795427E+03    0.3493128556E+01
       107    0.9411222420E+02    0.9350955775E+02    0.3451498325E+01
       108    0.7726231874E+02    0.8815231138E+02    0.3429782285E+01
       109    0.6947861574E+02    0.8263962449E+02    0.3407436154E+01
       110    0.7451208676E+02    0.7112431000E+02    0.3360757877E+01
       111    0.8219213345E+02    0.1067075413E+03    0.3504997440E+01
       112    0.9923806785E+02    0.1360721909E+03    0.3624029469E+01
       113    0.1193451659E+03    0.1509422910E+03    0.3684306646E+01
       114    0.1356927131E+03    0.1659382528E+03    0.3745094014E+01
       115    0.2253661327E+03    0.2271912355E+03    0.3993388031E+01
       116    0.2698899312E+03    0.2585868108E+03    0.4120652585E+01
       117    0.2781444213E+03    0.2905011090E+03    0.4250019825E+01
       118    0.2994904688E+03    0.3066542342E+03    0.4315497850E+01
       119    0.3536124748E+03    0.3559047039E+03    0.4515138691E+01
       120    0.1815617150E+03    0.1773418609E+03    0.3791319480E+01
       121    0.1851328402E+03    0.2000422544E+03    0.3883337397E+01
