     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1746566799E+03    0.1821940786E+03    0.2067112465E+03    0.5854606024E+03
         2    0.2635678493E+03    0.2384640619E+03    0.2301301248E+03    0.6880678353E+03
         3    0.1533371356E+03    0.1493851623E+03    0.1889035986E+03    0.4991713245E+03
         4    0.1354613601E+03    0.1213512221E+03    0.1782268076E+03    0.4543640410E+03
         5    0.1415692716E+03    0.1432430553E+03    0.1903684377E+03    0.5135938844E+03
         6    0.1215912466E+03    0.1316497336E+03    0.1868572947E+03    0.5008255952E+03
         7    0.1096500264E+03    0.9501588259E+02    0.1704036883E+03    0.4263331544E+03
         8    0.1139947988E+03    0.1062565202E+03    0.1762932892E+03    0.4545492075E+03
         9    0.3022450560E+03    0.2882191088E+03    0.2387582143E+03    0.7018253707E+03
        10    0.3443617784E+03    0.3313369005E+03    0.2722488400E+03    0.8795062070E+03
        11    0.1198075480E+03    0.9603267314E+02    0.1661139783E+03    0.3981566642E+03
        12    0.1135857840E+03    0.1077876435E+03    0.1720854884E+03    0.4264685325E+03
        13    0.2788580290E+03    0.2455274762E+03    0.2206302935E+03    0.6216828889E+03
        14    0.3189353197E+03    0.2994153351E+03    0.2601249151E+03    0.8286985609E+03
        15    0.3054724589E+03    0.2894763225E+03    0.2460778266E+03    0.7474244949E+03
        16    0.1177067906E+03    0.9396230534E+02    0.1634838241E+03    0.3831125243E+03
        17    0.1777489072E+03    0.1977005252E+03    0.2134928962E+03    0.6158266908E+03
        18    0.1784743125E+03    0.1740792537E+03    0.1931041655E+03    0.5054789783E+03
        19    0.2605553334E+03    0.2654650109E+03    0.2372986926E+03    0.7113764680E+03
        20    0.1618420223E+03    0.1796217443E+03    0.1973378598E+03    0.5278643370E+03
        21    0.1079419546E+03    0.1060181462E+03    0.1654655592E+03    0.3857522149E+03
        22    0.1750833160E+03    0.2069427330E+03    0.2155631961E+03    0.6213617416E+03
        23    0.1299731940E+03    0.1533551585E+03    0.1871729378E+03    0.4848544831E+03
        24    0.1169255214E+03    0.1064302623E+03    0.1661386985E+03    0.3897000422E+03
        25    0.1562825046E+03    0.1723452456E+03    0.1990398249E+03    0.5447376826E+03
        26    0.1770777058E+03    0.1828622531E+03    0.1960721712E+03    0.5171146682E+03
        27    0.1900791570E+03    0.2100242515E+03    0.2143398996E+03    0.6110139154E+03
        28    0.1653278390E+03    0.1753753845E+03    0.1971457620E+03    0.5301582882E+03
        29    0.1854096194E+03    0.1932442412E+03    0.1986609568E+03    0.5250092396E+03
        30    0.1640343275E+03    0.1620399416E+03    0.1825144189E+03    0.4479751985E+03
        31    0.1858012828E+03    0.1707127393E+03    0.1882288269E+03    0.4772023099E+03
        32    0.1653253369E+03    0.1622848343E+03    0.1820162986E+03    0.4445982801E+03
        33    0.1777252035E+03    0.1709933166E+03    0.1877360406E+03    0.4738298160E+03
        34    0.3431197118E+03    0.3390730046E+03    0.2748536606E+03    0.8896950016E+03
        35    0.9846246946E+02    0.8382508049E+02    0.1630705578E+03    0.3888776187E+03
        36    0.1234999985E+03    0.1180021942E+03    0.1792001895E+03    0.4633410319E+03
        37    0.2754221649E+03    0.2526855993E+03    0.2241032983E+03    0.6378826106E+03
        38    0.1012461757E+03    0.8151090281E+02    0.1590713542E+03    0.3653118631E+03
        39    0.3280589644E+03    0.3046915717E+03    0.2633272212E+03    0.8447324812E+03
        40    0.1252586322E+03    0.1090594589E+03    0.1686512877E+03    0.4035320804E+03
        41    0.1336360451E+03    0.1202647084E+03    0.1745749707E+03    0.4319946234E+03
        42    0.2730061052E+03    0.2562478272E+03    0.2234232155E+03    0.6305978958E+03
        43    0.3342069804E+03    0.3074634268E+03    0.2626794566E+03    0.8383085024E+03
        44    0.2925690386E+03    0.2781150755E+03    0.2395359361E+03    0.7151519632E+03
        45    0.1635212792E+03    0.1377481121E+03    0.1819213861E+03    0.4643215495E+03
        46    0.3044292394E+03    0.2923197632E+03    0.2380547369E+03    0.6939455124E+03
        47    0.3466922574E+03    0.3346186230E+03    0.2715706600E+03    0.8724660085E+03
        48    0.7539411855E+02    0.9130999692E+02    0.1694243190E+03    0.4231628291E+03
        49    0.8308542094E+02    0.1104893028E+03    0.1770057801E+03    0.4555824584E+03
        50    0.1161810959E+03    0.1206428893E+03    0.1808510249E+03    0.4716724340E+03
        51    0.1374857342E+03    0.1311681793E+03    0.1847331043E+03    0.4876891735E+03
        52    0.1810345920E+03    0.1533230085E+03    0.1926092793E+03    0.5195215789E+03
        53    0.2137989748E+03    0.1769349892E+03    0.2006373953E+03    0.5511149419E+03
        54    0.2362153392E+03    0.2019896830E+03    0.2088206501E+03    0.5825016006E+03
        55    0.2716754675E+03    0.2857234664E+03    0.2343349472E+03    0.6757078142E+03
        56    0.1656333067E+03    0.1706962822E+03    0.1823820017E+03    0.4399598747E+03
        57    0.1638021596E+03    0.1847094513E+03    0.1928255456E+03    0.4948967578E+03
        58    0.1557274398E+03    0.1904628265E+03    0.1962785361E+03    0.5121327461E+03
        59    0.2133581471E+03    0.2183378761E+03    0.2099506964E+03    0.5761582105E+03
        60    0.2477361032E+03    0.2349439422E+03    0.2167036123E+03    0.6054301997E+03
        61    0.2563639819E+03    0.2531631418E+03    0.2234017177E+03    0.6330164952E+03
        62    0.2589913668E+03    0.2628435673E+03    0.2267303867E+03    0.6462068430E+03
        63    0.2636269676E+03    0.2728878502E+03    0.2300455660E+03    0.6590097876E+03
        64    0.2787418701E+03    0.2940219788E+03    0.2366357823E+03    0.6834936670E+03
        65    0.7419914298E+02    0.9210399290E+02    0.1632665401E+03    0.3832675518E+03
        66    0.1275768211E+03    0.1263764813E+03    0.1758276449E+03    0.4349132355E+03
        67    0.1365911272E+03    0.1380604267E+03    0.1800843975E+03    0.4523574822E+03
        68    0.1664174620E+03    0.1618309151E+03    0.1887007876E+03    0.4875680181E+03
        69    0.2269835653E+03    0.2110365777E+03    0.2063376675E+03    0.5591848700E+03
        70    0.2489758592E+03    0.2494525100E+03    0.2199110072E+03    0.6138477932E+03
        71    0.2556213033E+03    0.2625541679E+03    0.2245000309E+03    0.6322347381E+03
        72    0.3579410584E+03    0.3763813407E+03    0.2921662477E+03    0.9691020882E+03
        73    0.3560854796E+03    0.3707488342E+03    0.2866421129E+03    0.9385685966E+03
        74    0.3559526572E+03    0.3678433263E+03    0.2838877707E+03    0.9234250211E+03
        75    0.3545054002E+03    0.3648772058E+03    0.2811385514E+03    0.9083643048E+03
        76    0.3498113830E+03    0.3587597071E+03    0.2756553936E+03    0.8784937231E+03
        77    0.3429812803E+03    0.3523893350E+03    0.2701924525E+03    0.8489614617E+03
        78    0.3356323513E+03    0.3457588213E+03    0.2647495228E+03    0.8197722340E+03
        79    0.3316835756E+03    0.3388606146E+03    0.2593263791E+03    0.7909308600E+03
        80    0.3292392192E+03    0.3353086843E+03    0.2566221506E+03    0.7766421544E+03
        81    0.3269858934E+03    0.3316868611E+03    0.2539227740E+03    0.7624422698E+03
        82    0.7685966542E+02    0.8299836658E+02    0.1635285862E+03    0.3924810950E+03
        83    0.9037831757E+02    0.9225947543E+02    0.1650241804E+03    0.3943384523E+03
        84    0.9507898511E+02    0.9686277195E+02    0.1657544481E+03    0.3951780158E+03
        85    0.1152563537E+03    0.1014489582E+03    0.1664731114E+03    0.3959578113E+03
        86    0.1250793226E+03    0.1105731723E+03    0.1678758665E+03    0.3973370101E+03
        87    0.1376933148E+03    0.1196384460E+03    0.1692329231E+03    0.3984738479E+03
        88    0.1532934530E+03    0.1376173765E+03    0.1718118046E+03    0.4000114357E+03
        89    0.1575849665E+03    0.1465435858E+03    0.1730345387E+03    0.4004075796E+03
        90    0.1621881784E+03    0.1554359684E+03    0.1742133935E+03    0.4005521484E+03
        91    0.8311168116E+02    0.7226452347E+02    0.1612600790E+03    0.3869188460E+03
        92    0.7247803067E+02    0.7104558272E+02    0.1605368078E+03    0.3833200112E+03
        93    0.6678121200E+02    0.7050661593E+02    0.1601765432E+03    0.3814709194E+03
        94    0.7030410540E+02    0.6919642239E+02    0.1591036696E+03    0.3757200128E+03
        95    0.6625141588E+02    0.6860173458E+02    0.1583973669E+03    0.3717121238E+03
        96    0.6514082646E+02    0.6825456018E+02    0.1577007597E+03    0.3675609561E+03
        97    0.7365959505E+02    0.6817912819E+02    0.1570164216E+03    0.3632628356E+03
        98    0.6708569690E+02    0.6825181816E+02    0.1566797730E+03    0.3610574832E+03
        99    0.6606186028E+02    0.6840313219E+02    0.1563473555E+03    0.3588139534E+03
       100    0.7019308169E+02    0.6895838826E+02    0.1556970782E+03    0.3542103598E+03
