Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2635678493E+03    0.2441244906E+03    0.1944335869E+02
    0.1415692716E+03    0.1429772187E+03   -0.1407947060E+01
    0.1299731940E+03    0.1631165628E+03   -0.3314336876E+02
    0.1858012828E+03    0.1661616455E+03    0.1963963737E+02
    0.3431197118E+03    0.3481513905E+03   -0.5031678644E+01
    0.2925690386E+03    0.2632460412E+03    0.2932299738E+02
    0.2477361032E+03    0.2401263965E+03    0.7609706731E+01
    0.3269858934E+03    0.3230187025E+03    0.3967190901E+01
    0.7685966542E+02    0.1022461891E+03   -0.2538652365E+02
    0.9037831757E+02    0.1072874294E+03   -0.1690911183E+02
    0.1250793226E+03    0.1173607553E+03    0.7718567276E+01
    0.7247803067E+02    0.9120031556E+02   -0.1872228489E+02
    0.6606186028E+02    0.7188444397E+02   -0.5822583695E+01
    0.1593068290E+03    0.1399103420E+03    0.1939648706E+02
    0.1193451659E+03    0.1557466038E+03   -0.3640143782E+02
    0.2698899312E+03    0.2546503841E+03    0.1523954713E+02
    0.1851328402E+03    0.1889289839E+03   -0.3796143659E+01
Prediction RMSE and MaxAE:        19.0129463842       36.4014378171
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2635678493E+03    0.2408512396E+03    0.2271660976E+02
    0.1415692716E+03    0.1384553016E+03    0.3113970012E+01
    0.1299731940E+03    0.1577005719E+03   -0.2772737788E+02
    0.1858012828E+03    0.1621708489E+03    0.2363043392E+02
    0.3431197118E+03    0.3363786560E+03    0.6741055817E+01
    0.2925690386E+03    0.2778708714E+03    0.1469816719E+02
    0.2477361032E+03    0.2399261963E+03    0.7809906926E+01
    0.3269858934E+03    0.3328963262E+03   -0.5910432719E+01
    0.7685966542E+02    0.8438907918E+02   -0.7529413752E+01
    0.9037831757E+02    0.9264888175E+02   -0.2270564177E+01
    0.1250793226E+03    0.1093376349E+03    0.1574168762E+02
    0.7247803067E+02    0.7425206295E+02   -0.1774032286E+01
    0.6606186028E+02    0.6963083991E+02   -0.3568979633E+01
    0.1593068290E+03    0.1502680890E+03    0.9038740019E+01
    0.1193451659E+03    0.1380770334E+03   -0.1873186746E+02
    0.2698899312E+03    0.2453717863E+03    0.2451814493E+02
    0.1851328402E+03    0.1820158052E+03    0.3117035077E+01
Prediction RMSE and MaxAE:        14.5102843029       27.7273778818
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2635678493E+03    0.2381524876E+03    0.2541536167E+02
    0.1415692716E+03    0.1404035294E+03    0.1165742165E+01
    0.1299731940E+03    0.1545508415E+03   -0.2457764749E+02
    0.1858012828E+03    0.1647260972E+03    0.2107518566E+02
    0.3431197118E+03    0.3380145128E+03    0.5105199036E+01
    0.2925690386E+03    0.2758813273E+03    0.1668771132E+02
    0.2477361032E+03    0.2334787507E+03    0.1425735256E+02
    0.3269858934E+03    0.3239637067E+03    0.3022186740E+01
    0.7685966542E+02    0.8301079388E+02   -0.6151128461E+01
    0.9037831757E+02    0.9274117786E+02   -0.2362860282E+01
    0.1250793226E+03    0.1123778931E+03    0.1270142949E+02
    0.7247803067E+02    0.7256584586E+02   -0.8781518930E-01
    0.6606186028E+02    0.7892867308E+02   -0.1286681280E+02
    0.1593068290E+03    0.1530472986E+03    0.6259530384E+01
    0.1193451659E+03    0.1342718554E+03   -0.1492668941E+02
    0.2698899312E+03    0.2519806096E+03    0.1790932159E+02
    0.1851328402E+03    0.1790370247E+03    0.6095815576E+01
Prediction RMSE and MaxAE:        13.7256119127       25.4153616669
