     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2935234994E+03    0.2767202450E+03    0.7810004265E+04    0.1171320312E+02    0.9767525853E+00
         2    0.1587309654E+03    0.1591435464E+03    0.6445757197E+04    0.1133117999E+02    0.8675081828E+00
         3    0.2635678493E+03    0.2378978917E+03    0.7595032892E+04    0.1185092234E+02    0.9972434284E+00
         4    0.2592711134E+03    0.2339754801E+03    0.7442491629E+04    0.1198019655E+02    0.9950942774E+00
         5    0.1533371356E+03    0.1610938834E+03    0.6539488325E+04    0.1122951220E+02    0.8669084175E+00
         6    0.1737380718E+03    0.1794486499E+03    0.6999074201E+04    0.1105549430E+02    0.8902354829E+00
         7    0.1354613601E+03    0.1297783728E+03    0.6250388509E+04    0.1155938626E+02    0.8918313517E+00
         8    0.1415692716E+03    0.1417802233E+03    0.6557624904E+04    0.1150265546E+02    0.9138421484E+00
         9    0.1215912466E+03    0.1214242572E+03    0.6671941511E+04    0.1266112490E+02    0.1065508206E+01
        10    0.1096500264E+03    0.1027007257E+03    0.6236978201E+04    0.1159841768E+02    0.9171073040E+00
        11    0.1139947988E+03    0.1096630027E+03    0.6384854528E+04    0.1167570101E+02    0.9375609271E+00
        12    0.3022450560E+03    0.3027099197E+03    0.7707892755E+04    0.1182548488E+02    0.9538049829E+00
        13    0.3443617784E+03    0.3343005744E+03    0.8486647425E+04    0.1125124264E+02    0.9639055897E+00
        14    0.1198075480E+03    0.9607523941E+02    0.5777130375E+04    0.1212392022E+02    0.9203373193E+00
        15    0.1135857840E+03    0.1053492047E+03    0.5935960955E+04    0.1220933752E+02    0.9410385306E+00
        16    0.2788580290E+03    0.2555537917E+03    0.7240104886E+04    0.1056160737E+02    0.8044759698E+00
        17    0.3189353197E+03    0.3074938945E+03    0.8176635465E+04    0.1012665026E+02    0.8313815806E+00
        18    0.1557885917E+03    0.1797536682E+03    0.6870678925E+04    0.1076018658E+02    0.8434107211E+00
        19    0.1177067906E+03    0.9625256381E+02    0.6012674121E+04    0.1057820269E+02    0.7888312865E+00
        20    0.1777489072E+03    0.1955155362E+03    0.7309097529E+04    0.1058064534E+02    0.8657342872E+00
        21    0.1784743125E+03    0.1767228640E+03    0.6599646535E+04    0.1111380181E+02    0.8491332787E+00
        22    0.1956337281E+03    0.1944529405E+03    0.7054534317E+04    0.1093329558E+02    0.8717326853E+00
        23    0.2605553334E+03    0.2631280666E+03    0.7807659332E+04    0.1156911161E+02    0.9729848897E+00
        24    0.2590247442E+03    0.2598274959E+03    0.7659728241E+04    0.1169947396E+02    0.9709941057E+00
        25    0.1618420223E+03    0.1907780940E+03    0.6943332048E+04    0.1074333366E+02    0.8413404927E+00
