     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1119034582E+03    0.1043248294E+03    0.2218001160E+01    0.8950283554E+01
         2    0.5781486579E+02    0.5917922583E+02    0.2578769876E+01    0.8904326663E+01
         3    0.6377679169E+02    0.6542759917E+02    0.2486688448E+01    0.9024878313E+01
         4    0.9969179946E+02    0.9091881995E+02    0.2286978950E+01    0.9040000000E+01
         5    0.9817976135E+02    0.8851987492E+02    0.2317278387E+01    0.9007407407E+01
         6    0.5573694755E+02    0.5918750612E+02    0.2556448306E+01    0.8964629529E+01
         7    0.6345732320E+02    0.6512973101E+02    0.2465320913E+01    0.9088912926E+01
         8    0.4895849377E+02    0.4702196440E+02    0.2645392438E+01    0.8974659864E+01
         9    0.5114042588E+02    0.5041915478E+02    0.2585246514E+01    0.9067517007E+01
        10    0.4348442747E+02    0.4885603639E+02    0.2546324275E+01    0.9205215420E+01
        11    0.3917125463E+02    0.3599926423E+02    0.2660805758E+01    0.9160321237E+01
        12    0.4077056391E+02    0.3702675739E+02    0.2632318536E+01    0.9216299822E+01
        13    0.1156620276E+03    0.1123535938E+03    0.2209188344E+01    0.8808510638E+01
        14    0.1322564577E+03    0.1265196621E+03    0.2058864891E+01    0.8923494794E+01
        15    0.4295367200E+02    0.3470994699E+02    0.2781402045E+01    0.8860202261E+01
        16    0.4050309916E+02    0.3628667965E+02    0.2751257257E+01    0.8909339679E+01
        17    0.1066234624E+03    0.9708887630E+02    0.2328979094E+01    0.8798913043E+01
        18    0.1218090654E+03    0.1134413148E+03    0.2145731392E+01    0.8957986767E+01
        19    0.1166603165E+03    0.1092077052E+03    0.2220238829E+01    0.8843478261E+01
        20    0.5656963783E+02    0.6572270761E+02    0.2508835586E+01    0.8958788534E+01
        21    0.4232796680E+02    0.3221854279E+02    0.2762685171E+01    0.8962312500E+01
        22    0.6493284567E+02    0.7071246321E+02    0.2421009072E+01    0.9093780422E+01
        23    0.6554370379E+02    0.6530844505E+02    0.2577208832E+01    0.8782098432E+01
        24    0.7208525840E+02    0.7121922592E+02    0.2486500566E+01    0.8905895078E+01
        25    0.9788397509E+02    0.9883001283E+02    0.2288523496E+01    0.8872592593E+01
        26    0.9754851806E+02    0.9656874662E+02    0.2318321275E+01    0.8838518519E+01
        27    0.5888624772E+02    0.6898237801E+02    0.2507168466E+01    0.8896051920E+01
        28    0.3852234119E+02    0.3616834662E+02    0.2758674051E+01    0.8891687500E+01
        29    0.6380085368E+02    0.7379899897E+02    0.2420061572E+01    0.9032666306E+01
        30    0.4667560663E+02    0.5801172192E+02    0.2568416985E+01    0.8956462585E+01
        31    0.4197241641E+02    0.3677215293E+02    0.2732921044E+01    0.8949000000E+01
        32    0.5677301169E+02    0.6039256070E+02    0.2511867973E+01    0.9060544218E+01
        33    0.6496802097E+02    0.6857625943E+02    0.2553221180E+01    0.8779664684E+01
        34    0.6979480419E+02    0.7400766945E+02    0.2464187237E+01    0.8908815576E+01
        35    0.5481318806E+02    0.5701974931E+02    0.2640189289E+01    0.8782482993E+01
        36    0.6029149555E+02    0.6003776635E+02    0.2581675469E+01    0.8878741497E+01
        37    0.6830351287E+02    0.6967944874E+02    0.2532124524E+01    0.8814058957E+01
        38    0.6014871550E+02    0.5927723710E+02    0.2614599403E+01    0.8805234979E+01
        39    0.5341138887E+02    0.4980151849E+02    0.2692269622E+01    0.8790312500E+01
        40    0.6882396517E+02    0.5976354181E+02    0.2588411087E+01    0.8866151101E+01
        41    0.6068008934E+02    0.5860716666E+02    0.2640145100E+01    0.8749851279E+01
        42    0.6555221939E+02    0.5920345833E+02    0.2613624212E+01    0.8809399167E+01
        43    0.1166313876E+03    0.1146923469E+03    0.2210593495E+01    0.8756450883E+01
        44    0.1314904999E+03    0.1286761770E+03    0.2060822401E+01    0.8873698506E+01
        45    0.4292238571E+02    0.4008586807E+02    0.2633395187E+01    0.9150267698E+01
        46    0.3499053213E+02    0.2931939706E+02    0.2715601198E+01    0.9149687500E+01
        47    0.4434460389E+02    0.4093375002E+02    0.2605551181E+01    0.9208209399E+01
        48    0.1048738256E+03    0.9933507379E+02    0.2309936952E+01    0.8804158790E+01
        49    0.3601177755E+02    0.2700697370E+02    0.2841984107E+01    0.8855000000E+01
        50    0.1256431161E+03    0.1148971235E+03    0.2129254557E+01    0.8972589792E+01
        51    0.4500912398E+02    0.3812604644E+02    0.2779540476E+01    0.8794765021E+01
        52    0.4815536762E+02    0.3963336368E+02    0.2749704741E+01    0.8844497323E+01
        53    0.1038482190E+03    0.9960028201E+02    0.2329913967E+01    0.8744565217E+01
        54    0.1281946021E+03    0.1157098297E+03    0.2147469364E+01    0.8906474480E+01
        55    0.1112114300E+03    0.1055231037E+03    0.2255729923E+01    0.8823345936E+01
        56    0.9355975646E+02    0.9242978206E+02    0.2346013652E+01    0.8848888889E+01
        57    0.9368174085E+02    0.8974702460E+02    0.2377216742E+01    0.8819703704E+01
        58    0.5967295456E+02    0.4871153719E+02    0.2683644612E+01    0.8836167800E+01
        59    0.1165733788E+03    0.1128672485E+03    0.2227834389E+01    0.8747397012E+01
        60    0.1331123282E+03    0.1274710202E+03    0.2076099203E+01    0.8857175192E+01
