Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1119034582E+03    0.1040043296E+03    0.7899128633E+01
    0.5781486579E+02    0.5487672929E+02    0.2938136504E+01
    0.6377679169E+02    0.6469218296E+02   -0.9153912626E+00
    0.9969179946E+02    0.9207861590E+02    0.7613183560E+01
    0.9817976135E+02    0.8841361503E+02    0.9766146316E+01
    0.5573694755E+02    0.5680818174E+02   -0.1071234185E+01
    0.6345732320E+02    0.6651323924E+02   -0.3055916037E+01
    0.4895849377E+02    0.4581166195E+02    0.3146831818E+01
    0.5114042588E+02    0.5187606970E+02   -0.7356438251E+00
    0.4348442747E+02    0.5401991121E+02   -0.1053548374E+02
    0.3917125463E+02    0.4053985443E+02   -0.1368599800E+01
    0.4077056391E+02    0.4328355719E+02   -0.2512993283E+01
    0.1156620276E+03    0.1081102080E+03    0.7551819638E+01
    0.1322564577E+03    0.1292147659E+03    0.3041691757E+01
    0.4295367200E+02    0.3200537541E+02    0.1094829659E+02
    0.4050309916E+02    0.3490882304E+02    0.5594276119E+01
    0.1066234624E+03    0.8991021815E+02    0.1671324421E+02
    0.1218090654E+03    0.1137924747E+03    0.8016590635E+01
    0.1166603165E+03    0.1118699238E+03    0.4790392671E+01
    0.5656963783E+02    0.6687618005E+02   -0.1030654223E+02
    0.4232796680E+02    0.3431883043E+02    0.8009136374E+01
    0.6493284567E+02    0.7635312320E+02   -0.1142027752E+02
    0.6554370379E+02    0.6142296898E+02    0.4120734806E+01
    0.7208525840E+02    0.7122281469E+02    0.8624437136E+00
    0.9788397509E+02    0.1030565123E+03   -0.5172537237E+01
    0.9754851806E+02    0.9940006122E+02   -0.1851543163E+01
    0.5888624772E+02    0.7003759296E+02   -0.1115134524E+02
    0.3852234119E+02    0.3690485926E+02    0.1617481930E+01
    0.6380085368E+02    0.7950724614E+02   -0.1570639246E+02
    0.4667560663E+02    0.5988076322E+02   -0.1320515660E+02
    0.4197241641E+02    0.3836558977E+02    0.3606826649E+01
    0.5677301169E+02    0.6573265026E+02   -0.8959638562E+01
    0.6496802097E+02    0.6651323924E+02   -0.1545218268E+01
    0.6979480419E+02    0.7619541644E+02   -0.6400612253E+01
    0.5481318806E+02    0.5490467666E+02   -0.9148859542E-01
    0.6029149555E+02    0.6095471094E+02   -0.6632153938E+00
    0.6830351287E+02    0.7157559287E+02   -0.3272079997E+01
    0.6014871550E+02    0.5838960040E+02    0.1759115099E+01
    0.5341138887E+02    0.4737201162E+02    0.6039377251E+01
    0.6882396517E+02    0.6109107838E+02    0.7732886788E+01
    0.6068008934E+02    0.5697044939E+02    0.3709639956E+01
    0.6555221939E+02    0.5970152050E+02    0.5850698888E+01
    0.1166313876E+03    0.1123377745E+03    0.4293613130E+01
    0.1314904999E+03    0.1334257147E+03   -0.1935214818E+01
    0.4292238571E+02    0.4485134825E+02   -0.1928962539E+01
    0.3499053213E+02    0.3473405794E+02    0.2564741926E+00
    0.4434460389E+02    0.4756312148E+02   -0.3218517589E+01
    0.1048738256E+03    0.9612640197E+02    0.8747423584E+01
    0.3601177755E+02    0.2697083056E+02    0.9040946988E+01
    0.1256431161E+03    0.1197232137E+03    0.5919902478E+01
    0.4500912398E+02    0.3490882304E+02    0.1010030094E+02
    0.4815536762E+02    0.3780990917E+02    0.1034545845E+02
    0.1038482190E+03    0.9389848242E+02    0.9949736575E+01
    0.1281946021E+03    0.1177618336E+03    0.1043276858E+02
    0.1112114300E+03    0.9967877167E+02    0.1153265831E+02
    0.9355975646E+02    0.8594067642E+02    0.7619080038E+01
    0.9368174085E+02    0.8214921642E+02    0.1153252443E+02
    0.5967295456E+02    0.4331435699E+02    0.1635859757E+02
    0.1165733788E+03    0.1057311649E+03    0.1084221388E+02
    0.1331123282E+03    0.1270756046E+03    0.6036723565E+01
    0.2632643497E+02    0.4040753134E+02   -0.1408109637E+02
    0.2911030054E+02    0.4744634735E+02   -0.1833604681E+02
    0.4146923460E+02    0.5108611690E+02   -0.9616882306E+01
    0.4958492797E+02    0.5480769285E+02   -0.5222764885E+01
    0.6671768541E+02    0.6250102529E+02    0.4216660122E+01
    0.7983276551E+02    0.7053597803E+02    0.9296787478E+01
    0.8885745041E+02    0.7892236453E+02    0.9935085879E+01
    0.9558693600E+02    0.8767018253E+02    0.7916753473E+01
    0.9586478718E+02    0.9218280409E+02    0.3681983090E+01
    0.9672791808E+02    0.9678961840E+02   -0.6170031899E-01
    0.1025991163E+03    0.1062910516E+03   -0.3691935308E+01
    0.6056238656E+02    0.5959573687E+02    0.9666496879E+00
    0.5877006947E+02    0.6561259353E+02   -0.6842524066E+01
    0.5965694308E+02    0.6865523833E+02   -0.8998295259E+01
    0.5640091467E+02    0.7171929452E+02   -0.1531837985E+02
    0.6447432788E+02    0.7790723108E+02   -0.1343290321E+02
    0.7910835546E+02    0.8416722445E+02   -0.5058868987E+01
    0.9311991210E+02    0.9048951161E+02    0.2630400490E+01
    0.9637614321E+02    0.9686373073E+02   -0.4875875217E+00
    0.9738927426E+02    0.1000669093E+03   -0.2677634994E+01
    0.9929422704E+02    0.1032789061E+03   -0.3984679023E+01
    0.1053096570E+03    0.1097234325E+03   -0.4413775477E+01
    0.2584017448E+02    0.2826462583E+02   -0.2424451343E+01
    0.4286544992E+02    0.3609284170E+02    0.6772608226E+01
    0.4572791662E+02    0.4017434523E+02    0.5553571387E+01
    0.4914067848E+02    0.4436998588E+02    0.4770692601E+01
    0.6067555305E+02    0.5311135940E+02    0.7564193651E+01
    0.6733571392E+02    0.6233242364E+02    0.5003290278E+01
    0.8475483777E+02    0.7204879692E+02    0.1270604085E+02
    0.9094232811E+02    0.8227625126E+02    0.8666076849E+01
    0.9342154533E+02    0.8758660381E+02    0.5834941525E+01
