Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1119034582E+03    0.1035841322E+03    0.8319325969E+01
    0.5781486579E+02    0.5473182276E+02    0.3083043037E+01
    0.9817976135E+02    0.8808078162E+02    0.1009897972E+02
    0.6345732320E+02    0.6630312650E+02   -0.2845803303E+01
    0.5656963783E+02    0.6666403355E+02   -0.1009439572E+02
    0.7208525840E+02    0.7098631144E+02    0.1098946965E+01
    0.9754851806E+02    0.9900566431E+02   -0.1457146247E+01
    0.5481318806E+02    0.5475961352E+02    0.5357454320E-01
    0.5341138887E+02    0.4726915843E+02    0.6142230443E+01
    0.1166313876E+03    0.1118708800E+03    0.4760507653E+01
    0.4292238571E+02    0.4476261982E+02   -0.1840234105E+01
    0.9355975646E+02    0.8562170034E+02    0.7938056115E+01
    0.9368174085E+02    0.8185148612E+02    0.1183025473E+02
    0.9558693600E+02    0.8734151502E+02    0.8245420988E+01
    0.9586478718E+02    0.9182884971E+02    0.4035937475E+01
    0.9672791808E+02    0.9640984933E+02    0.3180687521E+00
    0.5877006947E+02    0.6540752765E+02   -0.6637458179E+01
    0.6447432788E+02    0.7763327112E+02   -0.1315894324E+02
    0.4286544992E+02    0.3605319232E+02    0.6812257602E+01
    0.6733571392E+02    0.6214573847E+02    0.5189975446E+01
    0.9094232811E+02    0.8197780911E+02    0.8964518999E+01
    0.1039844407E+03    0.1039062281E+03    0.7821268097E-01
    0.1228725759E+03    0.1193030739E+03    0.3569501969E+01
    0.5277935237E+02    0.4559991849E+02    0.7179433882E+01
    0.5615313588E+02    0.4857917219E+02    0.7573963694E+01
    0.2253675731E+02    0.3006676182E+02   -0.7530004513E+01
    0.5348496578E+02    0.4747951214E+02    0.6005453636E+01
    0.2419926750E+02    0.2793218013E+02   -0.3732912629E+01
    0.2604492204E+02    0.2445738382E+02    0.1587538220E+01
    0.2880918270E+02    0.4246894156E+02   -0.1365975885E+02
    0.8402862800E+02    0.8385818606E+02    0.1704419375E+00
    0.1359182557E+03    0.1364989403E+03   -0.5806845899E+00
    0.6988379938E+02    0.7866515047E+02   -0.8781351092E+01
    0.5059350036E+02    0.5197209145E+02   -0.1378591091E+01
Prediction RMSE and MaxAE:         6.6706563500       13.6597588534
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1119034582E+03    0.1042222076E+03    0.7681250641E+01
    0.5781486579E+02    0.5942850351E+02   -0.1613637716E+01
    0.9817976135E+02    0.8838123259E+02    0.9798528755E+01
    0.6345732320E+02    0.6494437801E+02   -0.1487054816E+01
    0.5656963783E+02    0.6581702766E+02   -0.9247389829E+01
    0.7208525840E+02    0.7139789778E+02    0.6873606255E+00
    0.9754851806E+02    0.9675246765E+02    0.7960504067E+00
    0.5481318806E+02    0.5754605334E+02   -0.2732865274E+01
    0.5341138887E+02    0.5035108040E+02    0.3060308474E+01
    0.1166313876E+03    0.1149533935E+03    0.1677994101E+01
    0.4292238571E+02    0.3990685573E+02    0.3015529976E+01
    0.9355975646E+02    0.9261405005E+02    0.9457064104E+00
    0.9368174085E+02    0.9000973421E+02    0.3672006649E+01
    0.9558693600E+02    0.9173943106E+02    0.3847504945E+01
    0.9586478718E+02    0.9691544534E+02   -0.1050658156E+01
    0.9672791808E+02    0.1021201388E+03   -0.5392220699E+01
    0.5877006947E+02    0.6691634836E+02   -0.8146278895E+01
    0.6447432788E+02    0.7752850715E+02   -0.1305417927E+02
    0.4286544992E+02    0.4241810090E+02    0.4473490228E+00
    0.6733571392E+02    0.7237466694E+02   -0.5038953028E+01
    0.9094232811E+02    0.9272865820E+02   -0.1786330097E+01
    0.1039844407E+03    0.1130558878E+03   -0.9071447086E+01
    0.1228725759E+03    0.1252992383E+03   -0.2426662358E+01
    0.5277935237E+02    0.4583336924E+02    0.6945983128E+01
    0.5615313588E+02    0.5105754801E+02    0.5095587868E+01
    0.2253675731E+02    0.2461336554E+02   -0.2076608235E+01
    0.5348496578E+02    0.5165872001E+02    0.1826245769E+01
    0.2419926750E+02    0.2975190815E+02   -0.5552640647E+01
    0.2604492204E+02    0.2650247154E+02   -0.4575494938E+00
    0.2880918270E+02    0.3440685481E+02   -0.5597672110E+01
    0.8402862800E+02    0.7949383677E+02    0.4534791230E+01
    0.1359182557E+03    0.1327759321E+03    0.3142323541E+01
    0.6988379938E+02    0.7443242148E+02   -0.4548622100E+01
    0.5059350036E+02    0.5714540625E+02   -0.6551905892E+01
Prediction RMSE and MaxAE:         5.2203739339       13.0541792731
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1119034582E+03    0.1039174468E+03    0.7986011396E+01
    0.5781486579E+02    0.5853694712E+02   -0.7220813282E+00
    0.9817976135E+02    0.8685305076E+02    0.1132671058E+02
    0.6345732320E+02    0.6548291129E+02   -0.2025588090E+01
    0.5656963783E+02    0.6481871757E+02   -0.8249079743E+01
    0.7208525840E+02    0.7080964040E+02    0.1275618008E+01
    0.9754851806E+02    0.9458534729E+02    0.2963170774E+01
    0.5481318806E+02    0.5574113455E+02   -0.9279464870E+00
    0.5341138887E+02    0.5320996073E+02    0.2014281455E+00
    0.1166313876E+03    0.1137467600E+03    0.2884627651E+01
    0.4292238571E+02    0.3843213933E+02    0.4490246376E+01
    0.9355975646E+02    0.9037140538E+02    0.3188351073E+01
    0.9368174085E+02    0.8725881592E+02    0.6422924930E+01
    0.9558693600E+02    0.9188756707E+02    0.3699368935E+01
    0.9586478718E+02    0.9731194129E+02   -0.1447154107E+01
    0.9672791808E+02    0.1027457929E+03   -0.6017874838E+01
    0.5877006947E+02    0.6517425747E+02   -0.6404188008E+01
