     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1119034582E+03    0.1066440835E+03    0.1889683575E-02    0.1544001470E+03    0.1696387333E+04
         2    0.5781486579E+02    0.5937253129E+02    0.3142766741E-02    0.1464634109E+03    0.1509670133E+04
         3    0.6377679169E+02    0.6704948530E+02    0.2910532424E-02    0.1515947334E+03    0.1578038793E+04
         4    0.9969179946E+02    0.9314550102E+02    0.2153873054E-02    0.1695626800E+03    0.1820692803E+04
         5    0.9817976135E+02    0.8959891674E+02    0.2204297041E-02    0.1709326328E+03    0.1822168290E+04
         6    0.5573694755E+02    0.5914146039E+02    0.3094184912E-02    0.1585265449E+03    0.1633510677E+04
         7    0.6345732320E+02    0.6668397458E+02    0.2871169615E-02    0.1639003433E+03    0.1705023813E+04
         8    0.4895849377E+02    0.4654745343E+02    0.3582494994E-02    0.1615681386E+03    0.1661384669E+04
         9    0.5114042588E+02    0.5039722808E+02    0.3401468337E-02    0.1684039602E+03    0.1733376432E+04
        10    0.4348442747E+02    0.4482207979E+02    0.3341773303E-02    0.2276561832E+03    0.2340699553E+04
        11    0.3917125463E+02    0.3499855791E+02    0.3959570891E-02    0.2063065084E+03    0.2135747538E+04
        12    0.1156620276E+03    0.1121411505E+03    0.1737341970E-02    0.1426052721E+03    0.1578173738E+04
        13    0.4295367200E+02    0.3314492463E+02    0.4297016484E-02    0.1379510637E+03    0.1424334747E+04
        14    0.4050309916E+02    0.3468449240E+02    0.4175943503E-02    0.1446927996E+03    0.1490235839E+04
        15    0.1066234624E+03    0.9673144145E+02    0.2058198248E-02    0.1280721501E+03    0.1374670054E+04
        16    0.1218090654E+03    0.1163459810E+03    0.1788015523E-02    0.1292486686E+03    0.1463383304E+04
        17    0.1166603165E+03    0.1062008715E+03    0.1807112208E-02    0.1369893874E+03    0.1492156886E+04
        18    0.5656963783E+02    0.6237368557E+02    0.2863451417E-02    0.1742337106E+03    0.1792072362E+04
        19    0.4232796680E+02    0.3472205377E+02    0.4419402160E-02    0.1685805412E+03    0.1785069521E+04
        20    0.6493284567E+02    0.6811474850E+02    0.2675641935E-02    0.1815256021E+03    0.1879015251E+04
        21    0.6554370379E+02    0.6512296492E+02    0.2983974045E-02    0.1248980768E+03    0.1285230819E+04
        22    0.7208525840E+02    0.7122102949E+02    0.2774140841E-02    0.1309357113E+03    0.1357490055E+04
        23    0.9754851806E+02    0.9210710318E+02    0.2059748280E-02    0.1379584957E+03    0.1456298069E+04
        24    0.5888624772E+02    0.6559863686E+02    0.2797936481E-02    0.1586525717E+03    0.1631328053E+04
        25    0.3852234119E+02    0.3970169595E+02    0.4310601593E-02    0.1509120675E+03    0.1605664018E+04
        26    0.6380085368E+02    0.7055925669E+02    0.2618482527E-02    0.1661210554E+03    0.1716853506E+04
        27    0.4667560663E+02    0.5530307497E+02    0.3188782692E-02    0.1755507480E+03    0.1810496167E+04
        28    0.4197241641E+02    0.4079390427E+02    0.4251480216E-02    0.1665378491E+03    0.1774622297E+04
        29    0.5677301169E+02    0.5669870787E+02    0.3049391248E-02    0.1844551809E+03    0.1896686383E+04
        30    0.6496802097E+02    0.6791122820E+02    0.2871169615E-02    0.1228415815E+03    0.1263295278E+04
        31    0.6979480419E+02    0.7314325796E+02    0.2678565495E-02    0.1293127666E+03    0.1337673823E+04
        32    0.5481318806E+02    0.5761594647E+02    0.3317743508E-02    0.1230587193E+03    0.1267799341E+04
        33    0.6029149555E+02    0.6010367514E+02    0.3162254540E-02    0.1300197555E+03    0.1336825092E+04
        34    0.6014871550E+02    0.6015106323E+02    0.3400977797E-02    0.1367920759E+03    0.1443980058E+04
        35    0.5341138887E+02    0.5525766416E+02    0.3919987832E-02    0.1254950460E+03    0.1363726613E+04
        36    0.6882396517E+02    0.5920983771E+02    0.3329881720E-02    0.1456322987E+03    0.1525400644E+04
        37    0.6068008934E+02    0.6051815114E+02    0.3439556395E-02    0.1129449477E+03    0.1190739270E+04
        38    0.6555221939E+02    0.6009177193E+02    0.3366076086E-02    0.1207242221E+03    0.1263201856E+04
        39    0.1166313876E+03    0.1117863455E+03    0.1696645446E-02    0.1370800567E+03    0.1510133413E+04
        40    0.1314904999E+03    0.1290720492E+03    0.1519139328E-02    0.1332678422E+03    0.1543650368E+04
        41    0.4292238571E+02    0.3754877639E+02    0.3808479702E-02    0.2286232774E+03    0.2373587664E+04
