     Index       y_measurement           y_fitting        descriptor_1
         1    0.1119034582E+03    0.1040738888E+03    0.3201998874E+03
         2    0.5781486579E+02    0.5475080122E+02    0.2288181221E+03
         3    0.6377679169E+02    0.6460531231E+02    0.2470757508E+03
         4    0.9969179946E+02    0.9210072067E+02    0.2980169849E+03
         5    0.9817976135E+02    0.8842113612E+02    0.2911997529E+03
         6    0.6345732320E+02    0.6643361487E+02    0.2504630796E+03
         7    0.4895849377E+02    0.4564966242E+02    0.2119562797E+03
         8    0.5114042588E+02    0.5173820150E+02    0.2232366248E+03
         9    0.4348442747E+02    0.5389057375E+02    0.2272243633E+03
        10    0.3917125463E+02    0.4035687747E+02    0.2021502425E+03
        11    0.4077056391E+02    0.4311149786E+02    0.2072537769E+03
        12    0.1156620276E+03    0.1081961052E+03    0.3278371913E+03
        13    0.1322564577E+03    0.1293846419E+03    0.3670935717E+03
        14    0.4295367200E+02    0.3178843823E+02    0.1862753421E+03
        15    0.4050309916E+02    0.3470343922E+02    0.1916760165E+03
        16    0.1066234624E+03    0.8992369448E+02    0.2939835696E+03
        17    0.1166603165E+03    0.1119707817E+03    0.3348306018E+03
        18    0.5656963783E+02    0.6679799993E+02    0.2511381823E+03
        19    0.4232796680E+02    0.3411109890E+02    0.1905785770E+03
        20    0.6493284567E+02    0.7631265345E+02    0.2687661508E+03
        21    0.6554370379E+02    0.6132308957E+02    0.2409947181E+03
        22    0.7208525840E+02    0.7116193055E+02    0.2592233145E+03
        23    0.9788397509E+02    0.1031223001E+03    0.3184368619E+03
        24    0.9754851806E+02    0.9945129929E+02    0.3116355332E+03
        25    0.5888624772E+02    0.6997199265E+02    0.2570186953E+03
        26    0.3852234119E+02    0.3670741802E+02    0.1953888238E+03
        27    0.4667560663E+02    0.5977474707E+02    0.2381260763E+03
        28    0.4197241641E+02    0.3817396101E+02    0.1981059142E+03
        29    0.5677301169E+02    0.6564991983E+02    0.2490111138E+03
        30    0.6496802097E+02    0.6643361487E+02    0.2504630796E+03
        31    0.6979480419E+02    0.7615431919E+02    0.2684728021E+03
        32    0.5481318806E+02    0.5477885984E+02    0.2288701068E+03
        33    0.6029149555E+02    0.6085296823E+02    0.2401237159E+03
        34    0.6830351287E+02    0.7151611254E+02    0.2598795138E+03
        35    0.5341138887E+02    0.4721622096E+02    0.2148586707E+03
        36    0.6882396517E+02    0.6098987834E+02    0.2403773717E+03
        37    0.6068008934E+02    0.5685285263E+02    0.2327126303E+03
        38    0.6555221939E+02    0.5959479112E+02    0.2377926687E+03
        39    0.1166313876E+03    0.1124404940E+03    0.3357008462E+03
        40    0.1314904999E+03    0.1336123468E+03    0.3749263160E+03
        41    0.4292238571E+02    0.4468552743E+02    0.2101700096E+03
        42    0.3499053213E+02    0.3452797867E+02    0.1913509376E+03
        43    0.4434460389E+02    0.4740809130E+02    0.2152141523E+03
        44    0.1048738256E+03    0.9616461359E+02    0.3055462319E+03
        45    0.3601177755E+02    0.2673386008E+02    0.1769106349E+03
        46    0.1256431161E+03    0.1198553211E+03    0.3494384288E+03
        47    0.4500912398E+02    0.3470343922E+02    0.1916760165E+03
        48    0.4815536762E+02    0.3761606927E+02    0.1970722982E+03
        49    0.1038482190E+03    0.9392782876E+02    0.3014021007E+03
        50    0.1281946021E+03    0.1178861363E+03    0.3457900850E+03
        51    0.1112114300E+03    0.9973111880E+02    0.3121539598E+03
        52    0.9355975646E+02    0.8593835723E+02    0.2865998641E+03
        53    0.9368174085E+02    0.8213181034E+02    0.2795474067E+03
        54    0.5967295456E+02    0.4314242022E+02    0.2073110673E+03
        55    0.1165733788E+03    0.1058075955E+03    0.3234119567E+03
        56    0.1331123282E+03    0.1272369685E+03    0.3631145388E+03
        57    0.2632643497E+02    0.4022402783E+02    0.2019041096E+03
        58    0.2911030054E+02    0.4729085251E+02    0.2149969419E+03
        59    0.4146923460E+02    0.5094510535E+02    0.2217672414E+03
        60    0.4958492797E+02    0.5468149007E+02    0.2286897081E+03
        61    0.8885745041E+02    0.7889211824E+02    0.2735451713E+03
        62    0.9558693600E+02    0.8767474536E+02    0.2898169014E+03
        63    0.9586478718E+02    0.9220532342E+02    0.2982107843E+03
        64    0.9672791808E+02    0.9683046905E+02    0.3067798742E+03
        65    0.6056238656E+02    0.5948858655E+02    0.2375959016E+03
        66    0.5877006947E+02    0.6552938534E+02    0.2487877974E+03
        67    0.5965694308E+02    0.6858413740E+02    0.2544473911E+03
        68    0.5640091467E+02    0.7166038599E+02    0.2601468118E+03
        69    0.6447432788E+02    0.7787294542E+02    0.2716569316E+03
        70    0.7910835546E+02    0.8415784840E+02    0.2833010836E+03
        71    0.9311991210E+02    0.9050529307E+02    0.2950611077E+03
        72    0.9637614321E+02    0.9690487628E+02    0.3069177298E+03
        73    0.9738927426E+02    0.1001208008E+03    0.3128759306E+03
        74    0.9929422704E+02    0.1033455788E+03    0.3188505343E+03
        75    0.1053096570E+03    0.1098157490E+03    0.3308379343E+03
        76    0.2584017448E+02    0.2803280357E+02    0.1793172107E+03
        77    0.4286544992E+02    0.3589216928E+02    0.1938783979E+03
        78    0.4914067848E+02    0.4420224964E+02    0.2092746322E+03
        79    0.6067555305E+02    0.5297840663E+02    0.2255343750E+03
        80    0.6733571392E+02    0.6223616308E+02    0.2426863857E+03
        81    0.9094232811E+02    0.8225935070E+02    0.2797837030E+03
        82    0.9342154533E+02    0.8759083404E+02    0.2896614374E+03
        83    0.9610191643E+02    0.9305660242E+02    0.2997879641E+03
        84    0.1039844407E+03    0.1043990886E+03    0.3208023908E+03
        85    0.1371480612E+03    0.1489910982E+03    0.4034188034E+03
        86    0.1367350903E+03    0.1435560371E+03    0.3933491686E+03
        87    0.1362592133E+03    0.1417432024E+03    0.3899904973E+03
        88    0.1344648149E+03    0.1381158096E+03    0.3832699620E+03
        89    0.1317766937E+03    0.1344861174E+03    0.3765451664E+03
        90    0.1271803418E+03    0.1272198259E+03    0.3630827783E+03
        91    0.1262177758E+03    0.1254018124E+03    0.3597145123E+03
        92    0.1252984708E+03    0.1235832222E+03    0.3563451777E+03
        93    0.1228725759E+03    0.1199443102E+03    0.3496033005E+03
        94    0.2683497468E+02    0.3548460485E+02    0.1931232960E+03
        95    0.3183535065E+02    0.3749629685E+02    0.1968503937E+03
        96    0.3359039622E+02    0.3850168598E+02    0.1987130961E+03
        97    0.4129513778E+02    0.3950677075E+02    0.2005752346E+03
        98    0.4507237259E+02    0.4151602768E+02    0.2042978208E+03
        99    0.4998604832E+02    0.4352406872E+02    0.2080181543E+03
       100    0.5277935237E+02    0.4553089495E+02    0.2117362371E+03
       101    0.5611450524E+02    0.4753650756E+02    0.2154520714E+03
       102    0.5615313588E+02    0.4853885905E+02    0.2173091459E+03
       103    0.5781327978E+02    0.4954090752E+02    0.2191656590E+03
       104    0.5965727763E+02    0.5154409602E+02    0.2228770021E+03
       105    0.2919065394E+02    0.3228448483E+02    0.1871943765E+03
       106    0.2533836578E+02    0.3107678173E+02    0.1849568434E+03
       107    0.2253675731E+02    0.2984804899E+02    0.1826803483E+03
       108    0.2456282289E+02    0.2859773244E+02    0.1803638645E+03
       109    0.2308806005E+02    0.2732525839E+02    0.1780063291E+03
       110    0.2267877177E+02    0.2603003257E+02    0.1756066411E+03
       111    0.2578843305E+02    0.2471143930E+02    0.1731636598E+03
       112    0.2337586858E+02    0.2404318132E+02    0.1719255663E+03
       113    0.2299003363E+02    0.2336884044E+02    0.1706762029E+03
       114    0.2450184071E+02    0.2200157435E+02    0.1681430446E+03
       115    0.5835275562E+02    0.5051437344E+02    0.2209692167E+03
       116    0.5348496578E+02    0.4742860182E+02    0.2152521525E+03
       117    0.5034060812E+02    0.4586498538E+02    0.2123552124E+03
       118    0.4661720364E+02    0.4428729972E+02    0.2094322060E+03
       119    0.4446999058E+02    0.4108895456E+02    0.2035065748E+03
       120    0.3957606325E+02    0.3783199837E+02    0.1974723539E+03
       121    0.2705301994E+02    0.2942236361E+02    0.1818916734E+03
       122    0.2419926750E+02    0.2769289683E+02    0.1786874594E+03
       123    0.2604492204E+02    0.2418461473E+02    0.1721876025E+03
       124    0.2880918270E+02    0.4236974558E+02    0.2058795192E+03
       125    0.3504358803E+02    0.5185884691E+02    0.2234601467E+03
       126    0.4256436714E+02    0.5683378681E+02    0.2326773067E+03
       127    0.4875284720E+02    0.6196709367E+02    0.2421878760E+03
       128    0.6092121335E+02    0.7272346621E+02    0.2621163995E+03
       129    0.8402862800E+02    0.8415784840E+02    0.2833010836E+03
       130    0.1020479867E+03    0.9630104726E+02    0.3057990050E+03
       131    0.1134858481E+03    0.1159145937E+03    0.3421373728E+03
       132    0.1282697765E+03    0.1228418605E+03    0.3549716437E+03
       133    0.1359182557E+03    0.1373058891E+03    0.3817694077E+03
       134    0.6809255274E+02    0.7007511725E+02    0.2572097561E+03
       135    0.6904760257E+02    0.7444584778E+02    0.2653074866E+03
       136    0.6988379938E+02    0.7891476875E+02    0.2735871363E+03
       137    0.7595481374E+02    0.8815289037E+02    0.2907027692E+03
       138    0.8630026423E+02    0.9780103151E+02    0.3085780526E+03
       139    0.9652639442E+02    0.1078709566E+03    0.3272347826E+03
       140    0.1104302259E+03    0.1183746504E+03    0.3466951638E+03
       141    0.1236164255E+03    0.1237929674E+03    0.3567337764E+03
       142    0.1360948904E+03    0.1407324160E+03    0.3881177953E+03
       143    0.3130959377E+02    0.3036075997E+02    0.1836302571E+03
       144    0.4308292970E+02    0.4080334874E+02    0.2029774278E+03
       145    0.4437180400E+02    0.4629234683E+02    0.2131469926E+03
       146    0.5059350036E+02    0.5196447508E+02    0.2236558459E+03
       147    0.6152011377E+02    0.6387222957E+02    0.2457175553E+03
       148    0.7558678816E+02    0.7655503228E+02    0.2692152104E+03
       149    0.8754089957E+02    0.9004162517E+02    0.2942020619E+03
       150    0.1047380597E+03    0.1043610649E+03    0.3207319436E+03
       151    0.1165991300E+03    0.1118422668E+03    0.3345925000E+03
       152    0.1287812479E+03    0.1195427158E+03    0.3488592593E+03
       153    0.1352458823E+03    0.1356162429E+03    0.3786389701E+03
