     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.4311771491E+00    0.4154835875E+00    0.1144857904E+02    0.2174422852E+01    0.1445394175E+00
         2    0.2780862305E+00    0.2893772459E+00    0.1184593486E+02    0.3130691640E+01    0.6467107962E-01
         3    0.2863966357E+00    0.2968146970E+00    0.1183975584E+02    0.2920212076E+01    0.4935511094E-01
         4    0.4041564535E+00    0.3745318039E+00    0.1158049796E+02    0.2379580694E+01    0.1297228778E+00
         5    0.4080844591E+00    0.3730945786E+00    0.1158275306E+02    0.2416607240E+01    0.1303929482E+00
         6    0.2714353627E+00    0.2880401311E+00    0.1185431043E+02    0.3079996286E+01    0.6329163926E-01
         7    0.2872237083E+00    0.2953238474E+00    0.1184775879E+02    0.2869843926E+01    0.5041484515E-01
         8    0.2527832565E+00    0.2475237622E+00    0.1199399542E+02    0.3044695603E+01    0.6639475264E-01
         9    0.2511563255E+00    0.2533201156E+00    0.1198970048E+02    0.2880745293E+01    0.5299416498E-01
        10    0.2186514932E+00    0.2373642532E+00    0.1200427661E+02    0.3251262457E+01    0.9689481735E-01
        11    0.2151500840E+00    0.2037145005E+00    0.1215508495E+02    0.2873469583E+01    0.6594773071E-01
        12    0.2188755888E+00    0.2073684778E+00    0.1215259286E+02    0.2755059285E+01    0.5963512573E-01
        13    0.4440869345E+00    0.4520644720E+00    0.1132427813E+02    0.2048785493E+01    0.1652880295E+00
        14    0.4565628182E+00    0.4583195897E+00    0.1131384466E+02    0.1905206863E+01    0.1609027987E+00
        15    0.2267002756E+00    0.2105044514E+00    0.1211286111E+02    0.3118169201E+01    0.7440875843E-01
        16    0.2092739035E+00    0.2151527789E+00    0.1211100503E+02    0.3006707083E+01    0.5560911479E-01
        17    0.4412176146E+00    0.4025979640E+00    0.1144809854E+02    0.3320620659E+01    0.6027281809E-01
        18    0.4373163477E+00    0.4144241756E+00    0.1143579997E+02    0.2978616664E+01    0.4412973942E-01
        19    0.4371113264E+00    0.4440244270E+00    0.1132102947E+02    0.3124329117E+01    0.5547298521E-01
        20    0.2680617680E+00    0.3145404401E+00    0.1172849695E+02    0.3721956466E+01    0.4472087726E-01
        21    0.2364462509E+00    0.1944503922E+00    0.1216703996E+02    0.2405525224E+01    0.2057625602E+00
        22    0.2877592344E+00    0.3222638789E+00    0.1172101807E+02    0.3464501278E+01    0.3883190500E-01
        23    0.3052002036E+00    0.3023444014E+00    0.1171649092E+02    0.4457244419E+01    0.6057880406E-01
        24    0.3162345360E+00    0.3112791438E+00    0.1171012993E+02    0.4178538115E+01    0.4391983680E-01
        25    0.3810698261E+00    0.4170976022E+00    0.1138568980E+02    0.3587620313E+01    0.4752230141E-01
        26    0.3893930302E+00    0.4152281998E+00    0.1138803384E+02    0.3638059868E+01    0.4961908892E-01
        27    0.2746515510E+00    0.3310172087E+00    0.1166122480E+02    0.3900448002E+01    0.4277097640E-01
        28    0.2119213688E+00    0.2134355797E+00    0.1209848205E+02    0.2504875112E+01    0.1979070041E+00
