Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4311771491E+00    0.3902148085E+00    0.4096234061E-01
    0.2780862305E+00    0.2794928940E+00   -0.1406663516E-02
    0.2863966357E+00    0.2809761085E+00    0.5420527148E-02
    0.4041564535E+00    0.3541462820E+00    0.5001017149E-01
    0.4080844591E+00    0.3536070970E+00    0.5447736206E-01
    0.2714353627E+00    0.2774824179E+00   -0.6047055170E-02
    0.2872237083E+00    0.2790550786E+00    0.8168629726E-02
    0.2527832565E+00    0.2372503559E+00    0.1553290059E-01
    0.2511563255E+00    0.2382837144E+00    0.1287261111E-01
    0.2186514932E+00    0.2347767077E+00   -0.1612521444E-01
    0.2151500840E+00    0.1909081833E+00    0.2424190077E-01
    0.2188755888E+00    0.1915093341E+00    0.2736625467E-01
    0.4440869345E+00    0.4238475376E+00    0.2023939688E-01
    0.4565628182E+00    0.4263343614E+00    0.3022845674E-01
    0.2267002756E+00    0.2010935502E+00    0.2560672538E-01
    0.2092739035E+00    0.2015412792E+00    0.7732624314E-02
    0.4412176146E+00    0.3903295030E+00    0.5088811161E-01
    0.4373163477E+00    0.3932651776E+00    0.4405117009E-01
    0.4371113264E+00    0.4206609499E+00    0.1645037651E-01
    0.2680617680E+00    0.3076827377E+00   -0.3962096975E-01
    0.2364462509E+00    0.1795607157E+00    0.5688553522E-01
    0.2877592344E+00    0.3094779704E+00   -0.2171873593E-01
    0.3052002036E+00    0.3105646709E+00   -0.5364467313E-02
    0.3162345360E+00    0.3120915650E+00    0.4142970955E-02
    0.3810698261E+00    0.4007241158E+00   -0.1965428976E-01
    0.3893930302E+00    0.4001636659E+00   -0.1077063566E-01
    0.2746515510E+00    0.3238307719E+00   -0.4917922083E-01
    0.2119213688E+00    0.1961461611E+00    0.1577520773E-01
    0.2796253592E+00    0.3256478443E+00   -0.4602248512E-01
    0.2320546000E+00    0.2835820638E+00   -0.5152746383E-01
    0.2307039824E+00    0.1957395889E+00    0.3496439348E-01
    0.2694453323E+00    0.2848411525E+00   -0.1539582024E-01
    0.3020090589E+00    0.3247022289E+00   -0.2269317005E-01
    0.3046928854E+00    0.3263404091E+00   -0.2164752364E-01
    0.2681246117E+00    0.2848604966E+00   -0.1673588485E-01
    0.2821058033E+00    0.2859381544E+00   -0.3832351182E-02
    0.3155324828E+00    0.3337662812E+00   -0.1823379841E-01
    0.3001533759E+00    0.2919490581E+00    0.8204317841E-02
    0.2820478834E+00    0.2470946766E+00    0.3495320677E-01
    0.3337535518E+00    0.2926258460E+00    0.4112770576E-01
    0.3033097908E+00    0.2907448418E+00    0.1256494903E-01
    0.3195628020E+00    0.2913909453E+00    0.2817185673E-01
    0.4433412280E+00    0.4387654078E+00    0.4575820204E-02
    0.4489842999E+00    0.4412868029E+00    0.7697497027E-02
    0.2294035237E+00    0.2077018641E+00    0.2170165958E-01
    0.1983230862E+00    0.1620352737E+00    0.3628781247E-01
    0.2315906063E+00    0.2083411914E+00    0.2324941487E-01
    0.4269733901E+00    0.4038622689E+00    0.2311112117E-01
    0.2011678056E+00    0.1695531663E+00    0.3161463931E-01
    0.4469048804E+00    0.4070119341E+00    0.3989294630E-01
    0.2339656649E+00    0.2166830147E+00    0.1728265016E-01
    0.2431243250E+00    0.2171382357E+00    0.2598608929E-01
    0.4234910986E+00    0.4053353945E+00    0.1815570411E-01
    0.4522062284E+00    0.4083130647E+00    0.4389316374E-01
    0.4210826770E+00    0.3939984196E+00    0.2708425736E-01
    0.3691071406E+00    0.3598485060E+00    0.9258634641E-02
    0.3793562733E+00    0.3593964128E+00    0.1995986050E-01
    0.2843223449E+00    0.2467347033E+00    0.3758764163E-01
    0.4463194501E+00    0.4257877672E+00    0.2053168291E-01
    0.4555457409E+00    0.4281330027E+00    0.2741273823E-01
    0.1426577999E+00    0.1819794801E+00   -0.3932168014E-01
    0.1532933446E+00    0.2171117977E+00   -0.6381845303E-01
    0.2124254665E+00    0.2341699693E+00   -0.2174450285E-01
    0.2458956862E+00    0.2509051557E+00   -0.5009469469E-02
    0.3168200734E+00    0.2834504479E+00    0.3336962554E-01
    0.3606096115E+00    0.3148306475E+00    0.4577896407E-01
    0.3855424304E+00    0.3451216578E+00    0.4042077254E-01
    0.3978840001E+00    0.3743930551E+00    0.2349094502E-01
    0.3956483535E+00    0.3886665731E+00    0.6981780476E-02
    0.3933726165E+00    0.4027087388E+00   -0.9336122309E-02
    0.3988790197E+00    0.4301275033E+00   -0.3124848363E-01
    0.2907721873E+00    0.3038261997E+00   -0.1305401246E-01
    0.2766077859E+00    0.3235587940E+00   -0.4695100817E-01
    0.2778108002E+00    0.3331152434E+00   -0.5530444315E-01
    0.2595940232E+00    0.3424759499E+00   -0.8288192672E-01
    0.2860637736E+00    0.3606403994E+00   -0.7457662573E-01
    0.3369956056E+00    0.3781093249E+00   -0.4111371930E-01
    0.3829514472E+00    0.3949349593E+00   -0.1198351208E-01
    0.3834132326E+00    0.4111651085E+00   -0.2775187588E-01
    0.3842960836E+00    0.4190707189E+00   -0.3477463528E-01
    0.3898202890E+00    0.4268436098E+00   -0.3702332083E-01
    0.4002315923E+00    0.4420107344E+00   -0.4177914218E-01
    0.1342891712E+00    0.1966673208E+00   -0.6237814958E-01
    0.2160994330E+00    0.2300950799E+00   -0.1399564689E-01
    0.2259092688E+00    0.2463093958E+00   -0.2040012703E-01
    0.2378831299E+00    0.2622060080E+00   -0.2432287818E-01
    0.2813862858E+00    0.2930890628E+00   -0.1170277694E-01
    0.3009395713E+00    0.3228254504E+00   -0.2188587913E-01
    0.3605672677E+00    0.3514894579E+00    0.9077809709E-02
    0.3718718209E+00    0.3791491803E+00   -0.7277359346E-02
    0.3770097654E+00    0.3926221793E+00   -0.1561241388E-01
    0.3835882870E+00    0.4058671567E+00   -0.2227886968E-01
    0.3997269348E+00    0.4317009305E+00   -0.3197399569E-01
    0.4484240400E+00    0.4601373169E+00   -0.1171327691E-01
    0.4533916717E+00    0.4597526765E+00   -0.6361004850E-02
    0.4572457538E+00    0.4595606479E+00   -0.2314894077E-02
    0.4592785290E+00    0.4593688136E+00   -0.9028466366E-04
    0.4595310313E+00    0.4589857282E+00    0.5453031785E-03
    0.4578862221E+00    0.4586034201E+00   -0.7171980102E-03
    0.4527502248E+00    0.4582218895E+00   -0.5471664735E-02
    0.4509489184E+00    0.4578411364E+00   -0.6892217987E-02
    0.4502571878E+00    0.4576510514E+00   -0.7393863566E-02
    0.4487305421E+00    0.4574611607E+00   -0.8730618656E-02
    0.4477070965E+00    0.4570819625E+00   -0.9374865969E-02
    0.1422823761E+00    0.1591485687E+00   -0.1686619254E-01
    0.1702090010E+00    0.1728975968E+00   -0.2688595873E-02
    0.1796044697E+00    0.1797754377E+00   -0.1709680642E-03
    0.2246052236E+00    0.1866554965E+00    0.3794972711E-01
    0.2431527848E+00    0.2004222677E+00    0.4273051712E-01
    0.2672206022E+00    0.2141979105E+00    0.5302269175E-01
    0.2793822363E+00    0.2279824247E+00    0.5139981153E-01
    0.2945343546E+00    0.2417758105E+00    0.5275854404E-01
    0.2956445844E+00    0.2486758303E+00    0.4696875415E-01
    0.3018347465E+00    0.2555780679E+00    0.4625667862E-01
    0.3104478013E+00    0.2693891967E+00    0.4105860462E-01
    0.1609983312E+00    0.1450789105E+00    0.1591942066E-01
    0.1464057447E+00    0.1451874461E+00    0.1218298643E-02
    0.1354515406E+00    0.1454059778E+00   -0.9954437136E-02
    0.1321953933E+00    0.1457340187E+00   -0.1353862544E-01
    0.1444167407E+00    0.1467186284E+00   -0.2301887705E-02
    0.1364241452E+00    0.1481412752E+00   -0.1171713003E-01
    0.1333490388E+00    0.1500019591E+00   -0.1665292031E-01
    0.1509255145E+00    0.1523006800E+00   -0.1375165456E-02
    0.1360308813E+00    0.1536143044E+00   -0.1758342309E-01
    0.1320689701E+00    0.1550374380E+00   -0.2296846791E-01
    0.1415712356E+00    0.1582122331E+00   -0.1664099747E-01
    0.2966245313E+00    0.2678714839E+00    0.2875304740E-01
    0.2769316302E+00    0.2532447263E+00    0.2368690387E-01
    0.2639498902E+00    0.2461979559E+00    0.1775193438E-01
    0.2484917914E+00    0.2393289243E+00    0.9162867104E-02
    0.2399862202E+00    0.2261240778E+00    0.1386214245E-01
    0.2176879084E+00    0.2136301868E+00    0.4057721540E-02
    0.1909003345E+00    0.2018472514E+00   -0.1094691691E-01
