     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.4311771491E+00    0.3957101026E+00    0.1144857904E+02    0.6483602556E+03
         2    0.2780862305E+00    0.2809240347E+00    0.1184593486E+02    0.5642117488E+03
         3    0.2863966357E+00    0.2826940028E+00    0.1183975584E+02    0.5656240428E+03
         4    0.4041564535E+00    0.3552480245E+00    0.1158049796E+02    0.6367121090E+03
         5    0.4080844591E+00    0.3542972308E+00    0.1158275306E+02    0.6383058806E+03
         6    0.2714353627E+00    0.2781615230E+00    0.1185431043E+02    0.5648115424E+03
         7    0.2872237083E+00    0.2804584556E+00    0.1184775879E+02    0.5634012771E+03
         8    0.2527832565E+00    0.2343559606E+00    0.1199399542E+02    0.5591305362E+03
         9    0.2511563255E+00    0.2357281089E+00    0.1198970048E+02    0.5591305362E+03
        10    0.2186514932E+00    0.2244099134E+00    0.1200427661E+02    0.6052234769E+03
        11    0.2151500840E+00    0.1834623439E+00    0.1215508495E+02    0.5551774939E+03
        12    0.4440869345E+00    0.4332501838E+00    0.1132427813E+02    0.6633864069E+03
        13    0.2267002756E+00    0.1973771428E+00    0.1211286111E+02    0.5522359339E+03
        14    0.2092739035E+00    0.1969662393E+00    0.1211100503E+02    0.5591822069E+03
        15    0.4412176146E+00    0.4056891041E+00    0.1144809854E+02    0.5803737856E+03
        16    0.4373163477E+00    0.4096182537E+00    0.1143579997E+02    0.5803737856E+03
        17    0.4371113264E+00    0.4090916308E+00    0.1132102947E+02    0.8377305354E+03
        18    0.2680617680E+00    0.3153960480E+00    0.1172849695E+02    0.5852956605E+03
        19    0.2364462509E+00    0.1849348754E+00    0.1216703996E+02    0.5185605973E+03
        20    0.2877592344E+00    0.3200798697E+00    0.1172101807E+02    0.5694193299E+03
        21    0.3052002036E+00    0.2984627822E+00    0.1171649092E+02    0.7290042939E+03
        22    0.3162345360E+00    0.3002312714E+00    0.1171012993E+02    0.7308290847E+03
        23    0.3893930302E+00    0.3864687639E+00    0.1138803384E+02    0.8461465785E+03
        24    0.2746515510E+00    0.3346925983E+00    0.1166122480E+02    0.6004876782E+03
        25    0.2119213688E+00    0.2048925381E+00    0.1209848205E+02    0.5320204302E+03
        26    0.2796253592E+00    0.3394650417E+00    0.1165365494E+02    0.5841992593E+03
        27    0.2320546000E+00    0.2945691996E+00    0.1180142740E+02    0.5681840871E+03
        28    0.2307039824E+00    0.2077526749E+00    0.1210016266E+02    0.5085148361E+03
        29    0.2694453323E+00    0.2982685031E+00    0.1179619426E+02    0.5541555720E+03
        30    0.3046928854E+00    0.3168800158E+00    0.1165076974E+02    0.7468520616E+03
        31    0.2681246117E+00    0.2712636326E+00    0.1179611386E+02    0.7411907120E+03
        32    0.2821058033E+00    0.2726946004E+00    0.1179163481E+02    0.7411907120E+03
        33    0.3001533759E+00    0.3136263377E+00    0.1173621603E+02    0.5804771115E+03
        34    0.2820478834E+00    0.2732066473E+00    0.1188788029E+02    0.5248864173E+03
        35    0.3337535518E+00    0.3163891647E+00    0.1173341038E+02    0.5675622140E+03
        36    0.3033097908E+00    0.2810632804E+00    0.1174120816E+02    0.7947581635E+03
