     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.4311771491E+00    0.4161819749E+00    0.1144857904E+02    0.2174422852E+01    0.1892767560E+02
         2    0.2780862305E+00    0.2870934687E+00    0.1184593486E+02    0.3130691640E+01    0.7939387255E+01
         3    0.2863966357E+00    0.2946334182E+00    0.1183975584E+02    0.2920212076E+01    0.6061842919E+01
         4    0.4041564535E+00    0.3742173569E+00    0.1158049796E+02    0.2379580694E+01    0.1696374607E+02
         5    0.4080844591E+00    0.3730395446E+00    0.1158275306E+02    0.2416607240E+01    0.1667081341E+02
         6    0.2872237083E+00    0.2930403579E+00    0.1184775879E+02    0.2869843926E+01    0.6316202293E+01
         7    0.2511563255E+00    0.2503720414E+00    0.1198970048E+02    0.2880745293E+01    0.6324831178E+01
         8    0.2186514932E+00    0.2340511470E+00    0.1200427661E+02    0.3251262457E+01    0.1206074206E+02
         9    0.2151500840E+00    0.1992803484E+00    0.1215508495E+02    0.2873469583E+01    0.8555858479E+01
        10    0.2188755888E+00    0.2034668983E+00    0.1215259286E+02    0.2755059285E+01    0.7200389937E+01
        11    0.4440869345E+00    0.4544754129E+00    0.1132427813E+02    0.2048785493E+01    0.2065290135E+02
        12    0.4565628182E+00    0.4589621810E+00    0.1131384466E+02    0.1905206863E+01    0.2252166888E+02
        13    0.2267002756E+00    0.2071881341E+00    0.1211286111E+02    0.3118169201E+01    0.8360984995E+01
        14    0.2092739035E+00    0.2118491770E+00    0.1211100503E+02    0.3006707083E+01    0.6000266230E+01
        15    0.4412176146E+00    0.4023877730E+00    0.1144809854E+02    0.3320620659E+01    0.7796918254E+01
        16    0.4371113264E+00    0.4460128898E+00    0.1132102947E+02    0.3124329117E+01    0.5645905329E+01
        17    0.2680617680E+00    0.3133001867E+00    0.1172849695E+02    0.3721956466E+01    0.4351194737E+01
        18    0.2364462509E+00    0.1967844548E+00    0.1216703996E+02    0.2405525224E+01    0.1887229085E+02
        19    0.2877592344E+00    0.3213073820E+00    0.1172101807E+02    0.3464501278E+01    0.3546541807E+01
        20    0.3162345360E+00    0.3098401406E+00    0.1171012993E+02    0.4178538115E+01    0.4173529944E+01
        21    0.3810698261E+00    0.4181959236E+00    0.1138568980E+02    0.3587620313E+01    0.4712082337E+01
        22    0.3893930302E+00    0.4163760588E+00    0.1138803384E+02    0.3638059868E+01    0.4855132859E+01
        23    0.2119213688E+00    0.2159892941E+00    0.1209848205E+02    0.2504875112E+01    0.1801724265E+02
        24    0.2320546000E+00    0.2899365924E+00    0.1180142740E+02    0.3803839935E+01    0.4256712359E+01
        25    0.2307039824E+00    0.2164283009E+00    0.1210016266E+02    0.2487109000E+01    0.1728159975E+02
        26    0.2694453323E+00    0.2963105723E+00    0.1179619426E+02    0.3595192012E+01    0.3438961613E+01
        27    0.3020090589E+00    0.3160897827E+00    0.1165759434E+02    0.4594328419E+01    0.5648302726E+01
        28    0.3046928854E+00    0.3251822972E+00    0.1165076974E+02    0.4308948130E+01    0.3936433613E+01
        29    0.2681246117E+00    0.2757784500E+00    0.1179611386E+02    0.4512405694E+01    0.6301845247E+01
        30    0.2821058033E+00    0.2830286953E+00    0.1179163481E+02    0.4291068605E+01    0.4421332950E+01
        31    0.3155324828E+00    0.3151723771E+00    0.1159284724E+02    0.5716821861E+01    0.3045457379E+01
        32    0.2820478834E+00    0.2756806961E+00    0.1188788029E+02    0.2803405761E+01    0.1468495294E+02
        33    0.3337535518E+00    0.3038801546E+00    0.1173341038E+02    0.4178186337E+01    0.2928690661E+01
        34    0.4433412280E+00    0.4688399534E+00    0.1126169020E+02    0.2800131748E+01    0.7366199565E+01
        35    0.4489842999E+00    0.4763991105E+00    0.1125111169E+02    0.2626995103E+01    0.6180324980E+01
        36    0.2294035237E+00    0.2126947296E+00    0.1208546609E+02    0.3386370567E+01    0.5035308729E+01
        37    0.1983230862E+00    0.1777593075E+00    0.1223948346E+02    0.2282645566E+01    0.1863465539E+02
        38    0.4269733901E+00    0.4111396608E+00    0.1139140504E+02    0.3872903233E+01    0.4292727335E+01
        39    0.2011678056E+00    0.1822745446E+00    0.1220840736E+02    0.2359878599E+01    0.2268910459E+02
        40    0.2339656649E+00    0.2055842746E+00    0.1204823437E+02    0.4171721395E+01    0.8291242202E+01
        41    0.2431243250E+00    0.2111840076E+00    0.1204634724E+02    0.4021469836E+01    0.5734251874E+01
        42    0.4522062284E+00    0.4115180467E+00    0.1137275909E+02    0.4176599035E+01    0.3226511669E+01
        43    0.4210826770E+00    0.4182798361E+00    0.1143272816E+02    0.2593524752E+01    0.1178550739E+02
        44    0.3691071406E+00    0.3767581262E+00    0.1155664885E+02    0.2887923605E+01    0.1003596513E+02
        45    0.3793562733E+00    0.3750117994E+00    0.1155853970E+02    0.2929786944E+01    0.1047042350E+02
        46    0.2843223449E+00    0.2351097854E+00    0.1195457572E+02    0.4148024579E+01    0.6980496735E+01
        47    0.4463194501E+00    0.4541222113E+00    0.1131613790E+02    0.2396381071E+01    0.1547554276E+02
        48    0.4555457409E+00    0.4628319639E+00    0.1130629846E+02    0.2240557923E+01    0.1214109127E+02
        49    0.1532933446E+00    0.2062433124E+00    0.1206559070E+02    0.3853431760E+01    0.8905431403E+01
        50    0.2124254665E+00    0.2250588536E+00    0.1200679840E+02    0.3791422513E+01    0.8905431403E+01
        51    0.2458956862E+00    0.2436236442E+00    0.1194871383E+02    0.3731377360E+01    0.8905431403E+01
        52    0.3978840001E+00    0.3839124376E+00    0.1150751060E+02    0.3311784725E+01    0.8905431403E+01
        53    0.3956483535E+00    0.4005093610E+00    0.1145506514E+02    0.3265878798E+01    0.8905431403E+01
        54    0.3933726165E+00    0.4169154815E+00    0.1140317415E+02    0.3221228112E+01    0.8905431403E+01
        55    0.2907721873E+00    0.2494324907E+00    0.1168053059E+02    0.7711325446E+01    0.2787239673E+01
        56    0.2766077859E+00    0.2726648965E+00    0.1162360959E+02    0.7399470373E+01    0.2787239673E+01
