     Index       y_measurement           y_fitting        descriptor_1
         1    0.2863966357E+00    0.2814321905E+00    0.1632181046E+02
         2    0.4041564535E+00    0.3543608440E+00    0.1590159182E+02
         3    0.2714353627E+00    0.2779500312E+00    0.1634187484E+02
         4    0.2527832565E+00    0.2378507680E+00    0.1657292885E+02
         5    0.2511563255E+00    0.2388807155E+00    0.1656699424E+02
         6    0.2186514932E+00    0.2353852832E+00    0.1658713510E+02
         7    0.2151500840E+00    0.1916615608E+00    0.1683907343E+02
         8    0.2188755888E+00    0.1922607276E+00    0.1683562100E+02
         9    0.4440869345E+00    0.4238320292E+00    0.1550129529E+02
        10    0.4565628182E+00    0.4263106447E+00    0.1548701338E+02
        11    0.2267002756E+00    0.2018133083E+00    0.1678057854E+02
        12    0.2092739035E+00    0.2022595592E+00    0.1677800722E+02
        13    0.4412176146E+00    0.3904246311E+00    0.1569379043E+02
        14    0.4373163477E+00    0.3933506169E+00    0.1567693075E+02
        15    0.4371113264E+00    0.4206559606E+00    0.1551959596E+02
        16    0.2364462509E+00    0.1803515486E+00    0.1690424230E+02
        17    0.2877592344E+00    0.3098399732E+00    0.1615812336E+02
        18    0.3052002036E+00    0.3109230874E+00    0.1615188240E+02
        19    0.3810698261E+00    0.4007849347E+00    0.1563409383E+02
        20    0.2746515510E+00    0.3241453995E+00    0.1607569476E+02
        21    0.2119213688E+00    0.1968822484E+00    0.1680899156E+02
        22    0.2796253592E+00    0.3259564733E+00    0.1606525926E+02
        23    0.2320546000E+00    0.2840295433E+00    0.1630684438E+02
        24    0.2307039824E+00    0.1964770195E+00    0.1681132651E+02
        25    0.2694453323E+00    0.2852844766E+00    0.1629961339E+02
        26    0.3020090589E+00    0.3250139791E+00    0.1607068996E+02
        27    0.3046928854E+00    0.3266467518E+00    0.1606128184E+02
        28    0.2821058033E+00    0.2863778580E+00    0.1629331327E+02
        29    0.3155324828E+00    0.3340481125E+00    0.1601863482E+02
        30    0.3001533759E+00    0.2923689207E+00    0.1625879246E+02
        31    0.3337535518E+00    0.2930434738E+00    0.1625490565E+02
