Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3020090589E+00    0.3254012318E+00   -0.2339217295E-01
    0.1983230862E+00    0.1628630496E+00    0.3546003662E-01
    0.2124254665E+00    0.2349406408E+00   -0.2251517431E-01
    0.3898202890E+00    0.4274617539E+00   -0.3764146498E-01
    0.1342891712E+00    0.1974676807E+00   -0.6317850948E-01
    0.2813862858E+00    0.2938130918E+00   -0.1242680595E-01
    0.3770097654E+00    0.3932674143E+00   -0.1625764894E-01
    0.4572457538E+00    0.4601528921E+00   -0.2907138253E-02
    0.4578862221E+00    0.4591964221E+00   -0.1310199962E-02
    0.1796044697E+00    0.1805891698E+00   -0.9847001730E-03
    0.3018347465E+00    0.2563317919E+00    0.4550295457E-01
    0.1364241452E+00    0.1489800501E+00   -0.1255590487E-01
    0.2176879084E+00    0.2144171183E+00    0.3270790056E-02
    0.4298996304E+00    0.4228841505E+00    0.7015479961E-02
    0.2116025279E+00    0.2479217104E+00   -0.3631918251E-01
    0.3826141023E+00    0.3823634628E+00    0.2506395125E-03
    0.4524044644E+00    0.4357017585E+00    0.1670270585E-01
Prediction RMSE and MaxAE:         0.0266083028        0.0631785095
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3020090589E+00    0.3182278923E+00   -0.1621883338E-01
    0.1983230862E+00    0.1711864219E+00    0.2713666426E-01
    0.2124254665E+00    0.2264384131E+00   -0.1401294657E-01
    0.3898202890E+00    0.4212725936E+00   -0.3145230469E-01
    0.1342891712E+00    0.1720738950E+00   -0.3778472381E-01
    0.2813862858E+00    0.2784190145E+00    0.2967271361E-02
    0.3770097654E+00    0.3904009963E+00   -0.1339123095E-01
    0.4572457538E+00    0.4732559199E+00   -0.1601016607E-01
    0.4578862221E+00    0.4722712181E+00   -0.1438499596E-01
    0.1796044697E+00    0.1957601226E+00   -0.1615565289E-01
    0.3018347465E+00    0.2758190600E+00    0.2601568648E-01
    0.1364241452E+00    0.1393295716E+00   -0.2905426411E-02
    0.2176879084E+00    0.2378647532E+00   -0.2017684482E-01
    0.4298996304E+00    0.4141617875E+00    0.1573784295E-01
    0.2116025279E+00    0.2433841675E+00   -0.3178163962E-01
    0.3826141023E+00    0.3899905893E+00   -0.7376487010E-02
    0.4524044644E+00    0.4462721058E+00    0.6132358610E-02
Prediction RMSE and MaxAE:         0.0202444854        0.0377847238
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3020090589E+00    0.3130879065E+00   -0.1107884763E-01
    0.1983230862E+00    0.1778749083E+00    0.2044817790E-01
    0.2124254665E+00    0.2202711348E+00   -0.7845668328E-02
    0.3898202890E+00    0.4069978771E+00   -0.1717758811E-01
    0.1342891712E+00    0.1589636997E+00   -0.2467452848E-01
    0.2813862858E+00    0.2767114814E+00    0.4674804469E-02
    0.3770097654E+00    0.3991763615E+00   -0.2216659613E-01
    0.4572457538E+00    0.4654793919E+00   -0.8233638116E-02
    0.4578862221E+00    0.4631680549E+00   -0.5281832805E-02
    0.1796044697E+00    0.1936372167E+00   -0.1403274703E-01
    0.3018347465E+00    0.2838112423E+00    0.1802350417E-01
    0.1364241452E+00    0.1514708167E+00   -0.1504667153E-01
    0.2176879084E+00    0.2227366753E+00   -0.5048766987E-02
    0.4298996304E+00    0.4075234450E+00    0.2237618539E-01
    0.2116025279E+00    0.2442282204E+00   -0.3262569253E-01
    0.3826141023E+00    0.4065204434E+00   -0.2390634112E-01
    0.4524044644E+00    0.4675448332E+00   -0.1514036878E-01
Prediction RMSE and MaxAE:         0.0175813371        0.0326256925
