     Index       y_measurement           y_fitting        descriptor_1
         1    0.2595301222E+03    0.2603502857E+03    0.4113190748E+00
         2    0.2079026556E+03    0.2071927951E+03    0.3372876140E+00
         3    0.2226869444E+03    0.2231181492E+03    0.3594665621E+00
         4    0.2466663556E+03    0.2487360677E+03    0.3951441667E+00
         5    0.2405868667E+03    0.2431511795E+03    0.3873661955E+00
         6    0.2053415111E+03    0.2079867100E+03    0.3383932847E+00
         7    0.2209334444E+03    0.2240348263E+03    0.3607432015E+00
         8    0.1936777556E+03    0.1961759320E+03    0.3219446312E+00
         9    0.2036199000E+03    0.2066327761E+03    0.3365076858E+00
        10    0.1988755111E+03    0.2040149463E+03    0.3328618823E+00
        11    0.1820647889E+03    0.1869974181E+03    0.3091618834E+00
        12    0.1862727778E+03    0.1922088836E+03    0.3164197957E+00
        13    0.2604490667E+03    0.2608257627E+03    0.4119812629E+00
        14    0.2896785556E+03    0.2895108953E+03    0.4519305201E+00
        15    0.1894734000E+03    0.1831446513E+03    0.3037962058E+00
        16    0.1935410889E+03    0.1881505796E+03    0.3107678703E+00
        17    0.2416573111E+03    0.2428015351E+03    0.3868792521E+00
        18    0.2785376444E+03    0.2765260932E+03    0.4338468247E+00
        19    0.2668892556E+03    0.2679333334E+03    0.4218798460E+00
        20    0.2110321000E+03    0.2162171081E+03    0.3498556090E+00
        21    0.1790172889E+03    0.1805394794E+03    0.3001680308E+00
        22    0.2256499111E+03    0.2323739157E+03    0.3723568981E+00
        23    0.2147564222E+03    0.2143430154E+03    0.3472455945E+00
        24    0.2279487222E+03    0.2301266520E+03    0.3692271753E+00
        25    0.2568662444E+03    0.2593672690E+03    0.4099500455E+00
        26    0.2505142889E+03    0.2538415068E+03    0.4022544179E+00
        27    0.2144034778E+03    0.2193140791E+03    0.3541687036E+00
        28    0.1817765778E+03    0.1833189006E+03    0.3040388796E+00
        29    0.2281654778E+03    0.2354316911E+03    0.3766154058E+00
        30    0.2011406222E+03    0.2077241090E+03    0.3380275651E+00
        31    0.1819319111E+03    0.1838463518E+03    0.3047734513E+00
        32    0.2107032667E+03    0.2183086754E+03    0.3527684964E+00
        33    0.2151194444E+03    0.2182108962E+03    0.3526323210E+00
        34    0.2290660778E+03    0.2340814814E+03    0.3747349935E+00
        35    0.2044317667E+03    0.2060933972E+03    0.3357565027E+00
        36    0.2137194444E+03    0.2164322866E+03    0.3501552841E+00
        37    0.2164706222E+03    0.2210557474E+03    0.3565942930E+00
        38    0.2003932667E+03    0.2038034753E+03    0.3325673706E+00
        39    0.1893699333E+03    0.1915970172E+03    0.3155676606E+00
        40    0.2062119333E+03    0.2089984929E+03    0.3398023762E+00
        41    0.2000597778E+03    0.2034626166E+03    0.3320926629E+00
        42    0.2051309444E+03    0.2086184626E+03    0.3392731149E+00
        43    0.2630736333E+03    0.2649259314E+03    0.4176914925E+00
        44    0.2928621333E+03    0.2934789675E+03    0.4574567814E+00
        45    0.1871043000E+03    0.1907800963E+03    0.3144299499E+00
        46    0.1764319667E+03    0.1791164205E+03    0.2981861628E+00
        47    0.1914784222E+03    0.1960075347E+03    0.3217101073E+00
        48    0.2456214556E+03    0.2475558061E+03    0.3935004380E+00
        49    0.1790136222E+03    0.1757440923E+03    0.2934895833E+00
        50    0.2811406222E+03    0.2813732307E+03    0.4405973441E+00
        51    0.1923749111E+03    0.1866943018E+03    0.3087397389E+00
        52    0.1980689000E+03    0.1916713995E+03    0.3156712514E+00
        53    0.2452193667E+03    0.2468404836E+03    0.3925042215E+00
        54    0.2834870333E+03    0.2804038729E+03    0.4392473373E+00
        55    0.2641083000E+03    0.2584670692E+03    0.4086963537E+00
        56    0.2534758778E+03    0.2459359496E+03    0.3912444937E+00
        57    0.2469492333E+03    0.2404758506E+03    0.3836403141E+00
        58    0.2098778222E+03    0.1991050711E+03    0.3260239894E+00
        59    0.2611882111E+03    0.2599727830E+03    0.4107933337E+00
        60    0.2922040889E+03    0.2884470615E+03    0.4504489384E+00
        61    0.1845425556E+03    0.1857213569E+03    0.3073847364E+00
        62    0.1898993111E+03    0.1943579557E+03    0.3194127690E+00
        63    0.1952178111E+03    0.1987119622E+03    0.3254765138E+00
        64    0.2016502556E+03    0.2030901524E+03    0.3315739389E+00
        65    0.2105854111E+03    0.2119202508E+03    0.3438714548E+00
        66    0.2213828000E+03    0.2208506375E+03    0.3563086402E+00
        67    0.2304738556E+03    0.2298837845E+03    0.3688889382E+00
        68    0.2402382000E+03    0.2390222548E+03    0.3816159179E+00
        69    0.2422979556E+03    0.2436318128E+03    0.3880355646E+00
        70    0.2458938778E+03    0.2482687056E+03    0.3944932801E+00
        71    0.2572186333E+03    0.2576258936E+03    0.4075248639E+00
        72    0.2082812222E+03    0.2041357896E+03    0.3330301786E+00
        73    0.2124671556E+03    0.2119717194E+03    0.3439431341E+00
        74    0.2147394667E+03    0.2158139430E+03    0.3492941284E+00
        75    0.2172658444E+03    0.2196051692E+03    0.3545740994E+00
        76    0.2253844556E+03    0.2270330757E+03    0.3649188084E+00
        77    0.2347459556E+03    0.2342522573E+03    0.3749728300E+00
        78    0.2431637556E+03    0.2412594064E+03    0.3847315579E+00
        79    0.2513636333E+03    0.2480510821E+03    0.3941901999E+00
        80    0.2534225000E+03    0.2513650037E+03    0.3988054376E+00
        81    0.2547179556E+03    0.2546237020E+03    0.4033437668E+00
        82    0.2631218000E+03    0.2609735323E+03    0.4121870589E+00
        83    0.1924218778E+03    0.1802557371E+03    0.2997728681E+00
        84    0.1983598444E+03    0.1894311671E+03    0.3125513209E+00
        85    0.2024171778E+03    0.1940646339E+03    0.3190042650E+00
        86    0.2065748778E+03    0.1987283460E+03    0.3254993313E+00
        87    0.2156308111E+03    0.2081457596E+03    0.3386147902E+00
        88    0.2237516111E+03    0.2176819461E+03    0.3518956620E+00
        89    0.2350597111E+03    0.2273354941E+03    0.3653399810E+00
        90    0.2445528889E+03    0.2371050396E+03    0.3789458475E+00
        91    0.2477960889E+03    0.2420328974E+03    0.3858087846E+00
        92    0.2505340222E+03    0.2469892632E+03    0.3927114242E+00
        93    0.2601386889E+03    0.2569868885E+03    0.4066349333E+00
        94    0.3058445778E+03    0.3087288741E+03    0.4786950462E+00
        95    0.3013589222E+03    0.3039501626E+03    0.4720398225E+00
        96    0.2990407000E+03    0.3015740868E+03    0.4687307054E+00
        97    0.2966810000E+03    0.2992070235E+03    0.4654341398E+00
        98    0.2926131333E+03    0.2945004426E+03    0.4588793710E+00
        99    0.2877935333E+03    0.2898314949E+03    0.4523770133E+00
       100    0.2843988222E+03    0.2852013557E+03    0.4459287035E+00
       101    0.2820282667E+03    0.2806113133E+03    0.4395362358E+00
       102    0.2803237333E+03    0.2783317656E+03    0.4363615516E+00
       103    0.2792287556E+03    0.2760627842E+03    0.4332015829E+00
       104    0.2744485778E+03    0.2715573304E+03    0.4269269201E+00
       105    0.1886036444E+03    0.1793537164E+03    0.2985166404E+00
       106    0.1870368222E+03    0.1814645663E+03    0.3014563823E+00
       107    0.1870242778E+03    0.1824959301E+03    0.3028927437E+00
       108    0.1838565333E+03    0.1835113657E+03    0.3043069223E+00
       109    0.1853664667E+03    0.1854947861E+03    0.3070691955E+00
       110    0.1870591111E+03    0.1874154859E+03    0.3097441188E+00
       111    0.1889144889E+03    0.1892741104E+03    0.3123325910E+00
       112    0.1905193889E+03    0.1910712925E+03    0.3148354935E+00
       113    0.1899346000E+03    0.1919470371E+03    0.3160551269E+00
       114    0.1915395111E+03    0.1928076528E+03    0.3172536906E+00
       115    0.1921652444E+03    0.1944837999E+03    0.3195880298E+00
       116    0.1813102889E+03    0.1764857594E+03    0.2945224894E+00
       117    0.1730694778E+03    0.1758057032E+03    0.2935753877E+00
       118    0.1717623333E+03    0.1754710658E+03    0.2931093443E+00
       119    0.1704806556E+03    0.1751404766E+03    0.2926489388E+00
       120    0.1700829333E+03    0.1744929511E+03    0.2917471419E+00
       121    0.1692373444E+03    0.1738664154E+03    0.2908745771E+00
       122    0.1700707556E+03    0.1732646491E+03    0.2900365083E+00
       123    0.1708686111E+03    0.1726920116E+03    0.2892390065E+00
       124    0.1718423667E+03    0.1724181632E+03    0.2888576229E+00
       125    0.1740759667E+03    0.1721535505E+03    0.2884891017E+00
       126    0.1730707556E+03    0.1716551360E+03    0.2877949689E+00
       127    0.1967226222E+03    0.1942737557E+03    0.3192955051E+00
       128    0.1931341889E+03    0.1923159090E+03    0.3165688480E+00
       129    0.1907203222E+03    0.1912861692E+03    0.3151347483E+00
       130    0.1876005778E+03    0.1902216516E+03    0.3136522142E+00
       131    0.1853022667E+03    0.1879854112E+03    0.3105378432E+00
       132    0.1818018444E+03    0.1856011273E+03    0.3072172949E+00
       133    0.1808356889E+03    0.1830621874E+03    0.3036813599E+00
       134    0.1786953444E+03    0.1803613509E+03    0.2999199545E+00
       135    0.1787971889E+03    0.1789477653E+03    0.2979512798E+00
       136    0.1796762778E+03    0.1774906595E+03    0.2959219953E+00
       137    0.1785659444E+03    0.1744413301E+03    0.2916752503E+00
       138    0.1863562667E+03    0.1898982920E+03    0.3132018772E+00
       139    0.1967213778E+03    0.2028292880E+03    0.3312106378E+00
