     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2595301222E+03    0.2592254462E+03    0.4113190748E+00    0.5216142052E+01
         2    0.2079026556E+03    0.2081622176E+03    0.3372876140E+00    0.5247599724E+01
         3    0.2226869444E+03    0.2233820234E+03    0.3594665621E+00    0.5233524876E+01
         4    0.2466663556E+03    0.2471402584E+03    0.3951441667E+00    0.5167747618E+01
         5    0.2405868667E+03    0.2417702709E+03    0.3873661955E+00    0.5170747378E+01
         6    0.2053415111E+03    0.2078011349E+03    0.3383932847E+00    0.5180245021E+01
         7    0.2209334444E+03    0.2231555378E+03    0.3607432015E+00    0.5167089820E+01
         8    0.1936777556E+03    0.1966738436E+03    0.3219446312E+00    0.5200220350E+01
         9    0.2036199000E+03    0.2066506356E+03    0.3365076858E+00    0.5189979957E+01
        10    0.1988755111E+03    0.2014559999E+03    0.3328618823E+00    0.5032016425E+01
        11    0.1820647889E+03    0.1847630009E+03    0.3091618834E+00    0.5021497869E+01
        12    0.1862727778E+03    0.1897360307E+03    0.3164197957E+00    0.5016442595E+01
        13    0.2604490667E+03    0.2606111687E+03    0.4119812629E+00    0.5271154348E+01
        14    0.2896785556E+03    0.2881983770E+03    0.4519305201E+00    0.5256095130E+01
        15    0.1894734000E+03    0.1866191540E+03    0.3037962058E+00    0.5354543725E+01
        16    0.1935410889E+03    0.1913200716E+03    0.3107678703E+00    0.5345165499E+01
        17    0.2416573111E+03    0.2428572072E+03    0.3868792521E+00    0.5255641069E+01
        18    0.2785376444E+03    0.2751867907E+03    0.4338468247E+00    0.5231736166E+01
        19    0.2668892556E+03    0.2677044219E+03    0.4218798460E+00    0.5282763035E+01
        20    0.2110321000E+03    0.2148364218E+03    0.3498556090E+00    0.5123540239E+01
        21    0.1790172889E+03    0.1805796674E+03    0.3001680308E+00    0.5145562629E+01
        22    0.2256499111E+03    0.2303570982E+03    0.3723568981E+00    0.5114002943E+01
        23    0.2147564222E+03    0.2161801394E+03    0.3472455945E+00    0.5311781809E+01
        24    0.2279487222E+03    0.2312618846E+03    0.3692271753E+00    0.5297676165E+01
        25    0.2568662444E+03    0.2582833846E+03    0.4099500455E+00    0.5216856332E+01
        26    0.2505142889E+03    0.2529703334E+03    0.4022544179E+00    0.5219829426E+01
        27    0.2144034778E+03    0.2175556887E+03    0.3541687036E+00    0.5106488482E+01
        28    0.1817765778E+03    0.1830012979E+03    0.3040388796E+00    0.5129139415E+01
        29    0.2281654778E+03    0.2330375314E+03    0.3766154058E+00    0.5096904005E+01
        30    0.2011406222E+03    0.2059786804E+03    0.3380275651E+00    0.5086940636E+01
        31    0.1819319111E+03    0.1828619238E+03    0.3047734513E+00    0.5090374039E+01
        32    0.2107032667E+03    0.2161391138E+03    0.3527684964E+00    0.5080252516E+01
        33    0.2151194444E+03    0.2185225200E+03    0.3526323210E+00    0.5227763661E+01
        34    0.2290660778E+03    0.2337050384E+03    0.3747349935E+00    0.5214633303E+01
        35    0.2044317667E+03    0.2070935821E+03    0.3357565027E+00    0.5247503288E+01
        36    0.2137194444E+03    0.2169558954E+03    0.3501552841E+00    0.5237262983E+01
        37    0.2164706222E+03    0.2179633076E+03    0.3565942930E+00    0.5030138032E+01
        38    0.2003932667E+03    0.2009784814E+03    0.3325673706E+00    0.5015810272E+01
        39    0.1893699333E+03    0.1888868519E+03    0.3155676606E+00    0.5001244817E+01
        40    0.2062119333E+03    0.2059552422E+03    0.3398023762E+00    0.5011927232E+01
        41    0.2000597778E+03    0.2007159309E+03    0.3320926629E+00    0.5019873661E+01
        42    0.2051309444E+03    0.2056353043E+03    0.3392731149E+00    0.5014837729E+01
        43    0.2630736333E+03    0.2660075346E+03    0.4176914925E+00    0.5355493615E+01
        44    0.2928621333E+03    0.2934693885E+03    0.4574567814E+00    0.5340604101E+01
        45    0.1871043000E+03    0.1897799473E+03    0.3144299499E+00    0.5101594439E+01
        46    0.1764319667E+03    0.1781695316E+03    0.2981861628E+00    0.5084315968E+01
        47    0.1914784222E+03    0.1947916349E+03    0.3217101073E+00    0.5097917403E+01
        48    0.2456214556E+03    0.2465024237E+03    0.3935004380E+00    0.5197964179E+01
        49    0.1790136222E+03    0.1780906171E+03    0.2934895833E+00    0.5274430842E+01
        50    0.2811406222E+03    0.2790217775E+03    0.4405973441E+00    0.5179989891E+01
        51    0.1923749111E+03    0.1914144451E+03    0.3087397389E+00    0.5434908658E+01
        52    0.1980689000E+03    0.1960845250E+03    0.3156712514E+00    0.5425360422E+01
        53    0.2452193667E+03    0.2481554398E+03    0.3925042215E+00    0.5337675907E+01
        54    0.2834870333E+03    0.2803282987E+03    0.4392473373E+00    0.5313752965E+01
        55    0.2641083000E+03    0.2620543411E+03    0.4086963537E+00    0.5493309887E+01
        56    0.2534758778E+03    0.2502281495E+03    0.3912444937E+00    0.5513298527E+01
        57    0.2469492333E+03    0.2449978390E+03    0.3836403141E+00    0.5517403210E+01
        58    0.2098778222E+03    0.2059069536E+03    0.3260239894E+00    0.5580574154E+01
        59    0.2611882111E+03    0.2633157707E+03    0.4107933337E+00    0.5481409644E+01
        60    0.2922040889E+03    0.2906059076E+03    0.4504489384E+00    0.5460849018E+01
        61    0.1845425556E+03    0.1825802514E+03    0.3073847364E+00    0.4965293729E+01
        62    0.1898993111E+03    0.1913153325E+03    0.3194127690E+00    0.4986297030E+01
        63    0.1952178111E+03    0.1957175283E+03    0.3254765138E+00    0.4996798680E+01
        64    0.2016502556E+03    0.2001431956E+03    0.3315739389E+00    0.5007300330E+01
        65    0.2105854111E+03    0.2090660767E+03    0.3438714548E+00    0.5028303630E+01
        66    0.2213828000E+03    0.2180862920E+03    0.3563086402E+00    0.5049306931E+01
        67    0.2304738556E+03    0.2272062410E+03    0.3688889382E+00    0.5070310231E+01
        68    0.2402382000E+03    0.2364284110E+03    0.3816159179E+00    0.5091313531E+01
        69    0.2422979556E+03    0.2410786310E+03    0.3880355646E+00    0.5101815182E+01
        70    0.2458938778E+03    0.2457553809E+03    0.3944932801E+00    0.5112316832E+01
        71    0.2572186333E+03    0.2551898262E+03    0.4075248639E+00    0.5133320132E+01
        72    0.2082812222E+03    0.2002583593E+03    0.3330301786E+00    0.4953750840E+01
        73    0.2124671556E+03    0.2086021837E+03    0.3439431341E+00    0.4997719043E+01
        74    0.2147394667E+03    0.2127005856E+03    0.3492941284E+00    0.5019703144E+01
        75    0.2172658444E+03    0.2167494921E+03    0.3545740994E+00    0.5041687245E+01
        76    0.2253844556E+03    0.2246973115E+03    0.3649188084E+00    0.5085655448E+01
        77    0.2347459556E+03    0.2324425539E+03    0.3749728300E+00    0.5129623651E+01
        78    0.2431637556E+03    0.2399820092E+03    0.3847315579E+00    0.5173591853E+01
        79    0.2513636333E+03    0.2473123379E+03    0.3941901999E+00    0.5217560056E+01
        80    0.2534225000E+03    0.2508979988E+03    0.3988054376E+00    0.5239544158E+01
        81    0.2547179556E+03    0.2544300630E+03    0.4033437668E+00    0.5261528259E+01
        82    0.2631218000E+03    0.2613315608E+03    0.4121870589E+00    0.5305496462E+01
        83    0.1924218778E+03    0.1881254575E+03    0.2997728681E+00    0.5611086562E+01
        84    0.1983598444E+03    0.1966758811E+03    0.3125513209E+00    0.5589971789E+01
        85    0.2024171778E+03    0.2009954971E+03    0.3190042650E+00    0.5579414402E+01
        86    0.2065748778E+03    0.2053444676E+03    0.3254993313E+00    0.5568857015E+01
        87    0.2156308111E+03    0.2141297473E+03    0.3386147902E+00    0.5547742242E+01
        88    0.2237516111E+03    0.2230303014E+03    0.3518956620E+00    0.5526627468E+01
        89    0.2350597111E+03    0.2320447601E+03    0.3653399810E+00    0.5505512695E+01
        90    0.2445528889E+03    0.2411717996E+03    0.3789458475E+00    0.5484397921E+01
        91    0.2477960889E+03    0.2457771354E+03    0.3858087846E+00    0.5473840535E+01
        92    0.2505340222E+03    0.2504101394E+03    0.3927114242E+00    0.5463283148E+01
        93    0.2601386889E+03    0.2597585407E+03    0.4066349333E+00    0.5442168375E+01
        94    0.3058445778E+03    0.3107657598E+03    0.4786950462E+00    0.5489147558E+01
        95    0.3013589222E+03    0.3061701375E+03    0.4720398225E+00    0.5491667249E+01
        96    0.2990407000E+03    0.3038852152E+03    0.4687307054E+00    0.5492927095E+01
        97    0.2966810000E+03    0.3016090399E+03    0.4654341398E+00    0.5494186940E+01
        98    0.2926131333E+03    0.2970834236E+03    0.4588793710E+00    0.5496706632E+01
        99    0.2877935333E+03    0.2925943321E+03    0.4523770133E+00    0.5499226323E+01
       100    0.2843988222E+03    0.2881429060E+03    0.4459287035E+00    0.5501746014E+01
       101    0.2820282667E+03    0.2837303956E+03    0.4395362358E+00    0.5504265706E+01
       102    0.2803237333E+03    0.2815391581E+03    0.4363615516E+00    0.5505525551E+01
       103    0.2792287556E+03    0.2793581758E+03    0.4332015829E+00    0.5506785397E+01
       104    0.2744485778E+03    0.2750277624E+03    0.4269269201E+00    0.5509305088E+01
       105    0.1886036444E+03    0.1809903902E+03    0.2985166404E+00    0.5238508158E+01
       106    0.1870368222E+03    0.1826247288E+03    0.3014563823E+00    0.5213846448E+01
       107    0.1870242778E+03    0.1834185456E+03    0.3028927437E+00    0.5201515593E+01
       108    0.1838565333E+03    0.1841969035E+03    0.3043069223E+00    0.5189184738E+01
       109    0.1853664667E+03    0.1857075660E+03    0.3070691955E+00    0.5164523027E+01
       110    0.1870591111E+03    0.1871573553E+03    0.3097441188E+00    0.5139861317E+01
       111    0.1889144889E+03    0.1885468978E+03    0.3123325910E+00    0.5115199607E+01
       112    0.1905193889E+03    0.1898768076E+03    0.3148354935E+00    0.5090537897E+01
       113    0.1899346000E+03    0.1905195890E+03    0.3160551269E+00    0.5078207042E+01
       114    0.1915395111E+03    0.1911476871E+03    0.3172536906E+00    0.5065876186E+01
       115    0.1921652444E+03    0.1923601270E+03    0.3195880298E+00    0.5041214476E+01
       116    0.1813102889E+03    0.1728499099E+03    0.2945224894E+00    0.4919654385E+01
       117    0.1730694778E+03    0.1728440388E+03    0.2935753877E+00    0.4958590272E+01
       118    0.1717623333E+03    0.1728463351E+03    0.2931093443E+00    0.4978058216E+01
       119    0.1704806556E+03    0.1728525604E+03    0.2926489388E+00    0.4997526160E+01
       120    0.1700829333E+03    0.1728782618E+03    0.2917471419E+00    0.5036462047E+01
       121    0.1692373444E+03    0.1729243347E+03    0.2908745771E+00    0.5075397934E+01
       122    0.1700707556E+03    0.1729944475E+03    0.2900365083E+00    0.5114333822E+01
       123    0.1708686111E+03    0.1730928310E+03    0.2892390065E+00    0.5153269709E+01
       124    0.1718423667E+03    0.1731541258E+03    0.2888576229E+00    0.5172737653E+01
       125    0.1740759667E+03    0.1732243843E+03    0.2884891017E+00    0.5192205597E+01
       126    0.1730707556E+03    0.1733948046E+03    0.2877949689E+00    0.5231141484E+01
       127    0.1967226222E+03    0.1899394787E+03    0.3192955051E+00    0.4909268926E+01
       128    0.1931341889E+03    0.1890576784E+03    0.3165688480E+00    0.4969883789E+01
       129    0.1907203222E+03    0.1885674586E+03    0.3151347483E+00    0.5000191220E+01
       130    0.1876005778E+03    0.1880434854E+03    0.3136522142E+00    0.5030498652E+01
       131    0.1853022667E+03    0.1868914914E+03    0.3105378432E+00    0.5091113515E+01
       132    0.1818018444E+03    0.1855958146E+03    0.3072172949E+00    0.5151728378E+01
       133    0.1808356889E+03    0.1841500371E+03    0.3036813599E+00    0.5212343242E+01
       134    0.1786953444E+03    0.1825471316E+03    0.2999199545E+00    0.5272958105E+01
       135    0.1787971889E+03    0.1816843722E+03    0.2979512798E+00    0.5303265536E+01
       136    0.1796762778E+03    0.1807793744E+03    0.2959219953E+00    0.5333572968E+01
       137    0.1785659444E+03    0.1788382409E+03    0.2916752503E+00    0.5394187831E+01
       138    0.1863562667E+03    0.1865640092E+03    0.3132018772E+00    0.4961118563E+01
       139    0.1967213778E+03    0.1994301733E+03    0.3312106378E+00    0.4979930112E+01
       140    0.2028386333E+03    0.2059391126E+03    0.3403238694E+00    0.4989335886E+01
