     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2595301222E+03    0.2589522304E+03    0.1011098223E+03    0.1267245707E-02    0.2665336643E-02
         2    0.2079026556E+03    0.2079705195E+03    0.8696558324E+02    0.8590070154E-02    0.3096942974E-02
         3    0.2226869444E+03    0.2230968790E+03    0.9171513049E+02    0.2250011365E-02    0.2773079148E-02
         4    0.2466663556E+03    0.2464387466E+03    0.9804279365E+02    0.1301073538E-02    0.2591794217E-02
         5    0.2405868667E+03    0.2412229857E+03    0.9652157168E+02    0.2065571337E-02    0.2677505353E-02
         6    0.2053415111E+03    0.2073683450E+03    0.8720910052E+02    0.6356983191E-02    0.2934853663E-02
         7    0.2209334444E+03    0.2225975731E+03    0.9184329186E+02    0.1858062354E-02    0.2639386476E-02
         8    0.1936777556E+03    0.1959352530E+03    0.8413326308E+02    0.9332980537E-02    0.2939727772E-02
         9    0.2036199000E+03    0.2056924197E+03    0.8724880950E+02    0.4216789038E-02    0.2730319912E-02
        10    0.1988755111E+03    0.2005849175E+03    0.8628043967E+02    0.4182209875E-02    0.2541207794E-02
        11    0.1820647889E+03    0.1832466811E+03    0.8183625375E+02    0.5446302277E-02    0.2515248598E-02
        12    0.1862727778E+03    0.1883648548E+03    0.8329439529E+02    0.5414834016E-02    0.2430527803E-02
        13    0.2604490667E+03    0.2607566249E+03    0.1010033951E+03    0.3143569051E-02    0.2933623838E-02
        14    0.2896785556E+03    0.2879652498E+03    0.1088614961E+03    0.4051222558E-03    0.2495250669E-02
        15    0.1894734000E+03    0.1874239612E+03    0.8044241165E+02    0.2695569759E-01    0.3303206439E-02
        16    0.1935410889E+03    0.1913635894E+03    0.8210036265E+02    0.1869948025E-01    0.3166300541E-02
        17    0.2416573111E+03    0.2440507336E+03    0.9617117252E+02    0.3948863829E-02    0.3231608211E-02
        18    0.2785376444E+03    0.2764729689E+03    0.1056731831E+03    0.3873495366E-03    0.2639413313E-02
        19    0.2668892556E+03    0.2663765697E+03    0.1031264439E+03    0.4319124461E-03    0.2620421082E-02
        20    0.2110321000E+03    0.2135337811E+03    0.8960802894E+02    0.1563530043E-02    0.2602869673E-02
        21    0.1790172889E+03    0.1770219926E+03    0.8057530111E+02    0.4492895730E-02    0.2356111359E-02
        22    0.2256499111E+03    0.2285894817E+03    0.9392222740E+02    0.6463475175E-03    0.2362741755E-02
        23    0.2147564222E+03    0.2148394749E+03    0.8909241385E+02    0.3291388013E-02    0.3034868910E-02
        24    0.2279487222E+03    0.2303348497E+03    0.9372222397E+02    0.8346680101E-03    0.2722928164E-02
        25    0.2568662444E+03    0.2572903322E+03    0.1009779531E+03    0.2790966333E-03    0.2527558496E-02
        26    0.2505142889E+03    0.2521249275E+03    0.9950741391E+02    0.4294046257E-03    0.2609128781E-02
        27    0.2144034778E+03    0.2170534651E+03    0.9057715158E+02    0.9654871139E-03    0.2579844505E-02
        28    0.1817765778E+03    0.1802672169E+03    0.8153873165E+02    0.2578398437E-02    0.2333653956E-02
        29    0.2281654778E+03    0.2320127717E+03    0.9484191013E+02    0.4081545074E-03    0.2343651137E-02
        30    0.2011406222E+03    0.2049194383E+03    0.8768889247E+02    0.1199706373E-02    0.2454321795E-02
        31    0.1819319111E+03    0.1801408047E+03    0.8172545231E+02    0.2270294635E-02    0.2218353660E-02
        32    0.2107032667E+03    0.2147203505E+03    0.9048236721E+02    0.7733001734E-03    0.2301678419E-02
        33    0.2151194444E+03    0.2179532637E+03    0.9029979523E+02    0.1534182850E-02    0.2850904566E-02
        34    0.2290660778E+03    0.2332945793E+03    0.9476574910E+02    0.4475106042E-03    0.2570924042E-02
        35    0.2044317667E+03    0.2060190852E+03    0.8722221575E+02    0.2053959363E-02    0.2853401921E-02
        36    0.2137194444E+03    0.2161625112E+03    0.9021945046E+02    0.8984736681E-03    0.2655427335E-02
        37    0.2164706222E+03    0.2206134886E+03    0.9181604266E+02    0.1809147012E-03    0.2415193788E-02
        38    0.2003932667E+03    0.2029360706E+03    0.8753983076E+02    0.4177992934E-03    0.2274012030E-02
        39    0.1893699333E+03    0.1898678946E+03    0.8457875819E+02    0.5489760476E-03    0.2057582871E-02
        40    0.2062119333E+03    0.2076288204E+03    0.8886520954E+02    0.3632931460E-03    0.2203598986E-02
        41    0.2000597778E+03    0.2033626483E+03    0.8745737761E+02    0.3698352506E-03    0.2383689158E-02
