Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2595301222E+03    0.2603502857E+03   -0.8201634759E+00
    0.2079026556E+03    0.2071927951E+03    0.7098604840E+00
    0.2226869444E+03    0.2231181491E+03   -0.4312046820E+00
    0.2466663556E+03    0.2487360677E+03   -0.2069712135E+01
    0.2405868667E+03    0.2431511795E+03   -0.2564312861E+01
    0.2053415111E+03    0.2079867100E+03   -0.2645198864E+01
    0.2209334444E+03    0.2240348263E+03   -0.3101381865E+01
    0.1936777556E+03    0.1961759320E+03   -0.2498176479E+01
    0.2036199000E+03    0.2066327761E+03   -0.3012876057E+01
    0.1988755111E+03    0.2040149462E+03   -0.5139435131E+01
    0.1820647889E+03    0.1869974181E+03   -0.4932629192E+01
    0.1862727778E+03    0.1922088836E+03   -0.5936105833E+01
    0.2604490667E+03    0.2608257627E+03   -0.3766960341E+00
    0.2896785556E+03    0.2895108952E+03    0.1676603224E+00
    0.1894734000E+03    0.1831446513E+03    0.6328748741E+01
    0.1935410889E+03    0.1881505797E+03    0.5390509228E+01
    0.2416573111E+03    0.2428015350E+03   -0.1144223930E+01
    0.2785376444E+03    0.2765260932E+03    0.2011551257E+01
    0.2668892556E+03    0.2679333334E+03   -0.1044077808E+01
    0.2110321000E+03    0.2162171081E+03   -0.5185008082E+01
    0.1790172889E+03    0.1805394794E+03   -0.1522190474E+01
    0.2256499111E+03    0.2323739157E+03   -0.6724004583E+01
    0.2147564222E+03    0.2143430154E+03    0.4134068394E+00
    0.2279487222E+03    0.2301266520E+03   -0.2177929805E+01
    0.2568662444E+03    0.2593672690E+03   -0.2501024574E+01
    0.2505142889E+03    0.2538415067E+03   -0.3327217840E+01
    0.2144034778E+03    0.2193140791E+03   -0.4910601329E+01
    0.1817765778E+03    0.1833189005E+03   -0.1542322755E+01
    0.2281654778E+03    0.2354316911E+03   -0.7266213331E+01
    0.2011406222E+03    0.2077241090E+03   -0.6583486738E+01
    0.1819319111E+03    0.1838463518E+03   -0.1914440715E+01
    0.2107032667E+03    0.2183086754E+03   -0.7605408745E+01
    0.2151194444E+03    0.2182108961E+03   -0.3091451699E+01
    0.2290660778E+03    0.2340814814E+03   -0.5015403588E+01
    0.2044317667E+03    0.2060933971E+03   -0.1661630480E+01
    0.2137194444E+03    0.2164322866E+03   -0.2712842150E+01
    0.2164706222E+03    0.2210557474E+03   -0.4585125132E+01
    0.2003932667E+03    0.2038034753E+03   -0.3410208622E+01
    0.1893699333E+03    0.1915970172E+03   -0.2227083830E+01
    0.2062119333E+03    0.2089984929E+03   -0.2786559587E+01
    0.2000597778E+03    0.2034626165E+03   -0.3402838769E+01
    0.2051309444E+03    0.2086184626E+03   -0.3487518138E+01
    0.2630736333E+03    0.2649259314E+03   -0.1852298092E+01
    0.2928621333E+03    0.2934789675E+03   -0.6168341717E+00
    0.1871043000E+03    0.1907800963E+03   -0.3675796298E+01
    0.1764319667E+03    0.1791164205E+03   -0.2684453847E+01
    0.1914784222E+03    0.1960075347E+03   -0.4529112489E+01
    0.2456214556E+03    0.2475558061E+03   -0.1934350541E+01
    0.1790136222E+03    0.1757440923E+03    0.3269529884E+01
    0.2811406222E+03    0.2813732307E+03   -0.2326084338E+00
    0.1923749111E+03    0.1866943018E+03    0.5680609320E+01
    0.1980689000E+03    0.1916713995E+03    0.6397500529E+01
    0.2452193667E+03    0.2468404835E+03   -0.1621116876E+01
    0.2834870333E+03    0.2804038729E+03    0.3083160426E+01
    0.2641083000E+03    0.2584670692E+03    0.5641230827E+01
    0.2534758778E+03    0.2459359497E+03    0.7539928120E+01
    0.2469492333E+03    0.2404758506E+03    0.6473382686E+01
    0.2098778222E+03    0.1991050711E+03    0.1077275109E+02
    0.2611882111E+03    0.2599727830E+03    0.1215428141E+01
    0.2922040889E+03    0.2884470615E+03    0.3757027357E+01
    0.1845425556E+03    0.1857213569E+03   -0.1178801359E+01
    0.1898993111E+03    0.1943579557E+03   -0.4458644615E+01
    0.1952178111E+03    0.1987119622E+03   -0.3494151101E+01
    0.2016502556E+03    0.2030901524E+03   -0.1439896831E+01
    0.2105854111E+03    0.2119202509E+03   -0.1334839761E+01
    0.2213828000E+03    0.2208506374E+03    0.5321625593E+00
    0.2304738556E+03    0.2298837845E+03    0.5900710389E+00
    0.2402382000E+03    0.2390222548E+03    0.1215945201E+01
    0.2422979556E+03    0.2436318127E+03   -0.1333857182E+01
    0.2458938778E+03    0.2482687056E+03   -0.2374827839E+01
    0.2572186333E+03    0.2576258935E+03   -0.4072602132E+00
    0.2082812222E+03    0.2041357896E+03    0.4145432606E+01
    0.2124671556E+03    0.2119717194E+03    0.4954361394E+00
    0.2147394667E+03    0.2158139430E+03   -0.1074476383E+01
    0.2172658444E+03    0.2196051692E+03   -0.2339324733E+01
    0.2253844556E+03    0.2270330757E+03   -0.1648620175E+01
    0.2347459556E+03    0.2342522573E+03    0.4936982489E+00
    0.2431637556E+03    0.2412594064E+03    0.1904349136E+01
    0.2513636333E+03    0.2480510822E+03    0.3312551162E+01
    0.2534225000E+03    0.2513650037E+03    0.2057496257E+01
    0.2547179556E+03    0.2546237019E+03    0.9425362466E-01
    0.2631218000E+03    0.2609735323E+03    0.2148267702E+01
    0.1924218778E+03    0.1802557371E+03    0.1216614073E+02
    0.1983598444E+03    0.1894311670E+03    0.8928677404E+01
    0.2024171778E+03    0.1940646338E+03    0.8352543929E+01
    0.2065748778E+03    0.1987283461E+03    0.7846531727E+01
    0.2156308111E+03    0.2081457596E+03    0.7485051515E+01
    0.2237516111E+03    0.2176819461E+03    0.6069664984E+01
    0.2350597111E+03    0.2273354942E+03    0.7724216954E+01
    0.2445528889E+03    0.2371050396E+03    0.7447849294E+01
    0.2477960889E+03    0.2420328974E+03    0.5763191483E+01
    0.2505340222E+03    0.2469892633E+03    0.3544758967E+01
    0.2601386889E+03    0.2569868885E+03    0.3151800342E+01
    0.3058445778E+03    0.3087288741E+03   -0.2884296277E+01
    0.3013589222E+03    0.3039501626E+03   -0.2591240364E+01
    0.2990407000E+03    0.3015740868E+03   -0.2533386841E+01
    0.2966810000E+03    0.2992070235E+03   -0.2526023481E+01
