     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2595301222E+03    0.2586888053E+03    0.6613888356E+03    0.5155292529E+01   -0.1337768379E+00
         2    0.2079026556E+03    0.2064109155E+03    0.5550714653E+03    0.6599059976E+01   -0.9228129254E-01
         3    0.2226869444E+03    0.2231725817E+03    0.5859316809E+03    0.6454406211E+01   -0.1156400599E+00
         4    0.2466663556E+03    0.2456891579E+03    0.6392503467E+03    0.4752279402E+01   -0.1573255279E+00
         5    0.2405868667E+03    0.2401560648E+03    0.6291155585E+03    0.4787274640E+01   -0.1505138056E+00
         6    0.2053415111E+03    0.2054860940E+03    0.5586557594E+03    0.5640749100E+01   -0.1367112865E+00
         7    0.2209334444E+03    0.2223962070E+03    0.5893264453E+03    0.5517537499E+01   -0.1649199429E+00
         8    0.1936777556E+03    0.1935551949E+03    0.5342987808E+03    0.6079616076E+01   -0.1135316064E+00
         9    0.2036199000E+03    0.2047975788E+03    0.5548559601E+03    0.5990607550E+01   -0.1304672466E+00
        10    0.1988755111E+03    0.1986450367E+03    0.5558078171E+03    0.3781946990E+01   -0.2305205642E+00
        11    0.1820647889E+03    0.1834532975E+03    0.5217738030E+03    0.4102604829E+01   -0.2852995457E+00
        12    0.1862727778E+03    0.1887615783E+03    0.5318634920E+03    0.4072724487E+01   -0.2851244044E+00
        13    0.2604490667E+03    0.2610197126E+03    0.6632172620E+03    0.5676645474E+01   -0.1029676858E+00
        14    0.2896785556E+03    0.2883983944E+03    0.7140455068E+03    0.5471443448E+01   -0.1296705645E+00
        15    0.1894734000E+03    0.1872536566E+03    0.5030039225E+03    0.8988914814E+01   -0.3846661947E-01
        16    0.1935410889E+03    0.1928130366E+03    0.5135010936E+03    0.8922272023E+01   -0.4440174953E-01
        17    0.2416573111E+03    0.2437905935E+03    0.6268680358E+03    0.6163841892E+01   -0.1098381527E+00
        18    0.2785376444E+03    0.2773778197E+03    0.6880820065E+03    0.5896994618E+01   -0.1639714489E+00
        19    0.2668892556E+03    0.2664632368E+03    0.6835495183E+03    0.4631243239E+01   -0.7591204734E-01
        20    0.2110321000E+03    0.2122755345E+03    0.5877202068E+03    0.3710798550E+01   -0.1278662519E+00
        21    0.1790172889E+03    0.1752318276E+03    0.5153154425E+03    0.4638585512E+01   -0.6226449728E-01
        22    0.2256499111E+03    0.2286129030E+03    0.6169485576E+03    0.3630317180E+01   -0.1565479339E+00
        23    0.2147564222E+03    0.2135101922E+03    0.5778343156E+03    0.5927782166E+01   -0.2369371442E-01
        24    0.2279487222E+03    0.2293207247E+03    0.6075059603E+03    0.5797876090E+01   -0.3531004470E-01
        25    0.2568662444E+03    0.2565585427E+03    0.6716000735E+03    0.4046568032E+01   -0.4956621448E-01
        26    0.2505142889E+03    0.2513519953E+03    0.6619775410E+03    0.4076355375E+01   -0.4504612166E-01
        27    0.2144034778E+03    0.2152845926E+03    0.5984152306E+03    0.3517277253E+01   -0.6839434538E-01
        28    0.1817765778E+03    0.1786660351E+03    0.5257047156E+03    0.4396524529E+01   -0.2804229074E-01
        29    0.2281654778E+03    0.2310773344E+03    0.6271459696E+03    0.3441002225E+01   -0.8785365578E-01
        30    0.2011406222E+03    0.2031607950E+03    0.5771852707E+03    0.3244284306E+01   -0.8583095430E-01
        31    0.1819319111E+03    0.1783786938E+03    0.5291041352E+03    0.3762731938E+01   -0.5019326550E-01
        32    0.2107032667E+03    0.2137134835E+03    0.5962676639E+03    0.3197291698E+01   -0.1002284354E+00
