     Index       y_measurement           y_fitting        descriptor_1
         1    0.2595301222E+03    0.2604157059E+03    0.4113190748E+00
         2    0.2079026556E+03    0.2072158752E+03    0.3372876140E+00
         3    0.2226869444E+03    0.2231539139E+03    0.3594665621E+00
         4    0.2466663556E+03    0.2487922371E+03    0.3951441667E+00
         5    0.2405868667E+03    0.2432029006E+03    0.3873661955E+00
         6    0.2053415111E+03    0.2080104225E+03    0.3383932847E+00
         7    0.2209334444E+03    0.2240713211E+03    0.3607432015E+00
         8    0.1936777556E+03    0.1961902372E+03    0.3219446312E+00
         9    0.2036199000E+03    0.2066554102E+03    0.3365076858E+00
        10    0.1988755111E+03    0.2040354952E+03    0.3328618823E+00
        11    0.1820647889E+03    0.1870044126E+03    0.3091618834E+00
        12    0.2604490667E+03    0.2608915616E+03    0.4119812629E+00
        13    0.1894734000E+03    0.1831485770E+03    0.3037962058E+00
        14    0.1935410889E+03    0.1881584926E+03    0.3107678703E+00
        15    0.2416573111E+03    0.2428529776E+03    0.3868792521E+00
        16    0.2785376444E+03    0.2766043974E+03    0.4338468247E+00
        17    0.2668892556E+03    0.2680047935E+03    0.4218798460E+00
        18    0.2110321000E+03    0.2162473761E+03    0.3498556090E+00
        19    0.1790172889E+03    0.1805413301E+03    0.3001680308E+00
        20    0.2256499111E+03    0.2324170526E+03    0.3723568981E+00
        21    0.2147564222E+03    0.2143717907E+03    0.3472455945E+00
        22    0.2279487222E+03    0.2301679990E+03    0.3692271753E+00
        23    0.2505142889E+03    0.2539017427E+03    0.4022544179E+00
        24    0.2144034778E+03    0.2193468139E+03    0.3541687036E+00
        25    0.1817765778E+03    0.1833229651E+03    0.3040388796E+00
        26    0.2281654778E+03    0.2354772636E+03    0.3766154058E+00
        27    0.2011406222E+03    0.2077476123E+03    0.3380275651E+00
        28    0.1819319111E+03    0.1838508365E+03    0.3047734513E+00
        29    0.2107032667E+03    0.2183406094E+03    0.3527684964E+00
        30    0.2151194444E+03    0.2182427523E+03    0.3526323210E+00
        31    0.2290660778E+03    0.2341259784E+03    0.3747349935E+00
        32    0.2044317667E+03    0.2061156016E+03    0.3357565027E+00
        33    0.2137194444E+03    0.2164627260E+03    0.3501552841E+00
        34    0.2003932667E+03    0.2038238559E+03    0.3325673706E+00
        35    0.1893699333E+03    0.1916076753E+03    0.3155676606E+00
