Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1862727778E+03    0.1922200290E+03   -0.5947251264E+01
    0.2896785556E+03    0.2895995419E+03    0.7901366534E-01
    0.2568662444E+03    0.2594319062E+03   -0.2565661779E+01
    0.2164706222E+03    0.2210898694E+03   -0.4619247141E+01
    0.1980689000E+03    0.1916821168E+03    0.6386783205E+01
    0.2016502556E+03    0.2031099648E+03   -0.1459709213E+01
    0.2513636333E+03    0.2481067060E+03    0.3256927320E+01
    0.2534225000E+03    0.2514232671E+03    0.1999232870E+01
    0.2065748778E+03    0.1987446842E+03    0.7830193533E+01
    0.1838565333E+03    0.1835155836E+03    0.3409497775E+00
    0.1921652444E+03    0.1944967573E+03   -0.2331512857E+01
    0.1813102889E+03    0.1764843813E+03    0.4825907544E+01
    0.1907203222E+03    0.1912965797E+03   -0.5762574518E+00
    0.1876005778E+03    0.1902312142E+03   -0.2630636458E+01
    0.2193693111E+03    0.2293530730E+03   -0.9983761878E+01
    0.2862961111E+03    0.2847733382E+03    0.1522772869E+01
    0.2418327444E+03    0.2442658423E+03   -0.2433097838E+01
Prediction RMSE and MaxAE:         4.3800517140        9.9837618780
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1862727778E+03    0.1873436540E+03   -0.1070876185E+01
    0.2896785556E+03    0.2885673436E+03    0.1111211928E+01
    0.2568662444E+03    0.2580505047E+03   -0.1184260223E+01
    0.2164706222E+03    0.2213615693E+03   -0.4890947105E+01
    0.1980689000E+03    0.1954996875E+03    0.2569212547E+01
    0.2016502556E+03    0.1998258704E+03    0.1824385204E+01
    0.2513636333E+03    0.2458963602E+03    0.5467273120E+01
    0.2534225000E+03    0.2491413717E+03    0.4281128336E+01
    0.2065748778E+03    0.2078947020E+03   -0.1319824176E+01
    0.1838565333E+03    0.1804447636E+03    0.3411769762E+01
    0.1921652444E+03    0.1972026006E+03   -0.5037356193E+01
    0.1813102889E+03    0.1692625728E+03    0.1204771614E+02
    0.1907203222E+03    0.1892204366E+03    0.1499885625E+01
    0.1876005778E+03    0.1878945301E+03   -0.2939523323E+00
    0.2193693111E+03    0.2256082159E+03   -0.6238904789E+01
    0.2862961111E+03    0.2825772626E+03    0.3718848461E+01
    0.2418327444E+03    0.2432010156E+03   -0.1368271182E+01
Prediction RMSE and MaxAE:         4.3839298871       12.0477161374
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1862727778E+03    0.1857678978E+03    0.5048799957E+00
    0.2896785556E+03    0.2868110345E+03    0.2867521052E+01
    0.2568662444E+03    0.2562054713E+03    0.6607731514E+00
    0.2164706222E+03    0.2193249423E+03   -0.2854320108E+01
    0.1980689000E+03    0.1951455103E+03    0.2923389658E+01
    0.2016502556E+03    0.2006097986E+03    0.1040456964E+01
    0.2513636333E+03    0.2464809110E+03    0.4882722296E+01
    0.2534225000E+03    0.2502962162E+03    0.3126283804E+01
    0.2065748778E+03    0.2072572666E+03   -0.6823888471E+00
    0.1838565333E+03    0.1862420427E+03   -0.2385509326E+01
    0.1921652444E+03    0.1947610817E+03   -0.2595837216E+01
    0.1813102889E+03    0.1696674804E+03    0.1164280847E+02
    0.1907203222E+03    0.1910361635E+03   -0.3158412351E+00
    0.1876005778E+03    0.1896392868E+03   -0.2038709072E+01
    0.2193693111E+03    0.2235974425E+03   -0.4228131424E+01
    0.2862961111E+03    0.2805255950E+03    0.5770516087E+01
    0.2418327444E+03    0.2417541666E+03    0.7857787545E-01
Prediction RMSE and MaxAE:         3.9421747938       11.6428084714
