     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2595301222E+03    0.2591566481E+03    0.3157693639E-02    0.4504919091E-02
         2    0.2079026556E+03    0.2097465740E+03    0.2903907032E-02    0.4851582199E-02
         3    0.2226869444E+03    0.2239732195E+03    0.2988099928E-02    0.4464650980E-02
         4    0.2466663556E+03    0.2470561974E+03    0.3101589970E-02    0.4433652300E-02
         5    0.2405868667E+03    0.2414577888E+03    0.3073042826E-02    0.4467556651E-02
         6    0.2053415111E+03    0.2085735862E+03    0.2900945488E-02    0.4780718471E-02
         7    0.2209334444E+03    0.2226466584E+03    0.2984365700E-02    0.4394448524E-02
         8    0.1936777556E+03    0.1976443632E+03    0.2847759832E-02    0.4781218275E-02
         9    0.2036199000E+03    0.2061292134E+03    0.2902686042E-02    0.4428760047E-02
        10    0.1988755111E+03    0.1997561984E+03    0.2877006018E-02    0.4291344469E-02
        11    0.1862727778E+03    0.1863120197E+03    0.2812957313E-02    0.4256440344E-02
        12    0.2604490667E+03    0.2596909177E+03    0.3154731622E-02    0.4648502466E-02
        13    0.2896785556E+03    0.2892546776E+03    0.3305271744E-02    0.4474884946E-02
        14    0.1894734000E+03    0.1893063490E+03    0.2801537143E-02    0.4927398077E-02
        15    0.1935410889E+03    0.1925599805E+03    0.2829527701E-02    0.4613355914E-02
        16    0.2416573111E+03    0.2430671409E+03    0.3063279542E-02    0.4921778417E-02
        17    0.2785376444E+03    0.2758202429E+03    0.3241521756E-02    0.4433491946E-02
        18    0.2668892556E+03    0.2669952400E+03    0.3200108471E-02    0.4394328170E-02
        19    0.2110321000E+03    0.2156310405E+03    0.2955736149E-02    0.4252476326E-02
        20    0.1790172889E+03    0.1794517280E+03    0.2780845844E-02    0.4223879109E-02
        21    0.2147564222E+03    0.2168274715E+03    0.2942608581E-02    0.4741698800E-02
        22    0.2279487222E+03    0.2313133660E+03    0.3027955444E-02    0.4357534821E-02
