     Index       y_measurement           y_fitting        descriptor_1
         1    0.7301306667E+02    0.8241937746E+02    0.2353836848E-02
         2    0.1115410667E+03    0.1040616207E+03    0.2776342656E-02
         3    0.1163904667E+03    0.1136343542E+03    0.2963224183E-02
         4    0.8049570000E+02    0.9219512499E+02    0.2544681672E-02
         5    0.7687850000E+02    0.8990017705E+02    0.2499879069E-02
         6    0.1124396667E+03    0.1035726915E+03    0.2766797646E-02
         7    0.1151615000E+03    0.1131647821E+03    0.2954057069E-02
         8    0.1120797667E+03    0.1124621982E+03    0.2940341033E-02
         9    0.1183827000E+03    0.1200291010E+03    0.3088064184E-02
        10    0.1263473667E+03    0.1145644209E+03    0.2981381201E-02
        11    0.1167774333E+03    0.1187297585E+03    0.3062698064E-02
        12    0.1183212333E+03    0.1232455759E+03    0.3150857089E-02
        13    0.6767893333E+02    0.6961881764E+02    0.2103940809E-02
        14    0.6924846667E+02    0.7788035107E+02    0.2265224730E-02
        15    0.1178638333E+03    0.1221228828E+03    0.3128939566E-02
        16    0.1260300667E+03    0.1265890376E+03    0.3216129066E-02
        17    0.6395140000E+02    0.7677820883E+02    0.2243708407E-02
        18    0.7548660000E+02    0.8843534428E+02    0.2471282202E-02
        19    0.7241710000E+02    0.8046217147E+02    0.2315627736E-02
        20    0.1167479333E+03    0.9929255229E+02    0.2683239594E-02
        21    0.1084637000E+03    0.1210864002E+03    0.3108705069E-02
        22    0.1173802333E+03    0.1090557431E+03    0.2873839283E-02
        23    0.1055167333E+03    0.1007828947E+03    0.2712334467E-02
        24    0.1077780667E+03    0.1104861719E+03    0.2901764505E-02
        25    0.9370783333E+02    0.8874192291E+02    0.2477267314E-02
        26    0.8791373333E+02    0.8640339890E+02    0.2431614007E-02
        27    0.1162208000E+03    0.9762555982E+02    0.2650696110E-02
        28    0.1175302333E+03    0.1183558361E+03    0.3055398249E-02
        29    0.1218277333E+03    0.1074561952E+03    0.2842612470E-02
        30    0.1233274667E+03    0.1048735202E+03    0.2792192781E-02
        31    0.1119479000E+03    0.1175324365E+03    0.3039323616E-02
        32    0.1160802000E+03    0.1126539902E+03    0.2944085249E-02
        33    0.1068349333E+03    0.9862716039E+02    0.2670249631E-02
        34    0.1127276667E+03    0.1084172177E+03    0.2861373814E-02
        35    0.1130756000E+03    0.1066438656E+03    0.2826753949E-02
        36    0.1132335667E+03    0.1143739877E+03    0.2977663512E-02
        37    0.1026179667E+03    0.1028926972E+03    0.2753522610E-02
        38    0.1001382000E+03    0.1040508668E+03    0.2776132714E-02
        39    0.1001710667E+03    0.1083429712E+03    0.2859924353E-02
        40    0.9148953333E+02    0.1087879188E+03    0.2868610742E-02
        41    0.9892276667E+02    0.1047661382E+03    0.2790096440E-02
        42    0.9586320000E+02    0.1094921648E+03    0.2882359227E-02
        43    0.6868523333E+02    0.6876596163E+02    0.2087291120E-02
        44    0.7368413333E+02    0.7707522089E+02    0.2249506758E-02
        45    0.1155646000E+03    0.1157581612E+03    0.3004685727E-02
        46    0.1181048000E+03    0.1221726056E+03    0.3129910270E-02
        47    0.1175400000E+03    0.1203179216E+03    0.3093702619E-02
        48    0.7083120000E+02    0.7546382472E+02    0.2218048640E-02
        49    0.1189540667E+03    0.1262156995E+03    0.3208840657E-02
        50    0.7171576667E+02    0.8721200064E+02    0.2447399752E-02
        51    0.1173187667E+03    0.1198650051E+03    0.3084860659E-02
        52    0.1177421333E+03    0.1243641460E+03    0.3172694122E-02
        53    0.7212726667E+02    0.7576808604E+02    0.2223988513E-02
        54    0.6982910000E+02    0.8749512657E+02    0.2452927014E-02
        55    0.7875026667E+02    0.8300198663E+02    0.2365210704E-02
        56    0.9753893333E+02    0.9321862306E+02    0.2564662682E-02
        57    0.9081230000E+02    0.9093643306E+02    0.2520109143E-02
        58    0.1104217667E+03    0.1179693478E+03    0.3047853118E-02
        59    0.6689893333E+02    0.6987369169E+02    0.2108916530E-02
        60    0.7034353333E+02    0.7812101416E+02    0.2269923021E-02
        61    0.1323314333E+03    0.1193716780E+03    0.3075229793E-02
        62    0.1293472000E+03    0.1137790304E+03    0.2966048592E-02
        63    0.1163718000E+03    0.1107298841E+03    0.2906522323E-02
        64    0.1096154000E+03    0.1075505566E+03    0.2844454618E-02
