     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.7301306667E+02    0.8086428198E+02    0.2353836848E-02    0.2863274489E+01
         2    0.1115410667E+03    0.1042113900E+03    0.2776342656E-02    0.2781318814E+01
         3    0.1163904667E+03    0.1106088512E+03    0.2963224183E-02    0.2643633251E+01
         4    0.8049570000E+02    0.9176103697E+02    0.2544681672E-02    0.2835314306E+01
         5    0.7687850000E+02    0.9020096964E+02    0.2499879069E-02    0.2867642479E+01
         6    0.1124396667E+03    0.1041279944E+03    0.2766797646E-02    0.2794633283E+01
         7    0.1151615000E+03    0.1104448795E+03    0.2954057069E-02    0.2654255310E+01
         8    0.1120797667E+03    0.1136421941E+03    0.2940341033E-02    0.2759019174E+01
         9    0.1183827000E+03    0.1187059032E+03    0.3088064184E-02    0.2650357796E+01
        10    0.1263473667E+03    0.1183942917E+03    0.2981381201E-02    0.2815189051E+01
        11    0.1167774333E+03    0.1214940021E+03    0.3062698064E-02    0.2763436379E+01
        12    0.1183212333E+03    0.1236918629E+03    0.3150857089E-02    0.2677315325E+01
        13    0.6767893333E+02    0.6884664934E+02    0.2103940809E-02    0.2957989669E+01
        14    0.6924846667E+02    0.7259844753E+02    0.2265224730E-02    0.2793487084E+01
        15    0.1178638333E+03    0.1230936741E+03    0.3128939566E-02    0.2697389730E+01
        16    0.1260300667E+03    0.1258376696E+03    0.3216129066E-02    0.2626938033E+01
        17    0.6395140000E+02    0.7443453219E+02    0.2243708407E-02    0.2875751305E+01
        18    0.7548660000E+02    0.7975309876E+02    0.2471282202E-02    0.2644274291E+01
        19    0.7241710000E+02    0.8263071148E+02    0.2315627736E-02    0.2970790566E+01
        20    0.1167479333E+03    0.1000870438E+03    0.2683239594E-02    0.2825719913E+01
        21    0.1084637000E+03    0.1186562339E+03    0.3108705069E-02    0.2615627892E+01
        22    0.1173802333E+03    0.1065342501E+03    0.2873839283E-02    0.2683293374E+01
        23    0.1055167333E+03    0.1040126837E+03    0.2712334467E-02    0.2879911925E+01
        24    0.1077780667E+03    0.1105079866E+03    0.2901764505E-02    0.2740622354E+01
        25    0.9370783333E+02    0.9209454668E+02    0.2477267314E-02    0.2953165949E+01
        26    0.8791373333E+02    0.9049361684E+02    0.2431614007E-02    0.2985817801E+01
        27    0.1162208000E+03    0.9843045878E+02    0.2650696110E-02    0.2835691115E+01
        28    0.1175302333E+03    0.1156169716E+03    0.3055398249E-02    0.2623551885E+01
        29    0.1218277333E+03    0.1049765164E+03    0.2842612470E-02    0.2693682778E+01
        30    0.1233274667E+03    0.1063341312E+03    0.2792192781E-02    0.2810432181E+01
        31    0.1119479000E+03    0.1150536599E+03    0.3039323616E-02    0.2635058467E+01
        32    0.1160802000E+03    0.1115595954E+03    0.2944085249E-02    0.2699190248E+01
        33    0.1068349333E+03    0.1023016582E+03    0.2670249631E-02    0.2903939135E+01
        34    0.1127276667E+03    0.1088128739E+03    0.2861373814E-02    0.2762315053E+01
        35    0.1130756000E+03    0.1106357140E+03    0.2826753949E-02    0.2865471124E+01
        36    0.1132335667E+03    0.1158647391E+03    0.2977663512E-02    0.2755913871E+01
        37    0.1026179667E+03    0.1098704834E+03    0.2753522610E-02    0.2964385339E+01
        38    0.1001382000E+03    0.1054886586E+03    0.2776132714E-02    0.2814631273E+01
        39    0.1001710667E+03    0.1051537726E+03    0.2859924353E-02    0.2670205388E+01
        40    0.9148953333E+02    0.1082411766E+03    0.2868610742E-02    0.2735829737E+01
        41    0.9892276667E+02    0.1096168740E+03    0.2790096440E-02    0.2898572105E+01
        42    0.9586320000E+02    0.1121200794E+03    0.2882359227E-02    0.2813683439E+01
        43    0.6868523333E+02    0.7155461511E+02    0.2087291120E-02    0.3054875024E+01
        44    0.7368413333E+02    0.7536527444E+02    0.2249506758E-02    0.2890382110E+01
        45    0.1155646000E+03    0.1179383914E+03    0.3004685727E-02    0.2765656110E+01
        46    0.1181048000E+03    0.1205765603E+03    0.3129910270E-02    0.2630838307E+01
        47    0.1175400000E+03    0.1203315019E+03    0.3093702619E-02    0.2683185222E+01
        48    0.7083120000E+02    0.7345958183E+02    0.2218048640E-02    0.2892163893E+01
        49    0.1189540667E+03    0.1233159876E+03    0.3208840657E-02    0.2573652237E+01
        50    0.7171576667E+02    0.7866928005E+02    0.2447399752E-02    0.2654996410E+01
        51    0.1173187667E+03    0.1235180221E+03    0.3084860659E-02    0.2779772192E+01
        52    0.1177421333E+03    0.1262249896E+03    0.3172694122E-02    0.2707321114E+01
        53    0.7212726667E+02    0.7692323668E+02    0.2223988513E-02    0.2971951646E+01
        54    0.6982910000E+02    0.8223218183E+02    0.2452927014E-02    0.2738014808E+01
        55    0.7875026667E+02    0.8437041547E+02    0.2365210704E-02    0.2935353267E+01
        56    0.9753893333E+02    0.9532841415E+02    0.2564662682E-02    0.2895026529E+01
        57    0.9081230000E+02    0.9372637676E+02    0.2520109143E-02    0.2925867661E+01
        58    0.1104217667E+03    0.1234032502E+03    0.3047853118E-02    0.2836778596E+01
        59    0.6689893333E+02    0.7226958215E+02    0.2108916530E-02    0.3038288565E+01
        60    0.7034353333E+02    0.7637846972E+02    0.2269923021E-02    0.2883453685E+01
        61    0.1323314333E+03    0.1255954233E+03    0.3075229793E-02    0.2849006022E+01
        62    0.1293472000E+03    0.1187418116E+03    0.2966048592E-02    0.2849006022E+01
        63    0.1163718000E+03    0.1150051799E+03    0.2906522323E-02    0.2849006022E+01
        64    0.1096154000E+03    0.1111090151E+03    0.2844454618E-02    0.2849006022E+01
        65    0.9314260000E+02    0.1029582514E+03    0.2714609188E-02    0.2849006022E+01
        66    0.8257986667E+02    0.9449988276E+02    0.2579863468E-02    0.2849006022E+01
        67    0.7522936667E+02    0.8590214155E+02    0.2442897479E-02    0.2849006022E+01
        68    0.7383243333E+02    0.7729839499E+02    0.2305835822E-02    0.2849006022E+01
        69    0.7589846667E+02    0.7302792466E+02    0.2237805257E-02    0.2849006022E+01
        70    0.7789620000E+02    0.6879319881E+02    0.2170344118E-02    0.2849006022E+01
        71    0.7840820000E+02    0.6046734633E+02    0.2037709442E-02    0.2849006022E+01
        72    0.1073171667E+03    0.1106710488E+03    0.2734540800E-02    0.3015810906E+01
        73    0.1140277000E+03    0.1086313696E+03    0.2702047768E-02    0.3015810906E+01
        74    0.1140622333E+03    0.1069533861E+03    0.2675316716E-02    0.3015810906E+01
        75    0.1204607667E+03    0.1049125230E+03    0.2642804824E-02    0.3015810906E+01
        76    0.1132415667E+03    0.9993677661E+02    0.2563538886E-02    0.3015810906E+01
        77    0.9731303333E+02    0.9404632262E+02    0.2469701233E-02    0.3015810906E+01
        78    0.8288196667E+02    0.8751755908E+02    0.2365695014E-02    0.3015810906E+01
        79    0.8378776667E+02    0.8057277980E+02    0.2255061472E-02    0.3015810906E+01
        80    0.8411906667E+02    0.7700145517E+02    0.2198168621E-02    0.3015810906E+01
        81    0.8230160000E+02    0.7338977214E+02    0.2140632842E-02    0.3015810906E+01
        82    0.7972536667E+02    0.6610971865E+02    0.2024658227E-02    0.3015810906E+01
        83    0.1333271667E+03    0.1318119591E+03    0.3173831617E-02    0.2849703568E+01
        84    0.1177511000E+03    0.1244013551E+03    0.3042846552E-02    0.2870657271E+01
        85    0.1165381667E+03    0.1204819455E+03    0.2973943187E-02    0.2881134122E+01
        86    0.1148520667E+03    0.1164592583E+03    0.2903394561E-02    0.2891610974E+01
        87    0.1043592000E+03    0.1082045310E+03    0.2758962221E-02    0.2912564676E+01
        88    0.9885580000E+02    0.9981241979E+02    0.2612341292E-02    0.2933518379E+01
        89    0.8333353333E+02    0.9142200445E+02    0.2465747379E-02    0.2954472082E+01
        90    0.8251083333E+02    0.8314242218E+02    0.2320919088E-02    0.2975425785E+01
        91    0.8228193333E+02    0.7907141036E+02    0.2249600629E-02    0.2985902636E+01
        92    0.8122306667E+02    0.7505807232E+02    0.2179200940E-02    0.2996379487E+01
        93    0.7805130000E+02    0.6723296921E+02    0.2041612712E-02    0.3017333190E+01
        94    0.7565850000E+02    0.7053515511E+02    0.2107313467E-02    0.2996112618E+01
        95    0.7168876667E+02    0.7005293982E+02    0.2086036493E-02    0.3018142858E+01
        96    0.6902210000E+02    0.6980750826E+02    0.2075329124E-02    0.3029157978E+01
        97    0.6723246667E+02    0.6955916065E+02    0.2064575301E-02    0.3040173098E+01
        98    0.6564466667E+02    0.6905361555E+02    0.2042926673E-02    0.3062203337E+01
        99    0.6465190000E+02    0.6853609726E+02    0.2021087306E-02    0.3084233577E+01
       100    0.6549303333E+02    0.6800639283E+02    0.1999053808E-02    0.3106263817E+01
       101    0.6527446667E+02    0.6746428373E+02    0.1976822698E-02    0.3128294057E+01
       102    0.6491693333E+02    0.6718850747E+02    0.1965631924E-02    0.3139309177E+01
       103    0.6509713333E+02    0.6690954537E+02    0.1954390398E-02    0.3150324297E+01
