Predictions (y,pred,y-pred) by the model of dimension:     1
    0.7301306667E+02    0.8241937744E+02   -0.9406310769E+01
    0.1115410667E+03    0.1040616207E+03    0.7479445967E+01
    0.1163904667E+03    0.1136343541E+03    0.2756112525E+01
    0.8049570000E+02    0.9219512498E+02   -0.1169942498E+02
    0.7687850000E+02    0.8990017705E+02   -0.1302167705E+02
    0.1124396667E+03    0.1035726915E+03    0.8866975139E+01
    0.1151615000E+03    0.1131647821E+03    0.1996717874E+01
    0.1120797667E+03    0.1124621982E+03   -0.3824315286E+00
    0.1183827000E+03    0.1200291010E+03   -0.1646400972E+01
    0.1263473667E+03    0.1145644209E+03    0.1178294576E+02
    0.1167774333E+03    0.1187297585E+03   -0.1952325154E+01
    0.1183212333E+03    0.1232455759E+03   -0.4924342552E+01
    0.6767893333E+02    0.6961881762E+02   -0.1939884288E+01
    0.6924846667E+02    0.7788035106E+02   -0.8631884395E+01
    0.1178638333E+03    0.1221228827E+03   -0.4259049412E+01
    0.1260300667E+03    0.1265890376E+03   -0.5589709386E+00
    0.6395140000E+02    0.7677820884E+02   -0.1282680884E+02
    0.7548660000E+02    0.8843534425E+02   -0.1294874425E+02
    0.7241710000E+02    0.8046217145E+02   -0.8045071454E+01
    0.1167479333E+03    0.9929255226E+02    0.1745538107E+02
    0.1084637000E+03    0.1210864002E+03   -0.1262270018E+02
    0.1173802333E+03    0.1090557431E+03    0.8324490232E+01
    0.1055167333E+03    0.1007828947E+03    0.4733838671E+01
    0.1077780667E+03    0.1104861719E+03   -0.2708105205E+01
    0.9370783333E+02    0.8874192290E+02    0.4965910432E+01
    0.8791373333E+02    0.8640339887E+02    0.1510334468E+01
    0.1162208000E+03    0.9762555979E+02    0.1859524021E+02
    0.1175302333E+03    0.1183558361E+03   -0.8256027696E+00
    0.1218277333E+03    0.1074561952E+03    0.1437153811E+02
    0.1233274667E+03    0.1048735202E+03    0.1845394644E+02
    0.1119479000E+03    0.1175324365E+03   -0.5584536509E+01
    0.1160802000E+03    0.1126539902E+03    0.3426209809E+01
    0.1068349333E+03    0.9862716037E+02    0.8207772961E+01
    0.1127276667E+03    0.1084172177E+03    0.4310448990E+01
    0.1130756000E+03    0.1066438656E+03    0.6431734385E+01
    0.1132335667E+03    0.1143739877E+03   -0.1140421025E+01
    0.1026179667E+03    0.1028926972E+03   -0.2747305193E+00
    0.1001382000E+03    0.1040508667E+03   -0.3912666735E+01
    0.1001710667E+03    0.1083429711E+03   -0.8171904477E+01
    0.9148953333E+02    0.1087879187E+03   -0.1729838540E+02
