     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.7301306667E+02    0.8253134276E+02    0.2353836848E-02    0.3174096569E+04
         2    0.1115410667E+03    0.1033976120E+03    0.2776342656E-02    0.2981407858E+04
         3    0.1163904667E+03    0.1104751071E+03    0.2963224183E-02    0.2826112257E+04
         4    0.8049570000E+02    0.9392412202E+02    0.2544681672E-02    0.3151119453E+04
         5    0.7687850000E+02    0.9215125595E+02    0.2499879069E-02    0.3185871311E+04
         6    0.1124396667E+03    0.1036667882E+03    0.2766797646E-02    0.3009872921E+04
         7    0.1151615000E+03    0.1107466000E+03    0.2954057069E-02    0.2853872764E+04
         8    0.1120797667E+03    0.1131105388E+03    0.2940341033E-02    0.2959149069E+04
         9    0.1183827000E+03    0.1187163701E+03    0.3088064184E-02    0.2836762189E+04
        10    0.1263473667E+03    0.1216349968E+03    0.2981381201E-02    0.3151984096E+04
        11    0.1167774333E+03    0.1219135640E+03    0.3062698064E-02    0.2993213991E+04
        12    0.6767893333E+02    0.6956236400E+02    0.2103940809E-02    0.3267638147E+04
        13    0.1178638333E+03    0.1218071691E+03    0.3128939566E-02    0.2853026009E+04
        14    0.1260300667E+03    0.1246277429E+03    0.3216129066E-02    0.2764898358E+04
        15    0.6395140000E+02    0.7349245124E+02    0.2243708407E-02    0.3107112132E+04
        16    0.7548660000E+02    0.8001302226E+02    0.2471282202E-02    0.2849694222E+04
        17    0.7241710000E+02    0.8228212235E+02    0.2315627736E-02    0.3244846804E+04
        18    0.1167479333E+03    0.1026122623E+03    0.2683239594E-02    0.3148004904E+04
        19    0.1084637000E+03    0.1188297231E+03    0.3108705069E-02    0.2797849537E+04
        20    0.1173802333E+03    0.1097659849E+03    0.2873839283E-02    0.2987516784E+04
        21    0.1055167333E+03    0.1013214099E+03    0.2712334467E-02    0.3045924330E+04
        22    0.1077780667E+03    0.1084855883E+03    0.2901764505E-02    0.2888190821E+04
        23    0.8791373333E+02    0.9025230119E+02    0.2431614007E-02    0.3264944958E+04
        24    0.1162208000E+03    0.1007870999E+03    0.2650696110E-02    0.3155750982E+04
        25    0.1175302333E+03    0.1156296718E+03    0.3055398249E-02    0.2803687399E+04
        26    0.1218277333E+03    0.1080228081E+03    0.2842612470E-02    0.2995214546E+04
        27    0.1233274667E+03    0.1089855453E+03    0.2792192781E-02    0.3130627102E+04
        28    0.1119479000E+03    0.1154206974E+03    0.3039323616E-02    0.2830061921E+04
        29    0.1160802000E+03    0.1147211067E+03    0.2944085249E-02    0.3003858465E+04
        30    0.1127276667E+03    0.1070272324E+03    0.2861373814E-02    0.2924076346E+04
        31    0.1130756000E+03    0.1080712593E+03    0.2826753949E-02    0.3029524380E+04
        32    0.1132335667E+03    0.1138187716E+03    0.2977663512E-02    0.2905173581E+04
        33    0.1001382000E+03    0.1079210217E+03    0.2776132714E-02    0.3129116236E+04
        34    0.1001710667E+03    0.1054120034E+03    0.2859924353E-02    0.2874478768E+04
        35    0.9148953333E+02    0.1109329398E+03    0.2868610742E-02    0.3036302810E+04
        36    0.9892276667E+02    0.1074962120E+03    0.2790096440E-02    0.3086463664E+04
        37    0.9586320000E+02    0.1105262276E+03    0.2882359227E-02    0.2994683728E+04
        38    0.6868523333E+02    0.7046172059E+02    0.2087291120E-02    0.3331285101E+04
        39    0.7368413333E+02    0.7532766911E+02    0.2249506758E-02    0.3154895993E+04
        40    0.1155646000E+03    0.1212141896E+03    0.3004685727E-02    0.3090182223E+04
        41    0.1175400000E+03    0.1239826926E+03    0.3093702619E-02    0.2996587449E+04
        42    0.7083120000E+02    0.7522483064E+02    0.2218048640E-02    0.3216477990E+04
        43    0.1189540667E+03    0.1225850097E+03    0.3208840657E-02    0.2713433638E+04
        44    0.7171576667E+02    0.8168807361E+02    0.2447399752E-02    0.2953525148E+04
