     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.7301306667E+02    0.8036060754E+02    0.2353836848E-02    0.5428745278E+03    0.4964680869E+01
         2    0.1115410667E+03    0.1045308481E+03    0.2776342656E-02    0.4663838948E+03    0.5046555343E+01
         3    0.1163904667E+03    0.1119728768E+03    0.2963224183E-02    0.4547816583E+03    0.4908812129E+01
         4    0.7687850000E+02    0.8983791470E+02    0.2499879069E-02    0.5266507884E+03    0.4962704193E+01
         5    0.1124396667E+03    0.1054754677E+03    0.2766797646E-02    0.4754216828E+03    0.5036091479E+01
         6    0.1151615000E+03    0.1129475594E+03    0.2954057069E-02    0.4637138318E+03    0.4898769703E+01
         7    0.1120797667E+03    0.1141274151E+03    0.2940341033E-02    0.4473082336E+03    0.5028804981E+01
         8    0.1167774333E+03    0.1232614078E+03    0.3062698064E-02    0.4454229831E+03    0.4990687764E+01
         9    0.1183212333E+03    0.1247215935E+03    0.3150857089E-02    0.4418103448E+03    0.4877380933E+01
        10    0.6924846667E+02    0.7272142819E+02    0.2265224730E-02    0.5496914362E+03    0.4945306469E+01
        11    0.7548660000E+02    0.8223688901E+02    0.2471282202E-02    0.5191093010E+03    0.4908139983E+01
        12    0.7241710000E+02    0.8404567023E+02    0.2315627736E-02    0.5494209559E+03    0.5070617480E+01
        13    0.1167479333E+03    0.1037361720E+03    0.2683239594E-02    0.5001212506E+03    0.5029290856E+01
        14    0.1173802333E+03    0.1115492952E+03    0.2873839283E-02    0.4880610891E+03    0.4894188535E+01
        15    0.1055167333E+03    0.1054113118E+03    0.2712334467E-02    0.4719120868E+03    0.5150995741E+01
        16    0.1077780667E+03    0.1129958052E+03    0.2901764505E-02    0.4601816925E+03    0.5012000309E+01
        17    0.9370783333E+02    0.9471969043E+02    0.2477267314E-02    0.5318938746E+03    0.5069764937E+01
        18    0.8791373333E+02    0.9211744473E+02    0.2431614007E-02    0.5362817797E+03    0.5080678314E+01
        19    0.1162208000E+03    0.1020858784E+03    0.2650696110E-02    0.5032000751E+03    0.5041204393E+01
        20    0.1175302333E+03    0.1134275372E+03    0.3055398249E-02    0.4175349916E+03    0.4958008914E+01
        21    0.1218277333E+03    0.1100189807E+03    0.2842612470E-02    0.4910710928E+03    0.4906348808E+01
        22    0.1119479000E+03    0.1134898229E+03    0.3039323616E-02    0.4257798494E+03    0.4946594165E+01
        23    0.1160802000E+03    0.1148981525E+03    0.2944085249E-02    0.4750000000E+03    0.4896821805E+01
        24    0.1068349333E+03    0.1047049182E+03    0.2670249631E-02    0.4840154087E+03    0.5152492263E+01
        25    0.1127276667E+03    0.1124399608E+03    0.2861373814E-02    0.4721107345E+03    0.5014174612E+01
        26    0.1130756000E+03    0.1114828081E+03    0.2826753949E-02    0.4553520519E+03    0.5143185467E+01
        27    0.1132335667E+03    0.1171377794E+03    0.2977663512E-02    0.4478164932E+03    0.5015964340E+01
        28    0.1026179667E+03    0.1105647026E+03    0.2753522610E-02    0.4879445043E+03    0.5093457677E+01
        29    0.1001382000E+03    0.1053168436E+03    0.2776132714E-02    0.4714238744E+03    0.5036404436E+01
        30    0.1001710667E+03    0.1018180818E+03    0.2859924353E-02    0.4424234030E+03    0.4965051757E+01
        31    0.9892276667E+02    0.1096226387E+03    0.2790096440E-02    0.4621894749E+03    0.5139564844E+01
        32    0.9586320000E+02    0.1114213074E+03    0.2882359227E-02    0.4584510358E+03    0.5025905739E+01
