Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1124396667E+03    0.1036866049E+03    0.8753061772E+01
    0.7548660000E+02    0.8855857718E+02   -0.1307197718E+02
    0.1218277333E+03    0.1075677176E+03    0.1426001569E+02
    0.1001382000E+03    0.1041644857E+03   -0.4026285704E+01
    0.9314260000E+02    0.1010149731E+03   -0.7872373140E+01
    0.8257986667E+02    0.9411706974E+02   -0.1153720307E+02
    0.7840820000E+02    0.6636311888E+02    0.1204508112E+02
    0.1165381667E+03    0.1142908002E+03    0.2247366506E+01
    0.8333353333E+02    0.8827523850E+02   -0.4941705168E+01
    0.7168876667E+02    0.6883707748E+02    0.2851689188E+01
    0.6549303333E+02    0.6438425953E+02    0.1108773800E+01
    0.1282895000E+03    0.1257796520E+03    0.2509847996E+01
    0.1200650667E+03    0.1193908926E+03    0.6741741128E+00
    0.1181213667E+03    0.1222208719E+03   -0.4099505217E+01
    0.9159523333E+02    0.9172306728E+02   -0.1278339501E+00
    0.9883910000E+02    0.1059960846E+03   -0.7156984644E+01
    0.7212493333E+02    0.8340131474E+02   -0.1127638140E+02
Prediction RMSE and MaxAE:         7.8515826446       14.2600156925
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1124396667E+03    0.1032957503E+03    0.9143916340E+01
    0.7548660000E+02    0.7869552571E+02   -0.3208925711E+01
    0.1218277333E+03    0.1058326535E+03    0.1599507982E+02
    0.1001382000E+03    0.1072742894E+03   -0.7136089418E+01
    0.9314260000E+02    0.1015231384E+03   -0.8380538391E+01
    0.8257986667E+02    0.9339365305E+02   -0.1081378638E+02
    0.7840820000E+02    0.6068439000E+02    0.1772381000E+02
    0.1165381667E+03    0.1180580621E+03   -0.1519895414E+01
    0.8333353333E+02    0.9023858143E+02   -0.6905048092E+01
    0.7168876667E+02    0.6742017850E+02    0.4268588164E+01
    0.6549303333E+02    0.6548372242E+02    0.9310913908E-02
    0.1282895000E+03    0.1242706006E+03    0.4018899446E+01
    0.1200650667E+03    0.1218143623E+03   -0.1749295682E+01
    0.1181213667E+03    0.1243545198E+03   -0.6233153142E+01
    0.9159523333E+02    0.8062822541E+02    0.1096700792E+02
    0.9883910000E+02    0.1125163218E+03   -0.1367722184E+02
    0.7212493333E+02    0.8023946091E+02   -0.8114527576E+01
Prediction RMSE and MaxAE:         9.0795222349       17.7238099992
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1124396667E+03    0.1051883534E+03    0.7251313246E+01
    0.7548660000E+02    0.7814521071E+02   -0.2658610706E+01
    0.1218277333E+03    0.1090777694E+03    0.1274996391E+02
    0.1001382000E+03    0.1040387251E+03   -0.3900525103E+01
    0.9314260000E+02    0.1069742909E+03   -0.1383169094E+02
    0.8257986667E+02    0.9750702983E+02   -0.1492716317E+02
    0.7840820000E+02    0.6060078705E+02    0.1780741295E+02
    0.1165381667E+03    0.1180930363E+03   -0.1554869643E+01
    0.8333353333E+02    0.8868943331E+02   -0.5355899980E+01
    0.7168876667E+02    0.6885323747E+02    0.2835529192E+01
    0.6549303333E+02    0.6578127853E+02   -0.2882451994E+00
    0.1282895000E+03    0.1266186652E+03    0.1670834827E+01
    0.1200650667E+03    0.1163276333E+03    0.3737433382E+01
    0.1181213667E+03    0.1199376549E+03   -0.1816288254E+01
    0.9159523333E+02    0.8159412532E+02    0.1000110801E+02
    0.9883910000E+02    0.1055855157E+03   -0.6746415739E+01
    0.7212493333E+02    0.8034228262E+02   -0.8217349287E+01
Prediction RMSE and MaxAE:         8.5440449600       17.8074129508
