     Index       y_measurement           y_fitting        descriptor_1
         1    0.7301306667E+02    0.8291286208E+02    0.2353836848E-02
         2    0.1115410667E+03    0.1045338162E+03    0.2776342656E-02
         3    0.1163904667E+03    0.1140971331E+03    0.2963224183E-02
         4    0.8049570000E+02    0.9267899336E+02    0.2544681672E-02
         5    0.7687850000E+02    0.9038630293E+02    0.2499879069E-02
         6    0.1124396667E+03    0.1040453680E+03    0.2766797646E-02
         7    0.1151615000E+03    0.1136280230E+03    0.2954057069E-02
         8    0.1120797667E+03    0.1129261302E+03    0.2940341033E-02
         9    0.1183827000E+03    0.1204855895E+03    0.3088064184E-02
        10    0.1167774333E+03    0.1191875252E+03    0.3062698064E-02
        11    0.1183212333E+03    0.1236989004E+03    0.3150857089E-02
        12    0.6924846667E+02    0.7837830065E+02    0.2265224730E-02
        13    0.7548660000E+02    0.8892291109E+02    0.2471282202E-02
        14    0.7241710000E+02    0.8095758137E+02    0.2315627736E-02
        15    0.1167479333E+03    0.9976943903E+02    0.2683239594E-02
        16    0.1173802333E+03    0.1095230260E+03    0.2873839283E-02
        17    0.1055167333E+03    0.1012583154E+03    0.2712334467E-02
        18    0.1077780667E+03    0.1109520476E+03    0.2901764505E-02
        19    0.9370783333E+02    0.8922918814E+02    0.2477267314E-02
        20    0.8791373333E+02    0.8689296450E+02    0.2431614007E-02
        21    0.1162208000E+03    0.9810408636E+02    0.2650696110E-02
        22    0.1175302333E+03    0.1188139706E+03    0.3055398249E-02
        23    0.1218277333E+03    0.1079250515E+03    0.2842612470E-02
        24    0.1233274667E+03    0.1053449171E+03    0.2792192781E-02
        25    0.1119479000E+03    0.1179913810E+03    0.3039323616E-02
        26    0.1160802000E+03    0.1131177335E+03    0.2944085249E-02
        27    0.1068349333E+03    0.9910470167E+02    0.2670249631E-02
        28    0.1127276667E+03    0.1088851286E+03    0.2861373814E-02
        29    0.1130756000E+03    0.1071135210E+03    0.2826753949E-02
        30    0.1132335667E+03    0.1148360391E+03    0.2977663512E-02
        31    0.1026179667E+03    0.1033660425E+03    0.2753522610E-02
        32    0.1001382000E+03    0.1045230728E+03    0.2776132714E-02
        33    0.1001710667E+03    0.1088109551E+03    0.2859924353E-02
        34    0.9148953333E+02    0.1092554651E+03    0.2868610742E-02
        35    0.9892276667E+02    0.1052376407E+03    0.2790096440E-02
        36    0.9586320000E+02    0.1099590184E+03    0.2882359227E-02
        37    0.6868523333E+02    0.6927287690E+02    0.2087291120E-02
        38    0.7368413333E+02    0.7757396248E+02    0.2249506758E-02
        39    0.1155646000E+03    0.1162188510E+03    0.3004685727E-02
        40    0.1181048000E+03    0.1226269856E+03    0.3129910270E-02
        41    0.1175400000E+03    0.1207741260E+03    0.3093702619E-02
        42    0.7171576667E+02    0.8770077084E+02    0.2447399752E-02
        43    0.1173187667E+03    0.1203216550E+03    0.3084860659E-02
        44    0.1177421333E+03    0.1248163702E+03    0.3172694122E-02
        45    0.7212726667E+02    0.7626811343E+02    0.2223988513E-02
        46    0.7875026667E+02    0.8349489815E+02    0.2365210704E-02
        47    0.9753893333E+02    0.9370148463E+02    0.2564662682E-02
        48    0.9081230000E+02    0.9142153959E+02    0.2520109143E-02
        49    0.1104217667E+03    0.1184278625E+03    0.3047853118E-02
        50    0.1323314333E+03    0.1198288133E+03    0.3075229793E-02
        51    0.1293472000E+03    0.1142416670E+03    0.2966048592E-02
        52    0.1163718000E+03    0.1111955202E+03    0.2906522323E-02
        53    0.1096154000E+03    0.1080193200E+03    0.2844454618E-02
        54    0.9314260000E+02    0.1013747200E+03    0.2714609188E-02
        55    0.8257986667E+02    0.9447935677E+02    0.2579863468E-02
        56    0.7522936667E+02    0.8747037533E+02    0.2442897479E-02
        57    0.7383243333E+02    0.8045649826E+02    0.2305835822E-02
        58    0.7589846667E+02    0.7697515978E+02    0.2237805257E-02
        59    0.7789620000E+02    0.7352296063E+02    0.2170344118E-02
        60    0.7840820000E+02    0.6673562613E+02    0.2037709442E-02
        61    0.1073171667E+03    0.1023946835E+03    0.2734540800E-02
        62    0.1140277000E+03    0.1007319126E+03    0.2702047768E-02
        63    0.1140622333E+03    0.9936400039E+02    0.2675316716E-02
        64    0.1204607667E+03    0.9770026438E+02    0.2642804824E-02
        65    0.1132415667E+03    0.9364397645E+02    0.2563538886E-02
        66    0.8288196667E+02    0.8351968182E+02    0.2365695014E-02
        67    0.8378776667E+02    0.7785821470E+02    0.2255061472E-02
        68    0.8411906667E+02    0.7494682816E+02    0.2198168621E-02
        69    0.8230160000E+02    0.7200254097E+02    0.2140632842E-02
        70    0.7972536667E+02    0.6606775431E+02    0.2024658227E-02
        71    0.1333271667E+03    0.1248745794E+03    0.3173831617E-02
        72    0.1177511000E+03    0.1181716607E+03    0.3042846552E-02
        73    0.1165381667E+03    0.1146456583E+03    0.2973943187E-02
        74    0.1148520667E+03    0.1110354627E+03    0.2903394561E-02
        75    0.1043592000E+03    0.1036444046E+03    0.2758962221E-02
        76    0.9885580000E+02    0.9614134941E+02    0.2612341292E-02
        77    0.8333353333E+02    0.8863967675E+02    0.2465747379E-02
        78    0.8251083333E+02    0.8122835653E+02    0.2320919088E-02
        79    0.8228193333E+02    0.7757876615E+02    0.2249600629E-02
        80    0.8122306667E+02    0.7397619213E+02    0.2179200940E-02
        81    0.7805130000E+02    0.6693536876E+02    0.2041612712E-02
        82    0.7565850000E+02    0.7029748351E+02    0.2107313467E-02
        83    0.7168876667E+02    0.6920867368E+02    0.2086036493E-02
        84    0.6902210000E+02    0.6866074385E+02    0.2075329124E-02
        85    0.6723246667E+02    0.6811043683E+02    0.2064575301E-02
        86    0.6564466667E+02    0.6700260829E+02    0.2042926673E-02
        87    0.6465190000E+02    0.6588501903E+02    0.2021087306E-02
        88    0.6549303333E+02    0.6475749548E+02    0.1999053808E-02
        89    0.6527446667E+02    0.6361985949E+02    0.1976822698E-02
        90    0.6491693333E+02    0.6304719231E+02    0.1965631924E-02
        91    0.6509713333E+02    0.6247192799E+02    0.1954390398E-02
        92    0.6360703333E+02    0.6131351299E+02    0.1931753235E-02
        93    0.1331329333E+03    0.1223560214E+03    0.3124615223E-02
        94    0.1303768667E+03    0.1201806073E+03    0.3082104375E-02
        95    0.1275528667E+03    0.1190877316E+03    0.3060747949E-02
        96    0.1131955333E+03    0.1179913810E+03    0.3039323616E-02
        97    0.1089584667E+03    0.1157881659E+03    0.2996269495E-02
        98    0.1006016333E+03    0.1113390462E+03    0.2909327037E-02
        99    0.9634486667E+02    0.1079641222E+03    0.2843375969E-02
       100    0.9517810000E+02    0.1068317665E+03    0.2821248044E-02
       101    0.9246266667E+02    0.1045558375E+03    0.2776772985E-02
       102    0.1244155333E+03    0.1251636949E+03    0.3179481365E-02
       103    0.1249338000E+03    0.1258083855E+03    0.3192079586E-02
       104    0.1282895000E+03    0.1261302795E+03    0.3198369875E-02
