     Index       y_measurement           y_fitting        descriptor_1
         1    0.3115032551E+00    0.3276598956E+00    0.1569444912E+02
         2    0.3727521742E+00    0.3733512763E+00    0.1633032861E+02
         3    0.3692808565E+00    0.3727392011E+00    0.1632181046E+02
         4    0.3219133907E+00    0.3425442190E+00    0.1590159182E+02
         5    0.3203898125E+00    0.3427667236E+00    0.1590468838E+02
         6    0.3755429960E+00    0.3741809354E+00    0.1634187484E+02
         7    0.3689363424E+00    0.3735319488E+00    0.1633284300E+02
         8    0.3834306331E+00    0.3907834157E+00    0.1657292885E+02
         9    0.3841229241E+00    0.3903569819E+00    0.1656699424E+02
        10    0.3981010400E+00    0.3918042116E+00    0.1658713510E+02
        11    0.3996236202E+00    0.4099073433E+00    0.1683907343E+02
        12    0.3980037053E+00    0.4096592675E+00    0.1683562100E+02
        13    0.3065872278E+00    0.3137807482E+00    0.1550129529E+02
        14    0.3018713204E+00    0.3127545157E+00    0.1548701338E+02
        15    0.3946135729E+00    0.4057041691E+00    0.1678057854E+02
        16    0.4021863310E+00    0.4055194058E+00    0.1677800722E+02
        17    0.3076766726E+00    0.3276125652E+00    0.1569379043E+02
        18    0.3091608525E+00    0.3264011060E+00    0.1567693075E+02
        19    0.3092389430E+00    0.3150957503E+00    0.1551959596E+02
        20    0.3769629583E+00    0.3617182327E+00    0.1616843344E+02
        21    0.3904139452E+00    0.4145900791E+00    0.1690424230E+02
        22    0.3687133635E+00    0.3609773977E+00    0.1615812336E+02
        23    0.3614909000E+00    0.3605289509E+00    0.1615188240E+02
        24    0.3569607189E+00    0.3598988509E+00    0.1614311340E+02
        25    0.3309396823E+00    0.3233230416E+00    0.1563409383E+02
        26    0.3276713441E+00    0.3235543219E+00    0.1563731252E+02
        27    0.3741920109E+00    0.3550544569E+00    0.1607569476E+02
        28    0.4010305618E+00    0.4077457982E+00    0.1680899156E+02
        29    0.3721079413E+00    0.3543046098E+00    0.1606525926E+02
        30    0.3923032117E+00    0.3716638073E+00    0.1630684438E+02
        31    0.3928852735E+00    0.4079135770E+00    0.1681132651E+02
        32    0.3763802550E+00    0.3711442216E+00    0.1629961339E+02
        33    0.3628066791E+00    0.3546948350E+00    0.1607068996E+02
        34    0.3616999086E+00    0.3540188107E+00    0.1606128184E+02
        35    0.3769364803E+00    0.3711362392E+00    0.1629950230E+02
        36    0.3710709739E+00    0.3706915239E+00    0.1629331327E+02
        37    0.3572480509E+00    0.3509543916E+00    0.1601863482E+02
        38    0.3635729881E+00    0.3682110170E+00    0.1625879246E+02
        39    0.3710951698E+00    0.3867209811E+00    0.1651639261E+02
        40    0.3498298330E+00    0.3679317287E+00    0.1625490565E+02
        41    0.3622700519E+00    0.3687079589E+00    0.1626570832E+02
        42    0.3556002005E+00    0.3684413323E+00    0.1626199772E+02
        43    0.3068701886E+00    0.3076246216E+00    0.1541562148E+02
        44    0.3047319468E+00    0.3065841229E+00    0.1540114103E+02
        45    0.3934461789E+00    0.4029771305E+00    0.1674262679E+02
        46    0.4069873114E+00    0.4218222663E+00    0.1700489147E+02
        47    0.3925031194E+00    0.4027133005E+00    0.1673895511E+02
        48    0.3131120344E+00    0.3220280268E+00    0.1561607132E+02
        49    0.4057369914E+00    0.4187198731E+00    0.1696171597E+02
        50    0.3055190544E+00    0.3207282609E+00    0.1559798269E+02
        51    0.3914804504E+00    0.3992708975E+00    0.1669104775E+02
        52    0.3875508766E+00    0.3990830424E+00    0.1668843340E+02
        53    0.3144476998E+00    0.3214201149E+00    0.1560761111E+02
        54    0.3035142463E+00    0.3201913264E+00    0.1559051026E+02
        55    0.3153730631E+00    0.3260985207E+00    0.1567271972E+02
        56    0.3356654485E+00    0.3401910945E+00    0.1586884377E+02
        57    0.3316145550E+00    0.3403776584E+00    0.1587144015E+02
        58    0.3701456579E+00    0.3868695299E+00    0.1651845994E+02
        59    0.3057408244E+00    0.3129800771E+00    0.1549015248E+02
        60    0.3022545026E+00    0.3120122738E+00    0.1547668372E+02
        61    0.4319090039E+00    0.4135919327E+00    0.1689035126E+02
        62    0.4270794082E+00    0.3990939529E+00    0.1668858524E+02
        63    0.4008107104E+00    0.3920545925E+00    0.1659061961E+02
        64    0.3863661790E+00    0.3851485181E+00    0.1649450890E+02
        65    0.3567211668E+00    0.3717181207E+00    0.1630760025E+02
        66    0.3390427691E+00    0.3587685193E+00    0.1612738276E+02
        67    0.3291813919E+00    0.3462683914E+00    0.1595342052E+02
        68    0.3243536271E+00    0.3341890258E+00    0.1578531396E+02
        69    0.3252255627E+00    0.3282988030E+00    0.1570334069E+02
        70    0.3261143142E+00    0.3225040516E+00    0.1562269608E+02
        71    0.3239659235E+00    0.3111892075E+00    0.1546522924E+02
        72    0.3674602020E+00    0.3633097021E+00    0.1619058166E+02
        73    0.3733715764E+00    0.3551666936E+00    0.1607725674E+02
        74    0.3728675248E+00    0.3512230540E+00    0.1602237375E+02
        75    0.3805400206E+00    0.3473601905E+00    0.1596861491E+02
        76    0.3694195579E+00    0.3398643054E+00    0.1586429590E+02
