     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.3115032551E+00    0.3240622435E+00    0.2587635609E-01    0.5516551313E-01
         2    0.3727521742E+00    0.3726858955E+00    0.2857347488E-01    0.5279767016E-01
         3    0.3692808565E+00    0.3679498643E+00    0.2855740675E-01    0.5477481586E-01
         4    0.3219133907E+00    0.3382654008E+00    0.2689863351E-01    0.5613399571E-01
         5    0.3203898125E+00    0.3415687871E+00    0.2689891180E-01    0.5467754102E-01
         6    0.3755429960E+00    0.3728866878E+00    0.2892219668E-01    0.5517843846E-01
         7    0.3689363424E+00    0.3678842186E+00    0.2886223965E-01    0.5696242282E-01
         8    0.3834306331E+00    0.3911095552E+00    0.2986215924E-01    0.5378934366E-01
         9    0.3841229241E+00    0.3893365190E+00    0.2979678769E-01    0.5410921054E-01
        10    0.3981010400E+00    0.3943404302E+00    0.3039677337E-01    0.5614871493E-01
        11    0.3996236202E+00    0.4099440826E+00    0.3185859001E-01    0.5961141297E-01
        12    0.3980037053E+00    0.4122560560E+00    0.3175929311E-01    0.5788753560E-01
        13    0.3065872278E+00    0.3162291328E+00    0.2484048555E-01    0.5128843547E-01
        14    0.3018713204E+00    0.3022108449E+00    0.2497959412E-01    0.5846250082E-01
        15    0.3946135729E+00    0.4081645076E+00    0.3006092941E-01    0.4766724258E-01
        16    0.4021863310E+00    0.4097640437E+00    0.3004382070E-01    0.4683990439E-01
        17    0.3076766726E+00    0.3241688593E+00    0.2579994664E-01    0.5457736177E-01
        18    0.3091608525E+00    0.3119264075E+00    0.2594129359E-01    0.6098325673E-01
        19    0.3092389430E+00    0.3205167133E+00    0.2521772445E-01    0.5206685037E-01
        20    0.3769629583E+00    0.3596229946E+00    0.2804441351E-01    0.5481840073E-01
        21    0.3904139452E+00    0.4122847916E+00    0.3122147988E-01    0.5406641180E-01
        22    0.3687133635E+00    0.3562835309E+00    0.2799334905E-01    0.5593114932E-01
        23    0.3614909000E+00    0.3642775081E+00    0.2769050090E-01    0.5025728596E-01
        24    0.3569607189E+00    0.3617620457E+00    0.2775899680E-01    0.5185289024E-01
        25    0.3309396823E+00    0.3286296543E+00    0.2588464213E-01    0.5320770474E-01
        26    0.3276713441E+00    0.3310845141E+00    0.2585480960E-01    0.5191264456E-01
        27    0.3741920109E+00    0.3526767067E+00    0.2765797768E-01    0.5514866273E-01
        28    0.4010305618E+00    0.4036698680E+00    0.3074262376E-01    0.5447890724E-01
        29    0.3721079413E+00    0.3500968559E+00    0.2764225461E-01    0.5617631111E-01
        30    0.3923032117E+00    0.3684135746E+00    0.2881538863E-01    0.5639694737E-01
        31    0.3928852735E+00    0.4031525645E+00    0.3106994248E-01    0.5702514808E-01
        32    0.3763802550E+00    0.3683681287E+00    0.2876335130E-01    0.5604851755E-01
        33    0.3628066791E+00    0.3577366771E+00    0.2764427712E-01    0.5281769768E-01
        34    0.3616999086E+00    0.3557187995E+00    0.2770495574E-01    0.5413826441E-01
        35    0.3769364803E+00    0.3741592549E+00    0.2849442799E-01    0.5158743303E-01
        36    0.3710709739E+00    0.3745538925E+00    0.2852210370E-01    0.5160918396E-01
        37    0.3572480509E+00    0.3607788742E+00    0.2801234973E-01    0.5408103231E-01
        38    0.3635729881E+00    0.3636409461E+00    0.2883928615E-01    0.5867326082E-01
        39    0.3710951698E+00    0.3786075116E+00    0.3008386529E-01    0.6087889684E-01
        40    0.3498298330E+00    0.3678587776E+00    0.2882074236E-01    0.5667979854E-01
        41    0.3622700519E+00    0.3706284029E+00    0.2919391350E-01    0.5809957639E-01
        42    0.3556002005E+00    0.3752236804E+00    0.2918720528E-01    0.5602328562E-01
        43    0.3068701886E+00    0.3174267981E+00    0.2449495136E-01    0.4831282906E-01
        44    0.3047319468E+00    0.3057918071E+00    0.2467664167E-01    0.5473621869E-01
        45    0.3934461789E+00    0.4008792959E+00    0.3092451069E-01    0.5699893096E-01
        46    0.4069873114E+00    0.4195277492E+00    0.3233839273E-01    0.5877792649E-01
        47    0.3925031194E+00    0.4030738343E+00    0.3083506090E-01    0.5539663118E-01
        48    0.3131120344E+00    0.3225551108E+00    0.2517819883E-01    0.5088701576E-01
        49    0.4057369914E+00    0.4200495063E+00    0.3060578911E-01    0.4627842219E-01
        50    0.3055190544E+00    0.3128968701E+00    0.2530291802E-01    0.5603425019E-01
        51    0.3914804504E+00    0.4050755725E+00    0.2952568854E-01    0.4524076758E-01
        52    0.3875508766E+00    0.4070042832E+00    0.2952903495E-01    0.4441295038E-01
        53    0.3144476998E+00    0.3252643249E+00    0.2541764038E-01    0.5138648043E-01
        54    0.3035142463E+00    0.3157283507E+00    0.2561799693E-01    0.5701534860E-01
        55    0.3153730631E+00    0.3259659813E+00    0.2586621664E-01    0.5425322337E-01
        56    0.3356654485E+00    0.3404352140E+00    0.2660141238E-01    0.5307131285E-01
