     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.3115032551E+00    0.3187299961E+00    0.2587635609E-01    0.1509591122E+01    0.1091092705E+03
         2    0.3727521742E+00    0.3678437368E+00    0.2857347488E-01    0.1439376991E+01    0.1091092705E+03
         3    0.3692808565E+00    0.3624185574E+00    0.2855740675E-01    0.1492831235E+01    0.1150640330E+03
         4    0.3219133907E+00    0.3328152214E+00    0.2689863351E-01    0.1536457542E+01    0.1091092705E+03
         5    0.3203898125E+00    0.3355251805E+00    0.2689891180E-01    0.1496963106E+01    0.1150640330E+03
         6    0.3755429960E+00    0.3670797456E+00    0.2892219668E-01    0.1506727047E+01    0.1150640330E+03
         7    0.3689363424E+00    0.3626936255E+00    0.2886223965E-01    0.1554733437E+01    0.1091092705E+03
         8    0.3834306331E+00    0.3860967849E+00    0.2986215924E-01    0.1467375362E+01    0.1091092705E+03
         9    0.3841229241E+00    0.3843419705E+00    0.2979678769E-01    0.1475740257E+01    0.1091092705E+03
        10    0.3981010400E+00    0.3880717082E+00    0.3039677337E-01    0.1538555810E+01    0.1142427635E+03
        11    0.3996236202E+00    0.4035703540E+00    0.3185859001E-01    0.1631781538E+01    0.1142427635E+03
        12    0.3980037053E+00    0.4106818524E+00    0.3175929311E-01    0.1583785838E+01    0.7111670089E+02
        13    0.3065872278E+00    0.3105611456E+00    0.2484048555E-01    0.1403799018E+01    0.1142427635E+03
        14    0.3018713204E+00    0.3009512827E+00    0.2497959412E-01    0.1598246226E+01    0.7111670089E+02
        15    0.3946135729E+00    0.4080816686E+00    0.3006092941E-01    0.1293598500E+01    0.7111670089E+02
        16    0.4021863310E+00    0.4050595204E+00    0.3004382070E-01    0.1271325230E+01    0.1142427635E+03
        17    0.3076766726E+00    0.3186268359E+00    0.2579994664E-01    0.1489859081E+01    0.1142427635E+03
        18    0.3091608525E+00    0.3061883625E+00    0.2594129359E-01    0.1663403637E+01    0.1142427635E+03
        19    0.3092389430E+00    0.3134203539E+00    0.2521772445E-01    0.1447832996E+01    0.1091092705E+03
        20    0.3769629583E+00    0.3635813265E+00    0.2804441351E-01    0.1528173435E+01    0.0000000000E+00
        21    0.3904139452E+00    0.4049484055E+00    0.3122147988E-01    0.1501653231E+01    0.1091092705E+03
        22    0.3687133635E+00    0.3485960759E+00    0.2799334905E-01    0.1556992895E+01    0.1091092705E+03
        23    0.3614909000E+00    0.3577938818E+00    0.2769050090E-01    0.1391191649E+01    0.1091092705E+03
        24    0.3569607189E+00    0.3545422076E+00    0.2775899680E-01    0.1434964423E+01    0.1150640330E+03
        25    0.3309396823E+00    0.3217029732E+00    0.2588464213E-01    0.1476060003E+01    0.1091092705E+03
        26    0.3276713441E+00    0.3236001802E+00    0.2585480960E-01    0.1440471250E+01    0.1150640330E+03
        27    0.3741920109E+00    0.3569663691E+00    0.2765797768E-01    0.1533252600E+01    0.0000000000E+00
        28    0.4010305618E+00    0.3966420503E+00    0.3074262376E-01    0.1509238146E+01    0.1091092705E+03
        29    0.3721079413E+00    0.3427564507E+00    0.2764225461E-01    0.1559596373E+01    0.1091092705E+03
        30    0.3923032117E+00    0.3724089004E+00    0.2881538863E-01    0.1569627392E+01    0.0000000000E+00
        31    0.3928852735E+00    0.3949215226E+00    0.3106994248E-01    0.1583836502E+01    0.1150640330E+03
        32    0.3763802550E+00    0.3601930292E+00    0.2876335130E-01    0.1558014556E+01    0.1150640330E+03
        33    0.3628066791E+00    0.3505037418E+00    0.2764427712E-01    0.1460964661E+01    0.1150640330E+03
        34    0.3616999086E+00    0.3490748558E+00    0.2770495574E-01    0.1496852737E+01    0.1091092705E+03
        35    0.3769364803E+00    0.3677625275E+00    0.2849442799E-01    0.1425400833E+01    0.1091092705E+03
        36    0.3710709739E+00    0.3681821908E+00    0.2852210370E-01    0.1425675570E+01    0.1091092705E+03
        37    0.3572480509E+00    0.3540237180E+00    0.2801234973E-01    0.1489994971E+01    0.1142427635E+03
        38    0.3635729881E+00    0.3684367064E+00    0.2883928615E-01    0.1621035141E+01    0.0000000000E+00
        39    0.3710951698E+00    0.3710123961E+00    0.3008386529E-01    0.1680824987E+01    0.1142427635E+03
        40    0.3498298330E+00    0.3606642766E+00    0.2882074236E-01    0.1564336668E+01    0.1142427635E+03
        41    0.3622700519E+00    0.3637175918E+00    0.2919391350E-01    0.1598797295E+01    0.1142427635E+03
        42    0.3556002005E+00    0.3731501524E+00    0.2918720528E-01    0.1540894332E+01    0.7111670089E+02
        43    0.3068701886E+00    0.3098294128E+00    0.2449495136E-01    0.1347153227E+01    0.1142427635E+03
        44    0.3047319468E+00    0.3023433387E+00    0.2467664167E-01    0.1524573886E+01    0.7111670089E+02
        45    0.3934461789E+00    0.4038836569E+00    0.3092451069E-01    0.1596551278E+01    0.0000000000E+00
        46    0.4069873114E+00    0.4101673022E+00    0.3233839273E-01    0.1644555400E+01    0.1142427635E+03
        47    0.3925031194E+00    0.3941051633E+00    0.3083506090E-01    0.1550138093E+01    0.1142427635E+03
        48    0.3131120344E+00    0.3271737168E+00    0.2517819883E-01    0.1416440461E+01    0.0000000000E+00
        49    0.4057369914E+00    0.4184279205E+00    0.3060578911E-01    0.1274402644E+01    0.7111670089E+02
        50    0.3055190544E+00    0.3096330456E+00    0.2530291802E-01    0.1556843809E+01    0.7111670089E+02
        51    0.3914804504E+00    0.4032797915E+00    0.2952568854E-01    0.1249159128E+01    0.7111670089E+02
        52    0.3875508766E+00    0.4006214796E+00    0.2952903495E-01    0.1226455412E+01    0.1142427635E+03
        53    0.3144476998E+00    0.3177252482E+00    0.2541764038E-01    0.1428270874E+01    0.1142427635E+03
        54    0.3035142463E+00    0.3077767725E+00    0.2561799693E-01    0.1583569528E+01    0.1142427635E+03
        55    0.3153730631E+00    0.3205513227E+00    0.2586621664E-01    0.1486174243E+01    0.1091092705E+03
        56    0.3356654485E+00    0.3345147077E+00    0.2660141238E-01    0.1452683428E+01    0.1150640330E+03
        57    0.3316145550E+00    0.3382390515E+00    0.2656158935E-01    0.1408748040E+01    0.1091092705E+03
        58    0.3701456579E+00    0.3894186705E+00    0.2901328480E-01    0.1261262975E+01    0.1142427635E+03
        59    0.3057408244E+00    0.3166233473E+00    0.2508018173E-01    0.1432238704E+01    0.7111670089E+02
        60    0.3022545026E+00    0.2970411119E+00    0.2528343974E-01    0.1647096284E+01    0.1142427635E+03
        61    0.4319090039E+00    0.4198916449E+00    0.3203300393E-01    0.1617008382E+01    0.0000000000E+00
        62    0.4270794082E+00    0.4042729502E+00    0.3092927075E-01    0.1592854934E+01    0.0000000000E+00
        63    0.4008107104E+00    0.3967420389E+00    0.3039511483E-01    0.1580837404E+01    0.0000000000E+00
        64    0.3863661790E+00    0.3893894013E+00    0.2987230675E-01    0.1568859337E+01    0.0000000000E+00
        65    0.3567211668E+00    0.3751981305E+00    0.2885943346E-01    0.1545021592E+01    0.0000000000E+00
        66    0.3390427691E+00    0.3616594147E+00    0.2788816887E-01    0.1521341698E+01    0.0000000000E+00
        67    0.3291813919E+00    0.3487363931E+00    0.2695620984E-01    0.1497819656E+01    0.0000000000E+00
        68    0.3243536271E+00    0.3363948164E+00    0.2606141638E-01    0.1474455465E+01    0.0000000000E+00
        69    0.3252255627E+00    0.3304320251E+00    0.2562732912E-01    0.1462832564E+01    0.0000000000E+00
        70    0.3261143142E+00    0.3246028207E+00    0.2520179757E-01    0.1451249127E+01    0.0000000000E+00
        71    0.3239659235E+00    0.3133307249E+00    0.2437549884E-01    0.1428200639E+01    0.0000000000E+00
        72    0.3674602020E+00    0.3741468009E+00    0.2893968190E-01    0.1572594640E+01    0.0000000000E+00
        73    0.3733715764E+00    0.3660831534E+00    0.2826099924E-01    0.1539559787E+01    0.0000000000E+00
        74    0.3728675248E+00    0.3621810087E+00    0.2793026995E-01    0.1523138600E+01    0.0000000000E+00
        75    0.3805400206E+00    0.3583615744E+00    0.2760504819E-01    0.1506781573E+01    0.0000000000E+00
        76    0.3694195579E+00    0.3509602026E+00    0.2697046281E-01    0.1474259999E+01    0.0000000000E+00
        77    0.3485184075E+00    0.3438586874E+00    0.2635597154E-01    0.1441995064E+01    0.0000000000E+00
        78    0.3301994043E+00    0.3370380484E+00    0.2576038844E-01    0.1409986768E+01    0.0000000000E+00
        79    0.3300178520E+00    0.3304805502E+00    0.2518260535E-01    0.1378235111E+01    0.0000000000E+00
        80    0.3296708943E+00    0.3272952492E+00    0.2490006205E-01    0.1362455523E+01    0.0000000000E+00
        81    0.3275040021E+00    0.3241695899E+00    0.2462158489E-01    0.1346740094E+01    0.0000000000E+00
        82    0.3234392652E+00    0.3180895950E+00    0.2407635405E-01    0.1315501716E+01    0.0000000000E+00
        83    0.4357322360E+00    0.4168583261E+00    0.3017588858E-01    0.1244337299E+01    0.4539992976E+02
        84    0.3992104702E+00    0.4016576626E+00    0.2943475098E-01    0.1283756481E+01    0.4539992976E+02
        85    0.3949555381E+00    0.3942767833E+00    0.2907849310E-01    0.1303579243E+01    0.4539992976E+02
        86    0.3897969196E+00    0.3870340287E+00    0.2873126491E-01    0.1323477452E+01    0.4539992976E+02
        87    0.3713716119E+00    0.3729403608E+00    0.2806248972E-01    0.1363500214E+01    0.4539992976E+02
        88    0.3632482216E+00    0.3593345603E+00    0.2742579499E-01    0.1403824765E+01    0.4539992976E+02
        89    0.3390596413E+00    0.3461788383E+00    0.2681881956E-01    0.1444451105E+01    0.4539992976E+02
        90    0.3345703037E+00    0.3334391614E+00    0.2623943697E-01    0.1485379236E+01    0.4539992976E+02
        91    0.3325398245E+00    0.3272156153E+00    0.2595948536E-01    0.1505956472E+01    0.4539992976E+02
        92    0.3299490417E+00    0.3210847854E+00    0.2568572622E-01    0.1526609156E+01    0.4539992976E+02
        93    0.3236357173E+00    0.3090878554E+00    0.2515594688E-01    0.1568140866E+01    0.4539992976E+02
        94    0.3049439245E+00    0.2928326092E+00    0.2440479831E-01    0.1618118192E+01    0.4539992976E+02
        95    0.3030667899E+00    0.2955814529E+00    0.2437618858E-01    0.1580262055E+01    0.4539992976E+02
        96    0.3016141520E+00    0.2969473309E+00    0.2436139696E-01    0.1561342883E+01    0.4539992976E+02
        97    0.3008492847E+00    0.2983072746E+00    0.2434626594E-01    0.1542429642E+01    0.4539992976E+02
        98    0.3007543390E+00    0.3010085937E+00    0.2431493789E-01    0.1504620954E+01    0.4539992976E+02
        99    0.3013730675E+00    0.3036837878E+00    0.2428210305E-01    0.1466835990E+01    0.4539992976E+02
       100    0.3033088718E+00    0.3063310739E+00    0.2424765002E-01    0.1429074751E+01    0.4539992976E+02
       101    0.3039891654E+00    0.3089484892E+00    0.2421145616E-01    0.1391337236E+01    0.4539992976E+02
       102    0.3042505979E+00    0.3102453272E+00    0.2419266467E-01    0.1372477375E+01    0.4539992976E+02
       103    0.3048279490E+00    0.3115338676E+00    0.2417338612E-01    0.1353623446E+01    0.4539992976E+02
       104    0.3052152848E+00    0.3140848116E+00    0.2413329011E-01    0.1315933380E+01    0.4539992976E+02
       105    0.4320800811E+00    0.4178218779E+00    0.3196625200E-01    0.1628830558E+01    0.0000000000E+00
       106    0.4194647730E+00    0.4107082735E+00    0.3158166130E-01    0.1640144974E+01    0.0000000000E+00
       107    0.4152703718E+00    0.4072361023E+00    0.3139466695E-01    0.1645804647E+01    0.0000000000E+00
       108    0.3955196646E+00    0.4038182921E+00    0.3121107790E-01    0.1651465963E+01    0.0000000000E+00
       109    0.3875387003E+00    0.3971399053E+00    0.3085375024E-01    0.1662793525E+01    0.0000000000E+00
       110    0.3773174658E+00    0.3906619303E+00    0.3050897959E-01    0.1674127660E+01    0.0000000000E+00
       111    0.3722096650E+00    0.3843739562E+00    0.3017611546E-01    0.1685468369E+01    0.0000000000E+00
       112    0.3658986417E+00    0.3782662799E+00    0.2985455156E-01    0.1696815651E+01    0.0000000000E+00
       113    0.3654385006E+00    0.3752771994E+00    0.2969782887E-01    0.1702491756E+01    0.0000000000E+00
       114    0.3628786252E+00    0.3723298450E+00    0.2954372203E-01    0.1708169505E+01    0.0000000000E+00
