Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3115032551E+00    0.3276598957E+00   -0.1615664055E-01
    0.3727521742E+00    0.3733512762E+00   -0.5991020678E-03
    0.3692808565E+00    0.3727392012E+00   -0.3458344731E-02
    0.3219133907E+00    0.3425442190E+00   -0.2063082824E-01
    0.3203898125E+00    0.3427667233E+00   -0.2237691078E-01
    0.3755429960E+00    0.3741809352E+00    0.1362060784E-02
    0.3689363424E+00    0.3735319486E+00   -0.4595606175E-02
    0.3834306331E+00    0.3907834159E+00   -0.7352782810E-02
    0.3841229241E+00    0.3903569821E+00   -0.6234057957E-02
    0.3981010400E+00    0.3918042112E+00    0.6296828787E-02
    0.3996236202E+00    0.4099073433E+00   -0.1028372310E-01
    0.3980037053E+00    0.4096592676E+00   -0.1165556231E-01
    0.3065872278E+00    0.3137807478E+00   -0.7193520022E-02
    0.3018713204E+00    0.3127545154E+00   -0.1088319507E-01
    0.3946135729E+00    0.4057041692E+00   -0.1109059633E-01
    0.4021863310E+00    0.4055194059E+00   -0.3333074823E-02
    0.3076766726E+00    0.3276125650E+00   -0.1993589234E-01
    0.3091608525E+00    0.3264011063E+00   -0.1724025378E-01
    0.3092389430E+00    0.3150957503E+00   -0.5856807273E-02
    0.3769629583E+00    0.3617182325E+00    0.1524472585E-01
    0.3904139452E+00    0.4145900790E+00   -0.2417613380E-01
    0.3687133635E+00    0.3609773976E+00    0.7735965882E-02
    0.3614909000E+00    0.3605289511E+00    0.9619489010E-03
    0.3569607189E+00    0.3598988509E+00   -0.2938132036E-02
    0.3309396823E+00    0.3233230418E+00    0.7616640415E-02
    0.3276713441E+00    0.3235543216E+00    0.4117022516E-02
    0.3741920109E+00    0.3550544570E+00    0.1913755389E-01
    0.4010305618E+00    0.4077457979E+00   -0.6715236074E-02
    0.3721079413E+00    0.3543046096E+00    0.1780333179E-01
    0.3923032117E+00    0.3716638071E+00    0.2063940462E-01
    0.3928852735E+00    0.4079135772E+00   -0.1502830376E-01
    0.3763802550E+00    0.3711442216E+00    0.5236033360E-02
    0.3628066791E+00    0.3546948347E+00    0.8111844452E-02
    0.3616999086E+00    0.3540188103E+00    0.7681098273E-02
    0.3769364803E+00    0.3711362389E+00    0.5800241364E-02
    0.3710709739E+00    0.3706915241E+00    0.3794497571E-03
    0.3572480509E+00    0.3509543912E+00    0.6293659697E-02
    0.3635729881E+00    0.3682110171E+00   -0.4638028990E-02
    0.3710951698E+00    0.3867209807E+00   -0.1562581093E-01
    0.3498298330E+00    0.3679317284E+00   -0.1810189545E-01
    0.3622700519E+00    0.3687079585E+00   -0.6437906661E-02
    0.3556002005E+00    0.3684413323E+00   -0.1284113183E-01
    0.3068701886E+00    0.3076246216E+00   -0.7544329810E-03
    0.3047319468E+00    0.3065841227E+00   -0.1852175967E-02
    0.3934461789E+00    0.4029771302E+00   -0.9530951334E-02
    0.4069873114E+00    0.4218222664E+00   -0.1483495499E-01
    0.3925031194E+00    0.4027133003E+00   -0.1021018087E-01
    0.3131120344E+00    0.3220280268E+00   -0.8915992410E-02
    0.4057369914E+00    0.4187198734E+00   -0.1298288200E-01
    0.3055190544E+00    0.3207282610E+00   -0.1520920666E-01
    0.3914804504E+00    0.3992708976E+00   -0.7790447141E-02
    0.3875508766E+00    0.3990830425E+00   -0.1153216589E-01
    0.3144476998E+00    0.3214201151E+00   -0.6972415290E-02
    0.3035142463E+00    0.3201913262E+00   -0.1667707989E-01
    0.3153730631E+00    0.3260985208E+00   -0.1072545769E-01
    0.3356654485E+00    0.3401910942E+00   -0.4525645651E-02
    0.3316145550E+00    0.3403776585E+00   -0.8763103507E-02
    0.3701456579E+00    0.3868695302E+00   -0.1672387229E-01
    0.3057408244E+00    0.3129800773E+00   -0.7239252909E-02
    0.3022545026E+00    0.3120122739E+00   -0.9757771325E-02
    0.4319090039E+00    0.4135919325E+00    0.1831707142E-01
    0.4270794082E+00    0.3990939526E+00    0.2798545556E-01
    0.4008107104E+00    0.3920545926E+00    0.8756117831E-02
    0.3863661790E+00    0.3851485183E+00    0.1217660694E-02
    0.3567211668E+00    0.3717181208E+00   -0.1499695399E-01
    0.3390427691E+00    0.3587685195E+00   -0.1972575045E-01
    0.3291813919E+00    0.3462683917E+00   -0.1708699980E-01
    0.3243536271E+00    0.3341890255E+00   -0.9835398429E-02
    0.3252255627E+00    0.3282988028E+00   -0.3073240076E-02
    0.3261143142E+00    0.3225040516E+00    0.3610262519E-02
    0.3239659235E+00    0.3111892075E+00    0.1277671594E-01
    0.3674602020E+00    0.3633097019E+00    0.4150500094E-02
    0.3733715764E+00    0.3551666936E+00    0.1820488280E-01
    0.3728675248E+00    0.3512230536E+00    0.2164447115E-01
    0.3805400206E+00    0.3473601905E+00    0.3317983015E-01
    0.3694195579E+00    0.3398643052E+00    0.2955525270E-01
    0.3485184075E+00    0.3326554402E+00    0.1586296728E-01
    0.3301994043E+00    0.3257120409E+00    0.4487363397E-02
    0.3300178520E+00    0.3190143793E+00    0.1100347271E-01
    0.3296708943E+00    0.3157519876E+00    0.1391890670E-01
    0.3275040021E+00    0.3125443650E+00    0.1495963712E-01
    0.3234392652E+00    0.3062853794E+00    0.1715388579E-01
    0.4357322360E+00    0.4075307321E+00    0.2820150394E-01
    0.3992104702E+00    0.3937361687E+00    0.5474301527E-02
    0.3949555381E+00    0.3870450409E+00    0.7910497204E-02
    0.3897969196E+00    0.3804850193E+00    0.9311900375E-02
    0.3713716119E+00    0.3677405737E+00    0.3631038137E-02
    0.3632482216E+00    0.3554693209E+00    0.7778900613E-02
    0.3390596413E+00    0.3436406050E+00   -0.4580963685E-02
    0.3345703037E+00    0.3322263253E+00    0.2343978363E-02
    0.3325398245E+00    0.3266664510E+00    0.5873373437E-02
    0.3299490417E+00    0.3212006739E+00    0.8748367812E-02
    0.3236357173E+00    0.3105399046E+00    0.1309581269E-01
    0.3049439245E+00    0.2988051206E+00    0.6138803876E-02
    0.3030667899E+00    0.2989638493E+00    0.4102940599E-02
    0.3016141520E+00    0.2990430934E+00    0.2571058578E-02
    0.3008492847E+00    0.2991222572E+00    0.1727027471E-02
    0.3007543390E+00    0.2992803443E+00    0.1473994711E-02
    0.3013730675E+00    0.2994381106E+00    0.1934956949E-02
    0.3033088718E+00    0.2995955560E+00    0.3713315776E-02
    0.3039891654E+00    0.2997526806E+00    0.4236484815E-02
    0.3042505979E+00    0.2998311226E+00    0.4419475283E-02
    0.3048279490E+00    0.2999094844E+00    0.4918464677E-02
    0.3052152848E+00    0.3000659673E+00    0.5149317526E-02
    0.4320800811E+00    0.4230135169E+00    0.9066564183E-02
    0.4194647730E+00    0.4173397343E+00    0.2125038779E-02
    0.4152703718E+00    0.4145014701E+00    0.7689017602E-03
    0.3955196646E+00    0.4116622906E+00   -0.1614262605E-01
    0.3875387003E+00    0.4059811860E+00   -0.1844248565E-01
    0.3773174658E+00    0.4002964203E+00   -0.2297895454E-01
    0.3722096650E+00    0.3946079937E+00   -0.2239832865E-01
    0.3658986417E+00    0.3889159061E+00   -0.2301726435E-01
    0.3654385006E+00    0.3860684894E+00   -0.2062998874E-01
    0.3628786252E+00    0.3832201574E+00   -0.2034153222E-01
    0.3593327157E+00    0.3775207478E+00   -0.1818803212E-01
    0.4236008781E+00    0.4288196133E+00   -0.5218735146E-02
    0.4302033384E+00    0.4287748241E+00    0.1428514259E-02
    0.4351999837E+00    0.4286846431E+00    0.6515340591E-02
    0.4366919796E+00    0.4285492711E+00    0.8142708443E-02
    0.4311080150E+00    0.4281429543E+00    0.2965060644E-02
    0.4347549284E+00    0.4275558736E+00    0.7199054809E-02
    0.4361630142E+00    0.4267880291E+00    0.9374985057E-02
    0.4281518174E+00    0.4258394208E+00    0.2312396595E-02
    0.4349348493E+00    0.4252973302E+00    0.9637519132E-02
    0.4367499704E+00    0.4247100486E+00    0.1203992179E-01
    0.4324042533E+00    0.4233999126E+00    0.9004340770E-02
    0.3650326136E+00    0.3781470592E+00   -0.1311444561E-01
    0.3732358523E+00    0.3841830526E+00   -0.1094720035E-01
    0.3786976367E+00    0.3870910286E+00   -0.8393391912E-02
    0.3852582334E+00    0.3899256575E+00   -0.4667424139E-02
    0.3888947959E+00    0.3953748738E+00   -0.6480077960E-02
    0.3985197223E+00    0.4005307017E+00   -0.2010979369E-02
    0.4102602803E+00    0.4053931409E+00    0.4867139325E-02
    0.4122228352E+00    0.4099621917E+00    0.2260643512E-02
    0.4279795549E+00    0.4121366963E+00    0.1584285856E-01
    0.4355520415E+00    0.4142378539E+00    0.2131418764E-01
    0.4304532498E+00    0.4182201276E+00    0.1223312228E-01
    0.4264919331E+00    0.4133816905E+00    0.1311024260E-01
    0.4159233320E+00    0.3986865278E+00    0.1723680413E-01
    0.4019375123E+00    0.3915532881E+00    0.1038422419E-01
    0.3916388568E+00    0.3845563825E+00    0.7082474297E-02
    0.3729094357E+00    0.3709532079E+00    0.1956227795E-02
    0.3410080471E+00    0.3578422697E+00   -0.1683422260E-01
    0.3223677406E+00    0.3451917910E+00   -0.2282405034E-01
    0.3277539599E+00    0.3329726411E+00   -0.5218681214E-02
    0.3195057973E+00    0.3270163672E+00   -0.7510569962E-02
    0.3050923527E+00    0.3211580641E+00   -0.1606571137E-01
    0.3008277403E+00    0.3097234393E+00   -0.8895699020E-02
    0.3562631232E+00    0.3630815980E+00   -0.6818474756E-02
    0.3594206178E+00    0.3547278882E+00    0.4692729650E-02
    0.3608270649E+00    0.3506851872E+00    0.1014187770E-01
    0.3624143566E+00    0.3467273381E+00    0.1568701849E-01
    0.3578429254E+00    0.3390533748E+00    0.1878955061E-01
    0.3469210390E+00    0.3316817715E+00    0.1523926755E-01
    0.3368855359E+00    0.3245903941E+00    0.1229514178E-01
    0.3256278511E+00    0.3177589804E+00    0.7868870638E-02
    0.3119917446E+00    0.3144348916E+00   -0.2443147001E-02
    0.3046814166E+00    0.3111689462E+00   -0.6487529588E-02
    0.3036860037E+00    0.3048032156E+00   -0.1117211827E-02
    0.4244004781E+00    0.4073936448E+00    0.1700683329E-01
    0.4017700433E+00    0.3934572649E+00    0.8312778349E-02
    0.4011696531E+00    0.3866934778E+00    0.1447617536E-01
    0.3915106331E+00    0.3800596406E+00    0.1145099250E-01
    0.3766460280E+00    0.3671641280E+00    0.9481899995E-02
    0.3584288290E+00    0.3547372780E+00    0.3691551025E-02
    0.3463282239E+00    0.3427484929E+00    0.3579731022E-02
    0.3303320639E+00    0.3311697268E+00   -0.8376629537E-03
    0.3187693157E+00    0.3255259692E+00   -0.6756653503E-02
    0.3065945036E+00    0.3199752235E+00   -0.1338071999E-01
    0.3034393990E+00    0.3091412855E+00   -0.5701886587E-02
Prediction RMSE and MaxAE:         0.0122241188        0.0331798302
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3115032551E+00    0.3240622435E+00   -0.1255898839E-01
    0.3727521742E+00    0.3726858956E+00    0.6627854421E-04
    0.3692808565E+00    0.3679498643E+00    0.1330992194E-02
    0.3219133907E+00    0.3382654009E+00   -0.1635201014E-01
    0.3203898125E+00    0.3415687871E+00   -0.2117897462E-01
    0.3755429960E+00    0.3728866878E+00    0.2656308189E-02
    0.3689363424E+00    0.3678842186E+00    0.1052123864E-02
    0.3834306331E+00    0.3911095552E+00   -0.7678922108E-02
    0.3841229241E+00    0.3893365191E+00   -0.5213594972E-02
    0.3981010400E+00    0.3943404303E+00    0.3760609690E-02
    0.3996236202E+00    0.4099440827E+00   -0.1032046250E-01
    0.3980037053E+00    0.4122560560E+00   -0.1425235075E-01
    0.3065872278E+00    0.3162291330E+00   -0.9641905152E-02
    0.3018713204E+00    0.3022108450E+00   -0.3395246102E-03
    0.3946135729E+00    0.4081645076E+00   -0.1355093476E-01
    0.4021863310E+00    0.4097640438E+00   -0.7577712780E-02
    0.3076766726E+00    0.3241688592E+00   -0.1649218662E-01
    0.3091608525E+00    0.3119264076E+00   -0.2765555067E-02
    0.3092389430E+00    0.3205167133E+00   -0.1127777031E-01
    0.3769629583E+00    0.3596229946E+00    0.1733996371E-01
    0.3904139452E+00    0.4122847917E+00   -0.2187084655E-01
    0.3687133635E+00    0.3562835309E+00    0.1242983252E-01
    0.3614909000E+00    0.3642775081E+00   -0.2786608102E-02
    0.3569607189E+00    0.3617620458E+00   -0.4801326911E-02
    0.3309396823E+00    0.3286296544E+00    0.2310027879E-02
    0.3276713441E+00    0.3310845141E+00   -0.3413170004E-02
    0.3741920109E+00    0.3526767067E+00    0.2151530422E-01
    0.4010305618E+00    0.4036698679E+00   -0.2639306085E-02
    0.3721079413E+00    0.3500968559E+00    0.2201108550E-01
    0.3923032117E+00    0.3684135747E+00    0.2388963706E-01
    0.3928852735E+00    0.4031525645E+00   -0.1026729105E-01
    0.3763802550E+00    0.3683681288E+00    0.8012126214E-02
    0.3628066791E+00    0.3577366771E+00    0.5070002050E-02
    0.3616999086E+00    0.3557187996E+00    0.5981109014E-02
    0.3769364803E+00    0.3741592550E+00    0.2777225273E-02
    0.3710709739E+00    0.3745538925E+00   -0.3482918599E-02
    0.3572480509E+00    0.3607788741E+00   -0.3530823213E-02
    0.3635729881E+00    0.3636409461E+00   -0.6795802303E-04
    0.3710951698E+00    0.3786075116E+00   -0.7512341751E-02
    0.3498298330E+00    0.3678587775E+00   -0.1802894454E-01
    0.3622700519E+00    0.3706284029E+00   -0.8358351028E-02
    0.3556002005E+00    0.3752236805E+00   -0.1962347997E-01
    0.3068701886E+00    0.3174267980E+00   -0.1055660945E-01
    0.3047319468E+00    0.3057918072E+00   -0.1059860422E-02
    0.3934461789E+00    0.4008792960E+00   -0.7433117183E-02
    0.4069873114E+00    0.4195277493E+00   -0.1254043789E-01
    0.3925031194E+00    0.4030738343E+00   -0.1057071490E-01
    0.3131120344E+00    0.3225551108E+00   -0.9443076387E-02
    0.4057369914E+00    0.4200495064E+00   -0.1431251499E-01
    0.3055190544E+00    0.3128968701E+00   -0.7377815749E-02
    0.3914804504E+00    0.4050755724E+00   -0.1359512202E-01
    0.3875508766E+00    0.4070042832E+00   -0.1945340667E-01
    0.3144476998E+00    0.3252643249E+00   -0.1081662505E-01
    0.3035142463E+00    0.3157283508E+00   -0.1221410445E-01
    0.3153730631E+00    0.3259659813E+00   -0.1059291819E-01
    0.3356654485E+00    0.3404352141E+00   -0.4769765558E-02
    0.3316145550E+00    0.3434399046E+00   -0.1182534959E-01
    0.3701456579E+00    0.3946570539E+00   -0.2451139604E-01
    0.3057408244E+00    0.3179124579E+00   -0.1217163354E-01
    0.3022545026E+00    0.3033703957E+00   -0.1115893071E-02
    0.4319090039E+00    0.4141991918E+00    0.1770981209E-01
    0.4270794082E+00    0.3984152619E+00    0.2866414631E-01
    0.4008107104E+00    0.3908013161E+00    0.1000939436E-01
    0.3863661790E+00    0.3833653837E+00    0.3000795285E-02
    0.3567211668E+00    0.3690067979E+00   -0.1228563107E-01
    0.3390427691E+00    0.3552998924E+00   -0.1625712337E-01
    0.3291813919E+00    0.3422079216E+00   -0.1302652966E-01
    0.3243536271E+00    0.3296967529E+00   -0.5343125840E-02
    0.3252255627E+00    0.3236489616E+00    0.1576601088E-02
    0.3261143142E+00    0.3177346416E+00    0.8379672549E-02
    0.3239659235E+00    0.3062920271E+00    0.1767389638E-01
    0.3674602020E+00    0.3688172242E+00   -0.1357022164E-02
    0.3733715764E+00    0.3611182117E+00    0.1225336463E-01
    0.3728675248E+00    0.3573859037E+00    0.1548162108E-01
    0.3805400206E+00    0.3537282205E+00    0.2681180013E-01
    0.3694195579E+00    0.3466267832E+00    0.2279277466E-01
    0.3485184075E+00    0.3397948968E+00    0.8723510770E-02
    0.3301994043E+00    0.3332148841E+00   -0.3015479751E-02
    0.3300178520E+00    0.3268702707E+00    0.3147581336E-02
    0.3296708943E+00    0.3237813916E+00    0.5889502690E-02
    0.3275040021E+00    0.3207456732E+00    0.6758328876E-02
    0.3234392652E+00    0.3148266997E+00    0.8612565473E-02
    0.4357322360E+00    0.4144786559E+00    0.2125358005E-01
    0.3992104702E+00    0.3993870005E+00   -0.1765302766E-03
    0.3949555381E+00    0.3920616181E+00    0.2893919991E-02
    0.3897969196E+00    0.3848749585E+00    0.4921961079E-02
    0.3713716119E+00    0.3708950859E+00    0.4765260095E-03
    0.3632482216E+00    0.3574049103E+00    0.5843311275E-02
    0.3390596413E+00    0.3443662740E+00   -0.5306632692E-02
    0.3345703037E+00    0.3317447794E+00    0.2825524271E-02
    0.3325398245E+00    0.3255806222E+00    0.6959202285E-02
    0.3299490417E+00    0.3195093198E+00    0.1043972195E-01
    0.3236357173E+00    0.3076316799E+00    0.1600403740E-01
    0.3049439245E+00    0.2918453258E+00    0.1309859864E-01
    0.3030667899E+00    0.2945296652E+00    0.8537124763E-02
    0.3016141520E+00    0.2958629461E+00    0.5751205827E-02
    0.3008492847E+00    0.2971900631E+00    0.3659221587E-02
    0.3007543390E+00    0.2998250401E+00    0.9292989694E-03
    0.3013730675E+00    0.3024329736E+00   -0.1059906102E-02
    0.3033088718E+00    0.3050120811E+00   -0.1703209376E-02
    0.3039891654E+00    0.3075603994E+00   -0.3571234012E-02
    0.3042505979E+00    0.3088223440E+00   -0.4571746163E-02
    0.3048279490E+00    0.3100757613E+00   -0.5247812232E-02
    0.3052152848E+00    0.3125557685E+00   -0.7340483621E-02
    0.4320800811E+00    0.4179703106E+00    0.1410977052E-01
    0.4194647730E+00    0.4103339882E+00    0.9130784853E-02
    0.4152703718E+00    0.4065956334E+00    0.8674738400E-02
    0.3955196646E+00    0.4029083854E+00   -0.7388720808E-02
