     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.3115032551E+00    0.3244101222E+00    0.1297077597E-01    0.1055822642E-01
         2    0.3727521742E+00    0.3759197125E+00    0.1433426011E-01    0.8208474423E-02
         3    0.3692808565E+00    0.3647284044E+00    0.1432467683E-01    0.1193359122E-01
         4    0.3219133907E+00    0.3384023010E+00    0.1342369007E-01    0.1084548312E-01
         5    0.3203898125E+00    0.3413839890E+00    0.1342768898E-01    0.9869215967E-02
         6    0.3689363424E+00    0.3641975347E+00    0.1435787320E-01    0.1248766117E-01
         7    0.3841229241E+00    0.3859226647E+00    0.1488285628E-01    0.1093487461E-01
         8    0.3981010400E+00    0.3932010759E+00    0.1498073009E-01    0.9539871770E-02
         9    0.3996236202E+00    0.4133337099E+00    0.1558170697E-01    0.9384655803E-02
        10    0.3980037053E+00    0.4074782281E+00    0.1554126937E-01    0.1093645721E-01
        11    0.3065872278E+00    0.3155151068E+00    0.1251444786E-01    0.8487105732E-02
        12    0.3018713204E+00    0.3040202698E+00    0.1256619003E-01    0.1300387986E-01
        13    0.3946135729E+00    0.4119475771E+00    0.1532670225E-01    0.6999700194E-02
        14    0.4021863310E+00    0.4080278527E+00    0.1532517446E-01    0.8324919490E-02
        15    0.3076766726E+00    0.3274297279E+00    0.1290401388E-01    0.8775452076E-02
        16    0.3092389430E+00    0.3194534162E+00    0.1264250676E-01    0.8574456012E-02
        17    0.3769629583E+00    0.3623455697E+00    0.1403964406E-01    0.9553229025E-02
        18    0.3904139452E+00    0.4121768197E+00    0.1563500803E-01    0.1037856953E-01
        19    0.3687133635E+00    0.3518857802E+00    0.1401340756E-01    0.1284107825E-01
        20    0.3569607189E+00    0.3575683870E+00    0.1392599599E-01    0.9914764673E-02
        21    0.3309396823E+00    0.3270501606E+00    0.1291579723E-01    0.9037578807E-02
        22    0.3276713441E+00    0.3285834929E+00    0.1290461279E-01    0.8387048967E-02
        23    0.4010305618E+00    0.4020771416E+00    0.1539056107E-01    0.1109605789E-01
        24    0.3923032117E+00    0.3709705937E+00    0.1435981384E-01    0.1018991624E-01
        25    0.3928852735E+00    0.4021206485E+00    0.1543010181E-01    0.1152457282E-01
        26    0.3763802550E+00    0.3636265187E+00    0.1433731396E-01    0.1245265814E-01
        27    0.3628066791E+00    0.3573249354E+00    0.1375092055E-01    0.8034821504E-02
        28    0.3616999086E+00    0.3506894224E+00    0.1377992888E-01    0.1063252757E-01
        29    0.3769364803E+00    0.3733732096E+00    0.1422704239E-01    0.7878200292E-02
        30    0.3710709739E+00    0.3686082199E+00    0.1424373107E-01    0.9697171400E-02
        31    0.3572480509E+00    0.3556650033E+00    0.1379181205E-01    0.9061845149E-02
        32    0.3710951698E+00    0.3754726137E+00    0.1480953570E-01    0.1369138256E-01
        33    0.3498298330E+00    0.3619301530E+00    0.1429669279E-01    0.1257806655E-01
        34    0.3068701886E+00    0.3148833148E+00    0.1234586027E-01    0.6812909430E-02
        35    0.3047319468E+00    0.3078265077E+00    0.1241933296E-01    0.1005352060E-01
        36    0.3934461789E+00    0.4061597868E+00    0.1535443612E-01    0.9292802501E-02
        37    0.4069873114E+00    0.4220266471E+00    0.1594279154E-01    0.1045690852E-01
        38    0.3131120344E+00    0.3235722327E+00    0.1277389061E-01    0.8637276010E-02
        39    0.4057369914E+00    0.4207823276E+00    0.1571596329E-01    0.8339361504E-02
        40    0.3914804504E+00    0.4060227824E+00    0.1506012809E-01    0.6039317524E-02
        41    0.3875508766E+00    0.4033435725E+00    0.1506891070E-01    0.7055331196E-02
        42    0.3035142463E+00    0.3150660930E+00    0.1280607154E-01    0.1191117638E-01
        43    0.3153730631E+00    0.3281792641E+00    0.1289430796E-01    0.8409921981E-02
        44    0.3356654485E+00    0.3423166482E+00    0.1331237862E-01    0.8256713274E-02
        45    0.3316145550E+00    0.3441065473E+00    0.1329652367E-01    0.7465943733E-02
        46    0.3701456579E+00    0.3942667661E+00    0.1470090467E-01    0.6036920647E-02
        47    0.3057408244E+00    0.3180095617E+00    0.1246188687E-01    0.7043427704E-02
        48    0.3022545026E+00    0.3096169537E+00    0.1254390253E-01    0.1083730021E-01
        49    0.4270794082E+00    0.4036421908E+00    0.1524357061E-01    0.8911722165E-02
        50    0.4008107104E+00    0.3959080176E+00    0.1501474799E-01    0.8994330826E-02
        51    0.3863661790E+00    0.3883232990E+00    0.1479048947E-01    0.9076939486E-02
        52    0.3243536271E+00    0.3325419247E+00    0.1314594865E-01    0.9737808771E-02
        53    0.3252255627E+00    0.3261266146E+00    0.1295740197E-01    0.9820417431E-02
        54    0.3261143142E+00    0.3198241684E+00    0.1277230197E-01    0.9903026092E-02
        55    0.3674602020E+00    0.3692633857E+00    0.1417999860E-01    0.8758099644E-02
        56    0.3733715764E+00    0.3616149915E+00    0.1391504431E-01    0.8406147730E-02
        57    0.3728675248E+00    0.3578981490E+00    0.1378584560E-01    0.8230171773E-02
        58    0.3694195579E+00    0.3471497266E+00    0.1341052911E-01    0.7702243902E-02
        59    0.3485184075E+00    0.3402979362E+00    0.1316990181E-01    0.7350291989E-02
        60    0.3301994043E+00    0.3336786251E+00    0.1293637405E-01    0.6998340075E-02
        61    0.3300178520E+00    0.3272769683E+00    0.1270949310E-01    0.6646388161E-02
        62    0.3296708943E+00    0.3241533698E+00    0.1259841110E-01    0.6470412204E-02
        63    0.3275040021E+00    0.3210790185E+00    0.1248883303E-01    0.6294436247E-02
