Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3115032551E+00    0.3277038227E+00   -0.1620056755E-01
    0.3727521742E+00    0.3732066382E+00   -0.4544640713E-03
    0.3203898125E+00    0.3427483055E+00   -0.2235849300E-01
    0.3689363424E+00    0.3733865650E+00   -0.4450222557E-02
    0.3769629583E+00    0.3616216032E+00    0.1534135512E-01
    0.3569607189E+00    0.3598097301E+00   -0.2849011217E-02
    0.3276713441E+00    0.3236151920E+00    0.4056152113E-02
    0.3769364803E+00    0.3710007422E+00    0.5935738063E-02
    0.3710951698E+00    0.3865211670E+00   -0.1542599714E-01
    0.3068701886E+00    0.3077512327E+00   -0.8810440934E-03
    0.3934461789E+00    0.4027102285E+00   -0.9264049599E-02
    0.3356654485E+00    0.3401833058E+00   -0.4517857307E-02
    0.3316145550E+00    0.3403691002E+00   -0.8754545226E-02
    0.3243536271E+00    0.3342060073E+00   -0.9852380184E-02
    0.3252255627E+00    0.3283400930E+00   -0.3114530351E-02
    0.3261143142E+00    0.3225692564E+00    0.3545057729E-02
    0.3733715764E+00    0.3550971020E+00    0.1827447435E-01
    0.3694195579E+00    0.3398578654E+00    0.2956169241E-01
    0.3992104702E+00    0.3935074037E+00    0.5703066488E-02
    0.3632482216E+00    0.3553984805E+00    0.7849741084E-02
    0.3345703037E+00    0.3322514070E+00    0.2318896687E-02
    0.3236357173E+00    0.3106544846E+00    0.1298123274E-01
    0.3052152848E+00    0.3002237724E+00    0.4991512399E-02
    0.3722096650E+00    0.3943756308E+00   -0.2216596573E-01
    0.3654385006E+00    0.3858713684E+00   -0.2043286773E-01
    0.4366919796E+00    0.4281768350E+00    0.8515144537E-02
    0.3732358523E+00    0.3839937127E+00   -0.1075786040E-01
    0.4355520415E+00    0.4139244800E+00    0.2162756156E-01
    0.4304532498E+00    0.4178903191E+00    0.1256293075E-01
    0.4264919331E+00    0.4130718500E+00    0.1342008319E-01
    0.3410080471E+00    0.3577616363E+00   -0.1675358914E-01
    0.3008277403E+00    0.3098413887E+00   -0.9013648465E-02
    0.3624143566E+00    0.3466925751E+00    0.1572178144E-01
    0.3915106331E+00    0.3798873177E+00    0.1162331543E-01
Prediction RMSE and MaxAE:         0.0130228679        0.0295616924
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3115032551E+00    0.3236572744E+00   -0.1215401923E-01
    0.3727521742E+00    0.3780421217E+00   -0.5289947502E-02
    0.3203898125E+00    0.3400900713E+00   -0.1970025874E-01
    0.3689363424E+00    0.3704135523E+00   -0.1477209835E-02
    0.3769629583E+00    0.3642367058E+00    0.1272625250E-01
    0.3569607189E+00    0.3608813273E+00   -0.3920608420E-02
    0.3276713441E+00    0.3288294255E+00   -0.1158081420E-02
    0.3769364803E+00    0.3716037360E+00    0.5332744273E-02
    0.3710951698E+00    0.3772899203E+00   -0.6194750505E-02
    0.3068701886E+00    0.3084757954E+00   -0.1605606847E-02
    0.3934461789E+00    0.4027316890E+00   -0.9285510186E-02
    0.3356654485E+00    0.3377325115E+00   -0.2067062955E-02
    0.3316145550E+00    0.3390030304E+00   -0.7388475413E-02
    0.3243536271E+00    0.3356639654E+00   -0.1131033831E-01
    0.3252255627E+00    0.3294884834E+00   -0.4262920714E-02
    0.3261143142E+00    0.3234402512E+00    0.2674062923E-02
    0.3733715764E+00    0.3589930632E+00    0.1437851313E-01
    0.3694195579E+00    0.3468728101E+00    0.2254674772E-01
    0.3992104702E+00    0.4027456605E+00   -0.3535190262E-02
    0.3632482216E+00    0.3605542111E+00    0.2694010441E-02
    0.3345703037E+00    0.3348722092E+00   -0.3019055645E-03
    0.3236357173E+00    0.3114413625E+00    0.1219435485E-01
    0.3052152848E+00    0.2987758179E+00    0.6439466949E-02
    0.3722096650E+00    0.3855391148E+00   -0.1332944975E-01
    0.3654385006E+00    0.3775376281E+00   -0.1209912745E-01
    0.4366919796E+00    0.4305911115E+00    0.6100868118E-02
    0.3732358523E+00    0.3746013606E+00   -0.1365508381E-02
    0.4355520415E+00    0.4113448165E+00    0.2420722503E-01
    0.4304532498E+00    0.4208173469E+00    0.9635902964E-02
    0.4264919331E+00    0.4123857365E+00    0.1410619669E-01
    0.3410080471E+00    0.3538883197E+00   -0.1288027255E-01
    0.3008277403E+00    0.3052441482E+00   -0.4416407987E-02
    0.3624143566E+00    0.3557811892E+00    0.6633167320E-02
    0.3915106331E+00    0.3800871911E+00    0.1142344202E-01
Prediction RMSE and MaxAE:         0.0103445968        0.0242072250
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3115032551E+00    0.3168308201E+00   -0.5327565010E-02
    0.3727521742E+00    0.3684938146E+00    0.4258359571E-02
    0.3203898125E+00    0.3342847789E+00   -0.1389496640E-01
    0.3689363424E+00    0.3713222227E+00   -0.2385880293E-02
    0.3769629583E+00    0.3678032538E+00    0.9159704472E-02
    0.3569607189E+00    0.3556260187E+00    0.1334700209E-02
    0.3276713441E+00    0.3183307690E+00    0.9340575033E-02
    0.3769364803E+00    0.3653885412E+00    0.1154793908E-01
    0.3710951698E+00    0.3685529797E+00    0.2542190114E-02
    0.3068701886E+00    0.2984821894E+00    0.8387999156E-02
    0.3934461789E+00    0.4094421399E+00   -0.1599596108E-01
    0.3356654485E+00    0.3323410641E+00    0.3324384396E-02
    0.3316145550E+00    0.3326236809E+00   -0.1009125915E-02
    0.3243536271E+00    0.3291445969E+00   -0.4790969844E-02
    0.3252255627E+00    0.3224586501E+00    0.2766912544E-02
