     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.3115032551E+00    0.3194901461E+00    0.1297077597E-01    0.4295210368E-01    0.7048829002E+00
         2    0.3727521742E+00    0.3728354276E+00    0.1433426011E-01    0.3438299433E-01    0.9659792306E+00
         3    0.3692808565E+00    0.3637002986E+00    0.1432467683E-01    0.4767301625E-01    0.1081907293E+01
         4    0.3219133907E+00    0.3345508766E+00    0.1342369007E-01    0.4471611974E-01    0.1290571659E+01
         5    0.3203898125E+00    0.3370053628E+00    0.1342768898E-01    0.4125596229E-01    0.1288107442E+01
         6    0.3689363424E+00    0.3626862983E+00    0.1435787320E-01    0.5095142978E-01    0.1114865002E+01
         7    0.3834306331E+00    0.3918119002E+00    0.1491252401E-01    0.3554016236E-01    0.5667948239E+00
         8    0.3841229241E+00    0.3845127467E+00    0.1488285628E-01    0.4498859352E-01    0.6371022020E+00
         9    0.3981010400E+00    0.3941606496E+00    0.1498073009E-01    0.4266658736E-01    0.6094547989E+01
        10    0.3996236202E+00    0.4098117522E+00    0.1558170697E-01    0.4307937940E-01    0.3289380004E+00
        11    0.3980037053E+00    0.4045989931E+00    0.1554126937E-01    0.4882474065E-01    0.3763305266E+00
        12    0.3065872278E+00    0.3087150730E+00    0.1251444786E-01    0.3492283668E-01    0.3608949850E+00
        13    0.3018713204E+00    0.2998035652E+00    0.1256619003E-01    0.5091793361E-01    0.3656603188E+00
        14    0.3946135729E+00    0.4110863355E+00    0.1532670225E-01    0.2789781322E-01    0.2908719276E+00
        15    0.4021863310E+00    0.4078836077E+00    0.1532517446E-01    0.3263915436E-01    0.3212943275E+00
        16    0.3076766726E+00    0.3242153501E+00    0.1290401388E-01    0.3648740600E-01    0.3863249436E+01
        17    0.3092389430E+00    0.3137050792E+00    0.1264250676E-01    0.3475712467E-01    0.8598842215E+00
        18    0.3769629583E+00    0.3578490652E+00    0.1403964406E-01    0.4207860863E-01    0.1438442781E+01
        19    0.3904139452E+00    0.4098583706E+00    0.1563500803E-01    0.4535290507E-01    0.0000000000E+00
        20    0.3687133635E+00    0.3492086998E+00    0.1401340756E-01    0.5392642213E-01    0.1679376698E+01
        21    0.3614909000E+00    0.3604927597E+00    0.1389308925E-01    0.3014358714E-01    0.1138678577E+01
        22    0.3569607189E+00    0.3554950964E+00    0.1392599599E-01    0.3955478612E-01    0.1327737475E+01
        23    0.3309396823E+00    0.3223655220E+00    0.1291579723E-01    0.3698094241E-01    0.1619626877E+01
        24    0.3276713441E+00    0.3235055251E+00    0.1290461279E-01    0.3468164551E-01    0.1606336626E+01
        25    0.3741920109E+00    0.3499187996E+00    0.1384212391E-01    0.4371202474E-01    0.1470606202E+01
        26    0.4010305618E+00    0.3995530997E+00    0.1539056107E-01    0.4805624846E-01    0.0000000000E+00
        27    0.3923032117E+00    0.3664132883E+00    0.1435981384E-01    0.4516506074E-01    0.8633605958E+00
        28    0.3928852735E+00    0.3990389010E+00    0.1543010181E-01    0.5087532717E-01    0.0000000000E+00
        29    0.3763802550E+00    0.3602399575E+00    0.1433731396E-01    0.5339717942E-01    0.1005840828E+01
        30    0.3628066791E+00    0.3531241836E+00    0.1375092055E-01    0.3383829741E-01    0.1192821355E+01
        31    0.3616999086E+00    0.3480993836E+00    0.1377992888E-01    0.4312087511E-01    0.1407683696E+01
        32    0.3769364803E+00    0.3697704639E+00    0.1422704239E-01    0.3302856364E-01    0.6794093477E+00
        33    0.3710709739E+00    0.3660792485E+00    0.1424373107E-01    0.3955363105E-01    0.7950333552E+00
        34    0.3572480509E+00    0.3573051815E+00    0.1379181205E-01    0.3878327472E-01    0.8256412939E+01
        35    0.3710951698E+00    0.3713809070E+00    0.1480953570E-01    0.5997237481E-01    0.0000000000E+00
        36    0.3498298330E+00    0.3577914787E+00    0.1429669279E-01    0.5442877446E-01    0.6034443003E+00
        37    0.3622700519E+00    0.3642547790E+00    0.1426382598E-01    0.4283808665E-01    0.4195150768E+00
        38    0.3556002005E+00    0.3621165812E+00    0.1426803644E-01    0.4635938981E-01    0.5056974292E+00
        39    0.3068701886E+00    0.3075823915E+00    0.1234586027E-01    0.2794529743E-01    0.4215425742E+00
        40    0.3047319468E+00    0.3024880677E+00    0.1241933296E-01    0.3938992399E-01    0.4427148450E+00
        41    0.3934461789E+00    0.4021791965E+00    0.1535443612E-01    0.4284749410E-01    0.4566690287E+00
        42    0.4069873114E+00    0.4186414991E+00    0.1594279154E-01    0.4820800595E-01    0.0000000000E+00
        43    0.3925031194E+00    0.3974814015E+00    0.1531800911E-01    0.4805261432E-01    0.5200423454E+00
        44    0.3131120344E+00    0.3209623577E+00    0.1277389061E-01    0.3652758157E-01    0.5370506309E+01
        45    0.4057369914E+00    0.4203032999E+00    0.1571596329E-01    0.3395900554E-01    0.0000000000E+00
        46    0.3055190544E+00    0.3094589040E+00    0.1282517391E-01    0.5771969395E-01    0.6428032528E+01
        47    0.3914804504E+00    0.4044340204E+00    0.1506012809E-01    0.2404928595E-01    0.3297022632E+00
        48    0.3875508766E+00    0.4023345694E+00    0.1506891070E-01    0.2769120818E-01    0.3701168363E+00
        49    0.3144476998E+00    0.3233078708E+00    0.1271845567E-01    0.2908578629E-01    0.4541451915E+01
        50    0.3035142463E+00    0.3154689761E+00    0.1280607154E-01    0.4641923763E-01    0.5386608112E+01
        51    0.3153730631E+00    0.3234658886E+00    0.1289430796E-01    0.3287863922E-01    0.5719463829E+00
        52    0.3356654485E+00    0.3389447341E+00    0.1331237862E-01    0.3202924876E-01    0.1016234889E+01
        53    0.3316145550E+00    0.3402677137E+00    0.1329652367E-01    0.2923642768E-01    0.1020056876E+01
        54    0.3701456579E+00    0.3960397156E+00    0.1470090467E-01    0.2316980726E-01    0.4400731831E+01
        55    0.3057408244E+00    0.3112482146E+00    0.1246188687E-01    0.2834262964E-01    0.3052472291E+00
        56    0.3022545026E+00    0.3051146859E+00    0.1254390253E-01    0.4174817079E-01    0.3000867091E+00
        57    0.4319090039E+00    0.4262364144E+00    0.1571545908E-01    0.4115413270E-01    0.1252837437E+02
        58    0.4270794082E+00    0.4094188983E+00    0.1524357061E-01    0.4125426441E-01    0.1211856773E+02
        59    0.4008107104E+00    0.4012661203E+00    0.1501474799E-01    0.4130433026E-01    0.1192355629E+02
        60    0.3863661790E+00    0.3932772551E+00    0.1479048947E-01    0.4135439612E-01    0.1173472169E+02
        61    0.3291813919E+00    0.3485293415E+00    0.1353376325E-01    0.4165479124E-01    0.1071641940E+02
        62    0.3243536271E+00    0.3347267060E+00    0.1314594865E-01    0.4175492295E-01    0.1041515459E+02
        63    0.3252255627E+00    0.3280170550E+00    0.1295740197E-01    0.4180498881E-01    0.1027078611E+02
        64    0.3261143142E+00    0.3214305698E+00    0.1277230197E-01    0.4185505466E-01    0.1013036521E+02
        65    0.3674602020E+00    0.3786985922E+00    0.1417999860E-01    0.3823661606E-01    0.1702482092E+02
        66    0.3733715764E+00    0.3700353740E+00    0.1391504431E-01    0.3654085769E-01    0.1633631714E+02
        67    0.3728675248E+00    0.3658352869E+00    0.1378584560E-01    0.3569297851E-01    0.1601253427E+02
        68    0.3805400206E+00    0.3617186936E+00    0.1365873825E-01    0.3484509933E-01    0.1570133661E+02
        69    0.3694195579E+00    0.3537242284E+00    0.1341052911E-01    0.3314934096E-01    0.1511387164E+02
        70    0.3485184075E+00    0.3460296598E+00    0.1316990181E-01    0.3145358260E-01    0.1456878118E+02
        71    0.3301994043E+00    0.3386144238E+00    0.1293637405E-01    0.2975782423E-01    0.1406164007E+02
        72    0.3300178520E+00    0.3314594957E+00    0.1270949310E-01    0.2806206586E-01    0.1358861853E+02
        73    0.3296708943E+00    0.3279740782E+00    0.1259841110E-01    0.2721418668E-01    0.1336384439E+02
        74    0.3275040021E+00    0.3245472109E+00    0.1248883303E-01    0.2636630750E-01    0.1314638539E+02
        75    0.3234392652E+00    0.3178611068E+00    0.1227399212E-01    0.2467054913E-01    0.1273202940E+02
        76    0.4357322360E+00    0.4250660986E+00    0.1533981033E-01    0.1866639395E-01    0.8830385301E+01
        77    0.3992104702E+00    0.4085688887E+00    0.1489919484E-01    0.2009073727E-01    0.8560794045E+01
        78    0.3897969196E+00    0.3928750143E+00    0.1448130172E-01    0.2151508058E-01    0.8307176334E+01
        79    0.3713716119E+00    0.3779219783E+00    0.1408436660E-01    0.2293942389E-01    0.8068153345E+01
        80    0.3632482216E+00    0.3636538373E+00    0.1370680990E-01    0.2436376721E-01    0.7842500507E+01
        81    0.3345703037E+00    0.3369762063E+00    0.1300429562E-01    0.2721245384E-01    0.7427055703E+01
        82    0.3325398245E+00    0.3306622017E+00    0.1283872655E-01    0.2792462549E-01    0.7329981979E+01
        83    0.3299490417E+00    0.3244804967E+00    0.1267690269E-01    0.2863679715E-01    0.7235413078E+01
        84    0.3236357173E+00    0.3124961043E+00    0.1236398539E-01    0.3006114046E-01    0.7053411705E+01
        85    0.3049439245E+00    0.2950238750E+00    0.1218691758E-01    0.3790765349E-01    0.0000000000E+00
        86    0.3016141520E+00    0.2961929740E+00    0.1217102365E-01    0.3533764308E-01    0.0000000000E+00
        87    0.3008492847E+00    0.2965710292E+00    0.1216539058E-01    0.3448097294E-01    0.0000000000E+00
        88    0.3007543390E+00    0.2973084374E+00    0.1215358625E-01    0.3276763267E-01    0.0000000000E+00
        89    0.3013730675E+00    0.2980194046E+00    0.1214102103E-01    0.3105429240E-01    0.0000000000E+00
        90    0.3039891654E+00    0.2993539749E+00    0.1211337652E-01    0.2762761186E-01    0.0000000000E+00
        91    0.3042505979E+00    0.2996677817E+00    0.1210589458E-01    0.2677094173E-01    0.0000000000E+00
        92    0.3048279490E+00    0.2999730352E+00    0.1209816650E-01    0.2591427159E-01    0.0000000000E+00
        93    0.3052152848E+00    0.3005565144E+00    0.1208193257E-01    0.2420093132E-01    0.0000000000E+00
        94    0.4320800811E+00    0.4241024212E+00    0.1600245699E-01    0.4315052370E-01    0.0000000000E+00
        95    0.4194647730E+00    0.4151531851E+00    0.1580514108E-01    0.4627454351E-01    0.0000000000E+00
        96    0.4152703718E+00    0.4107722989E+00    0.1570918044E-01    0.4783655342E-01    0.0000000000E+00
        97    0.3955196646E+00    0.4064516248E+00    0.1561495252E-01    0.4939856333E-01    0.0000000000E+00
        98    0.3875387003E+00    0.3979844535E+00    0.1543150895E-01    0.5252258315E-01    0.0000000000E+00
        99    0.3773174658E+00    0.3897393177E+00    0.1525445488E-01    0.5564660296E-01    0.0000000000E+00
       100    0.3722096650E+00    0.3817047173E+00    0.1508345937E-01    0.5877062278E-01    0.0000000000E+00
       101    0.3658986417E+00    0.3738699329E+00    0.1491821395E-01    0.6189464259E-01    0.0000000000E+00
       102    0.3654385006E+00    0.3700243195E+00    0.1483765681E-01    0.6345665250E-01    0.0000000000E+00
       103    0.3628786252E+00    0.3662249611E+00    0.1475843075E-01    0.6501866241E-01    0.0000000000E+00
       104    0.3593327157E+00    0.3587604551E+00    0.1460384080E-01    0.6814268222E-01    0.0000000000E+00
       105    0.4236008781E+00    0.4241133318E+00    0.1620445744E-01    0.5361414373E-01    0.0000000000E+00
       106    0.4302033384E+00    0.4254417689E+00    0.1619523310E-01    0.5115226979E-01    0.0000000000E+00
       107    0.4366919796E+00    0.4265280320E+00    0.1617903974E-01    0.4869039584E-01    0.0000000000E+00
       108    0.4311080150E+00    0.4273491570E+00    0.1615521652E-01    0.4622852189E-01    0.0000000000E+00
       109    0.4347549284E+00    0.4278797794E+00    0.1612303353E-01    0.4376664795E-01    0.0000000000E+00
       110    0.4361630142E+00    0.4280918326E+00    0.1608168310E-01    0.4130477400E-01    0.0000000000E+00
       111    0.4281518174E+00    0.4279542000E+00    0.1603026979E-01    0.3884290005E-01    0.0000000000E+00
       112    0.4349348493E+00    0.4277435963E+00    0.1600048293E-01    0.3761196308E-01    0.0000000000E+00
