,formula,C_11,C_12,C_13,C_14,C_15,C_16,C_21,C_22,C_23,C_24,C_25,C_26,C_31,C_32,C_33,C_34,C_35,C_36,C_41,C_42,C_43,C_44,C_45,C_46,C_51,C_52,C_53,C_54,C_55,C_56,C_61,C_62,C_63,C_64,C_65,C_66,K,G,E,v
0,Nb16Mo24W24,413.84700000000004,178.7925,186.8897,4.3808,20.2274,-2.3078,177.89960000000002,405.81,192.0973,14.109,-7.979699999999999,-12.1927,187.23499999999999,191.60920000000002,400.5551,-17.0792,-11.3844,7.665699999999999,4.7509999999999994,13.040700000000001,-18.3687,122.45239999999998,8.6176,-8.7302,21.6225,-6.6026,-11.6304,7.782299999999999,111.67660000000001,3.1607,-2.396,-9.7836,7.9434,-9.6205,1.6480000000000001,104.6113,259.53012222222225,111.90345820597187,293.5234993964731,0.31150325513715377
1,Nb16V24Mo24,304.1595,157.9519,165.3169,2.6645,25.8983,7.0782,157.63989999999998,281.9751,183.5997,16.9972,-14.627699999999999,-18.5049,166.06279999999998,183.054,271.2523,-21.503999999999998,-12.2188,10.520999999999999,4.257,16.771,-19.9301,61.7299,6.4455,-14.8286,24.9242,-13.6544,-12.0024,7.0771,62.027,3.0284,5.3571,-18.2374,10.6235,-15.0294,3.5987,48.4884,207.90265555555558,57.814865794524025,158.73096543627045,0.3727521741588541
2,Nb16V24W24,318.9184,176.23399999999998,176.378,2.9539999999999997,20.238999999999997,7.125100000000001,174.1282,304.8718,188.8074,10.204699999999999,-8.952,-14.6527,176.56099999999998,188.1368,297.5535,-14.079400000000001,-9.7354,8.9582,1.2537,9.9512,-12.8792,65.55080000000001,7.8098,-11.3934,19.1643,-7.751099999999999,-9.7278,10.3868,63.93339999999999,3.7651000000000003,3.2903,-12.382200000000001,8.6592,-9.707699999999999,0.8326,62.7638,222.68694444444444,63.776791694682956,174.65667991002195,0.36928085647637726
3,Nb24Mo16W24,381.90749999999997,168.71179999999998,182.7069,3.2664,28.496,10.238800000000001,168.7219,393.57460000000003,185.6048,14.8122,-15.0973,-10.234,183.0645,185.7715,370.4681,-17.9293,-13.0241,3.7615000000000003,2.9112999999999998,15.9578,-17.2909,106.8597,5.9575000000000005,-15.7149,29.1775,-16.605600000000003,-13.1026,5.9937,97.8446,3.842,10.1414,-11.6458,3.2177999999999995,-14.5946,3.6738,90.8321,246.66635555555558,99.69179946106823,263.5678493052301,0.3219133907205625
4,Nb24Mo24W16,376.4312,165.28640000000001,175.9028,4.7704,27.251799999999996,13.972399999999999,165.0721,382.6646,176.7721,13.0745,-15.097999999999999,-13.5729,175.798,176.25920000000002,370.2634,-16.156299999999998,-11.5808,2.8315,4.0952,14.1017,-15.613,104.11099999999999,7.379600000000001,-17.875700000000002,28.076,-16.3542,-11.5563,7.435599999999999,94.5026,0.40149999999999997,14.7834,-14.1375,1.6295000000000002,-16.4731,-0.2484,88.7122,240.58686666666668,98.17976134517485,259.27111335303175,0.3203898125271512
5,Nb24V16Mo24,282.8182,161.095,169.54469999999998,3.2109,29.7155,11.7613,159.4558,282.698,175.5664,16.0347,-12.998,-15.1891,171.0744,174.61489999999998,270.14520000000005,-20.8431,-13.3081,5.5453,4.5809,15.7807,-20.430699999999998,65.9545,6.874599999999999,-14.075999999999999,30.082100000000004,-12.857800000000001,-14.5671,6.920699999999999,55.2384,2.5606999999999998,11.9606,-15.1477,5.4753,-13.8143,2.2576,47.6942,205.3415111111111,55.73694755238958,153.33713564573782,0.375542995977754
6,Nb24V16W24,318.6988,172.6386,177.8115,-1.1586,19.4134,6.4704999999999995,169.3539,298.9433,187.5276,17.4467,-9.585899999999999,-13.7346,177.4309,188.5385,294.8035,-11.428,-7.7916,9.9138,-0.5075999999999999,14.6714,-11.4039,69.9394,7.656999999999999,-8.666599999999999,19.7426,-8.381,-7.1774000000000004,5.924,60.0117,6.1948,4.5671,-12.326,8.1539,-9.1401,4.6349,62.542100000000005,220.93344444444446,63.457323199070544,173.73807184189775,0.36893634243653745
7,Nb24V24Mo16,267.915,156.1523,156.459,2.6286,23.607,5.4952,156.6198,257.01300000000003,170.92360000000002,15.0083,-11.1044,-15.4007,157.9404,171.411,251.102,-18.590899999999998,-13.0382,4.2924999999999995,3.3847,13.2895,-17.9488,55.2368,4.4472000000000005,-11.9932,22.0299,-10.5818,-13.8018,3.6765,53.5681,4.9277,5.2807,-13.418199999999999,3.4387999999999996,-11.9615,4.7995,38.4907,193.67775555555556,48.95849376750735,135.46136005910537,0.38343063312344017
8,Nb24V24W16,283.3813,165.693,167.3605,3.0094000000000003,16.493299999999998,4.944599999999999,162.9819,267.8139,174.4415,13.196000000000002,-9.4024,-14.1102,167.4896,174.48409999999998,266.3939,-13.9549,-10.4176,4.837400000000001,2.8461,13.2838,-14.827699999999998,56.5817,4.4896,-9.8475,15.0315,-9.4202,-11.004999999999999,3.8745,52.983799999999995,2.964,6.1274999999999995,-12.7117,5.0912,-10.7157,3.4093000000000004,42.781400000000005,203.6199,51.14042587710456,141.56927161201054,0.3841229241247945
9,Nb48Mo8W8,260.9645,163.18540000000002,171.2381,2.7249,22.0754,7.2898,162.51420000000002,257.1272,179.254,16.777,-14.4739,-5.0683,171.30509999999998,178.5347,244.43290000000002,-17.767400000000002,-11.5848,2.2875,0.185,16.668799999999997,-16.0821,53.998900000000006,8.582899999999999,-14.0903,23.685200000000002,-14.502699999999999,-11.9822,8.462,46.8723,6.2283,7.4274000000000004,-5.7152,2.5952,-13.967400000000001,5.507099999999999,33.7642,198.8755111111111,43.484427474991946,121.59124655025799,0.39810103996638274
10,Nb48V8Mo8,239.42710000000002,149.6734,155.3322,0.99,22.0126,7.095000000000001,151.1059,233.7134,163.5808,15.5909,-11.4102,-11.8557,155.4383,164.7039,228.26979999999998,-15.934299999999999,-10.7897,5.4989,1.4368,13.8006,-16.6199,44.6443,3.5848,-10.2905,21.1134,-12.1687,-10.715900000000001,2.7994,39.7859,4.6402,6.0561,-11.1645,5.6746,-11.241299999999999,3.8962000000000003,33.823899999999995,182.06478888888887,39.171254630441695,109.65002642452855,0.3996236201650116
11,Nb48V8W8,242.99140000000003,152.1051,160.90019999999998,0.4201,22.003700000000002,5.9704,153.8537,240.5679,164.6921,11.9977,-11.5702,-11.6851,161.07829999999998,166.1816,237.5009,-16.1001,-10.015699999999999,6.8210999999999995,-0.1944,13.1655,-16.9822,46.5457,3.1661,-6.7441,20.0858,-11.4875,-10.1374,3.876,44.5646,4.0622,3.8125999999999998,-11.192,8.5887,-8.768,4.1309,31.623399999999997,186.2727777777778,40.77056391015557,113.99479882670907,0.39800370529476564
